feature,weight_list
F1,"[0.23888204991817474, 0.4316501021385193, 0.5236752033233643, 0.11323206126689911, 0.442903995513916, 0.17191079258918762, 0.4562648832798004, 0.04376714676618576, 0.03812353312969208, 0.5179667472839355, 0.049958519637584686, 0.04084628447890282, 0.35847774147987366, 0.018392091616988182, 0.03370468690991402, 0.10821804404258728, 0.05142035707831383, 0.2950720191001892, 0.0646333172917366, 0.09601105004549026, 0.2431369423866272, 0.20096370577812195, 0.22775037586688995, 0.30137667059898376, 0.24686738848686218, 0.01246893685311079, 0.25009849667549133, 0.15288256108760834, 0.13118427991867065, 0.028789283707737923, 0.015894869342446327, 0.6195558905601501, 0.5457661747932434, 0.08249159902334213, 0.5110657215118408, 0.2667766511440277, 0.43764570355415344, 0.015518738888204098, 0.06058574095368385, 0.38966336846351624, 0.5076888203620911, 0.5113834142684937, 0.06385359913110733, 0.20911376178264618, 0.0474381223320961, 0.31128817796707153, 0.14646963775157928, 0.13084255158901215, 0.15386809408664703, 0.03304540365934372, 0.01763998158276081, 0.5816932320594788, 0.4265674650669098, 0.6770591139793396, 0.3195885717868805, 0.13153399527072906, 0.08682189136743546, 0.1059461385011673, 0.8048474192619324, 0.5824364423751831, 0.3022444546222687, 0.04734736308455467, 0.04184412211179733, 0.01231425628066063, 0.035449087619781494, 0.1668141484260559, 0.36077213287353516, 0.30803054571151733, 0.05259045585989952, 0.08061225712299347, 0.3512269854545593, 0.624552309513092, 0.1640491932630539, 0.1292920708656311, 0.07316651195287704, 0.7643383145332336, 0.08904892206192017, 0.45347994565963745, 0.3572489321231842, 0.537815511226654, 0.21468226611614227, 0.32684898376464844, 0.4162185788154602, 0.08066047728061676, 0.09586428850889206, 0.7260210514068604, 0.2499040961265564, 0.27187708020210266, 0.3064958155155182, 0.28016337752342224, 0.2780548632144928, 0.014776498079299927, 0.35745716094970703, 0.5598903894424438, 0.36737576127052307, 0.8149958848953247, 0.019808638840913773, 0.271119624376297, 0.28155842423439026, 0.4577515721321106, 0.14308904111385345, 0.25362613797187805, 0.08331071585416794, 0.03005351312458515, 0.04359332099556923, 0.085382841527462, 0.850196361541748, 0.09303078055381775, 0.42676201462745667, 0.1687016785144806, 0.2763170897960663, 0.14906641840934753, 0.30242282152175903, 0.3401557505130768, 0.351640909910202, 0.07985736429691315, 0.8220833539962769, 0.3364527225494385, 0.05028429627418518, 0.1280878782272339, 0.1927778720855713, 0.5920103788375854, 0.39750728011131287, 0.09994934499263763, 0.2101317048072815, 0.5358567237854004, 0.10529481619596481, 0.4104215204715729]"
F2,"[0.09978733956813812, 0.24247194826602936, 0.07050246000289917, 0.30934491753578186, 0.06304546445608139, 0.1459004431962967, 0.1780141144990921, 0.3195491135120392, 0.17587654292583466, 0.032592739909887314, 0.18880563974380493, 0.05719078704714775, 0.21327531337738037, 0.0504641979932785, 0.16192995011806488, 0.2735802233219147, 0.03665408492088318, 0.05606197193264961, 0.09366312623023987, 0.01275976188480854, 0.17481563985347748, 0.1041581854224205, 0.2017873376607895, 0.02663896605372429, 0.21099914610385895, 0.05677337571978569, 0.13671459257602692, 0.25185683369636536, 0.057195086032152176, 0.3112322986125946, 0.18372060358524323, 0.05908037722110748, 0.057465724647045135, 0.06820885837078094, 0.24718713760375977, 0.05397069454193115, 0.21338552236557007, 0.19611933827400208, 0.04115128144621849, 0.13784615695476532, 0.11621097475290298, 0.16565768420696259, 0.019661523401737213, 0.1046750620007515, 0.12070666998624802, 0.06304173171520233, 0.08981095999479294, 0.0071090213023126125, 0.17549213767051697, 0.23417097330093384, 0.2787676155567169, 0.265057772397995, 0.1481153815984726, 0.0041529154404997826, 0.3946197032928467, 0.05663488805294037, 0.022024909034371376, 0.10427971929311752, 0.15552695095539093, 0.2439889758825302, 0.2642613351345062, 0.112375408411026, 0.14287161827087402, 0.32263055443763733, 0.14439575374126434, 0.13595587015151978, 0.058657556772232056, 0.3067326247692108, 0.05542367324233055, 0.07427336275577545, 0.005207929760217667, 0.13891850411891937, 0.028678566217422485, 0.08365479111671448, 0.13768652081489563, 0.008295264095067978, 0.2544807195663452, 0.19617778062820435, 0.2762851119041443, 0.16588625311851501, 0.1317244917154312, 0.07429840415716171, 0.21822170913219452, 0.2451135665178299, 0.028654417023062706, 0.01192240696400404, 0.1057402715086937, 0.2575198709964752, 0.008793428540229797, 0.10099595040082932, 0.0038721186574548483, 0.16222354769706726, 0.09017037600278854, 0.17622853815555573, 0.04643596336245537, 0.26535913348197937, 0.10554438084363937, 0.00869112741202116, 0.0640932023525238, 0.05638720095157623, 0.18880435824394226, 0.23872298002243042, 0.19725406169891357, 0.015374588780105114, 0.13044355809688568, 0.1784570962190628, 0.04660915210843086, 0.2552436292171478, 0.12315306067466736, 0.19235965609550476, 0.24845126271247864, 0.2560429871082306, 0.21304084360599518, 0.14297714829444885, 0.19480907917022705, 0.030755560845136642, 0.004192369524389505, 0.03522689267992973, 0.18700112402439117, 0.018854793161153793, 0.2930029034614563, 0.20722715556621552, 0.07209667563438416, 0.2313009649515152, 0.00204491731710732, 0.18509548902511597, 0.22009578347206116, 0.21305881440639496]"
F3,"[0.15613816678524017, 0.22445714473724365, 0.0177912600338459, 0.07922299951314926, 0.058668237179517746, 0.17134885489940643, 0.007789413444697857, 0.3214396834373474, 0.6422065496444702, 0.2624843418598175, 0.016216248273849487, 0.31945475935935974, 0.03801331669092178, 0.1290186494588852, 0.33297228813171387, 0.316463440656662, 0.1620190441608429, 0.31559473276138306, 0.0012700040824711323, 0.3260711133480072, 0.24948729574680328, 0.061957553029060364, 0.5241725444793701, 0.02401689998805523, 0.06837566196918488, 0.2132447212934494, 0.19943451881408691, 0.11680353432893753, 0.18208907544612885, 0.010456915944814682, 0.1446061134338379, 0.04843832552433014, 0.22563660144805908, 0.21753007173538208, 0.00957485567778349, 0.06275474280118942, 0.09714850038290024, 0.34439948201179504, 0.06545040011405945, 0.12071990966796875, 0.30183079838752747, 0.011128016747534275, 0.16759580373764038, 0.133402019739151, 0.030716678127646446, 0.1039152592420578, 0.02222547121345997, 0.23718871176242828, 0.2535017728805542, 0.4216061234474182, 0.27580493688583374, 0.1407577097415924, 0.12331755459308624, 0.0867622047662735, 0.07392601668834686, 0.3978676497936249, 0.2962362468242645, 0.23616547882556915, 0.01897292397916317, 0.013563236221671104, 0.042205728590488434, 0.25067585706710815, 0.06989982724189758, 0.002365644322708249, 0.14314831793308258, 0.26496806740760803, 0.2510484755039215, 0.07806890457868576, 0.048818767070770264, 0.11741550266742706, 0.06633453816175461, 0.35326844453811646, 0.16936913132667542, 0.1958630234003067, 0.24384358525276184, 0.2188735008239746, 0.21723224222660065, 0.05613262206315994, 0.10973167419433594, 0.04340311139822006, 0.07599575817584991, 0.3776153326034546, 0.442986398935318, 0.09601450711488724, 0.42048510909080505, 0.09185077250003815, 0.11401651054620743, 0.11436283588409424, 0.2506531774997711, 0.08708923310041428, 0.36996135115623474, 0.20503844320774078, 0.09260816872119904, 0.014687673188745975, 0.03930157795548439, 0.012529034167528152, 0.10828301310539246, 0.07627495378255844, 0.3194902837276459, 0.08375861495733261, 0.11800344288349152, 0.36859503388404846, 0.4210410714149475, 0.1638907790184021, 0.12734170258045197, 0.23214584589004517, 0.16510745882987976, 0.18483825027942657, 0.029917467385530472, 0.0680946335196495, 0.26686689257621765, 0.2295350432395935, 0.015350236557424068, 0.33372002840042114, 0.24554091691970825, 0.15982918441295624, 0.08822593092918396, 0.14875441789627075, 0.152983620762825, 0.23665295541286469, 0.3016151785850525, 0.1757364720106125, 0.03750486671924591, 0.43331727385520935, 0.21985915303230286, 0.2497379332780838, 0.08283963799476624, 0.07659925520420074]"
F4,"[0.10462253540754318, 0.14048093557357788, 0.20435065031051636, 0.35068821907043457, 0.08687034994363785, 0.0609012134373188, 0.1951606720685959, 0.04629399627447128, 0.1058797538280487, 0.08210084587335587, 0.17439988255500793, 0.0955597385764122, 0.12091364711523056, 0.1933451145887375, 0.0024106784258037806, 0.1258092224597931, 0.24326695501804352, 0.010370983742177486, 0.1769656091928482, 8.35568571346812e-05, 0.11811815947294235, 0.17720887064933777, 0.013487088494002819, 0.29670172929763794, 0.06650805473327637, 0.02381175011396408, 0.03416275605559349, 0.13082633912563324, 0.21461710333824158, 0.5058386921882629, 0.03168522194027901, 0.11287430673837662, 0.05865905433893204, 0.0759057030081749, 0.011684197001159191, 0.48074883222579956, 0.09504880011081696, 0.031546417623758316, 0.1671987771987915, 0.09248915314674377, 0.0755787268280983, 0.14031828939914703, 0.06332166492938995, 0.05114027112722397, 0.08333741128444672, 0.19692210853099823, 0.24971161782741547, 0.05816715955734253, 0.21341674029827118, 0.16510283946990967, 0.083041250705719, 0.016504278406500816, 0.13192163407802582, 0.1304839551448822, 0.3807033896446228, 0.0425395630300045, 0.0033320924267172813, 0.05126309394836426, 0.056635960936546326, 0.25920137763023376, 0.34351488947868347, 0.09915866702795029, 0.019316034391522408, 0.3779645264148712, 0.04106859117746353, 0.14092807471752167, 0.24225282669067383, 0.20373225212097168, 0.03200818598270416, 0.06784214079380035, 0.09310852736234665, 0.041663914918899536, 0.09486932307481766, 0.15822380781173706, 0.06993356347084045, 0.23880933225154877, 0.003507407382130623, 0.2719687521457672, 0.20484042167663574, 0.2297734171152115, 0.10055423527956009, 0.2517954409122467, 0.0033355604391545057, 0.05857773870229721, 0.20141305029392242, 0.12763634324073792, 0.2094954401254654, 0.19288583099842072, 0.02381763979792595, 0.1306171864271164, 0.08126962929964066, 0.17558445036411285, 0.06277160346508026, 0.011704158037900925, 0.03776869177818298, 0.12459057569503784, 0.1381060630083084, 0.20305554568767548, 0.13449305295944214, 0.0006288731819950044, 0.28116440773010254, 0.16015678644180298, 0.0773644745349884, 0.0851977989077568, 0.3975237011909485, 0.3213319182395935, 0.08516586571931839, 0.1875942051410675, 0.2065993696451187, 0.058598313480615616, 0.14854468405246735, 0.15118297934532166, 0.15635164082050323, 0.14540335536003113, 0.0061323256231844425, 0.03154049441218376, 0.3130415678024292, 0.13825370371341705, 0.10139351338148117, 0.059277139604091644, 0.11997221410274506, 0.13707247376441956, 0.2636641263961792, 0.20125587284564972, 0.007973155938088894, 0.0446016862988472, 0.08331936597824097, 0.14321638643741608]"
F5,"[0.08774764835834503, 0.008523324504494667, 0.15020114183425903, 0.08679868280887604, 0.1359855681657791, 0.24004529416561127, 0.049503348767757416, 0.19654718041419983, 0.10792664438486099, 0.08595526218414307, 0.12034959346055984, 0.1844145953655243, 0.09714089334011078, 0.1081719845533371, 0.1373809427022934, 0.209135040640831, 0.061475783586502075, 0.006919867359101772, 0.07241220027208328, 0.1362074762582779, 0.1971353143453598, 0.1840352714061737, 0.014175199903547764, 0.1946040540933609, 0.05282121151685715, 0.0686686560511589, 0.012672996148467064, 0.09117977321147919, 0.22523516416549683, 0.09802663326263428, 0.08346821367740631, 0.15588466823101044, 0.08301077783107758, 0.10242520272731781, 0.021542709320783615, 0.04853770136833191, 0.1172821968793869, 0.08173621445894241, 0.21450509130954742, 0.1464855819940567, 0.007223376072943211, 0.1550951600074768, 0.09490518271923065, 0.17320667207241058, 0.11084155738353729, 0.07104483246803284, 0.08149820566177368, 0.036717869341373444, 0.216704860329628, 0.2008039504289627, 0.018703969195485115, 0.1440252810716629, 0.06137409433722496, 0.15031559765338898, 0.1512109786272049, 0.10870516300201416, 0.018128151074051857, 0.031163841485977173, 0.14313636720180511, 0.007299041375517845, 0.08642228692770004, 0.17317183315753937, 0.185659259557724, 0.26551562547683716, 0.12373486906290054, 0.010902446694672108, 0.24566641449928284, 0.04380789399147034, 0.15712834894657135, 0.027632195502519608, 0.017488349229097366, 0.08438356220722198, 0.047959811985492706, 0.12117882817983627, 0.009821206331253052, 0.08790867775678635, 0.05926819145679474, 0.11977871507406235, 0.08913317322731018, 0.1906285136938095, 0.05452306196093559, 0.06913899630308151, 0.40138036012649536, 0.022459978237748146, 0.24999532103538513, 0.01523241400718689, 0.2439182698726654, 0.057964056730270386, 0.01751663349568844, 0.1207914799451828, 0.01712435483932495, 0.06063675135374069, 0.027748901396989822, 0.07879548519849777, 0.03690056502819061, 0.1517195999622345, 0.11452774703502655, 0.04871463030576706, 0.13396483659744263, 0.2162049114704132, 0.2314995676279068, 0.04858929291367531, 0.05528019741177559, 0.06785694509744644, 0.04498216137290001, 0.34248462319374084, 0.04874630644917488, 0.1296270489692688, 0.3281663954257965, 0.23227903246879578, 0.009594053961336613, 0.10576214641332626, 0.22930240631103516, 0.05616150051355362, 0.3440956771373749, 0.14118950068950653, 0.1887310892343521, 0.015801580622792244, 0.1416887640953064, 0.16440416872501373, 0.25876620411872864, 0.053914666175842285, 0.03696606308221817, 0.20586994290351868, 0.07983647286891937, 0.03563229367136955, 0.20834414660930634, 0.09435788542032242]"
F6,"[0.1761288195848465, 0.014072461985051632, 0.22779300808906555, 0.05940909683704376, 0.147558331489563, 0.06369015574455261, 0.06722692400217056, 0.21250709891319275, 0.04911307618021965, 0.16820503771305084, 0.03152995556592941, 0.10314259678125381, 0.20986692607402802, 0.11165036261081696, 0.005734161473810673, 0.04683782905340195, 0.15258446335792542, 0.017584213986992836, 0.136892631649971, 0.31190869212150574, 0.03317689150571823, 0.12455588579177856, 0.16913709044456482, 0.1442790925502777, 0.1957445591688156, 0.011250127106904984, 0.022537264972925186, 0.16419565677642822, 0.16400086879730225, 0.0889151394367218, 0.1372004747390747, 0.08592808246612549, 0.03665243089199066, 0.1787652224302292, 0.07895078510046005, 0.007272740360349417, 0.003311976557597518, 0.13879293203353882, 0.21409186720848083, 0.16340462863445282, 0.1015390157699585, 0.09039261937141418, 0.008104653097689152, 0.0010889694094657898, 0.14837585389614105, 0.11531524360179901, 0.18511585891246796, 0.05705069750547409, 0.03980562090873718, 0.009837454184889793, 0.05331959202885628, 0.014916610904037952, 0.05746842548251152, 0.15487414598464966, 0.14657248556613922, 0.395630806684494, 0.2153722643852234, 0.10259885340929031, 0.11945895850658417, 0.14205235242843628, 0.19853992760181427, 0.3188053369522095, 0.12120699137449265, 0.24109773337841034, 0.11092163622379303, 0.027993034571409225, 0.07851622998714447, 0.2869371175765991, 0.18951770663261414, 0.21197625994682312, 0.012720541097223759, 0.09068450331687927, 0.04094895347952843, 0.1526564508676529, 0.14973777532577515, 0.05499863624572754, 0.004791579209268093, 0.07808300107717514, 0.04869655892252922, 0.036772698163986206, 0.1492091566324234, 0.19628097116947174, 0.2873781621456146, 0.1602020114660263, 0.2614757716655731, 0.08433162420988083, 0.21623823046684265, 0.08878118544816971, 0.20784422755241394, 0.019352631643414497, 0.011326984502375126, 0.01104495208710432, 0.1074436604976654, 0.0076507986523211, 0.044716961681842804, 0.10320077836513519, 0.17025227844715118, 0.09850046783685684, 0.14537988603115082, 0.07395356893539429, 0.0813152864575386, 0.30202415585517883, 0.06515151262283325, 0.17367209494113922, 0.015667375177145004, 0.31021472811698914, 0.034674834460020065, 0.2551705539226532, 0.051132671535015106, 0.037766821682453156, 0.0005457017687149346, 0.3284672796726227, 0.09795135259628296, 0.026262620463967323, 0.3007109463214874, 0.006261300761252642, 0.15386322140693665, 0.11655654013156891, 0.015465941280126572, 0.10366185009479523, 0.1546991616487503, 0.17029394209384918, 0.17224083840847015, 0.001297981245443225, 0.06456225365400314, 0.042088959366083145, 0.09226468205451965, 0.054942138493061066]"
F7,"[0.17210447788238525, 0.026294080540537834, 0.0018127365037798882, 0.030035611242055893, 0.21295109391212463, 0.2391895055770874, 0.20382393896579742, 0.368034690618515, 0.41815218329429626, 0.2721717953681946, 0.13538400828838348, 0.23794956505298615, 0.34849971532821655, 0.2313406616449356, 0.24640750885009766, 0.1433899700641632, 0.2874241769313812, 0.38755589723587036, 0.1579628586769104, 0.3972468078136444, 0.12630029022693634, 0.09501819312572479, 0.41591352224349976, 0.12231689691543579, 0.2276022583246231, 0.10470428317785263, 0.10155923664569855, 0.009482595138251781, 0.052503690123558044, 0.1676151007413864, 0.09817840158939362, 0.13200747966766357, 0.2745313346385956, 0.15419901907444, 0.39564305543899536, 0.009647111408412457, 0.10737689584493637, 0.26181817054748535, 0.2446267157793045, 0.06881943345069885, 0.3137800097465515, 0.19692368805408478, 0.05045117437839508, 0.18307094275951385, 0.09570471942424774, 0.2913738191127777, 0.14102312922477722, 0.10215786844491959, 0.20479518175125122, 0.2144707590341568, 0.1290208101272583, 0.03467239812016487, 0.02637302689254284, 0.06421221792697906, 0.05324336513876915, 0.07049117237329483, 0.23823963105678558, 0.024641653522849083, 0.11901305615901947, 0.006011590827256441, 0.21114428341388702, 0.3485889732837677, 0.07574308663606644, 0.06107355281710625, 0.12067395448684692, 0.1806091070175171, 0.0073090349324047565, 0.14771200716495514, 0.08763715624809265, 0.13453389704227448, 0.038219254463911057, 0.43017783761024475, 0.00855414941906929, 0.21395942568778992, 0.2397983968257904, 0.04968466982245445, 0.10273250192403793, 0.11795400828123093, 0.11929287016391754, 0.09305452555418015, 0.02304917573928833, 0.3512635827064514, 0.08956658840179443, 0.0030846029985696077, 0.1655675768852234, 0.14662198722362518, 0.046088192611932755, 0.05626817047595978, 0.04393254965543747, 0.05013194680213928, 0.3300946354866028, 0.4211200475692749, 0.014550848864018917, 0.1248757541179657, 0.01951620727777481, 0.40389251708984375, 0.24908964335918427, 0.062459949404001236, 0.3829495906829834, 0.023836085572838783, 0.02803982049226761, 0.3327629268169403, 0.1663319617509842, 0.19677144289016724, 0.04112476855516434, 0.09948114305734634, 0.014798220247030258, 0.14090751111507416, 0.14563046395778656, 0.1622789204120636, 0.04777385666966438, 0.1603471338748932, 0.018708638846874237, 0.23536556959152222, 0.17723150551319122, 0.16278065741062164, 0.35373881459236145, 0.21861235797405243, 0.2548663020133972, 0.28322070837020874, 0.28376418352127075, 0.1652815192937851, 0.1790381669998169, 0.33041754364967346, 0.18959194421768188, 0.3660212755203247, 0.0141264908015728, 0.028979523107409477]"
F8,"[0.040319912135601044, 0.09106986224651337, 0.16001583635807037, 0.2844536304473877, 0.21234069764614105, 0.1123826801776886, 0.11825507134199142, 0.04343469813466072, 0.159161776304245, 0.10468553751707077, 0.22008800506591797, 0.4102061092853546, 0.11935506761074066, 0.21314692497253418, 0.08962774276733398, 0.024411339312791824, 0.12093501538038254, 0.2847216725349426, 0.2139073759317398, 0.08356662839651108, 0.15336163341999054, 0.13979342579841614, 0.4425257742404938, 0.10827229917049408, 0.05235607177019119, 0.32221391797065735, 0.031025636941194534, 0.19718872010707855, 0.03783711418509483, 0.07253972440958023, 0.5519617795944214, 0.18407776951789856, 0.2500287890434265, 0.07703986018896103, 0.09592429548501968, 0.3545086085796356, 0.27573540806770325, 0.18787287175655365, 0.17068305611610413, 0.019074397161602974, 0.16427341103553772, 0.11493892967700958, 0.2400037795305252, 0.3492094874382019, 0.2358311116695404, 0.12674112617969513, 0.440578818321228, 0.2710358500480652, 0.2262912392616272, 0.0930735245347023, 0.19560112059116364, 0.5720685124397278, 0.21392546594142914, 0.1505945771932602, 0.2092883139848709, 0.6723405718803406, 0.306680291891098, 0.24054819345474243, 0.08266656845808029, 0.09939639270305634, 0.07820668816566467, 0.39612436294555664, 0.036523859947919846, 0.2872127294540405, 0.28161028027534485, 0.015280515886843204, 0.0027449384797364473, 0.11750009655952454, 0.14235956966876984, 0.21093018352985382, 0.2445647269487381, 0.048589788377285004, 0.49090567231178284, 0.0954621210694313, 0.1775149554014206, 0.12779371440410614, 0.15601924061775208, 0.007792782038450241, 0.1487787365913391, 0.18940569460391998, 0.19803734123706818, 0.2447570264339447, 0.14674539864063263, 0.16228841245174408, 0.12994901835918427, 0.20507799088954926, 0.44590237736701965, 0.14168979227542877, 0.6335362792015076, 0.37708067893981934, 0.41338077187538147, 0.23910796642303467, 0.037488553673028946, 0.17169617116451263, 0.11606433987617493, 0.15666833519935608, 0.1614224761724472, 0.4928010106086731, 0.17712771892547607, 0.08643659204244614, 0.36571094393730164, 0.21716798841953278, 0.12550686299800873, 0.4028637707233429, 0.10504128783941269, 0.5018489360809326, 0.29999279975891113, 0.46176791191101074, 0.4172765016555786, 0.11931216716766357, 0.029781868681311607, 0.3847804367542267, 0.3406869173049927, 0.20733526349067688, 0.16942115128040314, 0.125322625041008, 0.12336795777082443, 0.058442965149879456, 0.05456092581152916, 0.03906119614839554, 0.15399672091007233, 0.17266316711902618, 0.2020084112882614, 0.5071508884429932, 0.18687567114830017, 0.14343814551830292, 0.47962507605552673, 0.25644946098327637]"
F9,"[0.05070794001221657, 0.12071073800325394, 0.08940064907073975, 0.03130491077899933, 0.0900278240442276, 0.05561371147632599, 0.15217603743076324, 0.12065667659044266, 0.22890393435955048, 0.0447416789829731, 0.1863253265619278, 0.15268217027187347, 0.0037195144686847925, 0.24148698151111603, 0.026140831410884857, 0.06810211390256882, 0.04518437385559082, 0.053408414125442505, 0.04390998184680939, 0.24105817079544067, 0.05232972651720047, 0.07371257245540619, 0.2503603398799896, 0.10661345720291138, 0.09221891313791275, 0.12314555794000626, 0.11770560592412949, 0.0035182468127459288, 0.15562139451503754, 0.09780452400445938, 0.18987783789634705, 0.021996771916747093, 0.11748524010181427, 0.0608908087015152, 0.022266121581196785, 0.026066530495882034, 0.1411140114068985, 0.011636107228696346, 0.02753029577434063, 0.11180979013442993, 0.1174127459526062, 0.06395779550075531, 0.21918688714504242, 0.031038500368595123, 0.14587968587875366, 0.02555924654006958, 0.1948971152305603, 0.09996972233057022, 0.05649177357554436, 0.2605375647544861, 0.1481354534626007, 0.19489504396915436, 0.09798530489206314, 0.026698093861341476, 0.22057706117630005, 0.15755923092365265, 0.3128248453140259, 0.26545268297195435, 0.17748486995697021, 0.09600045531988144, 0.03202538192272186, 0.15243543684482574, 0.04191572964191437, 0.08154018968343735, 0.07034353166818619, 0.007942502386868, 0.037114739418029785, 0.10615483671426773, 0.2763679027557373, 0.2324618101119995, 0.006516176275908947, 0.10214944928884506, 0.07387764006853104, 0.004991102498024702, 0.0549657829105854, 0.17216843366622925, 0.12922345101833344, 0.12828609347343445, 0.08654897660017014, 0.08930601924657822, 0.04143817350268364, 0.1736893653869629, 0.30350419878959656, 0.028083667159080505, 0.3766078054904938, 0.07346758246421814, 0.09567522257566452, 0.057263992726802826, 0.17565646767616272, 0.0426882803440094, 0.2993102967739105, 0.24517984688282013, 0.22686423361301422, 0.08986783772706985, 0.17414703965187073, 0.028678884729743004, 0.1608775407075882, 0.03772793710231781, 0.18667909502983093, 0.04235490784049034, 0.019683774560689926, 0.03058805875480175, 0.25318658351898193, 0.17155927419662476, 0.12507037818431854, 0.1346910148859024, 0.013143721967935562, 0.14789775013923645, 0.07453899830579758, 0.11094317585229874, 0.14349330961704254, 0.17886383831501007, 0.2790679931640625, 0.11596783250570297, 0.17827753722667694, 0.1757531315088272, 0.10797411948442459, 0.014615962281823158, 0.05363161116838455, 0.06541182100772858, 0.21829600632190704, 0.075876884162426, 0.06567838042974472, 0.11452740430831909, 0.03252771124243736, 0.04455657675862312, 0.07925669103860855, 0.16491098701953888]"
F10,"[0.10023696720600128, 0.168195903301239, 0.06574542075395584, 0.17716580629348755, 0.06884685158729553, 0.052423860877752304, 0.1328330934047699, 0.06890682131052017, 0.31297892332077026, 0.19393496215343475, 0.03628994897007942, 0.2648896872997284, 0.12548241019248962, 0.04417237639427185, 0.21250292658805847, 0.06629069149494171, 0.10893997550010681, 0.06657063215970993, 0.07114898413419724, 0.2385343313217163, 0.05631206929683685, 0.0784524530172348, 0.24163956940174103, 0.009371167048811913, 0.15141263604164124, 0.2523729205131531, 0.003283117199316621, 0.030130939558148384, 0.025578979402780533, 0.10975567251443863, 0.1896575689315796, 0.21180561184883118, 0.040511105209589005, 0.25888651609420776, 0.004512459971010685, 0.07584232091903687, 0.016700439155101776, 0.3524315655231476, 0.1485724300146103, 0.2152123600244522, 0.26716217398643494, 0.17885877192020416, 0.1521725356578827, 0.013196052983403206, 0.10950309038162231, 0.02783813327550888, 0.06372154504060745, 0.041596464812755585, 0.2962619662284851, 0.003327191574499011, 0.25566476583480835, 0.040404312312603, 0.02623206004500389, 0.1382753700017929, 0.14062239229679108, 0.15121373534202576, 0.11361060291528702, 0.2772756516933441, 0.033204901963472366, 0.13074661791324615, 0.1646808534860611, 0.11245614290237427, 0.13401725888252258, 0.0650998204946518, 0.03386497125029564, 0.011890295892953873, 0.18655920028686523, 0.19664309918880463, 0.01655672863125801, 0.02903752774000168, 0.2963443100452423, 0.2765538990497589, 0.11146537214517593, 0.12968501448631287, 0.09180893003940582, 0.03289598226547241, 0.1891222596168518, 0.018440553918480873, 0.04267158731818199, 0.13216863572597504, 0.05826510861515999, 0.22501221299171448, 0.11428965628147125, 0.15467816591262817, 0.2031775563955307, 0.09390837699174881, 0.22870361804962158, 0.01313147135078907, 0.06424947828054428, 0.04083197936415672, 0.05448023974895477, 0.30911338329315186, 0.032676417380571365, 0.04400956258177757, 0.12220051139593124, 0.053649719804525375, 0.24563667178153992, 0.04132552817463875, 0.22996650636196136, 0.1189538836479187, 0.05914076790213585, 0.2278311401605606, 0.006655195727944374, 0.04365115985274315, 0.2059660106897354, 0.2184622436761856, 0.17491696774959564, 0.2795742154121399, 0.23659303784370422, 0.2997070550918579, 0.040861643850803375, 0.2990226745605469, 0.2041795402765274, 0.20600298047065735, 0.15197941660881042, 0.19251933693885803, 0.017862914130091667, 0.21875134110450745, 0.04635343700647354, 0.25274431705474854, 0.21189458668231964, 0.13623109459877014, 0.14015640318393707, 0.15018892288208008, 0.23221348226070404, 0.18733467161655426, 0.18974827229976654, 0.006333266384899616]"
