feature,weight_list
F1,"[0.127490620693737, 0.20208289295049497, 0.049227405696565814, 0.36032219793957915, 0.2433219964674067, 0.19706403712696674, 0.26088749857157334, 0.3248504054954919, 0.08085604650583963, 0.019316846707293906, 0.44965124724812483, 0.06253726598792526, 0.100474602855091, 0.03648035449701783, 0.005849409157254738, 0.18707091539167173]"
F2,"[0.4588972317907576, 0.28221363825386936, 0.32970265887809636, 0.3765688985073986, 0.39299135098778876, 0.46308100447248796, 0.22991727885245908, 0.21146260767143582, 0.1914636717884411, 0.2992148500209325, 0.21315993893733323, 0.2009020662346576, 0.004536099249593674, 0.07934865245995062, 0.11208447751593228, 0.3777057801525409]"
F3,"[0.033713667714608334, 0.15987699680325412, 0.0022989219179821445, 0.1138450646305043, 0.22874870796834312, 0.09952525367587917, 0.17786067541064093, 0.2261705381327161, 0.3951213725209521, 0.09057892817876843, 0.2525387759138232, 0.1289316656144927, 0.5178519842306168, 0.11397698870755614, 0.0011503674508619099, 0.2253419553634873]"
F4,"[0.24956253237377893, 0.10859875590615374, 0.06834765529903734, 0.05056635458416518, 0.3255299157980129, 0.2797843560679555, 0.34476234946038525, 0.2805257273700948, 0.14353138504623794, 0.03117468166611829, 0.3630547554265006, 0.27517300539581685, 0.24680884452331378, 0.07996277730069068, 0.09175437600463578, 0.20883044601910258]"
F5,"[0.1007705616113577, 0.23491297716107956, 0.18537987573631998, 0.1821101328390989, 0.298823879118711, 0.21845261498242863, 0.07977853776600106, 0.13647932698354182, 0.20506150019751435, 0.19180196389386128, 0.051747623705567014, 0.19330853162502007, 0.5068637329065517, 0.08275376945402446, 0.06152748535013915, 0.1792270825187118]"
F6,"[0.009649788275907402, 0.30636959781218187, 0.4870318847287276, 0.19886353888317332, 0.27172119940798967, 0.301221347527565, 0.4175486350554035, 0.17173084121071056, 0.10637157630175989, 0.26415454833825197, 0.03631971098935092, 0.28823370627064177, 0.1562750523819533, 0.3448245145099148, 0.31709677457327684, 0.04960239850825246]"
F7,"[0.4439927262945123, 0.23132234068042482, 0.020288027405761206, 0.46569716909809766, 0.49308338006124997, 0.04533778997319975, 0.09623900823007359, 0.2608060408111775, 0.18221934175956195, 0.05799604658833048, 0.46836668997473463, 0.05065341747982621, 0.5701857523841561, 0.19364457417348152, 0.4172291146909588, 0.4512894839559205]"
F8,"[0.003030764220200227, 0.17590550786839948, 0.16579452718501636, 0.057344329665791956, 0.26573225371964776, 0.24962237485234906, 0.15353094770187586, 0.08815244347274447, 0.05940928734722465, 0.334331606675639, 0.14304881227077784, 0.4883253539080241, 0.3644004393228438, 0.11132945840996505, 0.36997337168937094, 0.14993734276151305]"
F9,"[0.4879478571441405, 0.35063903396443047, 0.3457607809160065, 0.11135221606466926, 0.056337781845679245, 0.23588108971861843, 0.05263400246080264, 0.2379411053243743, 0.033157383561106236, 0.3115776319098398, 0.7765235448633727, 0.28580649658789914, 0.08453889952406553, 0.13241131553968888, 0.004015033296320276, 0.4525405392904035]"
F10,"[0.24764773854229008, 0.035529354619547086, 0.0553454331852883, 0.4004904826287097, 0.11979031075827651, 0.1986793496310816, 0.2123644791164145, 0.40757306478689503, 0.3629973181747051, 0.11213491801166854, 0.09688006822805911, 0.20697817491098222, 0.3258374447320864, 0.18298212294171903, 0.18919344034064123, 0.21175180588942222]"
F11,"[0.16596178087514907, 0.008964476240863238, 0.4166043172733387, 0.3784698610862521, 0.37158707136342745, 0.27380821287921525, 0.3730110266255965, 0.08203848806793494, 0.23750095015743505, 0.06418964002513014, 0.02831465186000135, 0.07494668274311485, 0.030719881833736185, 0.17792868070392992, 0.22638468859252908, 0.3149268109141121]"
F12,"[0.12527871611625196, 0.22142608070576783, 0.18869200855500556, 0.20529181612447778, 0.014283118932628375, 0.15733939281649503, 0.1186817747433344, 0.21864090117015356, 0.03896167308114017, 0.1365386416914502, 0.17732688491295745, 0.22481918491445377, 0.02766858391123369, 0.10786085616764261, 0.0017442481393181292, 0.21006125105588633]"
F13,"[0.009167212961614747, 0.15800309966244153, 0.32305124945034475, 0.2840407679434283, 0.016207669967723534, 0.05196716331042721, 0.2397053889520444, 0.07751507949810654, 0.33213976659899846, 0.1300149121597239, 0.00875120166525682, 0.1859626979414905, 0.21410282642128725, 0.1746998245896091, 0.33676904204597374, 0.20001703958052483]"
