epoch,average_loss,average_val_loss
1,1550.56689453125,1616.1585693359375
2,1535.0706787109375,1612.5230712890625
3,1532.2791748046875,1609.3367919921875
4,1530.1851806640625,1606.97021484375
5,1528.4453125,1605.186279296875
6,1527.32763671875,1603.971435546875
7,1526.45947265625,1603.07958984375
8,1525.711181640625,1602.332763671875
9,1525.012939453125,1601.7305908203125
10,1524.3245849609375,1601.1795654296875
11,1523.6224365234375,1601.11328125
12,1523.206787109375,1600.333740234375
13,1522.4615478515625,1599.732177734375
14,1521.809326171875,1599.149169921875
15,1521.11279296875,1598.620361328125
16,1520.4752197265625,1598.086181640625
17,1519.7784423828125,1597.5191650390625
18,1519.1632080078125,1597.06396484375
19,1518.623046875,1596.605712890625
20,1518.0751953125,1596.1868896484375
21,1517.5906982421875,1595.8748779296875
22,1517.170654296875,1595.6075439453125
23,1516.801513671875,1595.4166259765625
