feature,feature_name,max_abs_weight_score
F2,feature_2,1.4572395086288452
F34,feature_35,1.2199307680130005
F55,feature_56,1.2083611488342285
F1,feature_1,1.1644229888916016
F67,feature_68,1.119450569152832
F13,feature_14,1.0582308769226074
F48,feature_49,1.0222158432006836
F64,feature_65,0.9392011165618896
F63,feature_64,0.9284754991531372
F15,feature_16,0.9028502702713013
F44,feature_45,0.9012633562088013
F28,feature_29,0.8851072192192078
F31,feature_32,0.8702908754348755
F9,feature_10,0.8699215650558472
F54,feature_55,0.8573957085609436
F42,feature_43,0.827228844165802
F10,feature_11,0.8226917386054993
F52,feature_53,0.8203494548797607
F18,feature_19,0.7939711213111877
F49,feature_50,0.7737063765525818
F36,feature_37,0.761536180973053
F37,feature_38,0.7596195340156555
F53,feature_54,0.7366741299629211
F60,feature_61,0.7276864647865295
F40,feature_41,0.7129155397415161
F32,feature_33,0.6992741823196411
F21,feature_22,0.6836052536964417
F14,feature_15,0.675419270992279
F62,feature_63,0.6656391620635986
F46,feature_47,0.662976861000061
F47,feature_48,0.6514739990234375
F19,feature_20,0.6446197032928467
F29,feature_30,0.6389340758323669
F59,feature_60,0.632537841796875
F35,feature_36,0.6317806839942932
F50,feature_51,0.6272867918014526
F25,feature_26,0.62593013048172
F39,feature_40,0.6247644424438477
F24,feature_25,0.6171215772628784
F23,feature_24,0.6083271503448486
F12,feature_13,0.5996988415718079
