feature,weight_list
F1,"[0.24302440881729126, 0.2433265596628189, 0.41405320167541504, 0.18874718248844147, 0.2121725231409073, 0.25945720076560974, 0.03650142252445221, 0.7563204765319824, 0.2426360845565796, 0.12564577162265778, 0.06342029571533203, 0.10021543502807617, 0.11025121808052063, 0.07863426953554153, 0.01278824731707573, 0.03390136733651161, 0.36493292450904846, 0.764336347579956, 0.3369453251361847, 0.2222834974527359, 0.31967613101005554, 0.38023820519447327, 0.10455441474914551, 0.10709588974714279, 0.3106003701686859, 0.3954378366470337, 0.4244013726711273, 0.1459532380104065, 0.4742557406425476, 0.13585108518600464, 0.10278623551130295, 0.10380765050649643, 0.17903831601142883, 0.19329479336738586, 0.13314980268478394, 0.32079368829727173, 0.03047868423163891, 0.10917642712593079, 0.11899027973413467, 0.20736205577850342, 0.7564189434051514, 0.18639659881591797, 0.019632354378700256, 0.5485666394233704, 0.21806588768959045, 0.06005077809095383, 0.3276725709438324, 0.407125860452652, 0.39916759729385376, 0.1276373416185379, 0.3286982476711273, 0.06956293433904648, 0.3886399567127228, 0.1787089854478836, 0.09900258481502533, 0.16185827553272247, 0.6377058029174805, 0.07244895398616791, 0.18927811086177826, 0.6704102158546448, 0.3271734416484833, 0.14249113202095032, 0.029050221666693687, 0.12914137542247772, 0.8159288763999939, 0.2451060563325882, 0.301384836435318, 0.06785176694393158, 0.0661894902586937, 0.6032639145851135, 0.3198695182800293, 0.1912154257297516, 0.9878041744232178, 0.9193525314331055, 0.09775640070438385, 0.13826066255569458, 0.4117835462093353, 0.2147955298423767, 0.04403642192482948, 0.15516701340675354, 0.15873374044895172, 0.37810105085372925, 0.1712483912706375, 0.1317402720451355, 0.1767585426568985, 0.03199492767453194, 0.16607274115085602, 0.16213658452033997, 0.38248512148857117, 0.0461900420486927, 0.10001970827579498, 0.47872576117515564, 0.03467132896184921, 0.47407934069633484, 0.16202053427696228, 0.22685661911964417, 0.2452135980129242, 0.2915974259376526, 0.12131459265947342, 0.4704919755458832, 0.04681575670838356, 0.4399348497390747, 0.08872736990451813, 0.3816683888435364, 0.004976639524102211, 0.04758460074663162, 0.1260228008031845, 0.45279619097709656, 0.21690219640731812, 0.09675242751836777, 0.28532931208610535, 0.07904825359582901, 0.0198283139616251, 0.07805880159139633, 0.21596938371658325, 0.2513531744480133, 0.13902458548545837, 0.10267838090658188, 0.10558977723121643, 0.5856114625930786, 0.384593665599823, 0.06989111006259918, 0.11794420331716537, 0.021337192505598068, 0.2831384241580963, 0.24513176083564758, 0.1939779669046402, 0.37583789229393005]"
F2,"[0.20111049711704254, 0.18716593086719513, 0.042153723537921906, 0.30201607942581177, 0.18503840267658234, 0.4856994152069092, 0.17487365007400513, 0.029689045622944832, 0.04606398940086365, 0.4167776107788086, 0.08824492245912552, 0.12013590335845947, 0.1631186604499817, 0.2693377435207367, 0.09732106328010559, 0.17362163960933685, 0.37941673398017883, 0.10844724625349045, 0.18415820598602295, 0.31788602471351624, 0.029392212629318237, 0.21872106194496155, 0.061291031539440155, 0.07818487286567688, 0.6071358919143677, 0.11679359525442123, 0.041760221123695374, 0.261617511510849, 0.01834738254547119, 0.18592515587806702, 0.16181282699108124, 0.25611451268196106, 0.11821945011615753, 0.8458083271980286, 0.06636617332696915, 0.11293292045593262, 0.13708040118217468, 0.20003467798233032, 0.28550630807876587, 0.21123215556144714, 0.18877479434013367, 0.12351883202791214, 0.334011435508728, 0.11899562925100327, 0.08111242949962616, 0.03973790258169174, 0.0373886376619339, 0.024674268439412117, 0.6312495470046997, 0.21720214188098907, 0.09535839408636093, 0.1712949573993683, 0.18642652034759521, 0.419505774974823, 0.0769939050078392, 0.19325383007526398, 0.12644413113594055, 0.3665386140346527, 0.3698989748954773, 0.024911902844905853, 0.14554746448993683, 0.08293455839157104, 0.0037265548016875982, 0.23240768909454346, 0.15930970013141632, 0.01773696579039097, 0.13651244342327118, 0.10161218792200089, 0.14877982437610626, 0.24021485447883606, 0.00018589866522233933, 0.13369040191173553, 0.010265695862472057, 0.020948439836502075, 0.04315289855003357, 0.11924972385168076, 0.12776386737823486, 0.33198291063308716, 0.21895168721675873, 0.13331501185894012, 0.03431452438235283, 0.15695303678512573, 0.05842984840273857, 0.3100869357585907, 0.21226252615451813, 0.007417643908411264, 0.541865885257721, 0.30482712388038635, 0.14405974745750427, 0.2676241993904114, 0.006588789168745279, 0.2034410685300827, 0.3259718716144562, 0.07255734503269196, 0.19283664226531982, 0.05526703968644142, 0.10814785212278366, 0.06525381654500961, 0.2551242709159851, 0.3613816797733307, 0.1267530471086502, 0.9408832788467407, 0.10242024064064026, 0.2105303853750229, 0.05657723546028137, 0.2500912547111511, 0.10668652504682541, 0.06459079682826996, 0.17401748895645142, 0.005489460192620754, 0.24393486976623535, 0.01103828102350235, 0.08240130543708801, 0.137966126203537, 0.18054969608783722, 0.24856625497341156, 0.18999077379703522, 0.13374364376068115, 0.2670166492462158, 0.1014198511838913, 0.3489658534526825, 0.06804961711168289, 0.27804672718048096, 0.06334841251373291, 0.11122380942106247, 0.19715267419815063, 0.07456882297992706, 0.03527593985199928]"
F3,"[0.027141006663441658, 0.001584558398462832, 0.1966067999601364, 0.05021318793296814, 0.014795063063502312, 0.024104060605168343, 0.00817202590405941, 0.03906446695327759, 0.02646028995513916, 0.22970116138458252, 0.013638170436024666, 0.015156328678131104, 0.0155654177069664, 0.06475996971130371, 0.011657040566205978, 0.05193255841732025, 0.001985757378861308, 0.037660639733076096, 0.037366729229688644, 0.004168995190411806, 0.0026596838142722845, 0.0029194592498242855, 0.09256988018751144, 0.028006697073578835, 0.0017436622874811292, 0.026549598202109337, 0.025173353031277657, 0.04836253076791763, 0.0016639111563563347, 0.06904681026935577, 0.09895579516887665, 0.016672417521476746, 0.06640319526195526, 0.03222890943288803, 0.015681838616728783, 0.01909474842250347, 0.03356156498193741, 0.026109682396054268, 0.1313260793685913, 0.048430055379867554, 0.0012369452742859721, 0.004304834641516209, 0.11215526610612869, 0.02554508112370968, 0.27423760294914246, 0.07250672578811646, 0.0005422904505394399, 0.01619359292089939, 0.13675850629806519, 0.10058432072401047, 0.07612192630767822, 0.1701747626066208, 0.04324053227901459, 0.10769529640674591, 0.004871210549026728, 0.008471263572573662, 0.18227729201316833, 0.04884616658091545, 0.0016545213293284178, 0.006298935040831566, 0.011143556796014309, 0.017162563279271126, 0.17298205196857452, 0.006230491679161787, 0.018300609663128853, 0.13206380605697632, 0.027121910825371742, 0.03301314264535904, 0.0092437993735075, 0.00805911049246788, 0.07472936809062958, 0.14671924710273743, 0.052042003720998764, 0.005900561809539795, 0.008558656089007854, 0.0032802242785692215, 0.02943398989737034, 0.012816160917282104, 0.0016641105758026242, 0.008054854348301888, 0.07522071152925491, 0.08248448371887207, 0.005222389940172434, 0.0876910462975502, 0.03426554426550865, 0.11466675996780396, 0.2322750687599182, 0.024562228471040726, 0.007512818556278944, 0.1379001885652542, 0.006054601166397333, 0.10629554837942123, 0.08899693936109543, 0.03466995805501938, 0.06565481424331665, 0.12688037753105164, 0.021747468039393425, 0.003973622340708971, 0.0049889725632965565, 0.08203589171171188, 0.014458335004746914, 0.007104820106178522, 0.07975073158740997, 0.11211851984262466, 0.0001248235785169527, 0.029968246817588806, 0.022734474390745163, 0.12460978329181671, 0.002818151842802763, 0.0016878510359674692, 0.06856679916381836, 0.04175667092204094, 0.017409252002835274, 0.016840100288391113, 0.019816085696220398, 0.12711262702941895, 0.0775688886642456, 0.12288527190685272, 0.009321104735136032, 0.019953440874814987, 0.12559323012828827, 0.056627701967954636, 0.009925339370965958, 0.013927624560892582, 0.06854750216007233, 0.0588982030749321, 0.06883218884468079, 0.0013061334611847997]"
F4,"[0.06157522276043892, 0.03128720819950104, 0.019395019859075546, 0.006126453634351492, 0.018327344208955765, 0.012495117262005806, 0.005331724416464567, 0.06256778538227081, 0.030686480924487114, 0.004937902092933655, 0.0018558793235570192, 0.011074739508330822, 0.03639766573905945, 0.04337533935904503, 0.03562022000551224, 0.009253310970962048, 0.0295450147241354, 0.013615211471915245, 0.02299456112086773, 0.0001749079820001498, 0.12073837965726852, 0.03855154290795326, 0.00873450469225645, 0.004677655175328255, 0.005839953199028969, 0.09222348034381866, 0.030252795666456223, 0.06637130677700043, 0.04916784539818764, 0.006184442900121212, 0.01441831886768341, 0.04690217226743698, 0.0038313898257911205, 0.02868463471531868, 0.0034030028618872166, 0.03459014743566513, 0.01690821908414364, 0.002642505569383502, 0.00926761794835329, 0.002528890036046505, 0.031533654779195786, 0.036878764629364014, 0.0016340948641300201, 0.04663762077689171, 0.05840856209397316, 0.0013460112968459725, 0.005998284090310335, 0.021642934530973434, 0.003991007339209318, 0.018819838762283325, 0.008556575514376163, 0.07976052910089493, 0.07646583765745163, 0.02511112205684185, 0.11351533979177475, 0.009418679401278496, 0.005341820418834686, 0.0010062312940135598, 0.010218281298875809, 0.028350025415420532, 0.02404625341296196, 0.01417558267712593, 0.12772049009799957, 0.0245907511562109, 0.02606615051627159, 0.004170779138803482, 0.03255163133144379, 0.0015239607309922576, 0.007092497777193785, 0.007858279161155224, 0.017938705161213875, 0.000990709406323731, 0.028922973200678825, 0.03766684606671333, 0.007691005244851112, 0.007130671292543411, 0.09736141562461853, 0.0036175516434013844, 0.007095895241945982, 0.004832269158214331, 0.005519349593669176, 0.013285280205309391, 0.02182425558567047, 0.08190181106328964, 0.025974923744797707, 0.0016658181557431817, 0.026018615812063217, 0.07846999913454056, 0.004953884519636631, 0.00562154920771718, 0.005006107967346907, 0.006851035635918379, 0.06439328193664551, 0.0378413200378418, 0.0035567551385611296, 0.01719035394489765, 0.07688901573419571, 0.03613986074924469, 0.04041718319058418, 0.02359059639275074, 0.028412094339728355, 0.0072880396619439125, 0.011974559165537357, 0.03948722779750824, 0.042144373059272766, 0.021017536520957947, 0.000859099964145571, 0.0684739351272583, 0.0734480619430542, 0.005361564457416534, 0.12105394154787064, 0.004575410857796669, 0.0060538072139024734, 0.008248801343142986, 0.031671907752752304, 0.08053785562515259, 0.015116305090487003, 0.10404641926288605, 0.02031785063445568, 0.0026240157894790173, 0.0388166643679142, 0.00981272291392088, 0.0018032274674624205, 0.01497077476233244, 0.009440846741199493, 0.05795934051275253, 0.050244104117155075, 0.00917480792850256]"
F5,"[0.06990163773298264, 0.1221039891242981, 0.014560176990926266, 0.15064622461795807, 0.32996875047683716, 0.04962937906384468, 0.10552635788917542, 0.12963388860225677, 0.004310243763029575, 0.17443570494651794, 0.035748451948165894, 0.051071420311927795, 0.21107007563114166, 0.2348252683877945, 0.33647388219833374, 0.01780617982149124, 0.06915455311536789, 0.15976306796073914, 0.13381019234657288, 0.027760887518525124, 0.02616274356842041, 0.16432832181453705, 0.08767665922641754, 0.059728000313043594, 0.00783630646765232, 0.029064401984214783, 0.03906143456697464, 0.09355475753545761, 0.5127831697463989, 0.006384009495377541, 0.12434674054384232, 0.09710759669542313, 0.06735359132289886, 0.01730179972946644, 0.03876999393105507, 0.042873814702034, 0.04012095183134079, 0.033630724996328354, 0.28338876366615295, 0.1340707242488861, 0.20917530357837677, 0.010150570422410965, 0.0033207363449037075, 0.06003853306174278, 0.201260507106781, 0.10081944614648819, 0.5183067321777344, 0.032470155507326126, 0.49986639618873596, 0.08854019641876221, 0.3647753894329071, 0.17481184005737305, 0.00289848237298429, 0.34400245547294617, 0.21709416806697845, 0.1664225310087204, 0.03658425807952881, 0.042376432567834854, 0.04291535168886185, 0.22178174555301666, 0.023504456505179405, 0.1278529018163681, 0.18869434297084808, 0.062094490975141525, 0.47817912697792053, 0.046559467911720276, 0.251621812582016, 0.13337662816047668, 0.08892229199409485, 0.08897686004638672, 0.06587430089712143, 0.17795762419700623, 0.13420550525188446, 0.438343346118927, 0.16193309426307678, 0.03712473064661026, 0.14167223870754242, 0.1463785022497177, 0.045518357306718826, 0.16675862669944763, 0.12114690989255905, 0.07504299283027649, 0.16136567294597626, 0.19215895235538483, 0.006257682107388973, 0.21346887946128845, 0.016087191179394722, 0.09429115056991577, 0.003027083817869425, 0.03604774922132492, 0.24575601518154144, 0.110533706843853, 0.08225323259830475, 0.05798856541514397, 0.08585596829652786, 0.0174937192350626, 0.20554065704345703, 0.3181989789009094, 0.10598057508468628, 0.35421764850616455, 0.05380313843488693, 0.08415437489748001, 0.05480044335126877, 0.05562864989042282, 0.10578248649835587, 0.017952242866158485, 0.14381887018680573, 0.1298396736383438, 0.09290812909603119, 0.17761898040771484, 0.24405178427696228, 0.08588271588087082, 0.1603156477212906, 0.013675658963620663, 0.019630014896392822, 0.10254088789224625, 0.03502820432186127, 0.15199334919452667, 0.19262979924678802, 0.018748486414551735, 0.03505880758166313, 0.019755486398935318, 0.1754915565252304, 0.02885986492037773, 0.13744555413722992, 0.24226966500282288, 0.16700132191181183, 0.16632919013500214]"
F6,"[0.2194877713918686, 0.12213890254497528, 0.08329743146896362, 0.13877828419208527, 0.15333005785942078, 0.090608149766922, 0.07490909099578857, 0.11160944402217865, 0.03807985410094261, 0.1584915816783905, 0.054792363196611404, 0.003578752977773547, 0.10756289213895798, 0.35827237367630005, 0.08711738884449005, 0.05621938779950142, 0.20399130880832672, 0.038952674716711044, 0.03278888016939163, 0.05816490203142166, 0.22932477295398712, 0.17427480220794678, 0.16486504673957825, 0.0756269171833992, 0.05583067238330841, 0.01546730287373066, 0.1661815196275711, 0.14164292812347412, 0.4940311908721924, 0.10108830034732819, 0.2969488203525543, 0.17639555037021637, 0.11073561012744904, 0.03835483640432358, 0.016202881932258606, 0.29960113763809204, 0.13746295869350433, 0.17990820109844208, 0.05569769814610481, 0.13380654156208038, 0.5062986016273499, 0.35407352447509766, 0.005732319783419371, 0.2614319324493408, 0.12033131718635559, 0.0518651157617569, 0.08577121794223785, 0.031627532094717026, 0.0371963195502758, 0.18091273307800293, 0.1627027541399002, 0.21274125576019287, 0.07211483269929886, 0.0008079794351942837, 0.022337039932608604, 0.15822859108448029, 0.09127110987901688, 0.13894489407539368, 0.08751273900270462, 0.059896133840084076, 0.004985777661204338, 0.15099702775478363, 0.5117529630661011, 0.17650990188121796, 0.20180387794971466, 0.31089580059051514, 0.16017891466617584, 0.07965929061174393, 0.04763143137097359, 0.01581205427646637, 0.07095770537853241, 0.04812066629528999, 0.22261136770248413, 0.14717696607112885, 0.0362134650349617, 0.09855227172374725, 0.3147992193698883, 0.10359589755535126, 0.09923458099365234, 0.05917074903845787, 0.057350270450115204, 0.19265103340148926, 0.21715503931045532, 0.05229596421122551, 0.07195723056793213, 0.40532147884368896, 0.203050434589386, 0.09157884865999222, 0.08623738586902618, 0.0008072518976405263, 0.012504957616329193, 0.07693738490343094, 0.04652886465191841, 0.2714231312274933, 0.14310342073440552, 0.3211349546909332, 0.0644877701997757, 0.24046240746974945, 0.2827913463115692, 0.287982702255249, 0.02916509285569191, 0.01795334182679653, 0.012139611877501011, 0.14536015689373016, 0.09350661188364029, 0.08026980608701706, 0.3052786886692047, 0.18109288811683655, 0.2268037497997284, 0.028673656284809113, 0.38668134808540344, 0.021119017153978348, 0.010441936552524567, 0.15271800756454468, 0.013526877388358116, 0.0892346203327179, 0.029291559010744095, 0.429740846157074, 0.09685062617063522, 0.05731330066919327, 0.1313066929578781, 0.150579035282135, 0.05785193294286728, 0.1898725926876068, 0.3969409465789795, 0.42471805214881897, 0.12739160656929016, 0.07379890978336334]"
F7,"[0.08294464647769928, 0.07582356035709381, 0.2868441939353943, 0.12722481787204742, 0.3729858100414276, 0.2887958586215973, 0.21242733299732208, 0.24599498510360718, 0.13123419880867004, 0.004117509815841913, 0.057190895080566406, 0.028225524351000786, 0.13157011568546295, 0.2712727189064026, 0.018749013543128967, 0.5384104251861572, 0.15986381471157074, 0.043180447071790695, 0.1544037014245987, 0.08452767878770828, 0.18825115263462067, 0.10472594201564789, 0.2244235873222351, 0.0008204788318835199, 0.04226967319846153, 0.004991211928427219, 0.28919297456741333, 0.0669642984867096, 0.0718860924243927, 0.5456311106681824, 0.2211853414773941, 0.1370539516210556, 0.0820465013384819, 0.12678906321525574, 0.31588906049728394, 0.0703492984175682, 0.4377382695674896, 0.07737753540277481, 0.038927074521780014, 0.06091282144188881, 0.14960099756717682, 0.21266083419322968, 0.33080407977104187, 0.20305690169334412, 0.16495467722415924, 0.09220639616250992, 0.09620388597249985, 0.19810107350349426, 0.1009540930390358, 0.22934505343437195, 0.08391200006008148, 0.10818807780742645, 0.16562426090240479, 0.37994080781936646, 0.20234723389148712, 0.128116175532341, 0.1586790531873703, 0.21667614579200745, 0.007546926848590374, 0.3108745515346527, 0.13088004291057587, 0.15591439604759216, 0.029809435829520226, 0.05811619386076927, 0.09915749728679657, 0.01766899600625038, 0.22478628158569336, 0.1699947863817215, 0.06552289426326752, 0.13200928270816803, 0.2453412413597107, 0.014665198512375355, 0.2266494184732437, 0.07654964178800583, 0.118910051882267, 0.22764581441879272, 0.3729194700717926, 0.11168485879898071, 0.013195503503084183, 0.06624763458967209, 0.3072424530982971, 0.21109464764595032, 0.26055416464805603, 0.3934326767921448, 0.141756072640419, 0.11047904938459396, 0.024517729878425598, 0.2873786985874176, 0.39808303117752075, 0.01993720233440399, 0.04474809765815735, 0.33041420578956604, 0.20281195640563965, 0.09898591786623001, 0.02976851724088192, 0.07912550121545792, 0.2085927426815033, 0.024009818211197853, 0.06729196757078171, 0.1302495151758194, 0.023744843900203705, 0.25468215346336365, 0.03377123549580574, 0.08663360029459, 0.3272799849510193, 0.01578029803931713, 0.09908069670200348, 0.07070714980363846, 0.23241585493087769, 0.1935158222913742, 0.0518936887383461, 0.0249092448502779, 0.13261912763118744, 0.00934845581650734, 0.057979777455329895, 0.26288580894470215, 0.05138152092695236, 0.08576671779155731, 0.23536555469036102, 0.018503202125430107, 0.33369147777557373, 0.5393907427787781, 0.1678275763988495, 0.1114257201552391, 0.3994055986404419, 0.17757506668567657, 0.025532087311148643, 0.00787077285349369]"
F8,"[0.02880706451833248, 0.33591213822364807, 0.064467653632164, 0.2441648691892624, 0.09962387382984161, 0.18445122241973877, 0.1170317754149437, 0.71455317735672, 0.10913857817649841, 0.17125676572322845, 0.3287580609321594, 0.013227196410298347, 0.07292339205741882, 0.05150493606925011, 0.05485212430357933, 0.037945251911878586, 0.4882989823818207, 0.15200380980968475, 0.036379169672727585, 0.10363815724849701, 0.24437576532363892, 0.12024978548288345, 0.02754361741244793, 0.18608558177947998, 0.1188964992761612, 0.13713625073432922, 0.020426908507943153, 0.04610341042280197, 0.023236345499753952, 0.005616564769297838, 0.06417164951562881, 0.053291380405426025, 0.27826693654060364, 0.05475165322422981, 0.07141736894845963, 0.14277252554893494, 0.14710503816604614, 0.20863153040409088, 0.14731454849243164, 0.20280805230140686, 0.23418009281158447, 0.4450569152832031, 0.09688244014978409, 0.03924107551574707, 0.04218326508998871, 0.14096227288246155, 0.06673038005828857, 0.19383123517036438, 0.0007631834014318883, 0.1669277399778366, 0.0437137633562088, 0.06074964627623558, 0.09287336468696594, 0.5660524368286133, 0.0034045891370624304, 0.28865814208984375, 0.11949245631694794, 0.3345318138599396, 0.05969684198498726, 0.3038690686225891, 0.36597514152526855, 0.04566290229558945, 0.1755557805299759, 0.14055246114730835, 0.20598763227462769, 0.1589738130569458, 0.2128923535346985, 0.11177446693181992, 0.06619672477245331, 0.1000138446688652, 0.1918126344680786, 0.05840510502457619, 0.11432724446058273, 0.13058888912200928, 0.04338497295975685, 0.3528999388217926, 0.06053426116704941, 0.27289918065071106, 0.09674734622240067, 0.06193030998110771, 0.09427940845489502, 0.4037710130214691, 0.6429473161697388, 0.03794582188129425, 0.06051225587725639, 0.3068752884864807, 0.2556721270084381, 0.1283983439207077, 0.0032706274650990963, 0.09489885717630386, 0.09307866543531418, 0.10611261427402496, 0.05365400388836861, 0.16929401457309723, 0.38862472772598267, 0.3114224970340729, 0.09940941631793976, 0.36218950152397156, 0.10480174422264099, 0.06278488785028458, 0.04077664390206337, 0.04151558876037598, 0.15985101461410522, 0.09355108439922333, 0.5976918935775757, 0.4240284562110901, 0.12309829890727997, 0.4114585816860199, 0.42573386430740356, 0.11021225154399872, 0.2528490424156189, 0.03604290261864662, 0.01632094755768776, 0.07445421069860458, 0.1187339499592781, 0.0644262507557869, 0.1674305945634842, 0.16292546689510345, 0.166995570063591, 0.21156588196754456, 0.013134798035025597, 0.010476297698915005, 0.06547117978334427, 0.04354396089911461, 0.010411961935460567, 0.03074181266129017, 0.06714563816785812, 0.18407508730888367]"
F9,"[0.2772808074951172, 0.06066720560193062, 0.13732478022575378, 0.020360054448246956, 0.03242191672325134, 0.008555539883673191, 0.18316319584846497, 0.29337555170059204, 0.08903436362743378, 0.08847963064908981, 0.1115259900689125, 0.007426938507705927, 0.4262399971485138, 0.031339798122644424, 0.8646419048309326, 0.1982821375131607, 0.04013025388121605, 0.012740634381771088, 0.2165699303150177, 0.17751239240169525, 0.019256629049777985, 0.023207806050777435, 0.35301312804222107, 0.13598661124706268, 0.1370343118906021, 0.18403896689414978, 0.2572880685329437, 0.8033795952796936, 0.061606019735336304, 0.16377140581607819, 0.054851338267326355, 0.0806831493973732, 0.22484217584133148, 0.07051628082990646, 0.04343739151954651, 0.05245976895093918, 0.18384802341461182, 0.006053713615983725, 0.02970634028315544, 0.2811620235443115, 0.11857534199953079, 0.7059052586555481, 0.46051326394081116, 0.09951472282409668, 0.1429246962070465, 0.05824598670005798, 0.12953144311904907, 0.09357631206512451, 0.005755485966801643, 0.14900816977024078, 0.00978770013898611, 0.017084816470742226, 0.06153209134936333, 0.3725133240222931, 0.32351621985435486, 0.20981308817863464, 0.10793648660182953, 0.35999536514282227, 0.13875584304332733, 0.07654710114002228, 0.22551526129245758, 0.10925089567899704, 0.10501182824373245, 0.032853856682777405, 0.18024250864982605, 0.3576921224594116, 0.027149399742484093, 0.32656773924827576, 0.3435368537902832, 0.09282202273607254, 0.035646796226501465, 0.1286614090204239, 0.04890962317585945, 0.0030732140876352787, 0.1052563264966011, 0.2144092321395874, 0.19551219046115875, 0.016118431463837624, 0.1477598249912262, 0.33314618468284607, 0.30184030532836914, 0.1086425632238388, 0.22639380395412445, 0.10185316950082779, 0.029041195288300514, 0.14728686213493347, 0.007576247677206993, 0.05586778372526169, 0.16704869270324707, 0.07044804096221924, 0.054221540689468384, 0.009270334616303444, 0.01870422065258026, 0.08422244340181351, 0.07949934899806976, 0.29570743441581726, 0.10971526056528091, 0.04695954918861389, 0.11880750954151154, 0.30471280217170715, 0.1501120775938034, 0.15260504186153412, 0.15240173041820526, 0.04820585250854492, 0.16242918372154236, 0.38438552618026733, 0.0739998146891594, 0.04323022440075874, 0.05187434330582619, 0.10940047353506088, 0.2598085105419159, 0.166959747672081, 0.2293097823858261, 0.10755740851163864, 0.06358429044485092, 0.13876000046730042, 0.05722460523247719, 0.08834651857614517, 0.06157965585589409, 0.19368769228458405, 0.03942111134529114, 0.13592363893985748, 0.0399613119661808, 0.08597921580076218, 0.0678715780377388, 0.11810541898012161, 0.10321961343288422, 0.4791986346244812]"
F10,"[0.32335537672042847, 0.07488065212965012, 0.2614147365093231, 0.013991971500217915, 0.1277710348367691, 0.18273797631263733, 0.026587868109345436, 0.09903030097484589, 0.2277032881975174, 0.29009103775024414, 0.04256885126233101, 0.2989709675312042, 0.3490840494632721, 0.21173827350139618, 0.17875969409942627, 0.7334194183349609, 0.6388075947761536, 0.2046717256307602, 0.33100107312202454, 0.2247755229473114, 0.0682753324508667, 0.06549808382987976, 0.09482632577419281, 0.07397355884313583, 0.4892368018627167, 0.06302634626626968, 0.0929771289229393, 0.009827425703406334, 0.31059730052948, 0.12702704966068268, 0.07447890937328339, 0.01172669231891632, 0.004719025921076536, 0.0906662866473198, 0.46369436383247375, 0.03780527412891388, 0.18425782024860382, 0.061952367424964905, 0.022186698392033577, 0.12493062764406204, 0.3403867185115814, 0.1939758062362671, 0.07620838284492493, 0.460606187582016, 0.054072123020887375, 0.176505446434021, 0.500726580619812, 0.11210330575704575, 0.30531442165374756, 0.20429803431034088, 0.12051746994256973, 0.5703778266906738, 0.22998742759227753, 0.003236655378714204, 0.007344579789787531, 0.5296242833137512, 0.10883667320013046, 0.07579351216554642, 0.19314876198768616, 0.2405543327331543, 0.096319280564785, 0.09835449606180191, 0.24013963341712952, 0.1079888790845871, 0.07082241773605347, 0.026172157377004623, 0.021683823317289352, 0.21911261975765228, 0.020735612139105797, 0.14761866629123688, 0.18533991277217865, 0.5688759088516235, 0.6449236273765564, 0.05253906920552254, 0.09358510375022888, 0.33994877338409424, 0.11492649465799332, 0.13451701402664185, 0.02343987673521042, 0.10794690996408463, 0.03710268437862396, 0.1528751254081726, 0.12807334959506989, 0.061265699565410614, 0.17240199446678162, 0.018628211691975594, 0.13292919099330902, 0.149696484208107, 0.45723995566368103, 0.16134393215179443, 0.08545885235071182, 0.6156007051467896, 0.06591702252626419, 0.19308559596538544, 0.0030810730531811714, 0.1399335116147995, 0.0019250588957220316, 0.3965488374233246, 0.11146269738674164, 0.32163774967193604, 0.05099126324057579, 0.04038925841450691, 0.2440875917673111, 0.0050603910349309444, 0.4856986999511719, 0.47555941343307495, 0.4547933042049408, 0.05798890441656113, 0.5040555596351624, 0.04454634711146355, 0.06298431009054184, 0.07031329721212387, 0.4742285907268524, 0.09501094371080399, 0.18591538071632385, 0.5605090856552124, 0.1135273203253746, 0.1947050839662552, 0.052802808582782745, 0.5063345432281494, 0.0678495392203331, 0.009736250154674053, 0.17172715067863464, 0.01941831037402153, 0.09434235841035843, 0.08650738000869751, 0.20697949826717377, 0.28039035201072693]"
