feature,feature_name,max_abs_weight_score
F67,feature_68,1.2157989740371704
F2,feature_2,1.2027653455734253
F1,feature_1,0.9996781945228577
F31,feature_32,0.9809005856513977
F54,feature_55,0.9464377164840698
F38,feature_39,0.9348940253257751
F50,feature_51,0.9159868359565735
F7,feature_8,0.913580060005188
F10,feature_11,0.9126284718513489
F44,feature_45,0.9070237278938293
F47,feature_48,0.8730995059013367
F63,feature_64,0.8030956983566284
F24,feature_25,0.7994844913482666
F15,feature_16,0.7869479656219482
F65,feature_66,0.7864062190055847
F53,feature_54,0.7845736742019653
F18,feature_19,0.7814526557922363
F60,feature_61,0.7801428437232971
F55,feature_56,0.7704019546508789
F28,feature_29,0.7248961329460144
F64,feature_65,0.7200490832328796
F48,feature_49,0.7153159976005554
F13,feature_14,0.71241694688797
F41,feature_42,0.7010059952735901
F57,feature_58,0.6996205449104309
F37,feature_38,0.6825254559516907
F59,feature_60,0.6806521415710449
F36,feature_37,0.6753175854682922
F35,feature_36,0.662428081035614
F11,feature_12,0.6612640619277954
F32,feature_33,0.6556310057640076
F6,feature_7,0.6413178443908691
F8,feature_9,0.6306921243667603
F16,feature_17,0.6276513934135437
F42,feature_43,0.6250972151756287
F61,feature_62,0.621664822101593
F46,feature_47,0.6177614331245422
F49,feature_50,0.6168766617774963
F21,feature_22,0.6130962371826172
F34,feature_35,0.5979027152061462
F9,feature_10,0.5954959392547607
