feature,feature_name,max_abs_weight_score
F1,feature_1,1.4724971055984497
F54,feature_55,1.413677453994751
F2,feature_2,1.1150356531143188
F52,feature_53,0.9926751255989075
F63,feature_64,0.9514386653900146
F31,feature_32,0.9016467928886414
F50,feature_51,0.89482182264328
F7,feature_8,0.8759316802024841
F61,feature_62,0.8435729742050171
F39,feature_40,0.8166170716285706
F56,feature_57,0.8080388307571411
F40,feature_41,0.8048630356788635
F67,feature_68,0.8030044436454773
F47,feature_48,0.7733796238899231
