feature,feature_name,max_abs_weight_score
F2,feature_2,1.3599876165390015
F67,feature_68,1.157548189163208
F13,feature_14,1.10335111618042
F50,feature_51,1.0264133214950562
F1,feature_1,1.0224422216415405
F51,feature_52,0.9347218871116638
F28,feature_29,0.8824226260185242
F18,feature_19,0.8411999344825745
F10,feature_11,0.8382527828216553
F25,feature_26,0.8365190625190735
F38,feature_39,0.8202117085456848
F44,feature_45,0.7921360731124878
F54,feature_55,0.7582279443740845
F31,feature_32,0.6926267743110657
F20,feature_21,0.6857917904853821
F46,feature_47,0.683897852897644
F60,feature_61,0.6743859648704529
F22,feature_23,0.6683448553085327
F39,feature_40,0.6574200987815857
F42,feature_43,0.6542296409606934
F7,feature_8,0.6529175043106079
F57,feature_58,0.6526031494140625
F8,feature_9,0.645103394985199
F62,feature_63,0.6399499773979187
F5,feature_6,0.6384801268577576
F27,feature_28,0.6353664398193359
F63,feature_64,0.6277963519096375
F55,feature_56,0.62308669090271
F11,feature_12,0.6223348379135132
F64,feature_65,0.6160988807678223
F32,feature_33,0.6135929226875305
F48,feature_49,0.6128515601158142
F14,feature_15,0.6127749085426331
F56,feature_57,0.6119863390922546
F36,feature_37,0.6045135259628296
F65,feature_66,0.59175044298172
F53,feature_54,0.5875833034515381
F61,feature_62,0.5836442708969116
F59,feature_60,0.5790077447891235
F52,feature_53,0.5702972412109375
F12,feature_13,0.567924976348877
