feature,weight_list
F1,"[0.2894982695579529, 0.06980430334806442, 0.23101598024368286, 0.19938749074935913, 0.7010008692741394, 0.06659656763076782, 0.2647319734096527, 0.1824936717748642, 0.16521506011486053, 0.061913929879665375, 0.2744525969028473, 0.1259838044643402, 0.6180205941200256, 0.16351476311683655, 0.9180737137794495, 0.38594746589660645, 0.33415690064430237, 0.1435224860906601, 0.2229396104812622, 0.5825595855712891, 0.07166314870119095, 0.14325283467769623, 0.12967762351036072, 0.10003472119569778, 0.2811266779899597, 0.06917469948530197, 0.676450252532959, 0.02857629396021366, 0.003648092271760106, 0.2299104779958725, 0.10696776956319809, 0.05596208944916725, 0.15428109467029572, 0.1365979015827179, 0.19264569878578186, 0.06000494956970215, 0.11400018632411957, 0.060696229338645935, 0.48398417234420776, 0.015935881063342094, 0.007353056687861681, 0.43188637495040894, 0.28593093156814575, 0.22521308064460754, 0.04877020791172981, 0.017177490517497063, 0.004325493238866329, 0.16316251456737518, 0.43996477127075195, 0.00014987922622822225, 0.01868297904729843, 0.11807068437337875, 0.06276976317167282, 0.6841411590576172, 0.1690368950366974, 0.10808871686458588, 0.11604775488376617, 0.055487196892499924, 0.03197766840457916, 0.0019065500237047672, 0.01761653460562229, 0.08114247769117355, 0.4114246070384979, 0.23710551857948303, 0.04721081256866455, 0.24315862357616425, 0.03603178262710571, 0.11360210925340652, 0.6949802041053772, 0.08504050225019455, 0.028856920078396797, 0.06251946091651917, 0.08645731955766678, 0.009946291334927082, 0.040320225059986115, 0.002794686472043395, 0.03656677156686783, 0.2102573662996292, 0.20488744974136353, 0.2542284429073334, 0.301907479763031, 0.34595054388046265, 0.2149576097726822, 0.33668607473373413, 0.20255641639232635, 0.033259473741054535, 0.5696218609809875, 0.26627299189567566, 0.054488655179739, 0.1444656252861023, 0.22291132807731628, 0.014886471442878246, 0.15154144167900085, 0.03872685134410858, 0.3848211467266083, 0.3001895546913147, 0.7084752917289734, 0.21875691413879395, 0.5506059527397156, 0.0530831404030323, 0.038839083164930344, 0.2649417221546173, 0.32400500774383545, 0.07046159356832504, 0.10230804979801178, 0.10495840758085251, 0.06180392578244209, 0.32660558819770813, 0.046856578439474106, 0.5555739998817444, 0.47405293583869934, 0.07348376512527466, 0.32925280928611755, 0.25847989320755005, 0.12088814377784729, 0.10458435118198395, 0.25276556611061096, 0.9481223225593567, 0.5029546022415161, 0.20565201342105865, 0.01433847937732935, 0.03630082681775093, 0.5193045139312744, 0.10880174487829208, 0.6521046757698059, 0.08169513195753098, 0.026266714558005333, 0.1497209370136261]"
F2,"[0.04690566658973694, 0.0077471076510846615, 0.6266058683395386, 0.010142620652914047, 0.04579024761915207, 0.035023003816604614, 0.08444088697433472, 0.14862869679927826, 0.09339339286088943, 0.26717352867126465, 0.2289624661207199, 0.17332012951374054, 0.19452695548534393, 0.5696040987968445, 0.7396769523620605, 0.2624618709087372, 0.13412734866142273, 0.01864135079085827, 0.27467164397239685, 0.24984832108020782, 0.12645664811134338, 0.13488934934139252, 0.6462143063545227, 0.2961330711841583, 0.2825126647949219, 0.06759554892778397, 0.0009580893092788756, 0.5051013827323914, 0.3803327679634094, 0.545133113861084, 0.29852983355522156, 0.11106310039758682, 0.1749720424413681, 0.1744462549686432, 0.260940819978714, 0.46625542640686035, 0.3966980278491974, 0.2179151028394699, 0.1966225504875183, 0.5209795832633972, 0.18277649581432343, 0.08479253202676773, 0.14772887527942657, 0.060850609093904495, 0.21617458760738373, 0.18144521117210388, 0.029311317950487137, 0.18575474619865417, 0.15557201206684113, 0.0163374375551939, 0.07869212329387665, 0.08503486216068268, 0.011975341476500034, 0.2100716084241867, 0.12084607034921646, 0.14853277802467346, 0.26774656772613525, 0.7111707329750061, 0.17650243639945984, 0.07215332239866257, 0.27840620279312134, 0.353906512260437, 0.9350460767745972, 0.02683156542479992, 0.05182868242263794, 0.14438621699810028, 0.23194794356822968, 0.08237569779157639, 0.010267579928040504, 0.031518615782260895, 0.1821899563074112, 0.02028672769665718, 0.027578989043831825, 0.018055837601423264, 0.1330329179763794, 0.4580521881580353, 0.38034406304359436, 0.045557595789432526, 0.1219412311911583, 0.10757678747177124, 0.06977828592061996, 0.1488715410232544, 0.4126069247722626, 0.1212686151266098, 0.4536435008049011, 0.05163846164941788, 0.11203048378229141, 0.24964840710163116, 0.04909304156899452, 0.17324510216712952, 0.06426398456096649, 0.08846813440322876, 0.06329221278429031, 0.1383427381515503, 0.16882777214050293, 0.17184258997440338, 0.23341183364391327, 0.21676260232925415, 0.04908495768904686, 0.5191891193389893, 0.1578974574804306, 0.21177926659584045, 0.09348142892122269, 0.48284658789634705, 0.24342821538448334, 0.32421523332595825, 0.18540942668914795, 0.30437609553337097, 0.1490182727575302, 0.27647989988327026, 0.2209077775478363, 0.3993121087551117, 0.035418033599853516, 0.14223559200763702, 0.0491122230887413, 0.06050723046064377, 0.047393474727869034, 0.03528653457760811, 0.20781578123569489, 0.40881773829460144, 0.003598659997805953, 0.08342491835355759, 0.07216129451990128, 0.21565528213977814, 0.022209739312529564, 0.24070757627487183, 0.17547112703323364, 0.228313148021698]"
F3,"[0.01465403102338314, 0.08829398453235626, 0.08179621398448944, 0.011498034931719303, 0.1607617288827896, 0.14477714896202087, 0.11769198626279831, 0.003304622136056423, 0.17574746906757355, 0.04495295137166977, 0.042223941534757614, 0.05249359458684921, 0.06488217413425446, 0.06060166284441948, 0.04867507889866829, 0.04477515071630478, 0.005968149751424789, 0.03586258739233017, 0.005520399659872055, 0.024390364065766335, 0.03502683714032173, 0.002106565050780773, 0.036771032959222794, 0.006815454922616482, 0.023067975416779518, 0.03168264031410217, 0.03483638912439346, 0.07766437530517578, 0.003960559610277414, 0.016308994963765144, 0.02144758403301239, 0.036357685923576355, 0.018118975684046745, 0.021760717034339905, 0.004586865659803152, 0.09340159595012665, 0.06218276545405388, 0.10040561109781265, 0.09704256802797318, 0.2589934766292572, 0.0065255118533968925, 0.022938009351491928, 0.002864372916519642, 0.01738113723695278, 0.03241681680083275, 0.07931238412857056, 0.016364693641662598, 0.010884803719818592, 0.052382029592990875, 0.03990251198410988, 0.014888818375766277, 0.007593605201691389, 0.20557788014411926, 0.03832065686583519, 0.006027720868587494, 0.08771643042564392, 0.01179386954754591, 0.01708940789103508, 0.06335815787315369, 0.011942988261580467, 0.027966424822807312, 0.02916097082197666, 0.06617145985364914, 0.024634545668959618, 0.21826070547103882, 0.042697396129369736, 0.007513799704611301, 0.0018013260560110211, 0.04765511676669121, 0.021403521299362183, 0.02618039958178997, 0.27364206314086914, 0.002084590494632721, 0.02655322290956974, 0.08300406485795975, 0.004206429701298475, 0.06672655791044235, 0.01119950320571661, 0.0009426051401533186, 0.023611746728420258, 0.03000820428133011, 0.13204456865787506, 0.00188504031393677, 0.008036130107939243, 0.04092381149530411, 0.015602830797433853, 0.04300428554415703, 0.011839686892926693, 0.02299078367650509, 0.051385678350925446, 0.07918431609869003, 0.005332277622073889, 0.06811591237783432, 0.05520784854888916, 0.0017111425986513495, 0.011066759005188942, 0.0024401522241532803, 0.012954939156770706, 0.025068949908018112, 0.009995141066610813, 0.002648865105584264, 0.1488901972770691, 0.07308974117040634, 0.03568554297089577, 0.03759483993053436, 0.0011345666134729981, 0.03528100997209549, 0.02329612337052822, 0.022701513022184372, 0.027601154521107674, 0.09751340001821518, 0.20349900424480438, 0.002614388009533286, 0.09296438843011856, 0.022182583808898926, 0.0036099147982895374, 0.06156830117106438, 0.10027004778385162, 0.04420589655637741, 0.08253587037324905, 0.015292220748960972, 0.024956664070487022, 0.0019906063098460436, 0.02317713387310505, 0.06342420727014542, 0.007377521134912968, 0.03402656316757202, 0.027865642681717873]"
F4,"[0.04759817197918892, 0.3861137628555298, 0.13485217094421387, 0.08071177452802658, 0.1369001269340515, 0.0636594295501709, 0.2198622077703476, 0.1116458997130394, 0.12171781063079834, 0.16528873145580292, 0.24492324888706207, 0.2773597240447998, 0.024275148287415504, 0.05311333388090134, 0.04427865892648697, 0.05032217502593994, 0.20289625227451324, 0.028466839343309402, 0.02669495902955532, 0.037853874266147614, 0.1024048924446106, 0.2790383994579315, 0.15591037273406982, 0.09270668774843216, 0.10662670433521271, 0.01378950197249651, 0.037906937301158905, 0.009105008095502853, 0.0877266526222229, 0.005549033638089895, 0.17287802696228027, 0.03262636065483093, 0.12500372529029846, 0.13480117917060852, 0.19472241401672363, 0.2223043441772461, 0.17953480780124664, 0.03398124873638153, 0.16972386837005615, 0.005325196776539087, 0.01709502562880516, 0.25808435678482056, 0.05132491514086723, 0.23819805681705475, 0.22506068646907806, 0.06848204880952835, 0.053702887147665024, 0.010064637288451195, 0.26786550879478455, 0.13389714062213898, 0.055299997329711914, 0.19061221182346344, 0.2276383638381958, 0.1028997078537941, 0.2581847608089447, 0.05160216987133026, 0.08621151000261307, 0.02594492770731449, 0.030616289004683495, 0.14128829538822174, 0.08298499137163162, 0.09330598264932632, 0.030451461672782898, 0.19711554050445557, 0.011734988540410995, 0.29487764835357666, 0.1708603799343109, 0.005481729283928871, 0.02689448557794094, 0.05862356349825859, 0.17280125617980957, 0.06228464096784592, 0.03236653283238411, 0.2083623856306076, 0.1288626343011856, 0.035081539303064346, 0.024689003825187683, 0.17896434664726257, 0.11259017139673233, 0.20601364970207214, 0.08757366240024567, 0.25676584243774414, 0.16972914338111877, 0.13944396376609802, 0.2633284032344818, 0.08021905273199081, 0.042992379516363144, 0.21495459973812103, 0.061554454267024994, 0.08832409232854843, 0.24278709292411804, 0.069429412484169, 0.04315382242202759, 0.12972362339496613, 0.08409141004085541, 0.10195443779230118, 0.33307647705078125, 0.3653009533882141, 0.17132142186164856, 0.032321903854608536, 0.026545217260718346, 0.31726813316345215, 0.010085673071444035, 0.0006378364632837474, 0.1375640630722046, 0.04710721969604492, 0.0964479148387909, 0.01940278336405754, 0.2203931361436844, 0.16689425706863403, 0.12466388195753098, 0.061077941209077835, 0.08649701625108719, 0.05081398785114288, 0.267604798078537, 0.10227824002504349, 0.11722325533628464, 0.056159231811761856, 0.11189339309930801, 0.1373603492975235, 0.010966658592224121, 0.14407514035701752, 0.0936894491314888, 0.34573933482170105, 0.14290361106395721, 0.15209926664829254, 0.03284159675240517, 0.11037872731685638]"
F5,"[0.11097987741231918, 0.09571026265621185, 0.059214089065790176, 0.08371985703706741, 0.193884938955307, 0.07560684531927109, 0.10962339490652084, 0.017267411574721336, 0.13853369653224945, 0.08976362645626068, 0.08360657095909119, 0.02942948415875435, 0.031663183122873306, 0.12328559905290604, 0.0011406221892684698, 0.4871065020561218, 0.21662159264087677, 0.055516425520181656, 0.04132305830717087, 0.1171649843454361, 0.2835235595703125, 0.033814363181591034, 0.060267139226198196, 0.0633564442396164, 0.2650707960128784, 0.25455737113952637, 0.3222435414791107, 0.0575079508125782, 0.11459934711456299, 0.21433119475841522, 0.038531817495822906, 0.020206840708851814, 0.05440523475408554, 0.14089979231357574, 0.39341259002685547, 0.09823258966207504, 0.07398009300231934, 0.04209480434656143, 0.23727449774742126, 0.07781342417001724, 0.13301678001880646, 0.08713559806346893, 0.24362045526504517, 0.08724495768547058, 0.06944063305854797, 0.09171231091022491, 0.01613588072359562, 0.11824280023574829, 0.3770274817943573, 0.02981390617787838, 0.3435506522655487, 0.2217310518026352, 0.07819642126560211, 0.1597885936498642, 0.007929016835987568, 0.08451718837022781, 0.15414194762706757, 0.18949158489704132, 0.2801783084869385, 0.06031986325979233, 0.3416490852832794, 0.1611838936805725, 0.2868094742298126, 0.07144835591316223, 0.11238787323236465, 0.07999352365732193, 0.027139460667967796, 0.6588658094406128, 0.14719422161579132, 0.15077635645866394, 0.033338289707899094, 0.13761743903160095, 0.1254694163799286, 0.005806439556181431, 0.19635969400405884, 0.01788192056119442, 0.5848273634910583, 0.19256407022476196, 0.2663154602050781, 0.2035652995109558, 0.013168280012905598, 0.19249431788921356, 0.13760630786418915, 0.04990192502737045, 0.08294694870710373, 0.08614020049571991, 0.02797362580895424, 0.05761045962572098, 0.1485680341720581, 0.10434615612030029, 0.26620686054229736, 0.1586427241563797, 0.0052344053983688354, 0.2189394235610962, 0.06392999738454819, 0.04516670107841492, 0.01844128593802452, 0.028831925243139267, 0.0378594808280468, 0.12006435543298721, 0.02613084949553013, 0.0878833681344986, 0.24614742398262024, 0.07402193546295166, 0.25119227170944214, 0.07957322895526886, 0.16522341966629028, 0.2963917851448059, 0.06870637834072113, 0.22875285148620605, 0.1543460488319397, 0.04638098180294037, 0.07214593142271042, 0.02425621636211872, 0.09044571965932846, 0.03183992952108383, 0.07609738409519196, 0.06616625934839249, 0.030894553288817406, 0.05882583186030388, 0.11099541932344437, 0.08131063729524612, 0.02243882231414318, 0.26856327056884766, 0.19776496291160583, 0.2562393844127655, 0.12044256180524826, 0.03488212078809738]"
F6,"[0.013005111366510391, 0.13432128727436066, 0.01535494439303875, 0.13036377727985382, 0.5034819841384888, 0.22956830263137817, 0.09829141944646835, 0.043998315930366516, 0.36729443073272705, 0.029893897473812103, 0.2620577812194824, 0.19599896669387817, 0.2593856155872345, 0.018461924046278, 0.04656962677836418, 0.17162276804447174, 0.013253566808998585, 0.10722137987613678, 0.013066762126982212, 0.4259990155696869, 0.06384270638227463, 0.14331862330436707, 0.17377091944217682, 0.14902622997760773, 0.28872382640838623, 0.3298962414264679, 0.09989780187606812, 0.09029406309127808, 0.1174800917506218, 0.029725151136517525, 0.01685178279876709, 0.20162908732891083, 0.11029966920614243, 0.15887443721294403, 0.08629069477319717, 0.15449832379817963, 0.19732078909873962, 0.1239672377705574, 0.1458931416273117, 0.23441050946712494, 0.004954978358000517, 0.2954355776309967, 0.06722291558980942, 0.09573883563280106, 0.13235600292682648, 0.07195644080638885, 0.2480282485485077, 0.07120136171579361, 0.05140325799584389, 0.1772569715976715, 0.23045840859413147, 0.10410183668136597, 0.013820135965943336, 0.13819852471351624, 0.32043328881263733, 0.02030790038406849, 0.05852511525154114, 0.0022011364344507456, 0.11642740666866302, 0.06919217854738235, 0.1279766857624054, 0.22322356700897217, 0.25184911489486694, 0.5984078049659729, 0.15905596315860748, 0.4664462208747864, 0.13338977098464966, 0.16665346920490265, 0.04101104661822319, 0.16920799016952515, 0.22241784632205963, 0.15902522206306458, 0.016898123547434807, 0.08878820389509201, 0.327169269323349, 0.23634152114391327, 0.28359901905059814, 0.18883147835731506, 0.0483233667910099, 0.13453662395477295, 0.06022126227617264, 0.09045287221670151, 0.06587839126586914, 0.060483090579509735, 0.11273473501205444, 0.005402442999184132, 0.11511402577161789, 0.050690051168203354, 0.18084098398685455, 0.15488079190254211, 0.3434377610683441, 0.20365795493125916, 0.13866832852363586, 0.015861423686146736, 0.013995849527418613, 0.06867773830890656, 0.11530769616365433, 0.14803887903690338, 0.22531761229038239, 0.05902848765254021, 0.1303757280111313, 0.5195765495300293, 0.062408696860075, 0.11668793857097626, 0.4052537679672241, 0.1091662272810936, 0.09848456084728241, 0.12226622551679611, 0.309518963098526, 0.04008741304278374, 0.13428430259227753, 0.11261741816997528, 0.15398670732975006, 0.19025373458862305, 0.2613675892353058, 0.1156262457370758, 0.05897492915391922, 0.14955295622348785, 0.11690040677785873, 0.3213891386985779, 0.15959899127483368, 0.09989751875400543, 0.17048484086990356, 0.05658932030200958, 0.14861318469047546, 0.034937627613544464, 0.1811554878950119, 0.056981004774570465]"
F7,"[0.3467327952384949, 0.3183680772781372, 0.12875327467918396, 0.09350517392158508, 0.022918470203876495, 0.2152351289987564, 0.029432371258735657, 0.14671757817268372, 0.2697713077068329, 0.041050735861063004, 0.07648934423923492, 0.16878467798233032, 0.18794910609722137, 0.24346879124641418, 0.029557473957538605, 0.5048158764839172, 0.30181849002838135, 0.17138932645320892, 0.19030717015266418, 0.18549996614456177, 0.06581495702266693, 0.301977276802063, 0.08718805015087128, 0.13569492101669312, 0.5023446679115295, 0.2531851828098297, 0.13988976180553436, 0.17818450927734375, 0.12563222646713257, 0.09393276274204254, 0.13218086957931519, 0.04829346761107445, 0.4753863513469696, 0.06933718174695969, 0.10126498341560364, 0.1974652111530304, 0.04773019999265671, 0.04458755627274513, 0.11528859287500381, 0.06868024170398712, 0.1357084959745407, 0.5173367857933044, 0.20576316118240356, 0.10865319520235062, 0.07490558177232742, 0.14972469210624695, 0.279501348733902, 0.032670799642801285, 0.19539974629878998, 0.09478218108415604, 0.12879283726215363, 0.14255186915397644, 0.1388011872768402, 0.14928826689720154, 0.3037920594215393, 0.014407476410269737, 0.04575140401721001, 0.13125890493392944, 0.0259542278945446, 0.7722715139389038, 0.24088546633720398, 0.14639662206172943, 0.2848931550979614, 0.12345180660486221, 0.033054985105991364, 0.24852369725704193, 0.21837341785430908, 0.08601804077625275, 0.12684525549411774, 0.15373721718788147, 0.08582185953855515, 0.2230781465768814, 0.14908719062805176, 0.1401548981666565, 0.05189232900738716, 0.1501697301864624, 0.2502802312374115, 0.1339273303747177, 0.11804641038179398, 0.02684752084314823, 0.2079521268606186, 0.06948679685592651, 0.24597600102424622, 0.2931068539619446, 0.0843900665640831, 0.245074063539505, 0.02000485733151436, 0.19141827523708344, 0.12299337238073349, 0.1818963885307312, 0.1057027205824852, 0.03129003569483757, 0.006694276817142963, 0.031062738969922066, 0.13705821335315704, 0.12131262570619583, 0.0018850037595257163, 0.11547902226448059, 0.08048190176486969, 0.218624547123909, 0.3000800311565399, 0.27786290645599365, 0.02474980242550373, 0.4397524297237396, 0.1463363617658615, 0.550800085067749, 0.0843547135591507, 0.16015596687793732, 0.09911021590232849, 0.11176098138093948, 0.09713337570428848, 0.025272352620959282, 0.09051509946584702, 0.5231899619102478, 0.3432260751724243, 0.03380054235458374, 0.12052685022354126, 0.2861037850379944, 0.21890367567539215, 0.06777697056531906, 0.027651207521557808, 0.02235887385904789, 0.05364067479968071, 0.29794883728027344, 0.5667024850845337, 0.13220016658306122, 0.06130526214838028, 0.4140537977218628]"
F8,"[0.048702068626880646, 0.31188496947288513, 0.06808789819478989, 0.20492105185985565, 0.18096856772899628, 0.037119973450899124, 0.4308488667011261, 0.08425618708133698, 0.48437100648880005, 0.08968204259872437, 0.7892699241638184, 0.12771230936050415, 0.21960243582725525, 0.1494414359331131, 0.008087532594799995, 4.9797970859799534e-05, 0.0850943848490715, 0.13327279686927795, 0.06724170595407486, 0.18421721458435059, 0.24688024818897247, 0.14475387334823608, 0.18415096402168274, 0.13519075512886047, 0.1589910238981247, 0.04658381640911102, 0.019247297197580338, 0.015390170738101006, 0.3013862073421478, 0.04465354606509209, 0.06458591669797897, 0.10225918889045715, 0.020020730793476105, 0.25254127383232117, 0.5725037455558777, 0.2501523196697235, 0.28556835651397705, 0.0775148868560791, 0.022442694753408432, 0.09997757524251938, 0.06264477223157883, 0.16423512995243073, 0.06347452849149704, 0.10848235338926315, 0.1175808385014534, 0.33805981278419495, 0.3045412003993988, 0.10079988092184067, 0.20701079070568085, 0.14521856606006622, 0.1973024308681488, 0.15325893461704254, 0.06308214366436005, 0.1584656536579132, 0.19599172472953796, 0.08627759665250778, 0.0007043054210953414, 0.19304129481315613, 0.29195156693458557, 0.09587608277797699, 0.006242563482373953, 0.05627050995826721, 0.0840737447142601, 0.11774344742298126, 0.06228728964924812, 0.05970562994480133, 0.026851121336221695, 0.12342783808708191, 0.2501371204853058, 0.07037799060344696, 0.023591091856360435, 0.7475967407226562, 0.29680266976356506, 0.035445358604192734, 0.13781580328941345, 0.022792469710111618, 0.4991952180862427, 0.026810839772224426, 0.1249324157834053, 0.06398514658212662, 0.18867987394332886, 0.042586058378219604, 0.16671989858150482, 0.03227822855114937, 0.19058646261692047, 0.05562788248062134, 0.09206037223339081, 0.058337196707725525, 0.00168089650105685, 0.11096280813217163, 0.0673057809472084, 0.03488851338624954, 0.19184350967407227, 0.23356688022613525, 0.17682522535324097, 0.03201694041490555, 0.27422410249710083, 0.1737140417098999, 0.17277029156684875, 0.3046649992465973, 0.1350681334733963, 0.1318284571170807, 0.24851752817630768, 0.1288110315799713, 0.39178726077079773, 0.0571930930018425, 0.02947046235203743, 0.029017597436904907, 0.1248922049999237, 0.06346040964126587, 0.06504785269498825, 0.08509685099124908, 0.000409171188948676, 0.08535590022802353, 0.01146601140499115, 0.04226728528738022, 0.1678709089756012, 0.2269940972328186, 0.17093338072299957, 0.22900612652301788, 0.16179339587688446, 0.20373882353305817, 0.022322719916701317, 0.12279532849788666, 0.030031315982341766, 0.005337139125913382, 0.19299817085266113, 0.3515254557132721]"
F9,"[0.019378304481506348, 0.28088217973709106, 0.0037381332367658615, 0.34520789980888367, 0.0006755701033398509, 0.2998935580253601, 0.15279987454414368, 0.050181854516267776, 0.41397523880004883, 0.04511239007115364, 0.15021179616451263, 0.2151927500963211, 0.15091563761234283, 0.36389878392219543, 0.11787495762109756, 0.33162546157836914, 0.17107419669628143, 0.11400868743658066, 0.026455683633685112, 0.04707391560077667, 0.22175844013690948, 0.06615008413791656, 0.18369391560554504, 0.21587422490119934, 0.31481263041496277, 0.08792383968830109, 0.49531978368759155, 0.3231123983860016, 0.42067572474479675, 0.023490218445658684, 0.08002457767724991, 0.1550733894109726, 0.0055587319657206535, 0.17989535629749298, 0.27294254302978516, 0.14870339632034302, 0.09173857420682907, 0.3029095530509949, 0.11071814596652985, 0.1592613160610199, 0.17901208996772766, 0.02394268848001957, 0.4468386471271515, 0.05389738082885742, 0.37097927927970886, 0.07528816163539886, 0.35429441928863525, 0.21194423735141754, 0.23193740844726562, 0.23845061659812927, 0.07165756076574326, 0.12480825185775757, 0.08480572700500488, 0.07856201380491257, 0.20798642933368683, 0.006824729964137077, 0.09166232496500015, 0.1572994738817215, 0.41569194197654724, 0.20082014799118042, 0.09037142992019653, 0.18722882866859436, 0.09641557186841965, 0.44620180130004883, 0.14751900732517242, 0.11826848238706589, 0.26820844411849976, 0.1719496250152588, 0.3502832055091858, 0.13446339964866638, 0.20266234874725342, 0.35632893443107605, 0.03821619972586632, 0.03289151191711426, 0.2796224355697632, 0.3135484457015991, 0.32921746373176575, 0.08485724031925201, 0.0554688386619091, 0.05882285162806511, 0.0016371753299608827, 0.1572313904762268, 0.12118680775165558, 0.10798682272434235, 0.1362811028957367, 0.1412295252084732, 0.14835865795612335, 0.11848345398902893, 0.13695380091667175, 0.40971165895462036, 0.14248214662075043, 0.06854793429374695, 0.3822607100009918, 0.06949158757925034, 0.19017304480075836, 0.06121566519141197, 0.11886154860258102, 0.14778229594230652, 0.35708603262901306, 0.16756458580493927, 0.0933954045176506, 0.08807886391878128, 0.0991564691066742, 0.20080386102199554, 0.003654864616692066, 0.010084619745612144, 0.14293359220027924, 0.19411686062812805, 0.24201013147830963, 0.055624302476644516, 0.0695534199476242, 0.1803114265203476, 0.1350233405828476, 0.15064647793769836, 0.06425003707408905, 0.25986918807029724, 0.16378645598888397, 0.09907606989145279, 0.13104479014873505, 0.0332055501639843, 0.14280658960342407, 0.17351341247558594, 0.2332773655653, 0.06742578744888306, 0.4582946300506592, 0.0490732379257679, 0.0736369788646698, 0.01631353050470352]"
F10,"[0.20263530313968658, 0.42971187829971313, 0.14337247610092163, 0.0006351643824018538, 0.05373810604214668, 0.05519522354006767, 0.2194632589817047, 0.00888802669942379, 0.4309934973716736, 0.0009996816515922546, 0.2671140134334564, 0.15307173132896423, 0.18772687017917633, 0.19327493011951447, 0.03401796519756317, 0.4129336178302765, 0.20603060722351074, 0.21703511476516724, 0.14958219230175018, 0.22568750381469727, 0.1199207529425621, 0.11341656744480133, 0.5128435492515564, 0.2762705683708191, 0.4863339960575104, 0.2173437625169754, 0.4337390065193176, 0.06662905216217041, 0.2868556082248688, 0.08856191486120224, 0.16616767644882202, 0.11438506841659546, 0.8094353079795837, 0.16777268052101135, 0.3585287034511566, 0.10728123784065247, 0.03066830150783062, 0.17984126508235931, 0.14337797462940216, 0.3398815989494324, 0.2354048490524292, 0.6432932615280151, 0.2211814969778061, 0.2442116141319275, 0.5182479023933411, 0.41310760378837585, 0.17542316019535065, 0.32756003737449646, 0.06119038164615631, 0.0043819984421133995, 0.07444339245557785, 0.041132427752017975, 0.20014959573745728, 0.0695180743932724, 0.26958560943603516, 0.10982037335634232, 0.04078977182507515, 0.16298148036003113, 0.009222584776580334, 0.08114746958017349, 0.12636853754520416, 0.149617537856102, 0.47504615783691406, 0.14787550270557404, 0.2654593288898468, 0.1077779158949852, 0.3262716233730316, 0.0038044853135943413, 0.05307581275701523, 0.44317886233329773, 0.14154629409313202, 0.012944445945322514, 0.16522234678268433, 0.05686984211206436, 0.28213927149772644, 0.2201036661863327, 0.18389169871807098, 0.42827674746513367, 0.3536457121372223, 0.38913464546203613, 0.006290029268711805, 0.2326737940311432, 0.12090132385492325, 0.16907724738121033, 0.37101253867149353, 0.09846895933151245, 0.0725511834025383, 0.06827683746814728, 0.19867143034934998, 0.03746184706687927, 0.16430383920669556, 0.5233045816421509, 0.5301425457000732, 0.3822893500328064, 0.017937403172254562, 0.5631392002105713, 0.17537985742092133, 0.07204456627368927, 0.17093855142593384, 0.18606188893318176, 0.2706072926521301, 0.8481388688087463, 0.3790169358253479, 0.5601234436035156, 0.050255462527275085, 0.5394502878189087, 0.28218913078308105, 0.33925262093544006, 0.11423444747924805, 0.005637509282678366, 0.11608295887708664, 0.019642041996121407, 0.015308299101889133, 0.12246834486722946, 0.05300064757466316, 0.22759728133678436, 0.21594879031181335, 0.15070314705371857, 0.29557546973228455, 0.19080223143100739, 0.07943277060985565, 0.7787714004516602, 0.30771803855895996, 0.1996813714504242, 0.35879090428352356, 0.1132863312959671, 0.6920481324195862, 0.41476938128471375]"
