feature,feature_name,max_abs_weight_score
F48,feature_49,1.2385677099227905
F55,feature_56,1.1177904605865479
F41,feature_42,1.055837869644165
F67,feature_68,1.034106969833374
F39,feature_40,0.9988539814949036
F1,feature_1,0.9481223225593567
F2,feature_2,0.9350460767745972
F36,feature_37,0.8861724138259888
F60,feature_61,0.8809786438941956
F32,feature_33,0.8632286190986633
F10,feature_11,0.8481388688087463
F51,feature_52,0.824586808681488
F57,feature_58,0.8060736060142517
F28,feature_29,0.8013902902603149
