feature,feature_name,max_abs_weight_score
F77,feature_77,0.5831735693651003
F47,feature_47,0.5537549873405808
F12,feature_12,0.5453177854628211
F18,feature_18,0.5416562388850126
F44,feature_44,0.5035516469481442
F62,feature_62,0.4893741471249851
F9,feature_9,0.47106200920440217
F32,feature_32,0.4636457443259679
F49,feature_49,0.4627019146305204
F40,feature_40,0.45505638720626673
F66,feature_66,0.4508255679374276
F2,feature_2,0.43837492655195903
F27,feature_27,0.43188288054132606
F31,feature_31,0.420070534713802
F50,feature_50,0.41382774719194004
F45,feature_45,0.4095776033665694
F53,feature_53,0.406377830069403
F8,feature_8,0.3977073550733327
F11,feature_11,0.39654489546955524
F38,feature_38,0.3931738334353786
F71,feature_71,0.38985861967893376
F36,feature_36,0.384925927972544
F43,feature_43,0.3804175739209048
F5,feature_5,0.3705439858515855
F26,feature_26,0.36753811266824743
F58,feature_58,0.364458757855344
F55,feature_55,0.36224173482574745
F64,feature_64,0.36045349483410327
F73,feature_73,0.3581087140745734
F42,feature_42,0.35793431330150444
F33,feature_33,0.35751255361944695
