feature,feature_name,max_abs_weight_score
F8,feature_8,0.5772505179321474
F64,feature_64,0.5615479034299433
F15,feature_15,0.459926671251756
F45,feature_45,0.4442439133052634
F35,feature_35,0.44254625609728704
F4,feature_4,0.4163075330050191
F32,feature_32,0.41515206363421353
F28,feature_28,0.409822784016546
F55,feature_55,0.40472624398969975
F40,feature_40,0.4042261991103378
F17,feature_17,0.40324846226747435
F16,feature_16,0.4029063431972852
F38,feature_38,0.3966332372628682
F20,feature_20,0.3937838082774992
F18,feature_18,0.3936446006059739
F33,feature_33,0.3925726759483587
F54,feature_54,0.38712833604481595
F44,feature_44,0.37413003756818025
F30,feature_30,0.37348245214144066
F22,feature_22,0.3724312546959411
F71,feature_71,0.37220820587980996
F41,feature_41,0.36604245009512665
F67,feature_67,0.3628223927787329
F73,feature_73,0.362325508870238
F36,feature_36,0.3592132304909561
F66,feature_66,0.3409985984761422
F61,feature_61,0.33670666326031196
F24,feature_24,0.3310813016812393
F31,feature_31,0.32866670093740646
F63,feature_63,0.3274136565374227
F39,feature_39,0.324172421378373
