feature,feature_name,max_abs_weight_score
F18,feature_18,0.6462854146957397
F77,feature_77,0.5636052489280701
F40,feature_40,0.543588399887085
F13,feature_13,0.48799946904182434
F45,feature_45,0.47749975323677063
F23,feature_23,0.47534966468811035
F28,feature_28,0.45621567964553833
F33,feature_33,0.4519059658050537
F72,feature_72,0.447314590215683
F55,feature_55,0.4426155388355255
F14,feature_14,0.42399507761001587
F22,feature_22,0.4177858233451843
F63,feature_63,0.41730645298957825
F30,feature_30,0.4095163941383362
F64,feature_64,0.40891343355178833
F65,feature_65,0.4072355329990387
F71,feature_71,0.40071266889572144
F16,feature_16,0.39419373869895935
F38,feature_38,0.3905438184738159
F3,feature_3,0.3873423933982849
F19,feature_19,0.3815421760082245
F42,feature_42,0.3808942139148712
F57,feature_57,0.3790885806083679
F31,feature_31,0.3780493140220642
