feature,feature_name,max_abs_weight_score
F47,feature_47,0.5078185207745084
F17,feature_17,0.44767458765706974
F21,feature_21,0.4309703853883868
F16,feature_16,0.42897905986760376
F58,feature_58,0.4226544601767753
F46,feature_46,0.41727217820926976
F28,feature_28,0.4153497054660286
F14,feature_14,0.4002387931421685
F77,feature_77,0.3957082378002979
F3,feature_3,0.3846088349113457
F18,feature_18,0.38111136318836353
F38,feature_38,0.373725310597342
F32,feature_32,0.37332102835650355
F12,feature_12,0.3623690314567792
F5,feature_5,0.3614631597680639
F41,feature_41,0.3602543294562828
F2,feature_2,0.35925467918706505
F49,feature_49,0.3485404054548874
F42,feature_42,0.3472140286681127
F40,feature_40,0.3398872816987041
F44,feature_44,0.3384800536853721
F72,feature_72,0.33739840750599615
F19,feature_19,0.33637781585040105
F15,feature_15,0.33355881115691594
F13,feature_13,0.3313782800845408
F36,feature_36,0.32904625842463675
F8,feature_8,0.32592454130079496
F68,feature_68,0.3250467560990676
F4,feature_4,0.32499552169289003
F23,feature_23,0.32320001380426405
F59,feature_59,0.3181105398505846
F62,feature_62,0.3143963913221391
F7,feature_7,0.3138849478710043
F26,feature_26,0.310042398266294
F9,feature_9,0.3092988686899154
F73,feature_73,0.3082890927220485
F1,feature_1,0.3070031769144975
F39,feature_39,0.3069817966872319
F48,feature_48,0.3057721009280891
F20,feature_20,0.3021769634136445
F43,feature_43,0.30085427841806156
F33,feature_33,0.29944891536980855
F22,feature_22,0.2966001975265399
F66,feature_66,0.2947104830969599
F56,feature_56,0.2943186637574209
F27,feature_27,0.2930635259449944
F74,feature_74,0.2900777526138282
F67,feature_67,0.2899633430569363
F64,feature_64,0.28713538461464816
F31,feature_31,0.2867786046233299
F71,feature_71,0.27398465330916355
F50,feature_50,0.27281257676132115
F37,feature_37,0.27222686644803434
F45,feature_45,0.27179422590244573
