feature,feature_name,max_abs_weight_score
F68,feature_68,0.5569890737533569
F61,feature_61,0.5221462845802307
F77,feature_77,0.5159280896186829
F47,feature_47,0.4945901930332184
F16,feature_16,0.49347060918807983
F64,feature_64,0.4629271626472473
F65,feature_65,0.4438718259334564
F71,feature_71,0.44306209683418274
F49,feature_49,0.43973711133003235
F73,feature_73,0.43057721853256226
F44,feature_44,0.4283823072910309
F18,feature_18,0.424009770154953
F22,feature_22,0.4238438308238983
F36,feature_36,0.42180973291397095
F50,feature_50,0.4216642379760742
F3,feature_3,0.4215715229511261
F72,feature_72,0.4205363690853119
F14,feature_14,0.418158620595932
F45,feature_45,0.41650390625
F35,feature_35,0.41545015573501587
F15,feature_15,0.4153517782688141
F5,feature_5,0.4143267571926117
F12,feature_12,0.41391563415527344
F54,feature_54,0.4091961681842804
