feature,weight_list
F1,"[0.14416606428932402, 0.05736187411552725, 0.2070145674234417, 0.17883683506640735, 0.02339782968309648, 0.03046102338909722, 0.20024977159302781, 0.030116538568841097, 0.06583688266204112, 0.04641502936507046, 0.05857601986295174, 0.17741811616315348, 0.06582774359559929, 0.19337395687594985, 0.28665292897295924, 0.08700271821796919]"
F2,"[0.31733624562411117, 0.06660974036523062, 0.2286895204113323, 0.06216264922613207, 0.04128054940838163, 0.004620317959409482, 0.321314952450338, 0.11970118786728373, 0.02908564608487254, 0.036062594759170646, 0.03749038593159651, 0.06102056801648542, 0.008277535918119744, 0.3838871051719196, 0.3099433170764137, 0.02244885037088753]"
F3,"[0.02944739444040325, 0.010036667205877037, 0.06439912904031517, 0.16891483852638095, 0.1995258548641045, 0.012748705038478612, 0.14467046528160313, 0.28881259709476503, 0.08170799863864502, 0.19702510718845173, 0.24035391592673913, 0.1598869879378553, 0.21606558598296172, 0.1540304408368709, 0.2922753428344485, 0.13170971787673177]"
F4,"[0.23849972437983757, 0.1481532466469464, 0.24507619177620846, 0.021375986746811494, 0.06201326573496148, 0.22232916529393681, 0.021905001779467664, 0.10300262444967695, 0.21823377525619214, 0.005023283662836325, 0.29474115145353996, 0.027058391934604756, 0.29677332147069047, 0.047506379489906714, 0.024137926180871627, 0.18394664124346735]"
F5,"[0.16915194473921163, 0.13020563712770897, 0.037524704227892704, 0.2517953203139918, 0.07925121974341306, 0.012374645786942444, 0.22661692763318544, 0.3122871621577786, 0.012945970299188765, 0.21758905463132708, 0.013479395415420647, 0.08966467689821588, 0.23122156212620126, 0.06753733364108519, 0.1943475461145212, 0.02423816344215973]"
F6,"[0.012126253713939791, 0.027919408973875143, 0.09779039918650966, 0.03564345442837659, 0.21930722975357686, 0.016492264820351547, 0.1279152586568427, 0.003373515668463473, 0.06655911062012336, 0.09105419054766874, 0.07328749954446005, 0.09814548452751003, 0.07668016652642545, 0.20556387118145983, 0.13142919748238727, 0.11680338095911486]"
F7,"[0.0182104027237781, 0.1040434961462236, 0.12859311259176348, 0.08083574603979364, 0.03405765541258577, 0.014164744833059186, 0.07147450084793053, 0.22807043447107395, 0.1412079610884052, 0.2062138084276737, 0.14427998624823704, 0.07482315426803778, 0.31929052302971395, 0.03551213664394788, 0.06480768338209192, 0.08070461569970235]"
F8,"[0.10735198459961205, 0.06756546859392684, 0.05239697538298316, 0.0266013898588395, 0.07827977776378388, 0.3379617182656186, 0.14601042052373628, 0.395275159034446, 0.0015407088518016568, 0.0767754741970962, 0.15365881901287134, 0.15842440349360512, 0.14157585553687072, 0.1592974234413688, 0.32778305215578074, 0.08806720625007282]"
F9,"[0.3113227963196656, 0.2030130939354208, 0.23193429795804466, 0.12711532573155812, 0.0878463782606514, 0.23540316243556617, 0.03759835436228483, 0.04371154025475556, 0.3039674613306795, 0.016400010180115006, 0.33767049041104763, 0.05854009399632561, 0.20288192356948656, 0.06458303757680914, 0.18355874526267915, 0.09251808044835065]"
F10,"[0.062273542426285335, 0.04683843395648767, 0.05250165398804771, 0.0904470040158776, 0.05731106612552907, 0.020720187847453657, 0.2360868944140281, 0.07638365059664308, 0.03527321054734477, 0.006748217207466539, 0.07020930261193743, 0.05684541378812496, 0.02302326682402643, 0.011972092203085273, 0.27701200528651204, 0.019011806289285244]"
F11,"[0.21458019026994413, 0.21813409637076195, 0.007329809151996112, 0.13031681317417784, 0.11295701936241088, 0.18474620186964794, 0.3371648815464623, 0.029404123270783598, 0.06074457008322987, 0.11395092523917479, 0.11352012222549192, 0.14660991385035435, 0.0987675346985939, 0.3281405274792103, 0.47412490284237013, 0.1521934757676776]"
F12,"[0.17848709086584028, 0.08319562021803978, 0.08239215043098456, 0.13875545227477634, 0.12018272725149366, 0.006339308338762773, 0.0843770734466559, 0.27976928617935265, 0.07096070682327016, 0.16617436582445308, 0.07537723803363093, 0.059299037775640565, 0.08047072595987238, 0.016206604744523595, 0.1182410546963907, 0.11083265299691297]"
F13,"[0.017162766617761834, 0.08817328994004645, 0.13247482701327543, 0.07751616863365964, 0.27315273234768533, 0.11814436882019848, 0.3128691245304482, 0.09008128563199282, 0.3116510722968108, 0.004937250239914089, 0.2874924672319223, 0.035941960852831974, 0.013003598848901725, 0.05807741150687445, 0.10155708388759443, 0.025006391065112668]"
F14,"[0.02727204743197522, 0.24327627223791287, 0.08302892830437193, 0.11222534052782406, 0.09019435052931142, 0.2616755622717225, 0.190163671989863, 0.04923447677479435, 0.14950052194459595, 0.023183257130589722, 0.18860384470261507, 0.13614906084536685, 0.0006777205545170831, 0.040852621082103684, 0.08836013008922346, 0.3613858909631649]"
F15,"[0.12448342585063187, 0.1178926409128225, 0.07598876455732538, 0.22378695941910032, 0.005422184712808361, 0.1096285697269125, 0.18809915457072254, 0.26121367557123076, 0.03776333228852277, 0.00548365975878968, 0.07311621212577923, 0.134665984705001, 0.19510250361108417, 0.27823816321006645, 0.08783413407825566, 0.1724938381201797]"
F16,"[0.09592482947663673, 0.09498229172664419, 0.03162126828504461, 0.2057878770092384, 0.0034822430958760145, 0.18722784059493552, 0.231263229989248, 0.07088136978924506, 0.013758828497967867, 0.21327813064989687, 0.08726117157614971, 0.08945409091496882, 0.39775140669431913, 0.15037749794621189, 0.1664781527472904, 0.09956299042918844]"
F17,"[0.12809908375081444, 0.25143336989562665, 0.20251837146778454, 0.04970334833747206, 0.08345785013584063, 0.10151394010158621, 0.03170054690975052, 0.13078326019004272, 0.19183989896978187, 0.21129972623310897, 0.3658725110691333, 0.041122314926360176, 0.13820329954806979, 0.30349326949807903, 0.07613726276050183, 0.3082756978952287]"
F18,"[0.1437050321310825, 0.024558063309938254, 0.1064685712954301, 0.061208183193953665, 0.26902760178337326, 0.21399236476965147, 0.483564772044113, 0.1282757642931442, 0.19809887304159204, 0.019599080258453274, 0.17563346387282658, 0.12988909329263643, 0.04224241810663941, 0.16068115975384017, 0.37478030949423835, 0.05035448851728129]"
