feature,feature_name,max_abs_weight_score
F46,feature_46,0.4870482514860011
F18,feature_18,0.483564772044113
F11,feature_11,0.47412490284237013
F71,feature_71,0.47389339822905996
F40,feature_40,0.4602646856403333
F58,feature_58,0.4527723610334028
F19,feature_19,0.43334546251803185
F42,feature_42,0.4202303524892359
F49,feature_49,0.41829999604094337
F64,feature_64,0.40741925617743235
F61,feature_61,0.40217490436965203
F55,feature_55,0.39934998846445036
F16,feature_16,0.39775140669431913
F20,feature_20,0.3967207809724299
F8,feature_8,0.395275159034446
F52,feature_52,0.39024716247779356
F62,feature_62,0.3886796845207802
F2,feature_2,0.3838871051719196
F41,feature_41,0.3808919648670785
F29,feature_29,0.3787737815160544
F36,feature_36,0.37550477262184423
F54,feature_54,0.3733979459127763
F17,feature_17,0.3658725110691333
F76,feature_76,0.3652081140738946
F14,feature_14,0.3613858909631649
F38,feature_38,0.36074585133841947
F43,feature_43,0.3574754949526919
F32,feature_32,0.34007384142800884
F9,feature_9,0.33767049041104763
F73,feature_73,0.33754206732874353
F74,feature_74,0.33565309894867956
F48,feature_48,0.33468890230113374
F47,feature_47,0.3281980637358527
F59,feature_59,0.3255618025173224
F21,feature_21,0.3232315848955249
F65,feature_65,0.32096201014337294
F66,feature_66,0.32030444513926093
F7,feature_7,0.31929052302971395
F44,feature_44,0.31880476815036357
F77,feature_77,0.3177845562476878
F51,feature_51,0.31547188047872643
F13,feature_13,0.3128691245304482
F35,feature_35,0.31240802173559207
F5,feature_5,0.3122871621577786
F57,feature_57,0.30953932297501513
F33,feature_33,0.30751489434108015
F26,feature_26,0.30113505799606055
F75,feature_75,0.3002870945301036
F31,feature_31,0.297995096590465
F68,feature_68,0.29724921924122744
F4,feature_4,0.29677332147069047
F3,feature_3,0.2922753428344485
F28,feature_28,0.29100147181142594
F56,feature_56,0.29085704011943164
