feature,weight_list
F1,"[0.003071170998737216, 0.06602907180786133, 0.08457094430923462, 0.001490697730332613, 0.03725362569093704, 0.06949736922979355, 0.20436911284923553, 0.00047423882642760873, 0.09452556818723679, 0.078450046479702, 0.04706336185336113, 0.056941624730825424, 0.0520864799618721, 0.032058507204055786, 0.033022165298461914, 0.1590261459350586, 0.010149973444640636, 0.15103298425674438, 0.054863423109054565, 0.021851439028978348, 0.03992514684796333, 0.006849285215139389, 0.15666638314723969, 0.06612967699766159, 0.04472655430436134, 0.06784192472696304, 0.07949100434780121, 0.13889670372009277, 0.10788308829069138, 0.08261411637067795, 0.04105047136545181, 0.013070805929601192, 0.06820916384458542, 0.05545783042907715, 0.07030711323022842, 0.007082892116159201, 0.20586402714252472, 0.13209623098373413, 0.015714449808001518, 0.06398338824510574, 0.05649862438440323, 0.0831468403339386, 0.021499717608094215, 0.06365329027175903, 0.029834629967808723, 0.013391504995524883, 0.019293788820505142, 0.14924173057079315, 0.13853897154331207, 0.01843726634979248, 0.09090445190668106, 0.1217380166053772, 0.08414843678474426, 0.094737708568573, 0.13584430515766144, 0.030999207869172096, 0.00463063782081008, 0.08451087027788162, 0.17053861916065216, 0.11566630750894547, 0.0864558219909668, 0.06639573723077774, 0.0002486386219970882, 0.003192759118974209, 0.006564757786691189, 0.10418592393398285, 0.04267726466059685, 0.16267429292201996, 0.1761925220489502, 0.004184001125395298, 0.04964964836835861, 0.010304109193384647, 0.04674138128757477, 0.02700929157435894, 0.008145974949002266, 0.02506919950246811, 0.02521579898893833, 0.012518329545855522, 0.035895198583602905, 0.12887591123580933, 0.13668926060199738, 0.023406662046909332, 0.08105248957872391, 0.10095330327749252, 0.018493667244911194, 0.07489187270402908, 0.18083491921424866, 0.12298913300037384, 0.10928452759981155, 0.083762526512146, 0.210271954536438, 0.11214586347341537, 0.03790074959397316, 0.029890840873122215, 0.03344479948282242, 0.028564324602484703, 0.25281402468681335, 0.14280842244625092, 0.0007748116622678936, 0.17399682104587555, 0.08540859073400497, 0.1317874789237976, 0.03307422623038292, 0.06551781296730042, 0.08436562865972519, 0.0519193559885025, 0.07212349027395248, 0.02309090830385685, 0.25906646251678467, 0.05160588398575783, 0.15964984893798828, 0.0855032429099083, 0.019723959267139435, 0.1264624148607254, 0.07441666722297668, 0.032064154744148254, 0.014082509092986584, 0.007427675183862448, 0.2990686595439911, 0.03202424570918083, 0.06655976921319962, 0.07836976647377014, 0.032795995473861694, 0.07891645282506943, 0.06381146609783173, 0.02231561951339245, 0.07721935957670212, 0.07489456236362457]"
F2,"[0.03356129303574562, 0.02200605534017086, 0.0893726795911789, 0.050164394080638885, 0.1040581688284874, 0.1143464669585228, 0.22546327114105225, 0.11580632627010345, 0.12882079184055328, 0.01650572195649147, 0.037789810448884964, 0.0723542869091034, 0.05452774837613106, 0.11047220975160599, 0.119635209441185, 0.16076812148094177, 0.16335327923297882, 0.02475886046886444, 0.043112147599458694, 0.1302752047777176, 0.07111568748950958, 0.11745726317167282, 0.013909763656556606, 0.0480525940656662, 0.043040063232183456, 0.025756176561117172, 0.01756344921886921, 0.05777207016944885, 0.03877393528819084, 0.07692886888980865, 0.14660221338272095, 0.010306494310498238, 0.08786584436893463, 0.053946517407894135, 0.027612823992967606, 0.012303328141570091, 0.2822413444519043, 0.10304031521081924, 0.017598018050193787, 0.004044716712087393, 0.12294822186231613, 0.1072310358285904, 0.12899760901927948, 0.0014831534354016185, 0.039443206042051315, 0.15481220185756683, 0.21552175283432007, 0.016470035538077354, 0.01724841445684433, 0.05271536856889725, 0.10366616398096085, 0.0034845781046897173, 0.005205199588090181, 0.026489071547985077, 0.0852620080113411, 0.1062028631567955, 0.16312578320503235, 0.024575522169470787, 0.013464130461215973, 0.10763982683420181, 0.03071984089910984, 0.006524730008095503, 0.049750231206417084, 0.011230044066905975, 0.08719602972269058, 0.02706492878496647, 0.013268176466226578, 0.07170593738555908, 0.23569193482398987, 0.08554657548666, 0.15173563361167908, 0.08333583176136017, 0.07559937238693237, 0.003113493788987398, 0.13368862867355347, 0.04074227064847946, 0.06541428714990616, 0.09656953066587448, 0.07728061079978943, 0.15129801630973816, 0.023617994040250778, 0.2915878891944885, 0.054296910762786865, 0.14845426380634308, 0.11167623102664948, 0.05904344841837883, 0.2662670910358429, 0.023353038355708122, 0.24037805199623108, 0.1080905869603157, 0.06289417296648026, 0.08379099518060684, 0.05775314196944237, 0.12867678701877594, 0.1535700261592865, 0.1889583319425583, 0.18990285694599152, 0.03628820180892944, 0.02215518057346344, 0.040596168488264084, 0.04865473881363869, 0.08905979245901108, 0.06055697053670883, 0.047295838594436646, 0.17477959394454956, 0.016474634408950806, 0.08775071799755096, 0.004231076687574387, 0.11904089897871017, 0.07760316133499146, 0.009570286609232426, 0.1393795758485794, 0.17878180742263794, 0.051470544189214706, 0.01671651378273964, 0.17411476373672485, 0.14908982813358307, 0.06603081524372101, 0.2992134988307953, 0.055891264230012894, 0.042751118540763855, 0.07277476787567139, 0.148641899228096, 0.1843843311071396, 0.04319881647825241, 0.04215491935610771, 0.04551693797111511, 0.022822227329015732]"
F3,"[0.03730142489075661, 0.07792195677757263, 0.05555175244808197, 0.0508505254983902, 0.023076314479112625, 0.1136450320482254, 0.03919988498091698, 0.03308715671300888, 0.23133425414562225, 0.03211268410086632, 0.005076935049146414, 0.04360170662403107, 0.01086979079991579, 0.1105007752776146, 0.1411682516336441, 0.10010382533073425, 0.045612357556819916, 0.09901844710111618, 0.1301426887512207, 0.1400524228811264, 0.12396217882633209, 0.15018713474273682, 0.08600099384784698, 0.07617916911840439, 0.0038336245343089104, 0.029144473373889923, 0.10135903209447861, 0.08237209916114807, 0.08805543184280396, 0.07063046097755432, 0.055092088878154755, 0.03430427238345146, 0.09746728837490082, 0.012935972772538662, 0.13144086301326752, 0.08367998152971268, 0.07846135646104813, 0.20663505792617798, 0.1427050083875656, 0.030898014083504677, 0.049253080040216446, 0.012783871963620186, 0.01818729005753994, 0.07615519315004349, 0.02383243665099144, 0.04129251092672348, 0.18588581681251526, 0.06999488174915314, 0.06348592787981033, 0.17465516924858093, 0.11312016099691391, 0.13053607940673828, 0.009374995715916157, 0.1183825209736824, 0.02069675363600254, 0.03400785103440285, 0.01883872039616108, 0.04604494199156761, 0.0708114355802536, 0.028548480942845345, 0.04238787293434143, 0.02324264869093895, 0.17980560660362244, 0.16180042922496796, 0.0634869858622551, 0.058895375579595566, 0.05845102667808533, 0.11276707798242569, 0.015900729224085808, 0.21940897405147552, 0.1240459531545639, 0.10481411218643188, 0.22347474098205566, 0.15069237351417542, 0.06434505432844162, 0.09757956862449646, 0.08564263582229614, 0.09955622255802155, 0.03654021397233009, 0.10171154141426086, 0.04552599415183067, 0.019982147961854935, 0.01625995896756649, 0.07548460364341736, 0.019004017114639282, 0.2205331176519394, 0.08606258779764175, 0.13039523363113403, 0.14842981100082397, 0.2200828641653061, 0.22308795154094696, 0.03354816883802414, 0.06009069085121155, 0.14714697003364563, 0.1316024512052536, 0.303861141204834, 0.10551264882087708, 0.32063743472099304, 0.0888892188668251, 0.07569938153028488, 0.07012201845645905, 0.005636857822537422, 0.011187962256371975, 0.1526489555835724, 0.1362074613571167, 0.11108896881341934, 0.05051058530807495, 0.04196523502469063, 0.05353768169879913, 0.008956912904977798, 0.08441207557916641, 0.07219161093235016, 0.07298295199871063, 0.2108394354581833, 0.08730670064687729, 0.22271831333637238, 0.17232532799243927, 0.15051771700382233, 0.012328322045505047, 0.10543086379766464, 0.04967838525772095, 0.21964867413043976, 0.0863010510802269, 0.01567743718624115, 0.07605811208486557, 0.06434666365385056, 0.121745765209198, 0.06966480612754822]"
F4,"[0.06564261764287949, 0.031098011881113052, 0.0038187953177839518, 0.06864703446626663, 0.17815282940864563, 0.1279829740524292, 0.05657350271940231, 0.05330295115709305, 0.19695894420146942, 0.08869657665491104, 0.05805785208940506, 0.0503387376666069, 0.0034397575072944164, 0.05936235561966896, 0.048100683838129044, 0.06997915357351303, 0.10888317227363586, 0.10837185382843018, 0.06644245982170105, 0.02402828074991703, 0.034949056804180145, 0.11156643182039261, 0.09106380492448807, 0.008266705088317394, 0.03956315666437149, 0.1887955665588379, 0.11792370676994324, 0.03112097829580307, 0.03970927372574806, 0.18895788490772247, 0.01171177625656128, 0.0017548471223562956, 0.06751584261655807, 0.09889906644821167, 0.15391984581947327, 0.23285318911075592, 0.09158466011285782, 0.20789000391960144, 0.16829603910446167, 0.03309246152639389, 0.17146393656730652, 0.12015407532453537, 0.030126256868243217, 0.0447566881775856, 0.17465035617351532, 0.01231604814529419, 0.10769528150558472, 0.09251993149518967, 0.02602373994886875, 0.005807049572467804, 0.16472189128398895, 0.11665740609169006, 0.19606545567512512, 0.029031308367848396, 0.11092827469110489, 0.08062289655208588, 0.24913358688354492, 0.09367737919092178, 0.14286696910858154, 0.04510272294282913, 0.04926152527332306, 0.17112405598163605, 0.04945026710629463, 0.03306339308619499, 0.04972250387072563, 0.17710578441619873, 0.17976433038711548, 0.09715534001588821, 0.07298208773136139, 0.1342615932226181, 0.2166227549314499, 0.09989486634731293, 0.15321581065654755, 0.05869023874402046, 0.09795485436916351, 0.10145552456378937, 0.08931534737348557, 0.09689649939537048, 0.02762484736740589, 0.15124505758285522, 0.0774473026394844, 0.1677677184343338, 0.053607046604156494, 0.11054621636867523, 0.1562023013830185, 0.08544403314590454, 0.11886617541313171, 0.005577954929322004, 0.010797372087836266, 0.14338333904743195, 0.09918355196714401, 0.14862792193889618, 0.2037358433008194, 0.07780583202838898, 0.07838049530982971, 0.17302443087100983, 0.08998576551675797, 0.2735866606235504, 0.026026226580142975, 0.08646777272224426, 0.015028266236186028, 0.010872900485992432, 0.2196931540966034, 0.09037207067012787, 0.05302026495337486, 0.10570141673088074, 0.15328696370124817, 0.14355377852916718, 0.11951707303524017, 0.04095522314310074, 0.15557818114757538, 0.11343668401241302, 0.021138127893209457, 0.34366175532341003, 0.07866170257329941, 0.01985415443778038, 0.04338739439845085, 0.2806188762187958, 0.050429817289114, 0.047732673585414886, 0.04462054371833801, 0.04000147804617882, 0.01907741092145443, 0.15385271608829498, 0.1797022521495819, 0.1603381484746933, 0.0735660195350647, 0.053318679332733154]"
F5,"[0.04925381764769554, 0.08387324213981628, 0.04884127154946327, 0.06665294617414474, 0.0775555819272995, 0.165018230676651, 0.09759830683469772, 0.038760293275117874, 0.11730711162090302, 0.1725100427865982, 0.012821635231375694, 0.15222765505313873, 0.12009649723768234, 0.12532523274421692, 0.10469948500394821, 0.08416985720396042, 0.009278188459575176, 0.07897276431322098, 0.03318867087364197, 0.14203035831451416, 0.003817235352471471, 0.0014728952664881945, 0.10711099207401276, 0.004904274363070726, 0.08804693073034286, 0.09374303370714188, 0.2128402590751648, 0.15905754268169403, 0.1274542212486267, 0.023026036098599434, 0.09765961766242981, 0.10175101459026337, 0.20062893629074097, 0.03700796514749527, 0.00952897872775793, 0.10865789651870728, 0.071831613779068, 0.025817224755883217, 0.07161560654640198, 0.18205885589122772, 0.018128806725144386, 0.01754087395966053, 0.045595329254865646, 0.1276693344116211, 0.11108829826116562, 0.10184293985366821, 0.047300539910793304, 0.035318512469530106, 0.17322665452957153, 0.041011448949575424, 0.02895389497280121, 0.24995878338813782, 0.030162863433361053, 0.20498095452785492, 0.2017299383878708, 0.0033758117351680994, 0.04406993091106415, 0.04740358516573906, 0.019606055691838264, 0.010023009963333607, 0.08183001726865768, 0.08528465777635574, 0.0037566469982266426, 0.04100547730922699, 0.0030693053267896175, 0.07128910720348358, 0.10566554218530655, 0.21465323865413666, 0.07153267413377762, 0.06247536092996597, 0.1522415578365326, 0.06368177384138107, 0.15937672555446625, 0.06411556154489517, 0.03342326357960701, 0.007519256789237261, 0.031503669917583466, 0.002420601435005665, 0.08197672665119171, 0.11336210370063782, 0.07645171135663986, 0.043883610516786575, 0.1577012836933136, 0.2633703351020813, 0.21196086704730988, 0.11495956778526306, 0.24092526733875275, 0.02374333329498768, 0.05704611912369728, 0.10241515934467316, 0.2676239609718323, 0.09771834313869476, 0.14634889364242554, 0.06272096186876297, 0.07068350911140442, 0.18274424970149994, 0.10700272023677826, 0.11725964397192001, 0.20539388060569763, 0.13290202617645264, 0.11109074205160141, 0.07476446032524109, 0.1690865457057953, 0.15745261311531067, 0.009735902771353722, 0.19510318338871002, 0.0004214890068396926, 0.07682409137487411, 0.10214941948652267, 0.14541076123714447, 0.05769885331392288, 0.1158406138420105, 0.15058135986328125, 0.1295979917049408, 0.04538813978433609, 0.039445146918296814, 0.2880508601665497, 0.3293798863887787, 0.08611688762903214, 0.05412374809384346, 0.01945716328918934, 0.1921069473028183, 0.09245411306619644, 0.08103129267692566, 0.12385616451501846, 0.033926088362932205, 0.3150421977043152, 0.1705239713191986]"
F6,"[0.1337554007768631, 0.0954691618680954, 0.042481645941734314, 0.0005093018990010023, 0.18308471143245697, 0.003076909575611353, 0.053170569241046906, 0.11048069596290588, 0.010185624472796917, 0.016000181436538696, 0.042972445487976074, 0.03292505815625191, 0.009878470562398434, 0.08596872538328171, 0.041524164378643036, 0.08225737512111664, 0.15689444541931152, 0.026863468810915947, 0.161952942609787, 0.04317149892449379, 0.03748924285173416, 0.023797396570444107, 0.018832847476005554, 0.12033768743276596, 0.11175347119569778, 0.01824728026986122, 0.0019720313139259815, 0.07523737102746964, 0.11669028550386429, 0.10335328429937363, 0.016361933201551437, 0.09580504894256592, 0.004686392843723297, 0.0598110556602478, 0.17398588359355927, 0.015096034854650497, 0.002988843945786357, 0.10933893918991089, 0.016887061297893524, 0.07663865387439728, 0.15036730468273163, 0.006621882319450378, 0.09913235157728195, 0.025012752041220665, 0.041065920144319534, 0.09411721676588058, 0.15694142878055573, 0.038051359355449677, 0.15836438536643982, 0.14714811742305756, 0.08137734234333038, 0.12959958612918854, 0.03897504135966301, 0.0021183229982852936, 0.006528131663799286, 0.08184477686882019, 0.10415741056203842, 0.1491120457649231, 0.0851808711886406, 0.0006917984574101865, 0.17236685752868652, 0.010564861819148064, 0.08852487802505493, 0.046367447823286057, 0.07379917800426483, 0.013078344985842705, 0.0685623362660408, 0.03217452019453049, 0.13932165503501892, 0.17832589149475098, 0.11545852571725845, 0.09668339788913727, 0.0007425503572449088, 0.004598324187099934, 0.1435246616601944, 0.09513615071773529, 0.08066360652446747, 0.051613472402095795, 0.09404882043600082, 0.049788519740104675, 0.15511702001094818, 0.18062052130699158, 0.009712887927889824, 0.049606721848249435, 0.007394008804112673, 0.03796105459332466, 0.10792636126279831, 0.0604504719376564, 0.05259554460644722, 0.09976652264595032, 0.11318010091781616, 0.07708555459976196, 0.1496005356311798, 0.012728594243526459, 0.10932600498199463, 0.1676521748304367, 0.038702163845300674, 0.09803368896245956, 0.1185997873544693, 0.3134092390537262, 0.0683772936463356, 0.035133931785821915, 0.023980550467967987, 0.09287360310554504, 0.029458938166499138, 0.02306312322616577, 0.21161355078220367, 0.10052850842475891, 0.013512616977095604, 0.1474478840827942, 0.06333860009908676, 0.043068740516901016, 0.06157870590686798, 0.047571223229169846, 0.0367153063416481, 0.10696780681610107, 0.036007314920425415, 0.03865153715014458, 0.11479537934064865, 0.036730263382196426, 0.08620210736989975, 0.03600531071424484, 0.04192616790533066, 0.15046152472496033, 0.07977374643087387, 0.16457781195640564, 0.03221794217824936, 0.47310328483581543]"
F7,"[0.09879723936319351, 0.024527419358491898, 0.05513058602809906, 0.059045810252428055, 0.059464819729328156, 0.1381949633359909, 0.002053474076092243, 0.02544199489057064, 0.11778324097394943, 0.01853652484714985, 0.06164268031716347, 0.05278635770082474, 0.025635376572608948, 0.05168851464986801, 0.10385490953922272, 0.1324707269668579, 0.06459809839725494, 0.2456243932247162, 0.023646648973226547, 0.000743767071980983, 0.049160316586494446, 0.05893019959330559, 0.2095518708229065, 0.07618210464715958, 0.1485954076051712, 0.05999577417969704, 0.00753261661157012, 0.06175550818443298, 0.028759198263287544, 0.14185525476932526, 0.08355311304330826, 0.15616323053836823, 0.05284177511930466, 0.02892198972404003, 0.10303734242916107, 0.03486650437116623, 0.12833917140960693, 0.07193226367235184, 0.09181953966617584, 0.15181511640548706, 0.1918179988861084, 0.09612482041120529, 0.0495876744389534, 0.0821290910243988, 0.08672112226486206, 0.02778039313852787, 0.03220856562256813, 0.11056710034608841, 0.11138522624969482, 0.13663941621780396, 0.060541246086359024, 0.06225151568651199, 0.11672098189592361, 0.13835813105106354, 0.04548316448926926, 0.04313857480883598, 0.08053925633430481, 0.01012641191482544, 0.06482954323291779, 0.17740227282047272, 0.02765684761106968, 0.07284092903137207, 0.05983913689851761, 0.09783366322517395, 0.14099682867527008, 0.07845170795917511, 0.02353612519800663, 0.12098082154989243, 0.10183056443929672, 0.09717538952827454, 0.018243703991174698, 0.14545968174934387, 0.2070205956697464, 0.037133898586034775, 0.11070924997329712, 0.12423013895750046, 0.05849898234009743, 0.1430657058954239, 0.1327710598707199, 0.07053828984498978, 0.08451219648122787, 0.09875187277793884, 0.037606894969940186, 0.0837833359837532, 0.20117995142936707, 0.11401788145303726, 0.05566022917628288, 0.12426257878541946, 0.057936761528253555, 0.11904606968164444, 0.02908221259713173, 0.01065605878829956, 0.1714293509721756, 0.06319304555654526, 0.051499947905540466, 0.08137531578540802, 0.2224663943052292, 0.1318477839231491, 0.04535234719514847, 0.28414687514305115, 0.026709558442234993, 0.1383497565984726, 0.03367367014288902, 0.016892163082957268, 0.2029293030500412, 7.497589103877544e-05, 0.02454780600965023, 0.013484025374054909, 0.01667815074324608, 0.2037418931722641, 0.04550742357969284, 0.06422237306833267, 0.10190049558877945, 0.1640096753835678, 0.005387412384152412, 0.10852920264005661, 0.09480772167444229, 0.02846885658800602, 0.06730370968580246, 0.048970408737659454, 0.025547079741954803, 0.015427447855472565, 0.13666823506355286, 0.04910530894994736, 0.020070740953087807, 0.032492637634277344, 0.11885882914066315, 0.2591162621974945]"
F8,"[0.02274087443947792, 0.16487674415111542, 0.06322310864925385, 0.049631088972091675, 0.14550615847110748, 0.16314849257469177, 0.19059357047080994, 0.08037027716636658, 0.11837782710790634, 0.0724143534898758, 0.2603217363357544, 0.16118136048316956, 0.16098468005657196, 0.2337876260280609, 0.2660398781299591, 0.08598530292510986, 0.029855702072381973, 0.10878396779298782, 0.18536080420017242, 0.3354813754558563, 0.04020770639181137, 0.06083758920431137, 0.1266907900571823, 0.03440362587571144, 0.021225078031420708, 0.12683258950710297, 0.10671920329332352, 0.09596416354179382, 0.0352138988673687, 0.061158716678619385, 0.12113140523433685, 0.09261959791183472, 0.06944797188043594, 0.2610182464122772, 0.019242428243160248, 0.05988692492246628, 0.035344939678907394, 0.09268651902675629, 0.06648825109004974, 0.32221490144729614, 0.17655214667320251, 0.16280455887317657, 0.11061585694551468, 0.05805768072605133, 0.053290627896785736, 0.19099052250385284, 0.1382821798324585, 0.39658495783805847, 0.1942029595375061, 0.11829405277967453, 0.15132738649845123, 0.0806477814912796, 0.1760437786579132, 0.2775501012802124, 0.008623570203781128, 0.1713411509990692, 0.03819272294640541, 0.032824475318193436, 0.10465323179960251, 0.09712815284729004, 0.11115234345197678, 0.052033133804798126, 0.11815197020769119, 0.03056667558848858, 0.024752164259552956, 0.05292779579758644, 0.01271495595574379, 0.1800316572189331, 0.1813567727804184, 0.054756615310907364, 0.05717224255204201, 0.05512485280632973, 0.06128230318427086, 0.10341363400220871, 0.16985566914081573, 0.399871289730072, 0.003270447952672839, 0.2809668779373169, 0.13802526891231537, 0.1633663922548294, 0.18475788831710815, 0.09416838735342026, 0.0597442165017128, 0.26454612612724304, 0.11424075812101364, 0.1381446123123169, 0.015587796457111835, 0.14078223705291748, 0.08569253236055374, 0.02253413200378418, 0.22315649688243866, 0.013912422582507133, 0.17484720051288605, 0.10684908926486969, 0.1303548514842987, 0.10375402122735977, 0.1398664265871048, 0.20372717082500458, 0.20713423192501068, 0.09056422114372253, 0.11270054429769516, 0.17979849874973297, 0.04496850073337555, 0.04829937219619751, 0.1254216581583023, 0.019537361338734627, 0.22127310931682587, 0.14526832103729248, 0.28051674365997314, 0.09268081188201904, 0.040207553654909134, 0.21606934070587158, 0.1254315972328186, 0.00393300037831068, 0.15668047964572906, 0.01850903034210205, 0.08370182663202286, 0.11897848546504974, 0.4352966845035553, 0.08234905451536179, 0.0514865517616272, 0.005357943009585142, 0.06107507273554802, 0.11952368915081024, 0.2487707883119583, 0.005236040335148573, 0.10336015373468399, 0.15513677895069122]"
F9,"[0.024158937856554985, 0.25569087266921997, 0.054990582168102264, 0.04774501547217369, 0.11932383477687836, 0.046754710376262665, 0.1126282811164856, 0.09833282232284546, 0.2036362737417221, 0.14807969331741333, 0.0719367265701294, 0.1291801482439041, 0.012107810005545616, 0.15126577019691467, 0.15314655005931854, 0.0742592066526413, 0.022189803421497345, 0.005459242966026068, 0.017697062343358994, 0.09516408294439316, 0.09349176287651062, 0.12260417640209198, 0.10695993155241013, 0.053691666573286057, 0.20189078152179718, 0.0135012436658144, 0.2784566581249237, 0.1231406033039093, 0.03271317854523659, 0.1541624218225479, 0.011059356853365898, 0.16658128798007965, 0.08779546618461609, 0.19670410454273224, 0.09206169843673706, 0.028525453060865402, 0.22025500237941742, 0.07848712056875229, 0.022248348221182823, 0.1690552830696106, 0.18231569230556488, 0.07847312092781067, 0.03133320435881615, 0.11212249845266342, 0.053932804614305496, 0.22903375327587128, 0.05491429194808006, 0.22177161276340485, 0.07937408238649368, 0.20695804059505463, 0.2594973146915436, 0.04557356238365173, 0.11333131790161133, 0.1097307950258255, 0.17237374186515808, 0.08888473361730576, 0.0071572852320969105, 0.16622546315193176, 0.06936424970626831, 0.07387237250804901, 0.1273871660232544, 0.19702817499637604, 0.16663479804992676, 0.11324971914291382, 0.11125242710113525, 0.10466515272855759, 0.013218166306614876, 0.2625899016857147, 0.05047966167330742, 3.831105277640745e-05, 0.22760389745235443, 0.05070677772164345, 0.022847864776849747, 0.06957026571035385, 0.07996480911970139, 0.035841114819049835, 0.0732693299651146, 0.024491384625434875, 0.0541689358651638, 0.041806742548942566, 0.1691088080406189, 0.30979281663894653, 0.1584329456090927, 0.09315288066864014, 0.27907752990722656, 0.13016153872013092, 0.07845474779605865, 0.09511563181877136, 0.1263684779405594, 0.077393539249897, 0.14268261194229126, 0.003992976155132055, 0.024542147293686867, 0.15528738498687744, 0.025215284898877144, 0.07536444813013077, 0.00922180712223053, 0.1271955966949463, 0.21427522599697113, 0.11006428301334381, 0.08265474438667297, 0.007235407363623381, 0.15160328149795532, 0.03237759321928024, 0.016913563013076782, 0.0683484598994255, 0.09729186445474625, 0.020825082436203957, 0.16408276557922363, 0.04351665824651718, 0.017440367490053177, 0.14487749338150024, 0.034618474543094635, 0.01868879795074463, 0.11382951587438583, 0.11988651007413864, 0.039635904133319855, 0.19597211480140686, 0.09754256904125214, 0.08880811929702759, 0.08061692863702774, 0.03994321450591087, 0.00748462975025177, 0.06054691970348358, 0.04484635218977928, 0.06595492362976074, 0.03645430877804756, 0.13536515831947327]"
F10,"[0.004130539018660784, 0.00015043478924781084, 0.06357145309448242, 0.05268831178545952, 0.07261104881763458, 0.022911855950951576, 0.20724761486053467, 0.13723090291023254, 0.032033637166023254, 0.12118390947580338, 0.06963889300823212, 0.01415072288364172, 0.1304779201745987, 0.016557347029447556, 0.05157904699444771, 0.16877658665180206, 0.029890593141317368, 0.06078208610415459, 0.0261370986700058, 0.010410752147436142, 0.1387396603822708, 0.02536771260201931, 0.059197090566158295, 0.03826520964503288, 0.07010272145271301, 0.015280592255294323, 0.1144186481833458, 0.07120554894208908, 0.0674801841378212, 0.08701445162296295, 0.09638037532567978, 0.07153519988059998, 0.06246398016810417, 0.007229392882436514, 0.08038747310638428, 0.05803263559937477, 0.2805127799510956, 0.08110374957323074, 0.052196670323610306, 0.0956239402294159, 0.10148303210735321, 0.024835409596562386, 0.08929940313100815, 0.04614999517798424, 0.06464550644159317, 0.07939975708723068, 0.03226606547832489, 0.08346819132566452, 0.12061920017004013, 0.13327468931674957, 0.027550721541047096, 0.06190473213791847, 0.06800410896539688, 0.031545188277959824, 0.10289247334003448, 0.037413280457258224, 0.058186981827020645, 0.038205597549676895, 0.2456110566854477, 0.05700588598847389, 0.00931121688336134, 0.02174336463212967, 0.07499220967292786, 0.010211215354502201, 0.04997441545128822, 0.04308507964015007, 0.009711737744510174, 0.03849215805530548, 0.06980814784765244, 0.09081520885229111, 0.07412564009428024, 0.13182659447193146, 0.11699648946523666, 0.08657414466142654, 0.06611846387386322, 0.06304728984832764, 0.10082336515188217, 0.0757189616560936, 0.15528719127178192, 0.11211080104112625, 0.06589702516794205, 0.06180887296795845, 0.09932754188776016, 0.023359568789601326, 0.05558190122246742, 0.0863669365644455, 0.18573087453842163, 0.01464000903069973, 0.028627756983041763, 0.09008661657571793, 0.06962742656469345, 0.09222344309091568, 0.07025747746229172, 0.11281731724739075, 0.05663902685046196, 0.10219431668519974, 0.0025549568235874176, 0.07217156887054443, 0.06396487355232239, 0.139230877161026, 0.0955706462264061, 0.026298683136701584, 0.0036784305702894926, 0.0018605970544740558, 0.11014242470264435, 0.022528335452079773, 0.03372161090373993, 0.058079205453395844, 0.15934883058071136, 0.02120053395628929, 0.01364181563258171, 0.03351861983537674, 0.05279281362891197, 0.011730296537280083, 0.06654902547597885, 0.02873622439801693, 0.03666823357343674, 0.010949250310659409, 0.2118510901927948, 0.12516093254089355, 0.04680897668004036, 0.2510448694229126, 0.029285063967108727, 0.10512281954288483, 0.08105289936065674, 0.02054743841290474, 0.07748612761497498, 0.2444918006658554]"
