feature,weight_list
F1,"[0.0022698608227074146, 0.0024662634823471308, 0.010209845378994942, 0.00973054300993681, 0.012097069062292576, 0.004814555868506432, 0.01018611341714859, 0.002284176414832473, 0.00040507217636331916, 0.0020381647627800703, 7.070991705404595e-05, 0.004330615047365427, 0.0022094256710261106, 0.009902296587824821, 0.004468599334359169, 0.004806465469300747, 0.0008397357305511832, 0.011170639656484127, 0.008278307504951954, 0.012917603366076946, 0.0028391568921506405, 0.001773932366631925, 0.004059550818055868, 0.010976990684866905, 0.003983849659562111, 0.00803106464445591, 0.002154618501663208, 0.011217408813536167, 0.004554409068077803, 0.00553837139159441, 0.0031582587398588657, 0.007682720199227333, 0.0003430022916290909, 0.0012376875383779407, 0.0050276112742722034, 0.006048212759196758, 0.007653759326785803, 0.0029894867911934853, 0.011049671098589897, 0.001817319542169571, 0.004926455207169056, 0.008346758782863617, 0.0024378718808293343, 0.008199705742299557, 0.009882374666631222, 0.006053859367966652, 0.007238281425088644, 0.008798827417194843, 0.006226860918104649, 0.010848849080502987, 0.005260690115392208, 0.008171772584319115, 0.00837620161473751, 0.005133350379765034, 0.006639192812144756, 0.010802844539284706, 0.01078993733972311, 0.0009136883891187608, 0.004570562858134508, 0.012306038290262222, 0.0061446139588952065, 0.007627246901392937, 0.003380738664418459, 0.009673168882727623, 0.0058493041433393955, 0.016379287466406822, 0.0053621986880898476, 0.005032239947468042, 0.008359824307262897, 0.0006535339052788913, 0.011318455450236797, 0.00122781191021204, 0.004532767925411463, 0.0016475406009703875, 0.003596773836761713, 0.009682724252343178, 0.000790212769061327, 0.006040208041667938, 0.004764612298458815, 0.007703415118157864, 0.007574843242764473, 0.003000867087393999, 0.005841692443937063, 0.004808465018868446, 0.00525435246527195, 0.009470423683524132, 0.0032030900474637747, 0.0008604436879977584, 0.005358720663934946, 0.003919361624866724, 0.008492483757436275, 0.012544260360300541, 0.0041010393761098385, 0.0025524734519422054, 6.596938328584656e-05, 0.00866605993360281, 0.0003773662610910833, 0.0033461698330938816, 0.0020725002977997065, 0.009692488238215446, 0.00030714465538039804, 0.007383567746728659, 0.0013773898826912045, 0.00899794977158308, 0.008867288939654827, 0.007025048136711121, 0.005378790199756622, 0.0005853773327544332, 0.0076745240949094296, 0.00408374797552824, 0.009531992487609386, 0.0006406439933925867, 0.0014603739837184548, 0.0018982160836458206, 0.012609344907104969, 0.009285809472203255, 0.009025719948112965, 0.0007242606952786446, 0.005916351452469826, 0.006629631854593754, 0.014238202013075352, 0.010333195328712463, 0.002158687449991703, 0.005560715217143297, 0.0036509758792817593, 0.013807326555252075, 0.003941559698432684, 0.010931613855063915]"
F2,"[0.000676503055728972, 0.00978661235421896, 0.0021901768632233143, 0.001793907955288887, 0.005957205779850483, 0.007943243719637394, 0.006525858771055937, 0.00026673561660572886, 0.008740176446735859, 0.005124109331518412, 0.002366145607084036, 0.006382866762578487, 0.0025523919612169266, 0.006412512622773647, 0.0023323590867221355, 0.008266129530966282, 0.0030457053799182177, 0.004356422461569309, 0.0007266839384101331, 0.0031480169855058193, 0.007224377244710922, 0.002048569032922387, 0.0019932666327804327, 0.005278583616018295, 0.00020011897140648216, 0.0010087288683280349, 0.004911922384053469, 0.00728120980784297, 0.003105308162048459, 0.0007735646213404834, 0.0035467527341097593, 0.005064713768661022, 0.008706953376531601, 0.0019599245861172676, 0.0011627145577222109, 0.0017839532811194658, 0.0026284544728696346, 0.004252438899129629, 0.003555835224688053, 0.0030423474963754416, 0.0019998943898826838, 0.010366971604526043, 0.003116205334663391, 0.0018909681821241975, 0.002571474527940154, 0.005845139734447002, 0.008316763676702976, 0.0052591608837246895, 0.0018020959105342627, 0.007640263997018337, 0.002421354176476598, 0.005134372506290674, 0.0018468963680788875, 0.003530841786414385, 0.0017617879202589393, 0.0063474709168076515, 0.008531651459634304, 0.00528902281075716, 0.0035546852741390467, 0.005197922699153423, 0.007384961936622858, 0.0009588667890056968, 0.0007343217730522156, 0.001077762572094798, 0.0015367928426712751, 0.0003068088262807578, 0.0013980722287669778, 0.007346399128437042, 0.006370093673467636, 0.005061350297182798, 0.0011736875167116523, 0.0031281954143196344, 0.008199913427233696, 0.006217229180037975, 0.006579296663403511, 0.005925059784203768, 0.007439287379384041, 0.01083136722445488, 0.0030806020367890596, 0.0013002565829083323, 0.006621873937547207, 0.0029748266097158194, 0.005637486465275288, 0.0004066741093993187, 0.004960142076015472, 6.766125443391502e-05, 0.004648974630981684, 0.009251287207007408, 6.20520077063702e-05, 0.009121214039623737, 0.0016580960946157575, 0.0068221986293792725, 0.0011662329779937863, 0.006212020758539438, 0.0033156517893075943, 0.0010307194897904992, 0.011298561468720436, 0.001406494528055191, 0.00031866462086327374, 0.005845187697559595, 0.0050964076071977615, 0.002547547221183777, 0.008253581821918488, 0.0025040050968527794, 0.0016953885788097978, 0.0006551258265972137, 0.006618029437959194, 0.00692520197480917, 0.006817698013037443, 0.0017184430034831166, 0.0014636964770033956, 0.0013632085174322128, 0.0026333099231123924, 0.004477243404835463, 0.0008720749174244702, 0.010254373773932457, 0.002151812193915248, 0.0001500234502600506, 0.008243851363658905, 0.010975471697747707, 0.006162178702652454, 0.0022976011969149113, 0.0008404390537180007, 0.006783939898014069, 0.0005182331660762429, 0.00495492247864604, 0.008187562227249146, 0.0006679000798612833]"
F3,"[0.009018323384225368, 0.006096118129789829, 0.005420278292149305, 0.004295363090932369, 0.0018596999580040574, 0.005744945723563433, 0.002828371711075306, 0.0003873213136103004, 0.002256865380331874, 0.0022696200758218765, 0.0023442599922418594, 0.0020653456449508667, 0.0030916270334273577, 0.0035779268946498632, 0.0037139623891562223, 0.0029218776617199183, 0.0037654670886695385, 0.002393742324784398, 0.004253276623785496, 0.002269491320475936, 0.009132131934165955, 0.005322449840605259, 0.0044369748793542385, 0.0006400205311365426, 0.009439162909984589, 0.00016801562742330134, 0.005969466175884008, 0.00538996048271656, 0.009984507225453854, 0.00791280996054411, 0.0027000652626156807, 0.0003795246593654156, 0.00974008347839117, 0.004171234089881182, 0.003170412266626954, 0.0037694256752729416, 0.005165767390280962, 0.0031436653807759285, 0.0065247309394180775, 0.0037252099718898535, 0.00418397132307291, 0.008474064990878105, 0.01028379239141941, 0.005542204715311527, 0.0004192189662717283, 0.006500749848783016, 0.000368718960089609, 0.003651862032711506, 0.006822771392762661, 0.009880045428872108, 0.004288890399038792, 0.00274078082293272, 0.0010701415594667196, 0.0001353473198832944, 0.00048303871881216764, 0.003382211085408926, 0.009924843907356262, 0.010823195800185204, 0.001494010561145842, 0.00196577119641006, 0.0011736935703083873, 0.006463324185460806, 0.0012090409873053432, 0.0015645253006368876, 0.0003260457015130669, 0.003736064536496997, 0.00561399944126606, 0.005422154441475868, 0.0020480561070144176, 0.000498941692057997, 0.005508375354111195, 0.002290622564032674, 0.007134673651307821, 0.0017640598816797137, 0.00406240439042449, 0.0025930977426469326, 0.003167856717482209, 0.0020180726423859596, 0.001688642194494605, 0.010357340797781944, 0.0024986029602587223, 0.006626928690820932, 0.003721595276147127, 0.0035852130968123674, 0.008397565223276615, 0.005060482304543257, 0.001313926069997251, 5.328242696123198e-05, 0.008045142516493797, 0.0014642623718827963, 0.005561326630413532, 0.007343827281147242, 0.00250376109033823, 0.011303744278848171, 0.009278034791350365, 0.0023657665587961674, 0.003961590118706226, 0.0038970636669546366, 0.005286931525915861, 0.0018573945853859186, 0.0010407059453427792, 0.0014144774759188294, 0.010314959101378918, 0.0052330829203128815, 0.010721927508711815, 0.005495919380337, 0.004614123608916998, 0.003955122549086809, 0.007959993556141853, 0.0015629632398486137, 0.002883019158616662, 0.0023785028606653214, 0.004423891194164753, 0.0017965864390134811, 0.0006081901956349611, 0.010259727016091347, 0.004084153566509485, 0.0004589374002534896, 0.005955311004072428, 0.006950712762773037, 0.003923419397324324, 0.0038221823051571846, 0.0019837103318423033, 0.002592699835076928, 0.004151018336415291, 0.0038208344485610723, 0.0007173276972025633, 0.0040992568247020245]"
F4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
F5,"[0.004060148261487484, 0.010284416377544403, 0.009955940768122673, 0.002918633632361889, 0.005253301467746496, 0.005404457915574312, 0.006872490979731083, 0.0051499661058187485, 0.010740621946752071, 0.0025829237420111895, 0.0020120572298765182, 0.020677395164966583, 0.011014726012945175, 0.0096784308552742, 0.006577350199222565, 0.0009031117078848183, 0.00333022465929389, 0.003076625755056739, 0.0073681785725057125, 0.009006893262267113, 0.011147348210215569, 0.006058050785213709, 0.001751402160152793, 0.011058059521019459, 0.0005939027178101242, 0.005915995687246323, 0.006123906467109919, 0.002215071814134717, 0.00635865144431591, 0.005902757402509451, 0.005001646466553211, 0.00320671615190804, 0.0018522919854149222, 0.0019155812915414572, 0.0025185022968798876, 0.00866298284381628, 0.005344244185835123, 0.008734675124287605, 0.0021071038208901882, 0.009537535719573498, 0.0010197930969297886, 0.0006698672077618539, 0.004747882019728422, 0.008412315510213375, 0.0012962141772732139, 0.009823953732848167, 0.005393410567194223, 0.0013818078441545367, 0.004185513127595186, 0.008122439496219158, 0.007116743363440037, 0.0035748258233070374, 0.0015084069455042481, 0.001504536485299468, 0.014471450820565224, 0.012441574595868587, 0.0010721351718530059, 0.004115277901291847, 0.01262934785336256, 0.0015610292321071029, 0.0025707348249852657, 0.0013195043429732323, 0.006203297525644302, 0.006043858826160431, 0.00974632240831852, 0.014559807255864143, 0.002220197580754757, 0.005416423082351685, 0.006162489764392376, 0.0015667569823563099, 0.0008356821490451694, 0.0022683017887175083, 0.0063741798512637615, 0.0005536863463930786, 0.012720652855932713, 0.003311476204544306, 0.0030116899870336056, 0.00011745258962037042, 0.0029072712641209364, 0.0021657138131558895, 0.001127816503867507, 0.0038219226989895105, 0.0030953213572502136, 0.003694012062624097, 0.0022064154036343098, 0.007445010356605053, 0.007875325158238411, 0.005944109056144953, 0.005242511164397001, 0.0011735688894987106, 0.008976883254945278, 0.009051804430782795, 0.00881097000092268, 0.010046192444860935, 0.008831052109599113, 0.0070508914068341255, 0.003189211478456855, 0.01089124009013176, 0.005835620686411858, 0.0020678560249507427, 0.004344583489000797, 0.004114718642085791, 0.007319435477256775, 0.0003612650034483522, 0.006611973512917757, 0.00789316650480032, 0.0024925447069108486, 0.005403656978160143, 0.0027776481583714485, 0.008377334102988243, 0.007648315280675888, 0.006225310266017914, 0.008211740292608738, 0.009263252839446068, 0.013056622818112373, 0.006280703470110893, 0.002643424551934004, 0.008895334787666798, 0.0003803091240115464, 0.0057628643698990345, 0.009691738523542881, 0.0019298172555863857, 0.003977314569056034, 0.00825568288564682, 0.010320198722183704, 0.007535860873758793, 0.0028909973334521055, 0.000970941036939621]"
F6,"[0.0019562081433832645, 0.01133639831095934, 0.0031328569166362286, 0.005301808938384056, 0.00018129427917301655, 0.011797207407653332, 0.0036503374576568604, 0.0007107391720637679, 0.013141636736690998, 0.010319131426513195, 0.0051870946772396564, 0.012498513795435429, 0.013033303432166576, 0.007166246417909861, 0.0019403243204578757, 0.007367036305367947, 0.00873077567666769, 0.005537757184356451, 0.00014089717296883464, 0.0024454800877720118, 0.008854970335960388, 0.004080393351614475, 0.011434793472290039, 0.003675322514027357, 0.0021958942525088787, 0.012277730740606785, 0.008221707306802273, 0.012356368824839592, 0.0016503323568031192, 0.007793548982590437, 0.010043715126812458, 0.002486869692802429, 0.005945427343249321, 0.012188994325697422, 0.011379699222743511, 0.0016703155124559999, 0.012680301442742348, 0.008720769546926022, 0.005453592166304588, 0.006192348897457123, 0.010421250946819782, 0.008440474048256874, 0.005102480761706829, 0.0046211970038712025, 0.00858322624117136, 0.009194588288664818, 0.008005965501070023, 0.005372298415750265, 0.013437755405902863, 0.011097261682152748, 0.000167259611771442, 0.005401568952947855, 0.013153810054063797, 0.016119971871376038, 0.001190786249935627, 0.007995096035301685, 0.007043204735964537, 0.012985792942345142, 0.01360305491834879, 0.008091585710644722, 0.007891440764069557, 0.0003482400206848979, 0.00895206443965435, 0.008790870197117329, 0.005080167669802904, 0.0072259483858942986, 0.008170757442712784, 0.01438995636999607, 0.0045382739044725895, 0.003698021871969104, 0.012253317050635815, 0.0068715219385921955, 0.00937296450138092, 0.01214471086859703, 0.010906610637903214, 0.006716967094689608, 0.0015219129854813218, 0.0036392651963979006, 0.011346342973411083, 0.003292056266218424, 0.002554717008024454, 0.010999340564012527, 0.010586453601717949, 0.007620286662131548, 0.0001139868691097945, 0.0011546381283551455, 0.00868416577577591, 0.0016162394313141704, 0.006513139698654413, 0.006435771472752094, 0.0014414004981517792, 0.0027536191046237946, 0.007315092254430056, 0.011725376360118389, 0.002805139869451523, 0.008496690541505814, 0.012039169669151306, 0.001435474376194179, 0.007250234950333834, 0.008633522316813469, 0.004721954930573702, 0.01087555568665266, 0.008111447095870972, 0.00829295627772808, 0.010249427519738674, 0.004470377694815397, 0.008092835545539856, 0.004285462200641632, 0.008393190801143646, 0.002808548277243972, 0.005474988836795092, 0.009268471039831638, 0.0028365892358124256, 0.0059404680505394936, 0.00037443957990035415, 0.01025830302387476, 0.00010346167982788756, 0.003967152908444405, 0.011867421679198742, 0.011066685430705547, 0.008653281256556511, 0.01141370553523302, 0.01040698867291212, 0.003862222423776984, 0.003671912709251046, 0.007824926637113094, 0.002780433977022767, 0.009012024849653244]"
F7,"[0.002125159604474902, 0.010953095741569996, 0.008885164745151997, 0.0057511399500072, 0.007906307466328144, 0.0032593647483736277, 0.010352911427617073, 0.009834641590714455, 0.0063804457895457745, 0.00487319054082036, 0.009271783754229546, 0.003990889526903629, 0.010069504380226135, 0.010564054362475872, 0.001388627104461193, 0.0013970248401165009, 0.008540774695575237, 0.0049481322057545185, 0.0050712390802800655, 0.0017206240445375443, 0.007419690024107695, 0.003298323368653655, 0.004414383787661791, 0.010092341341078281, 0.0025599338114261627, 0.0035350529942661524, 0.003175900084897876, 0.0028022676706314087, 0.011091838590800762, 0.0004248121986165643, 0.003646677127107978, 0.010833586566150188, 0.003944110590964556, 0.005225406493991613, 0.005360721610486507, 0.004246213473379612, 0.008310053497552872, 0.005065041594207287, 0.0012043449096381664, 0.004812697414308786, 0.002387100597843528, 0.006187628488987684, 0.006490904372185469, 0.005019044037908316, 0.0011718501336872578, 0.001018489245325327, 0.004243151750415564, 0.010065630078315735, 0.0019598016515374184, 0.012489459477365017, 0.0054763429798185825, 0.0030840698163956404, 0.0011608569184318185, 0.0056115793995559216, 0.0010676978854462504, 0.008021640591323376, 0.011434086598455906, 0.007819395512342453, 0.00774199515581131, 0.008073348551988602, 0.004567899275571108, 0.011041425168514252, 0.0007547471905127168, 0.0017913348274305463, 0.005555374082177877, 0.0018846102757379413, 0.0003655755426734686, 0.0026011758018285036, 0.012548960745334625, 0.00892835482954979, 0.0024235788732767105, 0.002711439272388816, 0.010288409888744354, 0.014317951165139675, 0.0009644663659855723, 0.00976884737610817, 0.005163342691957951, 0.003419384825974703, 0.003057480324059725, 0.00479067163541913, 0.014324604533612728, 0.005646894220262766, 0.0017891706665977836, 0.002356763230636716, 0.0048508974723517895, 0.006184214726090431, 0.004169600550085306, 0.004760213661938906, 0.009462491609156132, 0.0011182661401107907, 0.0017904633423313498, 0.008954466320574284, 0.0035751601681113243, 0.009547458030283451, 0.006617274135351181, 0.010809602215886116, 0.00017030932940542698, 0.006694048177450895, 0.004520264454185963, 0.004590904340147972, 0.004501538351178169, 0.004100032616406679, 0.0031135284807533026, 0.004546609241515398, 0.010367518290877342, 0.002679084427654743, 0.0065155113115906715, 0.005114374682307243, 0.006968801841139793, 0.000322463660268113, 0.010228339582681656, 0.0002538907283451408, 0.0014483426930382848, 0.00811263918876648, 0.0003778815735131502, 0.005276727490127087, 0.00719511928036809, 0.010374736972153187, 0.011068125255405903, 0.0010284719755873084, 0.008797992020845413, 0.007050708867609501, 0.010560046881437302, 0.00685068778693676, 0.0036564674228429794, 0.00991914700716734, 0.007134843617677689, 0.0013126007979735732]"
F8,"[0.007497536484152079, 0.003010046435520053, 0.012358604930341244, 0.012750759720802307, 0.0033276211470365524, 0.0026809750124812126, 0.00011009533773176372, 0.005181211978197098, 0.011377776972949505, 0.0009512827964499593, 0.008515325374901295, 0.008181743323802948, 0.011320332996547222, 0.01238267496228218, 0.00920224841684103, 0.003111049998551607, 0.02227645367383957, 0.003712244099006057, 0.0029975089710205793, 0.010084335692226887, 0.00017323993961326778, 0.002683994360268116, 0.015000630170106888, 0.0023043665569275618, 0.005657031200826168, 0.009407300502061844, 0.005230577662587166, 0.006142419762909412, 0.0008043454145081341, 0.01303741056472063, 0.010342208668589592, 0.003425062634050846, 0.0077878269366919994, 0.0027091673109680414, 0.010586119256913662, 0.0021026465110480785, 0.012605114839971066, 0.001596837188117206, 0.003681597765535116, 0.0007509973947890103, 0.004415286239236593, 0.01705791801214218, 0.01310053188353777, 0.011372916400432587, 0.010425741784274578, 0.0016723809530958533, 0.009505250491201878, 0.013054290786385536, 0.021564695984125137, 0.004858080763369799, 0.015015505254268646, 0.0033024398144334555, 0.0077902344055473804, 0.004486546386033297, 0.008450916968286037, 0.010361313819885254, 0.011156299151480198, 0.0018889049533754587, 0.008835580199956894, 0.01267066691070795, 0.015402587130665779, 0.011584251187741756, 0.00918484665453434, 0.007651790976524353, 0.009472325444221497, 0.014112357050180435, 0.003003963502123952, 0.0005366613622754812, 0.008421569131314754, 0.01057782955467701, 0.015109267085790634, 0.009887387044727802, 0.0038512181490659714, 0.014062774367630482, 0.014793582260608673, 0.006963632069528103, 0.006763037294149399, 0.004854344297200441, 0.004727455321699381, 0.010633302852511406, 0.005910971667617559, 0.007103120908141136, 0.0026378200855106115, 0.0174860917031765, 0.013962779194116592, 0.00038481297087855637, 0.004081858787685633, 0.0013238819083198905, 0.007302794139832258, 0.003185787471011281, 0.006784048397094011, 0.013960948213934898, 0.010186281986534595, 0.014295615255832672, 0.004174130503088236, 0.013792702928185463, 0.003512718714773655, 0.013835722580552101, 0.006189222447574139, 0.006647477392107248, 0.006951421033591032, 0.012678015977144241, 0.0026661648880690336, 0.008869382552802563, 0.006831285078078508, 0.00537733593955636, 0.0005726873059757054, 0.010602189227938652, 0.010969042778015137, 0.0031249383464455605, 0.006234403699636459, 0.0020440039224922657, 0.023316765204072, 0.0016547136474400759, 0.004571201745420694, 0.012934706173837185, 0.009724018163979053, 0.00931595079600811, 0.004980285651981831, 0.0036907971370965242, 0.010285057127475739, 0.010782827623188496, 0.0011219281004741788, 0.007138407323509455, 0.0007071439176797867, 0.023316742852330208, 1.3377254617807921e-05, 0.0020928236190229654]"
F9,"[0.0015612058341503143, 0.0029189535416662693, 0.0005001191748306155, 0.001905915909446776, 0.001541606616228819, 0.00277423276565969, 0.0014734701253473759, 0.0025379862636327744, 0.00026854948373511434, 0.001447047688998282, 0.0006275709602050483, 0.0013851381372660398, 0.0022643515840172768, 0.002433638321235776, 0.003084725933149457, 9.253354073734954e-05, 0.0014372316654771566, 0.0009536275756545365, 0.0020303665660321712, 0.0029571219347417355, 0.000371248199371621, 0.00020779672195203602, 0.0003392077633179724, 0.00156435277312994, 0.00015047732449602336, 0.00334572303108871, 0.0006532715051434934, 0.0029006844852119684, 0.0025971911381930113, 0.0018919791327789426, 0.0016890480183064938, 0.001981846522539854, 0.0019260646076872945, 0.00272560166195035, 0.0002321196225238964, 9.309434244642034e-05, 0.0017850331496447325, 0.002750878455117345, 3.70480956917163e-05, 0.0023637847043573856, 0.00017178610141854733, 0.0003481024759821594, 0.0005876153009012341, 0.0008098520338535309, 0.0024361361283808947, 0.00016853248234838247, 0.0021134596318006516, 0.0031081854831427336, 0.0007676680106669664, 0.0019001943292096257, 0.0009452233789488673, 0.0003574877919163555, 0.0016659792745485902, 0.0015293365577235818, 0.0005915419314987957, 7.427164382534102e-05, 0.004303262569010258, 0.0023799799382686615, 0.0005801930092275143, 0.0019351323135197163, 0.0012047977652400732, 0.003044604090973735, 0.00010841325274668634, 0.0042581707239151, 0.002597407205030322, 0.003680892288684845, 0.002780589275062084, 0.0030371469911187887, 0.000524552131537348, 0.0011308228131383657, 0.0033936677500605583, 0.004031642340123653, 0.002726815640926361, 0.0019712469074875116, 0.00023201135627459735, 0.0017597379628568888, 0.0012815117370337248, 0.0012937666615471244, 0.0018489083740860224, 0.003369880374521017, 0.0005693436833098531, 0.0033979981672018766, 0.0004361202591098845, 0.002658824436366558, 0.00019481386698316783, 0.0031072308775037527, 0.0010208048624917865, 0.0005795735050924122, 0.001448146183975041, 0.0017322278581559658, 0.0008147359476424754, 0.0035093524493277073, 0.00023556847008876503, 0.0017820665379986167, 0.002712802030146122, 0.0031639873050153255, 0.002338193356990814, 0.001348983496427536, 9.882446465780959e-05, 0.002709151478484273, 0.0031382262241095304, 0.0020935768261551857, 0.00016635625797789544, 0.0005659687449224293, 0.0004431831475812942, 0.001945258816704154, 0.0008416022174060345, 0.0009509878582321107, 0.001482239575125277, 0.00041160956607200205, 0.002575855702161789, 0.0022420878522098064, 0.0003315898356959224, 0.0011726620141416788, 0.0008711359114386141, 0.0033745577093213797, 0.0007708279299549758, 0.0009725062409415841, 8.599518332630396e-05, 0.001793026807717979, 0.0019594435580074787, 0.001066431519575417, 0.002512133913114667, 0.00011634829570539296, 0.0006557347951456904, 0.0004322506720200181, 0.000932438182644546, 0.003481685882434249]"
F10,"[0.0014584081945940852, 0.004011983517557383, 0.006385624408721924, 0.005650636740028858, 0.0012480189325287938, 0.0024719294160604477, 0.0023557753302156925, 0.006552947219461203, 0.0054704900830984116, 0.004647469613701105, 0.010434158146381378, 0.004606706090271473, 0.006283256690949202, 0.009637147188186646, 0.0009496614220552146, 0.0029931077733635902, 0.004354813601821661, 0.0011213559191673994, 0.008561239577829838, 0.003634558990597725, 0.003732886165380478, 0.00516861816868186, 0.0002944825973827392, 0.0022101786453276873, 0.008190569467842579, 0.005682618822902441, 0.006732990965247154, 0.005555046256631613, 0.0019404459744691849, 0.000725248537492007, 0.001826866646297276, 0.004926546476781368, 0.007797026541084051, 0.0026920055970549583, 0.007551432587206364, 0.004126568324863911, 0.005031018517911434, 0.003215440083295107, 0.0016147096175700426, 0.0019299066625535488, 0.003567694453522563, 0.0019603732507675886, 0.005995127838104963, 0.0015665537212044, 0.002789662918075919, 0.00567714124917984, 0.005738695152103901, 0.0030492525547742844, 0.00544092059135437, 0.00016773957759141922, 0.00023447442799806595, 0.0008862011600285769, 0.008351830765604973, 0.0076274205930531025, 0.0033391849137842655, 0.007701818365603685, 0.0011546957539394498, 0.011195825412869453, 0.003681828500702977, 0.0013029762776568532, 0.0016690953634679317, 0.0018907764460891485, 0.0034506593365222216, 0.0038629453629255295, 0.011863203719258308, 0.010757548734545708, 0.001698801526799798, 0.002526543801650405, 0.00045511245843954384, 0.0003271937894169241, 0.012110043317079544, 0.002914048731327057, 0.0008743994985707104, 0.0003055012202821672, 0.0028462596237659454, 0.00020673034305218607, 0.002479245886206627, 0.0035382595378905535, 0.003144186455756426, 0.002816229360178113, 0.003233657218515873, 0.0035714267287403345, 0.0027962953317910433, 0.007948686368763447, 0.005926804151386023, 0.002238632645457983, 0.0011560230050235987, 0.0034854798577725887, 0.008109011687338352, 0.003968150820583105, 0.0055942898616194725, 0.0031650164164602757, 0.002368045272305608, 0.00747210718691349, 0.005125874653458595, 0.002756174188107252, 0.011272601783275604, 0.008302122354507446, 0.001070118392817676, 0.0014029040466994047, 3.5831897548632696e-05, 0.007153856102377176, 0.005327244289219379, 0.008407733403146267, 0.0032983312848955393, 0.0026069502346217632, 0.005727699957787991, 0.0028737212996929884, 0.01044173538684845, 0.00017974617367144674, 0.00022446141520049423, 0.0005094058578833938, 0.00032439292408525944, 0.009637472219765186, 0.0018236119067296386, 0.0011393142631277442, 0.0025206520222127438, 0.0075903963297605515, 0.006235030479729176, 0.00648793950676918, 0.0007801119354553521, 0.004531423095613718, 0.008413266390562057, 0.005926766432821751, 0.0017783334478735924, 0.004843040369451046, 0.003302718745544553, 0.0011077275266870856]"
