feature,feature_name,max_abs_weight_score
F498,feature_1498,0.10303561389446259
F176,feature_1176,0.09376861900091171
F534,feature_1534,0.08871036767959595
F915,feature_1915,0.08605048805475235
F272,feature_1272,0.08412156999111176
F188,feature_1188,0.07969655096530914
F701,feature_1701,0.06896153837442398
F220,feature_1220,0.0672420784831047
F841,feature_1841,0.06421896070241928
F937,feature_1937,0.06211860477924347
F427,feature_1427,0.059991445392370224
F642,feature_1642,0.058637529611587524
F626,feature_1626,0.05733330175280571
F446,feature_1446,0.057153042405843735
F993,feature_1993,0.055722400546073914
F292,feature_1292,0.05568191781640053
F280,feature_1280,0.054125234484672546
F977,feature_1977,0.05383779853582382
F536,feature_1536,0.05381171032786369
F395,feature_1395,0.053302016109228134
F289,feature_1289,0.052406009286642075
F35,feature_1035,0.052088573575019836
F131,feature_1131,0.051681987941265106
F918,feature_1918,0.05159766227006912
F639,feature_1639,0.05021186172962189
F971,feature_1971,0.05011964216828346
F892,feature_1892,0.050044454634189606
F186,feature_1186,0.049931228160858154
F997,feature_1997,0.04966619610786438
F618,feature_1618,0.04939746856689453
F345,feature_1345,0.04850795120000839
F347,feature_1347,0.047770678997039795
F108,feature_1108,0.04773390665650368
F956,feature_1956,0.04742798954248428
F16,feature_1016,0.047402337193489075
F256,feature_1256,0.04701804742217064
F849,feature_1849,0.04691049084067345
F605,feature_1605,0.04668908193707466
F549,feature_1549,0.04577541723847389
F879,feature_1879,0.04559506103396416
F667,feature_1667,0.04476260021328926
F862,feature_1862,0.044385265558958054
F234,feature_1234,0.04420730844140053
F257,feature_1257,0.04419976472854614
F488,feature_1488,0.04413550719618797
F958,feature_1958,0.04413369297981262
F586,feature_1586,0.043970987200737
F70,feature_1070,0.04343260079622269
F214,feature_1214,0.04335310310125351
F897,feature_1897,0.04305896535515785
F796,feature_1796,0.04262961819767952
F758,feature_1758,0.04236382991075516
F813,feature_1813,0.04182836785912514
F799,feature_1799,0.04182050749659538
F709,feature_1709,0.04174848645925522
F668,feature_1668,0.0416858047246933
F565,feature_1565,0.041035424917936325
F52,feature_1052,0.04013587534427643
F319,feature_1319,0.04010508954524994
F613,feature_1613,0.04007646441459656
F22,feature_1022,0.03985536843538284
F309,feature_1309,0.03984358534216881
F471,feature_1471,0.03975912183523178
F663,feature_1663,0.03958917409181595
F811,feature_1811,0.0394921712577343
F152,feature_1152,0.03942370414733887
F324,feature_1324,0.03931863605976105
F348,feature_1348,0.039149489253759384
F707,feature_1707,0.03899088129401207
F634,feature_1634,0.03889232128858566
F454,feature_1454,0.03882833570241928
F914,feature_1914,0.0387347936630249
F436,feature_1436,0.03870601952075958
F705,feature_1705,0.03863120451569557
F476,feature_1476,0.03835231438279152
F472,feature_1472,0.03791463375091553
F278,feature_1278,0.03769548982381821
F207,feature_1207,0.037561412900686264
F161,feature_1161,0.03746500238776207
F149,feature_1149,0.03732070326805115
F974,feature_1974,0.037060949951410294
F138,feature_1138,0.03701084852218628
F745,feature_1745,0.036281272768974304
F321,feature_1321,0.03616759553551674
F894,feature_1894,0.03608493506908417
F297,feature_1297,0.03607812523841858
F791,feature_1791,0.0359053760766983
F906,feature_1906,0.03575511276721954
F327,feature_1327,0.0357535220682621
F888,feature_1888,0.035701934248209
F502,feature_1502,0.03559815138578415
F424,feature_1424,0.03556184843182564
F630,feature_1630,0.03548425808548927
F821,feature_1821,0.035471171140670776
F921,feature_1921,0.035402484238147736
F781,feature_1781,0.03521278128027916
F714,feature_1714,0.034965503960847855
F155,feature_1155,0.0349535308778286
F55,feature_1055,0.03488297760486603
F684,feature_1684,0.03467583283782005
F881,feature_1881,0.03460586443543434
F708,feature_1708,0.034551892429590225
F440,feature_1440,0.03439510613679886
F840,feature_1840,0.0342303067445755
F777,feature_1777,0.03412080183625221
F827,feature_1827,0.03392871096730232
F65,feature_1065,0.0339156836271286
F153,feature_1153,0.0338861420750618
F533,feature_1533,0.03381260484457016
F349,feature_1349,0.03380460664629936
F582,feature_1582,0.033794209361076355
F898,feature_1898,0.033779218792915344
F722,feature_1722,0.033579129725694656
F246,feature_1246,0.03342506289482117
F357,feature_1357,0.033398810774087906
F495,feature_1495,0.03337181732058525
F78,feature_1078,0.03331165760755539
F739,feature_1739,0.033277831971645355
F793,feature_1793,0.033266011625528336
F299,feature_1299,0.03292696550488472
F889,feature_1889,0.032922904938459396
F99,feature_1099,0.03288830816745758
F770,feature_1770,0.0327884666621685
F669,feature_1669,0.03276333212852478
F735,feature_1735,0.032738760113716125
F909,feature_1909,0.03272228315472603
F678,feature_1678,0.03270426020026207
F394,feature_1394,0.03258857503533363
F364,feature_1364,0.0325491763651371
F100,feature_1100,0.032459162175655365
F979,feature_1979,0.032409653067588806
F727,feature_1727,0.0323694609105587
F419,feature_1419,0.03232981637120247
F287,feature_1287,0.03227926790714264
F50,feature_1050,0.032262880355119705
F842,feature_1842,0.03214384242892265
F499,feature_1499,0.03201344609260559
F103,feature_1103,0.03198155015707016
F263,feature_1263,0.03190610930323601
F900,feature_1900,0.031804393976926804
F871,feature_1871,0.03170638158917427
F940,feature_1940,0.03160807117819786
F268,feature_1268,0.03158235549926758
F71,feature_1071,0.03157667815685272
F77,feature_1077,0.03157613426446915
F127,feature_1127,0.03146505355834961
F416,feature_1416,0.03139279782772064
F468,feature_1468,0.031378164887428284
F877,feature_1877,0.03135319799184799
F836,feature_1836,0.03126266971230507
F965,feature_1965,0.03114885278046131
F330,feature_1330,0.03112061507999897
F517,feature_1517,0.03111249767243862
F117,feature_1117,0.03108285367488861
F731,feature_1731,0.0309919323772192
F249,feature_1249,0.030768785625696182
F384,feature_1384,0.030672293156385422
F48,feature_1048,0.03065655566751957
F95,feature_1095,0.030651580542325974
F49,feature_1049,0.030646689236164093
F628,feature_1628,0.03063204139471054
F168,feature_1168,0.03052651509642601
F196,feature_1196,0.030505578964948654
F224,feature_1224,0.030469873920083046
F797,feature_1797,0.030379747971892357
F650,feature_1650,0.03034915216267109
F832,feature_1832,0.030190493911504745
F105,feature_1105,0.030138274654746056
F873,feature_1873,0.029989881440997124
F30,feature_1030,0.02979976125061512
F935,feature_1935,0.029725907370448112
F638,feature_1638,0.029712047427892685
F752,feature_1752,0.029608886688947678
F115,feature_1115,0.029547471553087234
F475,feature_1475,0.029475145041942596
F508,feature_1508,0.02946283295750618
F978,feature_1978,0.02944682352244854
F954,feature_1954,0.02939540520310402
F802,feature_1802,0.02935890294611454
F464,feature_1464,0.029350733384490013
F913,feature_1913,0.029322536662220955
F794,feature_1794,0.029198328033089638
F185,feature_1185,0.029108745977282524
F524,feature_1524,0.02910080924630165
F654,feature_1654,0.02896222472190857
F393,feature_1393,0.028940575197339058
F403,feature_1403,0.02886967547237873
F551,feature_1551,0.02885952964425087
F311,feature_1311,0.028765901923179626
F56,feature_1056,0.02874227613210678
F737,feature_1737,0.028676090762019157
F104,feature_1104,0.028615163639187813
F981,feature_1981,0.02861175872385502
F167,feature_1167,0.028571171686053276
F863,feature_1863,0.02854013256728649
F588,feature_1588,0.02851683460175991
F750,feature_1750,0.02851174771785736
F756,feature_1756,0.028423570096492767
F283,feature_1283,0.02841978520154953
F530,feature_1530,0.028383981436491013
