feature,weight_list
F1,"[0.027949854731559753, 0.06926089525222778, 0.06071539968252182, 0.008906064555048943, 0.03409526124596596, 0.018540412187576294, 0.056635208427906036, 0.0008677245932631195, 0.0001467754627810791, 0.06118723377585411, 0.029059413820505142, 0.0052184597589075565, 0.0482100248336792, 0.07399416714906693, 0.030380675569176674, 0.028086116537451744, 0.003892486682161689, 0.018423210829496384, 0.028197962790727615, 0.018351683393120766, 0.011861447244882584, 0.003487716196104884, 0.019276004284620285, 0.04770348593592644, 0.0025722228456288576, 0.0066915275529026985, 0.027953658252954483, 0.014433288015425205, 0.021619344130158424, 0.02498364821076393, 0.018825620412826538, 0.012368163093924522, 0.02516508847475052, 0.0470980666577816, 0.004371738526970148, 0.0400654599070549, 0.019540606066584587, 0.01628592610359192, 0.031018810346722603, 0.03883595019578934, 0.02076021209359169, 0.029462991282343864, 0.004133784212172031, 0.07813151180744171, 0.06054190173745155, 0.03288523107767105, 0.0297501590102911, 0.0719490721821785, 0.029927466064691544, 0.08691506087779999, 0.07855501770973206, 0.08848148584365845, 0.0075809545814991, 0.03692396730184555, 0.004697063937783241, 0.0680643767118454, 0.03983025625348091, 0.02161332406103611, 0.007397152483463287, 0.03362293541431427, 0.005224382039159536, 0.0191938653588295, 0.01599549874663353, 0.011395959183573723, 0.027493076398968697, 0.03040723130106926, 0.022131189703941345, 0.08012823760509491, 0.034966643899679184, 0.06360112130641937, 0.02995336428284645, 0.025116171687841415, 0.027428189292550087, 0.02985149621963501, 0.047175332903862, 0.042426638305187225, 0.05311799794435501, 0.04833075776696205, 0.05847301334142685, 0.05864991247653961, 0.017261987552046776, 0.09219250828027725, 0.07496840506792068, 0.005447480361908674, 0.12487605214118958, 0.05170665681362152, 0.03460857644677162, 0.05376512557268143, 0.021398944780230522, 0.05299081280827522, 0.02293390780687332, 0.05226357653737068, 0.010628370568156242, 0.0050781285390257835, 0.03204677999019623, 0.018790844827890396, 0.06888125091791153, 0.010477472096681595, 0.001114935614168644, 0.025874510407447815, 0.03455361723899841, 0.01595761813223362, 0.024203920736908913, 0.003165885340422392, 0.022820863872766495, 0.014884398318827152, 0.051843881607055664, 0.04453367739915848, 0.06442572176456451, 0.04623086377978325, 0.025474539026618004, 0.03836234658956528, 0.042673204094171524, 0.02076665684580803, 0.020514603704214096, 0.017526861280202866, 0.013318611308932304, 0.05266730859875679, 0.020756801590323448, 0.017658591270446777, 0.028695981949567795, 0.03685792535543442, 0.04690229520201683, 0.04807977005839348, 0.0026433414313942194, 0.0040120636112987995, 0.01871943660080433, 0.020124955102801323]"
F2,"[0.053212251514196396, 0.05720016360282898, 0.03523804247379303, 0.005925309844315052, 0.023613620549440384, 0.0008298481116071343, 0.07006541639566422, 0.031396374106407166, 0.014665145426988602, 0.05961780622601509, 0.018630599603056908, 0.03611801937222481, 0.04047161340713501, 0.06752415746450424, 0.04552723094820976, 0.03734734654426575, 0.00041142242844216526, 0.021928995847702026, 0.03020382672548294, 0.023555783554911613, 0.03708146512508392, 0.032334595918655396, 0.03900223225355148, 0.03750395029783249, 0.0035144106950610876, 0.027163607999682426, 0.04568716138601303, 0.04472203552722931, 0.001119722262956202, 0.02914370410144329, 0.022375289350748062, 0.01940680667757988, 0.0451514832675457, 0.05124121159315109, 0.0033819114323705435, 0.040082916617393494, 0.027386758476495743, 0.027136171236634254, 0.025609461590647697, 0.022853180766105652, 0.014746187254786491, 0.013229255564510822, 0.013056520372629166, 0.06667187064886093, 0.05184457451105118, 0.030097721144557, 0.07072973996400833, 0.06327652931213379, 0.010229271836578846, 0.07607401907444, 0.0731014534831047, 0.09047199785709381, 0.014957582578063011, 0.037189558148384094, 0.04112543165683746, 0.06780393421649933, 0.005998472683131695, 0.030125252902507782, 0.00015499713481403887, 0.018643232062458992, 0.017223218455910683, 0.021606462076306343, 0.03774125128984451, 0.03615463897585869, 0.015505645424127579, 0.057143617421388626, 0.010543054901063442, 0.0989789217710495, 0.02215702272951603, 0.04287279024720192, 0.04090508446097374, 0.02375464327633381, 0.023961102589964867, 0.03427387401461601, 0.05090085417032242, 0.016371889039874077, 0.025843435898423195, 0.06974896043539047, 0.07842908054590225, 0.053637683391571045, 0.018707240000367165, 0.0667804554104805, 0.06704331189393997, 0.04439697042107582, 0.1006041020154953, 0.055809102952480316, 0.05921966955065727, 0.0354437455534935, 0.036189764738082886, 0.0424964614212513, 0.027887336909770966, 0.04062709957361221, 0.03481882065534592, 0.014438790269196033, 0.002635352546349168, 0.004241186194121838, 0.05946678668260574, 0.025091635063290596, 0.017797328531742096, 0.03251428157091141, 0.036854248493909836, 0.009166945703327656, 0.0199756883084774, 0.021487262099981308, 0.020840268582105637, 0.004659220576286316, 0.032392073422670364, 0.040881551802158356, 0.06214551627635956, 0.04301810264587402, 0.016148535534739494, 0.07602959126234055, 0.03705401346087456, 0.012548784725368023, 0.004083700478076935, 0.03480531647801399, 0.003693758510053158, 0.043250784277915955, 0.04130447655916214, 0.027222225442528725, 0.030492030084133148, 0.04586637020111084, 0.017252285033464432, 0.06467337161302567, 0.022288784384727478, 0.03938298672437668, 0.013604194857180119, 0.05548589676618576]"
F3,"[0.02752687968313694, 0.08367914706468582, 0.024804608896374702, 0.021963436156511307, 0.05512122064828873, 0.004774787928909063, 0.05913335829973221, 0.0224700216203928, 0.00522115221247077, 0.07764675468206406, 0.034922171384096146, 0.026032133027911186, 0.022704878821969032, 0.05791722610592842, 0.05097346007823944, 0.018224528059363365, 0.002519854810088873, 0.0014059679815545678, 0.031038977205753326, 0.005688574630767107, 0.0025933515280485153, 0.02652001567184925, 0.014658796600997448, 0.013094878755509853, 0.007194541860371828, 0.0038172025233507156, 0.04433465003967285, 0.03835120424628258, 0.003899425035342574, 0.04434231296181679, 0.020340166985988617, 0.04101208969950676, 0.04450906068086624, 0.015240953303873539, 0.020008062943816185, 0.005064303055405617, 0.00015418555994983763, 0.0200742669403553, 0.02918330952525139, 0.004674798808991909, 0.025139926001429558, 0.03801995515823364, 0.024184394627809525, 0.07119664549827576, 0.03785174340009689, 0.0028619030490517616, 0.06774746626615524, 0.05561923235654831, 0.021773651242256165, 0.07124827057123184, 0.09252113103866577, 0.07740822434425354, 0.02028348483145237, 0.05329574644565582, 0.024473365396261215, 0.06403671205043793, 0.0010469586122781038, 0.026929296553134918, 0.0010037572355940938, 0.0429641455411911, 0.006913213524967432, 0.002306115347892046, 0.03339554741978645, 0.02665811777114868, 0.01650272309780121, 0.036116182804107666, 0.001811731606721878, 0.09425494819879532, 0.007876519113779068, 0.020502042025327682, 0.03269830718636513, 0.014105669222772121, 0.001972939120605588, 0.02936955913901329, 0.08053337037563324, 0.032675985246896744, 0.027080712839961052, 0.055237192660570145, 0.07633273303508759, 0.059562694281339645, 0.01158288773149252, 0.07526922971010208, 0.05181802809238434, 0.0319586843252182, 0.09883593767881393, 0.031666047871112823, 0.066218800842762, 0.027115406468510628, 0.038755059242248535, 0.03177053853869438, 0.03175898641347885, 0.04057041555643082, 0.017983563244342804, 0.009090336970984936, 0.02934870310127735, 0.006615035235881805, 0.07025495916604996, 0.0228467658162117, 0.015931246802210808, 0.011013299226760864, 0.016737239435315132, 0.013689613901078701, 0.02152261696755886, 0.016734782606363297, 0.0019725400488823652, 0.01831497810781002, 0.037044987082481384, 0.05431631579995155, 0.03575762361288071, 0.039528705179691315, 0.007793494500219822, 0.06281808763742447, 0.0326717309653759, 0.004261146765202284, 0.0009588637039996684, 0.017324011772871017, 0.014973749406635761, 0.0505220852792263, 0.02930639311671257, 0.009173106402158737, 0.017341701313853264, 0.02005324326455593, 0.024296460673213005, 0.08030939847230911, 0.0015076622366905212, 0.0036699813790619373, 0.0014744591899216175, 0.053115613758563995]"
F4,"[0.016025040298700333, 0.07607638090848923, 0.00766495056450367, 0.003120242850854993, 0.05125226825475693, 0.01924143359065056, 0.06280060112476349, 0.02631423808634281, 0.0008220844902098179, 0.07432959973812103, 0.021011393517255783, 0.001506132073700428, 0.03557085618376732, 0.07042265683412552, 0.029250239953398705, 0.0035245970357209444, 0.0010285789612680674, 0.036813732236623764, 0.026812145486474037, 0.005001505836844444, 0.029101695865392685, 0.0206120815128088, 0.035885538905858994, 0.038927506655454636, 0.02245730720460415, 0.015731817111372948, 0.021441619843244553, 0.016393350437283516, 0.01698504015803337, 0.038689401000738144, 0.047524552792310715, 0.02771855518221855, 0.004447432234883308, 0.022832322865724564, 0.023718293756246567, 0.017373139038681984, 0.007460109889507294, 0.03285016492009163, 0.0008885082206688821, 0.016135379672050476, 0.03289058431982994, 0.04633236676454544, 0.0074106305837631226, 0.06039360910654068, 0.01940634660422802, 0.03011082112789154, 0.0765877217054367, 0.053275786340236664, 0.004957752767950296, 0.05981023982167244, 0.09276584535837173, 0.03809911012649536, 0.0005778925260528922, 0.05543612316250801, 0.01707036979496479, 0.057464051991701126, 0.024178046733140945, 0.05466870591044426, 0.01805192232131958, 0.039211079478263855, 0.013091212138533592, 0.010687727481126785, 0.016419364139437675, 0.0322566032409668, 0.015732234343886375, 0.03858312964439392, 0.004170839209109545, 0.08324877172708511, 0.00460087601095438, 0.024754583835601807, 0.015328631736338139, 0.010199175216257572, 0.017705528065562248, 0.0226763729006052, 0.06534504890441895, 0.008628756739199162, 0.02694016508758068, 0.046158578246831894, 0.06686857342720032, 0.02420593611896038, 0.025611402466893196, 0.06102614477276802, 0.060346391052007675, 0.021566281095147133, 0.10469900816679001, 0.024451078847050667, 0.07598386704921722, 0.027311628684401512, 0.01594279333949089, 0.0155679602175951, 0.012456904165446758, 0.024210721254348755, 0.008813520893454552, 0.005808246321976185, 0.006390996277332306, 0.029746543616056442, 0.054530974477529526, 0.012465939857065678, 0.035433635115623474, 0.015560557134449482, 0.023494234308600426, 6.351438059937209e-05, 0.050232648849487305, 0.012992003932595253, 0.02357642911374569, 0.017458539456129074, 0.03799367696046829, 0.028640462085604668, 0.05612250044941902, 0.011678129434585571, 0.026030616834759712, 0.03886689990758896, 0.01054882537573576, 0.008742033503949642, 0.0032886769622564316, 0.02815614640712738, 0.004863448906689882, 0.049948155879974365, 0.009017197415232658, 0.03309417888522148, 0.016564782708883286, 0.026102613657712936, 0.004841234534978867, 0.08551399409770966, 0.013249555602669716, 0.009002805687487125, 0.013869622722268105, 0.037318795919418335]"
F5,"[0.0099103432148695, 0.06995660066604614, 0.03382159397006035, 0.0053724003955721855, 0.024458235129714012, 0.00827246904373169, 0.05513685196638107, 0.008595811203122139, 0.005529484711587429, 0.03755557909607887, 0.01583932153880596, 0.025995483621954918, 0.029717545956373215, 0.042044542729854584, 0.0438816174864769, 0.020119154825806618, 0.01051162276417017, 0.0327678844332695, 0.018878843635320663, 0.026597311720252037, 0.014912506565451622, 0.027829410508275032, 0.0026034109760075808, 0.034667350351810455, 0.029643051326274872, 0.00410893140360713, 0.05489972233772278, 0.036691803485155106, 0.0229930616915226, 0.04718763008713722, 0.03268043324351311, 0.0119690652936697, 0.0067216092720627785, 0.02826361544430256, 0.013355567120015621, 0.03496604412794113, 0.006493858993053436, 0.036957670003175735, 0.03679274767637253, 0.006964562460780144, 0.010538418777287006, 0.017855525016784668, 0.021380703896284103, 0.05384240299463272, 0.04104417935013771, 0.01660183258354664, 0.03187410160899162, 0.03763282299041748, 0.005375158041715622, 0.03230313956737518, 0.07868679612874985, 0.063025563955307, 0.00832902267575264, 0.03534957021474838, 0.02705453895032406, 0.04199371114373207, 0.0049399384297430515, 0.043552398681640625, 0.004050239454954863, 0.024560371413826942, 0.003913779743015766, 0.0020250927191227674, 0.03680035099387169, 0.020410973578691483, 0.01952558383345604, 0.052944082766771317, 0.002410185756161809, 0.05299548804759979, 0.0024058364797383547, 0.019034922122955322, 0.01941182278096676, 0.009139645844697952, 0.02659064158797264, 0.023500297218561172, 0.046686671674251556, 0.012560050003230572, 0.045595284551382065, 0.04360612481832504, 0.04471255838871002, 0.048831064254045486, 0.0006038563442416489, 0.044068753719329834, 0.05711133033037186, 0.0355614610016346, 0.11003167927265167, 0.047423530369997025, 0.06945253908634186, 0.05209561437368393, 0.020643286406993866, 0.03130432218313217, 0.035134222358465195, 0.01038192305713892, 0.030307475477457047, 0.01830969750881195, 0.018057895824313164, 0.0064061484299600124, 0.06318990886211395, 0.004732298664748669, 0.020328762009739876, 0.016160383820533752, 0.027315229177474976, 0.0021463644225150347, 0.057414691895246506, 0.01146542839705944, 0.009611940942704678, 0.021953986957669258, 0.031433477997779846, 0.05804893746972084, 0.06553292274475098, 0.02353026159107685, 0.010492697358131409, 0.06424417346715927, 0.012314584106206894, 0.025847559794783592, 0.03397592157125473, 0.011126847937703133, 0.014718522317707539, 0.0140300951898098, 0.04595455899834633, 0.00658115791156888, 0.004265953786671162, 0.050345033407211304, 0.01901899091899395, 0.0854792669415474, 0.016433632001280785, 0.03501809015870094, 0.004774407017976046, 0.044321462512016296]"
F6,"[0.012255876325070858, 0.07954418659210205, 0.052858617156744, 0.014267930760979652, 0.028422299772500992, 0.011677018366754055, 0.035008229315280914, 0.002750636776909232, 0.006054216530174017, 0.0431257002055645, 0.02012433111667633, 0.03323525935411453, 0.03322339430451393, 0.03465384617447853, 0.030175788328051567, 0.029847007244825363, 0.023061348125338554, 0.041550833731889725, 0.02466711401939392, 0.02173478715121746, 0.006757425609976053, 0.03032832033932209, 0.01915685087442398, 0.027549659833312035, 0.014753025025129318, 0.0311904139816761, 0.02545844204723835, 0.04500379040837288, 0.02179158665239811, 0.011042498983442783, 0.04294150322675705, 0.008533891290426254, 0.020265942439436913, 0.03872920572757721, 0.020369267091155052, 0.01725565269589424, 0.021642813459038734, 0.0013979398645460606, 0.04071227088570595, 0.032470472157001495, 0.043211933225393295, 0.033254120498895645, 0.016289226710796356, 0.05805221572518349, 0.05062738060951233, 0.008545119315385818, 0.03018290176987648, 0.04736785963177681, 0.015496273525059223, 0.06997237354516983, 0.07829775661230087, 0.06868883967399597, 0.011156860738992691, 0.07048141956329346, 0.030911432579159737, 0.0663079097867012, 0.0012616908643394709, 0.060850840061903, 0.014448456466197968, 0.0556686706840992, 0.0017991613131016493, 0.007372437044978142, 0.022212443873286247, 0.009011179208755493, 0.01792006939649582, 0.04092421010136604, 0.0034907369408756495, 0.08423330634832382, 0.00873008742928505, 0.0005469127208925784, 0.05683956295251846, 0.013244020752608776, 0.0047457655891776085, 0.0038247318007051945, 0.06512559205293655, 0.013488479889929295, 0.034177687019109726, 0.039707403630018234, 0.07247088849544525, 0.03946535661816597, 0.008763798512518406, 0.04316745325922966, 0.0549645759165287, 0.012567267753183842, 0.08253709971904755, 0.024526473134756088, 0.035301100462675095, 0.046286121010780334, 0.04080989956855774, 0.03771547973155975, 0.028741056099534035, 0.05312636122107506, 0.007530009839683771, 0.009343273937702179, 0.002478823298588395, 0.01995087042450905, 0.0573815293610096, 0.03063639998435974, 0.013692471198737621, 0.018203889951109886, 0.015918409451842308, 0.0030651306733489037, 0.03636173531413078, 0.017473513260483742, 0.01849779672920704, 0.011816821061074734, 0.04326058179140091, 0.06985623389482498, 0.0462588332593441, 0.003964791540056467, 0.02823941595852375, 0.05356026813387871, 0.0377468504011631, 0.003734170226380229, 0.015187238343060017, 0.0004276067193131894, 0.007498411927372217, 0.03468520939350128, 0.033371392637491226, 0.00865614041686058, 0.026241697371006012, 0.058205898851156235, 0.026222776621580124, 0.06421743333339691, 0.009977239184081554, 0.0013379364972934127, 0.005460856948047876, 0.04614845663309097]"
F7,"[0.024842657148838043, 0.10210880637168884, 0.0218215174973011, 0.003429800970479846, 0.0449829064309597, 0.02239292301237583, 0.053143180906772614, 0.011952868662774563, 0.007233157753944397, 0.045290734618902206, 0.020328156650066376, 0.026235179975628853, 0.02895117923617363, 0.041120320558547974, 0.02106902003288269, 0.02557423897087574, 0.0038795906584709883, 0.01781456172466278, 0.017006143927574158, 0.00811188668012619, 0.004478572402149439, 0.0163634791970253, 0.029121458530426025, 0.03992597758769989, 0.023304175585508347, 0.03783957287669182, 0.02168625220656395, 0.02583622746169567, 0.006270669400691986, 0.012921653687953949, 0.003226020373404026, 0.0122138112783432, 0.005571512971073389, 0.05479690805077553, 0.015651071444153786, 0.01617591083049774, 0.010196019895374775, 0.026040708646178246, 0.029445692896842957, 0.026616239920258522, 0.019578702747821808, 0.04716069623827934, 0.03373633697628975, 0.05466176196932793, 0.048611581325531006, 0.021575970575213432, 0.05552532151341438, 0.04461885243654251, 0.0030052002985030413, 0.050697535276412964, 0.08153610676527023, 0.02649337612092495, 0.026127027347683907, 0.06183214485645294, 0.037811748683452606, 0.06771081686019897, 0.020820636302232742, 0.04986016824841499, 0.028643783181905746, 0.04888597130775452, 0.010179217904806137, 0.013516290113329887, 0.004936916287988424, 0.01676105335354805, 0.017261313274502754, 0.016810426488518715, 0.012491149827837944, 0.07654090970754623, 0.003913962747901678, 0.02371932566165924, 0.032610081136226654, 0.019686110317707062, 0.0068658930249512196, 0.00035922587267123163, 0.06495112180709839, 0.015208876691758633, 0.02654178813099861, 0.05947238951921463, 0.07778758555650711, 0.04799772426486015, 9.987732482841238e-05, 0.06871382892131805, 0.05734947323799133, 0.03657613322138786, 0.06790298968553543, 0.015441338531672955, 0.07056228071451187, 0.04505182430148125, 0.04813886433839798, 0.03489425778388977, 0.0017706234939396381, 0.02554922364652157, 0.01526207011193037, 0.011166015639901161, 0.0013091412838548422, 0.016067110002040863, 0.058797091245651245, 0.028094634413719177, 0.004261315800249577, 0.01572023145854473, 0.02897443249821663, 0.010751335881650448, 0.04906240105628967, 0.0049305260181427, 0.00045374641194939613, 0.039945051074028015, 0.0495104119181633, 0.05892594903707504, 0.04106011241674423, 0.01573787070810795, 0.010388795286417007, 0.05223502591252327, 0.027743637561798096, 0.010282414965331554, 0.043766655027866364, 0.014181098900735378, 0.019888175651431084, 0.044703222811222076, 0.03863227367401123, 0.006917686201632023, 0.003968620672821999, 0.06298406422138214, 0.009362231008708477, 0.07713447511196136, 0.003743051318451762, 0.019800348207354546, 0.015590437687933445, 0.07334572821855545]"
F8,"[0.06731773167848587, 0.1118772029876709, 0.030520284548401833, 0.02587105892598629, 0.052869249135255814, 0.0015990182291716337, 0.03845059871673584, 0.022140130400657654, 0.005376130808144808, 0.049030620604753494, 0.031184589490294456, 0.006254428066313267, 0.03316069394350052, 0.07196377962827682, 0.026508865877985954, 0.0061762151308357716, 0.0019705912563949823, 0.011866578832268715, 0.0016943340888246894, 0.006844342686235905, 0.023744365200400352, 0.02088973857462406, 0.024842552840709686, 0.012314295396208763, 0.0100602051243186, 0.026257427409291267, 0.030826320871710777, 0.021836090832948685, 0.009080186486244202, 0.03150491043925285, 0.026531992480158806, 0.001363665098324418, 0.0248467568308115, 0.026293909177184105, 0.0364525280892849, 0.011577917262911797, 0.004402774851769209, 0.00685885502025485, 0.02807421237230301, 0.018997609615325928, 0.05009831115603447, 0.04410397261381149, 0.003730089170858264, 0.06351189315319061, 0.03674658387899399, 0.019975783303380013, 0.07635124772787094, 0.050465814769268036, 0.0024810682516545057, 0.02613188698887825, 0.07425764203071594, 0.04605233296751976, 0.013516834937036037, 0.057700157165527344, 0.03278466314077377, 0.04322485253214836, 0.0191947091370821, 0.055336080491542816, 0.003000186989083886, 0.03145519644021988, 0.019352130591869354, 0.0053871870040893555, 0.03653084114193916, 0.032405976206064224, 0.011504853144288063, 0.040095243602991104, 0.021469710394740105, 0.06465639173984528, 0.0016020045150071383, 0.005889771971851587, 0.022721191868185997, 0.029585378244519234, 0.026232972741127014, 0.008855780586600304, 0.08206021785736084, 0.050754912197589874, 0.04244556277990341, 0.05149700492620468, 0.045530062168836594, 0.06173565611243248, 0.01033721026033163, 0.06966002285480499, 0.04741673544049263, 0.021034052595496178, 0.09440308809280396, 0.005728672258555889, 0.03844548761844635, 0.026853203773498535, 0.031536903232336044, 0.006716443691402674, 0.0032593715004622936, 0.05378256365656853, 0.02863466367125511, 0.020932337269186974, 0.03549159690737724, 0.0010869825491681695, 0.04996899515390396, 0.012872330844402313, 0.0008508895989507437, 0.010846609249711037, 0.017872562631964684, 0.026380088180303574, 0.044943030923604965, 0.010201056487858295, 0.00035364707582630217, 0.02762417495250702, 0.008229805156588554, 0.07950801402330399, 0.06526876986026764, 0.0029518730007112026, 0.02025226131081581, 0.07409852743148804, 0.030884835869073868, 0.011023949831724167, 0.033951517194509506, 0.021080002188682556, 0.02513403631746769, 0.010414522141218185, 0.022329680621623993, 0.007297541946172714, 0.00814097747206688, 0.057365432381629944, 0.022350329905748367, 0.07814864814281464, 0.007914694026112556, 0.006905915215611458, 0.029989557340741158, 0.0636729747056961]"
F9,"[0.04079587012529373, 0.091995470225811, 0.038866620510816574, 0.00032181316055357456, 0.06970585882663727, 0.010486587882041931, 0.053635258227586746, 0.02431843988597393, 0.015024610795080662, 0.06869997829198837, 0.02124842256307602, 0.00936605129390955, 0.023586886003613472, 0.04427624121308327, 0.043425414711236954, 0.02751035988330841, 0.02661926858127117, 0.012513266876339912, 0.027526674792170525, 0.017458591610193253, 0.012092827819287777, 0.021913772448897362, 0.013511331751942635, 0.01392382476478815, 0.007239713799208403, 0.0035297165159136057, 0.010444309562444687, 0.04339734837412834, 0.016256628558039665, 0.050527844578027725, 0.033978987485170364, 0.005447614472359419, 0.0009367491002194583, 0.06088888272643089, 0.007003003265708685, 0.023839792236685753, 0.013547838665544987, 0.016791632398962975, 0.0496249794960022, 0.022746993228793144, 0.025618553161621094, 0.03933878242969513, 0.005010784603655338, 0.06117377430200577, 0.015987878665328026, 0.027303000912070274, 0.06516878306865692, 0.043980762362480164, 0.02468973770737648, 0.037677593529224396, 0.08082782477140427, 0.061703335493803024, 0.01608065888285637, 0.07340767979621887, 0.05616169422864914, 0.046234987676143646, 0.011438482441008091, 0.04623376950621605, 0.02578255534172058, 0.054287489503622055, 0.018040606752038002, 0.010678600519895554, 0.04121474176645279, 0.009840816259384155, 0.014749518595635891, 0.018530551344156265, 0.019100787118077278, 0.05967220291495323, 0.038172945380210876, 0.01122998632490635, 0.026697535067796707, 0.0013517520856112242, 0.004418982192873955, 0.01011627446860075, 0.06311575323343277, 0.03067559003829956, 0.03261461481451988, 0.08180844783782959, 0.06321209669113159, 0.0535399466753006, 0.038826242089271545, 0.07863349467515945, 0.060730621218681335, 0.03462063521146774, 0.07583999633789062, 0.019477063789963722, 0.05981620401144028, 0.022950856015086174, 0.05706615746021271, 0.03561139479279518, 0.016597257927060127, 0.015764109790325165, 0.02550560235977173, 0.012296604923903942, 0.010031799785792828, 0.02227199450135231, 0.08369605988264084, 0.011081277392804623, 0.025159331038594246, 0.03974277526140213, 0.013951407745480537, 0.03143457695841789, 0.033409323543310165, 0.01155169028788805, 0.01927739940583706, 0.022333595901727676, 0.05135491490364075, 0.06880363076925278, 0.06286857277154922, 0.012676347978413105, 0.00787509698420763, 0.0647800862789154, 0.002207735786214471, 0.012588155455887318, 0.012666365131735802, 0.016226788982748985, 0.007512567564845085, 0.02018594741821289, 0.027242451906204224, 0.012296787463128567, 0.007719880901277065, 0.0640241727232933, 0.0010564647382125258, 0.06580253690481186, 0.005053670145571232, 0.0007891097338870168, 0.019411450251936913, 0.0657130777835846]"
F10,"[0.04755895584821701, 0.1292591243982315, 0.07110480219125748, 0.019061602652072906, 0.03743264451622963, 0.024660730734467506, 0.025822896510362625, 0.014551890082657337, 0.007224756758660078, 0.07504691183567047, 0.0016691111959517002, 0.022028835490345955, 0.036408331245183945, 0.05732707306742668, 0.036280035972595215, 0.019426176324486732, 0.025447698310017586, 0.007978402078151703, 0.02480061538517475, 0.03679797798395157, 0.01711784116923809, 0.03604584187269211, 0.05291453376412392, 0.0199129655957222, 0.0021886604372411966, 0.028416918590664864, 0.03673475608229637, 0.0066365464590489864, 0.0028249502647668123, 0.03390607237815857, 0.027224915102124214, 0.0034724914003163576, 0.031871311366558075, 0.07074502110481262, 0.02480597048997879, 0.001079891691915691, 0.00979805737733841, 0.04912974685430527, 0.015977298840880394, 0.030115660279989243, 0.011217709630727768, 0.04749108850955963, 0.03277663514018059, 0.06077732518315315, 0.013111541047692299, 0.006490517407655716, 0.07527698576450348, 0.024811701849102974, 0.011530286632478237, 0.0473080538213253, 0.05727599188685417, 0.03046693652868271, 0.010322630405426025, 0.08511599898338318, 0.06889522075653076, 0.039113227277994156, 0.000765130971558392, 0.03695052117109299, 0.029207538813352585, 0.040961381047964096, 0.013728662393987179, 0.011591524817049503, 0.02910308539867401, 0.0026395898312330246, 0.021132739260792732, 0.03269846364855766, 0.02392374910414219, 0.03769220411777496, 0.01706570014357567, 0.012626630254089832, 0.04016479104757309, 0.03512179106473923, 0.02048691175878048, 0.009931773878633976, 0.031823985278606415, 0.02944788709282875, 0.04478786140680313, 0.058474209159612656, 0.024976996704936028, 0.05591585487127304, 0.051774974912405014, 0.06684856861829758, 0.045107170939445496, 0.02920224331319332, 0.09108980745077133, 0.03796118497848511, 0.04169255867600441, 0.03180734068155289, 0.028633030131459236, 0.017081884667277336, 0.0136564327403903, 0.02982027269899845, 0.05140495300292969, 0.032061655074357986, 0.024234110489487648, 0.011739137582480907, 0.07382674515247345, 0.009289062581956387, 0.028244810178875923, 0.016753064468503, 0.050950124859809875, 0.037513379007577896, 0.03810954466462135, 0.005353757180273533, 0.0012672720476984978, 0.04848801717162132, 0.025235846638679504, 0.07983995974063873, 0.05711374804377556, 0.031974781304597855, 0.009512892924249172, 0.08618903905153275, 0.02560807205736637, 0.0038085072301328182, 0.02415282279253006, 0.0011374835157766938, 0.013909678906202316, 0.03155018389225006, 0.022651219740509987, 0.019999930635094643, 0.021313883364200592, 0.05293590947985649, 0.0004868894466198981, 0.0785619243979454, 0.01684427447617054, 0.0045555061660707, 0.02390570379793644, 0.04654613137245178]"
