feature,weight_list
F1,"[0.018605098128318787, 0.004002772271633148, 0.006389059592038393, 0.025757398456335068, 0.017119986936450005, 0.011876235716044903, 0.0027781797107309103, 0.03121543489396572, 0.017121780663728714, 0.010066503658890724, 0.03677888214588165, 0.01957623101770878, 0.015995120629668236, 0.017474884167313576, 0.06562653183937073, 0.035911984741687775, 0.0001324160402873531, 0.024924984201788902, 0.062136802822351456, 0.02710927650332451, 0.004913062788546085, 0.005095004104077816, 0.002214559819549322, 0.030801398679614067, 0.01894131302833557, 0.007224540691822767, 0.016359398141503334, 0.0022844949271529913, 0.02468172088265419, 0.012344502843916416, 0.007816175930202007, 0.032173145562410355, 0.05815616250038147, 0.02196711301803589, 0.01600261591374874, 0.001239348785020411, 0.014558800496160984, 0.011585605330765247, 0.007347763981670141, 0.0008102700230665505, 0.0007517890189774334, 0.017312895506620407, 0.001430021715350449, 0.02229604683816433, 0.0610649511218071, 0.03255270794034004, 0.039397526532411575, 0.015663325786590576, 0.026567550376057625, 0.045994240790605545, 0.0183840524405241, 0.023453645408153534, 0.002291453769430518, 0.0023926247376948595, 0.03206296265125275, 0.03474166616797447, 0.038911450654268265, 0.04574079439043999, 0.021112343296408653, 0.04223218932747841, 0.04745953902602196, 0.02843114547431469, 0.01682371087372303, 0.04098708555102348, 0.03338303416967392, 0.042328108102083206, 0.00396659504622221, 0.0010300135472789407, 0.026942582800984383, 0.0006111304392106831, 0.01463538222014904, 0.01886075548827648, 0.05439656600356102, 0.005655015353113413, 0.05353371798992157, 0.037019990384578705, 0.03255978226661682, 0.013176900334656239, 0.023004857823252678, 0.04053945094347, 0.00206915196031332, 0.03472614288330078, 0.0010110267903655767, 0.03013896569609642, 0.0374799408018589, 0.013853955082595348, 0.0031460600439459085, 0.0009183262009173632, 0.0015332467155531049, 0.03915980085730553, 0.0042884452268481255, 0.07233678549528122, 0.002170426771044731, 0.04335574060678482, 0.01069007720798254, 0.004083529580384493, 0.0026084654964506626, 0.01134016364812851, 0.019430696964263916, 0.014199883677065372, 0.007448326796293259, 0.013474984094500542, 0.00052896689157933, 0.06775548309087753, 0.015878697857260704, 0.016897480934858322, 0.007928495295345783, 0.02904500439763069, 0.00792162586003542, 0.06382496654987335, 0.011826849542558193, 0.030000612139701843, 0.0356297567486763, 0.0065866378135979176, 0.048671793192625046, 0.0030260018538683653, 0.014803843572735786, 0.02839474566280842, 0.0335288904607296, 0.005445729475468397, 0.03639489412307739, 0.026772767305374146, 0.01351389940828085, 0.01936970464885235, 0.006517084315419197, 0.040209174156188965, 0.007221585605293512, 0.010783317498862743]"
F2,"[0.07732824236154556, 0.017230022698640823, 0.045445360243320465, 0.015451471321284771, 0.053962673991918564, 0.02797914668917656, 0.0207123514264822, 0.011450414545834064, 0.035058341920375824, 0.006207202561199665, 0.021042872220277786, 0.03516491875052452, 0.0685967355966568, 0.04540571942925453, 0.06798344105482101, 0.0811203345656395, 0.015864631161093712, 0.023820020258426666, 0.016776930540800095, 0.012283414602279663, 0.10017522424459457, 0.030724171549081802, 0.0015130076790228486, 0.057336583733558655, 0.117366261780262, 0.056189458817243576, 0.04581766575574875, 0.011552407406270504, 0.017090247943997383, 0.054061856120824814, 0.08884171396493912, 0.039269737899303436, 0.058754295110702515, 0.054026540368795395, 0.013044359162449837, 0.006462247110903263, 0.09244245290756226, 0.042882416397333145, 0.059968989342451096, 0.03512585535645485, 0.004164956044405699, 0.05147312209010124, 0.035807348787784576, 0.008575423620641232, 0.04883716255426407, 0.07990414649248123, 0.03042961284518242, 0.026710981503129005, 0.03167098015546799, 0.00875181332230568, 0.046107009053230286, 0.008977311663329601, 0.0334206260740757, 0.03828507661819458, 0.07690002024173737, 0.026415430009365082, 0.021273115649819374, 0.018886692821979523, 0.15256784856319427, 0.013192377984523773, 0.014733619056642056, 0.022903280332684517, 0.05452593415975571, 0.06759871542453766, 0.05661889538168907, 0.09334384649991989, 0.09396431595087051, 0.0007808697992004454, 0.013059631921350956, 0.04195388779044151, 0.029317501932382584, 0.023919807747006416, 0.12481898814439774, 0.09318770468235016, 0.027978872880339622, 0.060610558837652206, 0.03878885507583618, 0.06597588211297989, 0.03873036429286003, 0.07120601087808609, 0.10312788188457489, 0.026774892583489418, 0.02085704915225506, 0.0699944943189621, 0.03970721364021301, 0.04376252740621567, 0.005148739088326693, 0.03461765870451927, 0.018504701554775238, 0.045986808836460114, 0.08510676771402359, 0.03428292274475098, 0.06610733270645142, 8.315526065416634e-05, 0.030530985444784164, 0.1102500930428505, 0.08308891952037811, 0.000135785827296786, 0.10639261454343796, 0.0026510246098041534, 0.019474590197205544, 0.006771204527467489, 0.005214835051447153, 0.02485715225338936, 0.01736478880047798, 0.0016373021062463522, 0.051933664828538895, 0.04789435490965843, 0.06029636040329933, 0.025843126699328423, 0.010708252899348736, 0.07107479125261307, 0.10484907031059265, 0.024129414930939674, 0.07332059741020203, 0.021224502474069595, 0.0431133508682251, 0.04482952877879143, 0.01086036954075098, 0.007569975219666958, 0.058250557631254196, 0.06478068977594376, 0.06315682828426361, 0.005337582901120186, 0.030647147446870804, 0.007983003742992878, 0.013177166692912579, 0.04387595131993294]"
F3,"[0.010474501177668571, 0.042297907173633575, 0.044948529452085495, 0.005676737520843744, 0.054248299449682236, 0.11185391992330551, 0.03101608157157898, 0.021151354536414146, 0.058163177222013474, 0.08997253328561783, 0.06726378202438354, 0.029805706813931465, 0.05624968931078911, 0.008059303276240826, 0.07505884766578674, 0.057189930230379105, 0.029440514743328094, 0.03439154475927353, 0.023825010284781456, 0.007729826029390097, 0.03056159056723118, 0.028523489832878113, 0.033361345529556274, 0.02365753799676895, 0.10055515170097351, 0.013006878085434437, 0.07360713183879852, 0.021870283409953117, 0.07072719186544418, 0.0087186424061656, 0.12443245947360992, 0.02455693669617176, 0.06286535412073135, 0.02607499249279499, 0.012270220555365086, 0.0746295303106308, 0.07818127423524857, 0.04664665460586548, 0.03925785422325134, 0.12412059307098389, 0.05120638385415077, 0.010568610392510891, 0.056205280125141144, 0.08559165894985199, 0.07300679385662079, 0.017126373946666718, 0.008847754448652267, 0.025575241073966026, 0.1360235959291458, 0.055497922003269196, 0.005088873207569122, 0.002268505049869418, 0.051986563950777054, 0.003904769429937005, 0.011439279653131962, 0.06215338781476021, 0.08413591235876083, 0.08159677684307098, 0.1034461036324501, 0.003902047174051404, 0.07790061831474304, 0.0509980283677578, 0.0008982048602774739, 0.10163388401269913, 0.1515289694070816, 0.06447376310825348, 0.034225933253765106, 0.007620321586728096, 0.08475406467914581, 0.08178386837244034, 0.049811188131570816, 0.00921921618282795, 0.02546040154993534, 0.05247391015291214, 0.06509888917207718, 0.006743685808032751, 0.032577481120824814, 0.05714556574821472, 0.013687798753380775, 0.12876556813716888, 0.06347451359033585, 0.02455616556107998, 0.04944615438580513, 0.0022003755439072847, 0.0015898077981546521, 0.04386920854449272, 0.057463638484478, 0.09712814539670944, 0.0263227391988039, 0.01988815888762474, 0.08214948326349258, 0.06382405012845993, 0.004930781200528145, 0.02793436497449875, 0.020726554095745087, 0.10832396894693375, 0.03956637531518936, 0.04977981001138687, 0.09315511584281921, 0.09840792417526245, 0.043983619660139084, 0.013206511735916138, 0.01584230549633503, 0.021404754370450974, 0.028908073902130127, 0.04285839572548866, 0.07607091218233109, 0.03863038495182991, 0.017595840618014336, 0.024781815707683563, 0.062529057264328, 0.05117801949381828, 0.0333666056394577, 0.08801138401031494, 0.04568735137581825, 0.02497461996972561, 0.10492034256458282, 0.032967694103717804, 0.0002769247512333095, 0.07213711738586426, 0.06639187783002853, 0.02683180384337902, 0.00909893773496151, 0.008781535550951958, 0.044949740171432495, 0.07458379864692688, 0.08945012092590332, 0.047821495682001114]"
F4,"[0.02607133612036705, 0.036185696721076965, 0.005984836723655462, 0.050870418548583984, 0.05017837882041931, 0.07741787284612656, 0.029520971700549126, 0.07883597910404205, 0.039377253502607346, 0.005099106580018997, 0.051186006516218185, 0.021168380975723267, 0.019842062145471573, 0.08426430821418762, 0.007388047408312559, 0.050020940601825714, 0.002329912967979908, 0.07008383423089981, 0.05047448351979256, 0.025807658210396767, 0.008619834668934345, 0.0019330665236338973, 0.039859142154455185, 0.009518064558506012, 0.026975171640515327, 0.0023752767592668533, 0.06058596447110176, 0.024512140080332756, 0.07174486666917801, 0.06251165270805359, 0.05881432443857193, 0.011531162075698376, 0.03426992893218994, 0.006938121747225523, 0.09662038832902908, 0.008517218753695488, 0.06797220557928085, 0.028812555596232414, 0.0483982227742672, 0.006080630235373974, 0.0017740082694217563, 0.048587847501039505, 0.04870287701487541, 0.03598750755190849, 0.0075258552096784115, 0.04356237128376961, 0.0201946422457695, 0.019342266023159027, 0.04028220474720001, 0.0013474044390022755, 0.0720599815249443, 0.09588528424501419, 0.0004647004243452102, 0.046720027923583984, 0.0036156310234218836, 0.020547721534967422, 0.04789483919739723, 0.05171902850270271, 0.0013147526187822223, 0.0585428886115551, 0.009802750311791897, 0.025625120848417282, 0.005249357316643, 0.043334390968084335, 0.031778495758771896, 0.004974802490323782, 0.006033797282725573, 0.020164065062999725, 0.006987971253693104, 0.002284036483615637, 0.056390002369880676, 0.05302717536687851, 0.03302227705717087, 0.037119537591934204, 0.04572112113237381, 0.0575469434261322, 0.018946876749396324, 0.041231341660022736, 0.01750233769416809, 0.10920242220163345, 0.04787032678723335, 0.028535306453704834, 0.03250934183597565, 0.010082386434078217, 0.04016745835542679, 0.021044177934527397, 0.05539878085255623, 0.005014569498598576, 0.00023141135170590132, 0.008085322566330433, 0.022091297432780266, 0.012733989395201206, 0.013637715950608253, 0.028669165447354317, 0.05954107269644737, 0.06429978460073471, 0.03739968687295914, 0.06761039048433304, 0.10229784995317459, 0.019804779440164566, 0.052770186215639114, 0.0852871984243393, 0.028196772560477257, 0.013735887594521046, 0.05895773693919182, 0.029406921938061714, 0.02281871624290943, 0.051980070769786835, 0.009935854002833366, 0.10244395583868027, 0.007166892755776644, 0.026561999693512917, 0.08733678609132767, 0.06849069148302078, 0.020636608824133873, 0.02546028234064579, 0.007770915050059557, 0.1001301035284996, 0.07365959137678146, 0.0663381889462471, 0.036004744470119476, 0.06932299584150314, 0.08691924065351486, 0.13457660377025604, 0.07013638317584991, 0.026904452592134476, 0.08108148723840714, 0.02232448197901249]"
F5,"[0.041928667575120926, 0.016061555594205856, 0.023347241804003716, 0.01666373573243618, 0.0022705448791384697, 0.021217672154307365, 0.017035963013768196, 0.004740190226584673, 0.011920795775949955, 0.027589306235313416, 0.09120158106088638, 0.12897802889347076, 0.0033785433042794466, 0.026442265138030052, 0.06948643922805786, 0.008542679250240326, 0.032934583723545074, 0.0645875334739685, 0.12085108458995819, 0.08026985824108124, 0.04396005719900131, 0.002005011076107621, 0.11682980507612228, 0.016792142763733864, 0.10030520707368851, 0.029251186177134514, 0.022098345682024956, 0.012045007199048996, 0.052365493029356, 0.06584493070840836, 0.022474976256489754, 0.0061958422884345055, 0.0018556269351392984, 0.038612980395555496, 0.012857445515692234, 0.13748939335346222, 0.0061396388337016106, 0.033308062702417374, 0.07766614854335785, 0.03728951886296272, 0.06250464171171188, 0.006401479244232178, 0.0429597944021225, 0.05533339083194733, 0.04054027795791626, 0.028624746948480606, 0.09292285144329071, 0.026951003819704056, 0.004825680050998926, 0.07031089067459106, 0.007901938632130623, 0.0032613922376185656, 0.022018682211637497, 0.0648031085729599, 0.026040542870759964, 0.027052823454141617, 0.048749543726444244, 0.04479840770363808, 0.011054877191781998, 0.030699586495757103, 0.03158126771450043, 0.017402280122041702, 0.0681866854429245, 0.02366771548986435, 0.017280835658311844, 0.021644486114382744, 0.03954601660370827, 0.09088362753391266, 0.039262548089027405, 0.04625089839100838, 0.03209814801812172, 0.05234719067811966, 0.01992209255695343, 0.104084312915802, 0.03404102846980095, 0.012798672541975975, 0.02845347300171852, 0.0034793273080140352, 0.01717694289982319, 0.02653713896870613, 0.00405458826571703, 0.020385419949889183, 0.08943382650613785, 0.026569679379463196, 0.0547642707824707, 0.054651226848363876, 0.013352982699871063, 0.09202980995178223, 0.024432802572846413, 0.010153088718652725, 0.07734525203704834, 0.0675988644361496, 0.016196854412555695, 0.09611876308917999, 0.04188821464776993, 0.001566450111567974, 0.018066851422190666, 0.009791174903512001, 0.0035117901861667633, 0.08288278430700302, 0.02764948271214962, 0.09092351794242859, 0.06682892143726349, 0.02318437397480011, 0.015001632273197174, 0.03102322481572628, 0.024761565029621124, 0.008050727657973766, 0.03898310661315918, 0.017124658450484276, 0.03750123828649521, 0.06324803084135056, 0.07567847520112991, 0.009024250321090221, 0.0019913583528250456, 0.03639024868607521, 0.03237130865454674, 0.017651984468102455, 0.044922083616256714, 0.01868199184536934, 0.033669084310531616, 0.06790166348218918, 0.0024728490971028805, 0.0021884453017264605, 0.015118014998733997, 0.06184320151805878, 0.018629897385835648, 0.00536185409873724]"
F6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
F7,"[0.0009279317455366254, 0.02949005365371704, 0.08448605239391327, 0.03503041714429855, 0.0015295521588996053, 0.10203377902507782, 0.035749200731515884, 0.0760682076215744, 0.029005978256464005, 0.04433048143982887, 0.0411713607609272, 0.002183725591748953, 0.001367478515021503, 0.037200819700956345, 0.021385179832577705, 0.06974422186613083, 0.027943069115281105, 0.02504419907927513, 0.020352890715003014, 0.04607490077614784, 0.04423106461763382, 0.037193939089775085, 0.03732309862971306, 0.0476871058344841, 0.01716206595301628, 0.09460031986236572, 0.02997654676437378, 0.0164389219135046, 0.015098434872925282, 0.05311895161867142, 0.05740251764655113, 0.035102009773254395, 0.14890028536319733, 0.06273709982633591, 0.00881192460656166, 0.02945106104016304, 0.02072129212319851, 0.004598311148583889, 0.036749936640262604, 0.01957998238503933, 0.044112976640462875, 0.05285317078232765, 0.025645524263381958, 0.09381144493818283, 0.08958043903112411, 0.08315128087997437, 0.008993474766612053, 0.05033981055021286, 0.008261405862867832, 0.025056954473257065, 0.002135465620085597, 0.09203140437602997, 0.0229331087321043, 0.026449568569660187, 0.05177520215511322, 0.02251909300684929, 0.04333939030766487, 0.0260635856539011, 0.010425765998661518, 0.04930037260055542, 0.07165304571390152, 0.03550592064857483, 0.04957418516278267, 0.0031941584311425686, 0.06701555103063583, 0.07582803070545197, 0.02221301943063736, 0.016962790861725807, 0.002771894447505474, 0.0010860766051337123, 0.004439032170921564, 0.0359613373875618, 0.022462114691734314, 0.021984059363603592, 0.05197158455848694, 0.04308026656508446, 0.024377182126045227, 0.03688163310289383, 0.05232355743646622, 0.04136268049478531, 0.014273235574364662, 0.034165821969509125, 0.0028316706884652376, 0.029364347457885742, 0.011179783381521702, 0.09585652500391006, 0.06625889986753464, 0.04906387999653816, 0.02771320752799511, 0.046868421137332916, 0.0014343131333589554, 0.07067148387432098, 0.006383397150784731, 0.01576503925025463, 0.0522863008081913, 0.03688061982393265, 0.0024892427027225494, 0.021364064887166023, 0.04008108004927635, 0.058837585151195526, 0.0437583364546299, 0.016215156763792038, 0.009158564731478691, 0.04797732084989548, 0.027307698503136635, 0.12976503372192383, 0.009851370938122272, 0.0013927281834185123, 0.017473315820097923, 0.01088825985789299, 0.03873293101787567, 0.06261205673217773, 0.015007338486611843, 0.059462953358888626, 0.09974376112222672, 0.016584308817982674, 0.005260292440652847, 0.04039469361305237, 0.04057903587818146, 0.0808633342385292, 0.03439190611243248, 0.06368812173604965, 0.04730492830276489, 0.016417087987065315, 0.05357273295521736, 0.03261377289891243, 0.06472768634557724, 0.01825428381562233]"
F8,"[0.06412526965141296, 0.057342465966939926, 0.10768173635005951, 0.08541767299175262, 0.014325479976832867, 0.005092406179755926, 0.01983395405113697, 0.05328390747308731, 0.043760742992162704, 0.04429152235388756, 0.12318355590105057, 0.04752843827009201, 0.029892679303884506, 0.04838024079799652, 0.01785476878285408, 0.05205025523900986, 0.036067184060811996, 0.09253253787755966, 0.040866900235414505, 0.08942773938179016, 0.012883095070719719, 0.04026545584201813, 0.05192505940794945, 0.017419856041669846, 0.04091665521264076, 0.052416130900382996, 0.010458932258188725, 0.04291059821844101, 0.032671649008989334, 0.06669550389051437, 0.000580171647015959, 0.08866597712039948, 0.0335560068488121, 0.021400198340415955, 0.04358327388763428, 0.09980952739715576, 0.05174654349684715, 0.04354321211576462, 0.04925430193543434, 0.012456181459128857, 0.011888341046869755, 0.05403343215584755, 0.10380428284406662, 0.07866744697093964, 0.013777139596641064, 0.006421761121600866, 0.07794995605945587, 0.011641480028629303, 0.002134456066414714, 0.07965434342622757, 0.0034822009038180113, 0.027998806908726692, 0.06839146465063095, 0.009128337725996971, 0.0003018932184204459, 0.06086433678865433, 0.0025245333090424538, 0.05345625802874565, 0.14333108067512512, 0.010286768898367882, 0.03073214553296566, 0.011934568174183369, 0.04446855187416077, 0.03398613631725311, 0.04460214823484421, 0.006764963269233704, 0.04718852788209915, 0.005001141224056482, 0.04229956865310669, 0.024285728111863136, 0.02826492302119732, 0.0703975185751915, 0.03385169431567192, 0.020746925845742226, 0.0028206203132867813, 0.06698893010616302, 0.007937420159578323, 0.050743937492370605, 0.024275269359350204, 0.029290378093719482, 0.08456162363290787, 0.05692421272397041, 0.030019745230674744, 0.03947996348142624, 0.045412447303533554, 0.010564184747636318, 0.043163035064935684, 0.021710865199565887, 0.016041798517107964, 0.04971330985426903, 0.05702419579029083, 0.08452111482620239, 0.020788121968507767, 0.006715844385325909, 0.05765373259782791, 0.07576153427362442, 0.010805882513523102, 0.01862826943397522, 0.049063023179769516, 0.07776124775409698, 0.10055870562791824, 0.04055197909474373, 0.0036031040363013744, 0.08421313017606735, 0.014006130397319794, 0.031025581061840057, 0.053088754415512085, 0.008658898994326591, 0.12154508382081985, 0.026643579825758934, 0.06081383302807808, 0.09231489896774292, 0.05698546767234802, 0.003217656398192048, 0.04614535719156265, 0.04208465293049812, 0.0916701927781105, 0.012006761506199837, 0.03522467613220215, 0.007977437227964401, 0.0026470436714589596, 0.015862299129366875, 0.041378203779459, 0.05011719837784767, 0.016483964398503304, 0.0017949520843103528, 0.10104232281446457, 0.006952193100005388]"
F9,"[0.005531602073460817, 0.01857949234545231, 0.0022570788860321045, 0.004128663334995508, 0.013632534071803093, 0.005536142271012068, 0.00029119549435563385, 0.023044323548674583, 0.02147936448454857, 0.01422678679227829, 0.0035300147719681263, 0.01181745808571577, 0.0037017196882516146, 0.015779169276356697, 0.008324842900037766, 0.0006818020483478904, 0.024844463914632797, 0.004687543027102947, 0.0037951411213725805, 0.007365650497376919, 0.00011408717546146363, 0.00336200138553977, 0.006591745186597109, 0.018242087215185165, 0.0008655149722471833, 0.016977867111563683, 0.012408412992954254, 0.016718873754143715, 0.009338739328086376, 0.010293428786098957, 0.01566973701119423, 0.011899067088961601, 0.0025016211438924074, 0.0004270221688784659, 0.026097405701875687, 0.015070134773850441, 0.016213351860642433, 0.0066774096339941025, 0.01597127690911293, 0.0009838896803557873, 0.013405156321823597, 0.005402920767664909, 0.031370870769023895, 0.006078535225242376, 0.00682974886149168, 0.0071581085212528706, 0.01564342901110649, 0.004167338367551565, 0.026239518076181412, 0.032507579773664474, 0.0002760073111858219, 0.023982107639312744, 0.0038913683965802193, 0.007041855249553919, 0.020230652764439583, 0.0016070465790107846, 0.013173678889870644, 0.009108013473451138, 0.00445046741515398, 0.008495953865349293, 0.01791035756468773, 0.006527838762849569, 0.009000121615827084, 0.004665151704102755, 0.000438089482486248, 0.010446115396916866, 0.003240626072511077, 0.006138249766081572, 0.013269206508994102, 0.0015606668312102556, 0.006814067717641592, 0.0067784711718559265, 0.00866373535245657, 0.0006930675008334219, 0.007395525928586721, 0.015831395983695984, 0.01370975561439991, 0.00525854853913188, 0.0011278468882665038, 0.004903649445623159, 0.006126789376139641, 0.002057496691122651, 0.004294698126614094, 0.0072318692691624165, 0.026461074128746986, 0.0006151121342554688, 0.0009737297077663243, 0.025505496188998222, 0.014145899564027786, 0.021304408088326454, 0.011282132007181644, 0.0122604388743639, 0.012700672261416912, 0.015339815989136696, 0.007702209521085024, 0.029005948454141617, 0.021837392821907997, 0.012323309667408466, 0.018638277426362038, 0.014993111602962017, 0.0009803121211007237, 0.015606114640831947, 0.018392449244856834, 0.018978301435709, 0.0010760462610051036, 0.016269810497760773, 0.008529039099812508, 0.010213244706392288, 0.004773992579430342, 0.01580081135034561, 0.013757745735347271, 0.0025398542638868093, 0.011472567915916443, 0.013166595250368118, 0.016234926879405975, 0.008217774331569672, 0.00851557869464159, 0.01284717209637165, 0.012265508994460106, 0.0034270344767719507, 0.017166083678603172, 0.0068067517131567, 0.0006640681531280279, 0.017551666125655174, 0.001874728943221271, 0.020568450912833214, 0.01316742692142725, 0.010560250841081142]"
F10,"[0.0060541764833033085, 0.007155511062592268, 0.016060806810855865, 0.011451547034084797, 0.007114366162568331, 0.01106963399797678, 0.009203123860061169, 0.0033180806785821915, 0.007421053480356932, 0.027593253180384636, 0.0024370590690523386, 0.010605310089886189, 0.013190980069339275, 0.012490478344261646, 0.002083059400320053, 0.006285693030804396, 0.011553565040230751, 0.008560252375900745, 0.013333465903997421, 0.008773885667324066, 0.003407840384170413, 0.0022200385574251413, 0.007153650280088186, 0.008686649613082409, 0.00434428546577692, 0.007098449394106865, 0.008703764528036118, 0.01172536052763462, 0.0028591344598680735, 0.00830240361392498, 0.009613736532628536, 0.00650858785957098, 0.006197373848408461, 0.0033902842551469803, 0.005990242585539818, 0.010672872886061668, 0.0008187058265320957, 0.010661091655492783, 0.007077440619468689, 0.006971257738769054, 0.012877233326435089, 0.007488096132874489, 0.004475326277315617, 0.001125589245930314, 0.013948696665465832, 0.008192303590476513, 0.0035425119567662477, 0.004888675641268492, 0.012307820841670036, 0.008915130980312824, 0.008031459525227547, 0.008380575105547905, 0.013356554321944714, 0.0044298782013356686, 0.0028153329622000456, 0.010391871444880962, 0.008790886029601097, 0.008349659852683544, 0.0012536222347989678, 0.014231465756893158, 0.015620107762515545, 0.0022975848987698555, 0.0023894058540463448, 0.004636641126126051, 0.0027828982565551996, 0.00152896111831069, 0.023762797936797142, 0.010782136581838131, 0.000790286052506417, 0.007158149033784866, 0.0019340020371600986, 0.004394442308694124, 0.002245943760499358, 0.0017756848828867078, 0.0023911173921078444, 0.009508521296083927, 0.0032848177943378687, 0.0029319843742996454, 0.004951621405780315, 0.0014245056081563234, 7.120119335013442e-06, 0.012889230623841286, 0.003428794676437974, 0.0019234968349337578, 0.00232680537737906, 0.003248558845371008, 0.009703469462692738, 0.0013746035983785987, 0.002997712465003133, 0.006658054422587156, 0.0009090561652556062, 0.006285682320594788, 0.013383937068283558, 0.004377312958240509, 0.00028543020016513765, 0.013952050358057022, 0.011384688317775726, 0.0034537899773567915, 0.016648828983306885, 0.02399091050028801, 0.015814686194062233, 0.0021453145891427994, 0.00093748391373083, 0.009982818737626076, 0.00034811842488124967, 0.003995460458099842, 0.0053304266184568405, 0.013616377487778664, 0.012657489627599716, 0.010878054425120354, 0.016769664362072945, 0.0009098994778469205, 0.0015420601703226566, 0.006924002896994352, 0.0004594349884428084, 0.005067585036158562, 0.015073543414473534, 0.00591104244813323, 0.01265442930161953, 0.006400867830961943, 0.016750304028391838, 0.00640957010909915, 0.002775871194899082, 2.049589056696277e-05, 0.008251962251961231, 0.009733847342431545, 0.0007016552262939513, 0.008194035850465298]"
