feature,weight_list
F1,"[0.012304862029850483, 0.0218721404671669, 0.014233906753361225, 0.023652691394090652, 0.0051551382057368755, 0.014668786898255348, 0.05412042886018753, 0.047492679208517075, 0.0027308077551424503, 0.001499322010204196, 0.002142871730029583, 0.016964664682745934, 0.002216027583926916, 0.06024758145213127, 0.05570518225431442, 0.016583487391471863, 0.013932861387729645, 0.013395733200013638, 0.018097274005413055, 0.0038767619989812374, 0.012013638392090797, 0.010975522920489311, 0.03460755944252014, 0.0229483675211668, 0.048567261546850204, 0.02642974443733692, 0.007762196008116007, 0.023673465475440025, 0.034761231392621994, 0.008472464047372341, 0.019478829577565193, 0.0018626539967954159, 0.03160317242145538, 0.016718633472919464, 0.0024776922073215246, 0.005552415736019611, 0.02795582078397274, 0.008131839334964752, 0.00459464592859149, 0.025101011618971825, 0.04595435783267021, 0.03814949095249176, 0.01357517670840025, 0.02498253993690014, 0.027920978143811226, 0.02668963186442852, 0.02863684482872486, 0.0006025570328347385, 0.01266036182641983, 0.026781346648931503, 0.0024752342142164707, 0.027603546157479286, 0.011937174946069717, 0.028957566246390343, 0.036186084151268005, 0.022089796140789986, 0.016924167051911354, 0.0021030213683843613, 0.017756322398781776, 0.046881359070539474, 0.009898517280817032, 0.0018695674370974302, 0.036377519369125366, 0.016302770003676414, 0.013538278639316559, 0.04521986469626427, 0.008316049352288246, 0.0458337776362896, 0.011640220880508423, 0.017654113471508026, 0.05268861725926399, 0.008522767573595047, 0.022832170128822327, 0.012167813256382942, 0.026730993762612343, 0.016194550320506096, 0.0037797335535287857, 0.0030788250733166933, 0.004523040261119604, 0.005541325081139803, 0.028380531817674637, 0.0001491042785346508, 0.03788374736905098, 0.015230457298457623, 0.00696986261755228, 0.004390321206301451, 0.0013709707418456674, 0.056004106998443604, 0.030754784122109413, 0.021067937836050987, 0.04410228133201599, 0.014448133297264576, 0.013409560546278954, 0.013358654454350471, 0.03964716196060181, 0.027149220928549767, 0.013546931557357311, 0.003450320567935705, 0.02875206246972084, 0.045835405588150024, 0.004680568818002939, 0.04446352645754814, 0.0010636053048074245, 0.05976827070116997, 0.006023756694048643, 3.458400897216052e-05, 0.02427036315202713, 0.026801062747836113, 0.02882569283246994, 0.009673871099948883, 0.030721457675099373, 0.012289193458855152, 0.00034631433663889766, 0.00447691697627306, 0.007968515157699585, 0.008673926815390587, 0.005861504003405571, 0.007593734655529261, 0.025143491104245186, 0.05352064594626427, 0.023479295894503593, 0.022906631231307983, 0.0022902353666722775, 0.033662255853414536, 0.002742018783465028, 0.019832810387015343, 0.03398996964097023, 0.0015951861860230565]"
F2,"[0.1306600421667099, 0.017141394317150116, 0.008560695685446262, 0.010216995142400265, 0.024029728025197983, 0.10628562420606613, 0.08914497494697571, 0.006625733803957701, 0.06824656575918198, 0.036083053797483444, 0.007135088089853525, 0.09214794635772705, 0.02576765976846218, 0.010316204279661179, 0.09677156060934067, 0.04910394549369812, 0.0027484733145684004, 0.019912032410502434, 0.004733603447675705, 0.06040269881486893, 0.007907361723482609, 0.09536118060350418, 0.02753821760416031, 0.05322655290365219, 0.07772365212440491, 0.019282007589936256, 0.014519170857965946, 0.061504121869802475, 0.009488984011113644, 0.03517065569758415, 0.015803728252649307, 0.024028923362493515, 0.02247287705540657, 0.036649078130722046, 0.014044145122170448, 0.018154993653297424, 0.00852483045309782, 0.021683508530259132, 0.04997849836945534, 0.12387121468782425, 0.02805919758975506, 0.053062815219163895, 0.013971115462481976, 0.024891365319490433, 0.05354504659771919, 0.04327881336212158, 0.06426995247602463, 0.055736031383275986, 0.07848980277776718, 0.024834055453538895, 0.04998182877898216, 0.011466577649116516, 0.022996703162789345, 0.025914160534739494, 0.07406435161828995, 0.027613993734121323, 0.04516267031431198, 0.019494183361530304, 0.04744579643011093, 0.03696712851524353, 0.07408583164215088, 0.0764455646276474, 0.01007457822561264, 0.03341319039463997, 0.0116045493632555, 0.04981759190559387, 0.03115805611014366, 0.07747966796159744, 0.0765061303973198, 0.07937479764223099, 0.06032340228557587, 0.027193143963813782, 0.08394352346658707, 0.05650294944643974, 0.030139541253447533, 0.07592058926820755, 0.0014490940375253558, 0.02199147827923298, 0.06300290673971176, 0.06884749233722687, 0.09730523824691772, 0.03384806588292122, 0.06718199700117111, 0.06632167100906372, 0.022812018170952797, 0.01106805820018053, 0.06749613583087921, 0.04767797887325287, 0.01774061843752861, 0.06240718066692352, 0.008262552320957184, 0.018423188477754593, 0.0113140270113945, 0.03311185538768768, 0.054606691002845764, 0.09590093791484833, 0.029180485755205154, 0.04440584033727646, 0.006936276331543922, 0.010626277886331081, 0.05254923179745674, 0.010624989867210388, 0.015061943791806698, 0.0039027021266520023, 0.014708141796290874, 0.010682414285838604, 0.09716412425041199, 0.13439658284187317, 0.0677630603313446, 0.019615374505519867, 0.018698452040553093, 0.022915229201316833, 0.076109878718853, 0.042517486959695816, 0.025141268968582153, 0.09860789030790329, 0.13354280591011047, 0.05748068913817406, 0.030825335532426834, 0.01948644407093525, 0.01865502819418907, 0.015537475235760212, 0.029900774359703064, 0.07759275287389755, 0.03807362914085388, 0.058125901967287064, 0.10037170350551605, 0.0037193188909441233]"
F3,"[0.06116331368684769, 0.002420811913907528, 0.011121772229671478, 0.05755634233355522, 0.08487577736377716, 0.09230023622512817, 0.06127646565437317, 0.05060315877199173, 0.08343140035867691, 0.05750197544693947, 0.03608506917953491, 0.042309727519750595, 0.016507387161254883, 0.022780057042837143, 0.00031700459658168256, 0.0037365409079939127, 0.12159134447574615, 0.06520676612854004, 0.0882873684167862, 0.006210147403180599, 0.07146767526865005, 0.04791006073355675, 0.020090743899345398, 0.00639868201687932, 0.04371391236782074, 0.004268914461135864, 0.056342147290706635, 0.03689371049404144, 0.015795623883605003, 0.02254772000014782, 0.002527569653466344, 0.012818671762943268, 0.04695594310760498, 0.019966518506407738, 0.03476443514227867, 0.036273255944252014, 0.005623786710202694, 0.13104002177715302, 0.041693203151226044, 0.05884915962815285, 0.07880816608667374, 0.011592262424528599, 0.0006029604119248688, 0.050851646810770035, 0.004475026857107878, 0.0545944944024086, 0.01573287323117256, 0.07122648507356644, 0.03411556035280228, 0.011054882779717445, 0.05346149206161499, 0.002197698689997196, 0.004383587744086981, 0.020693600177764893, 0.004817739129066467, 0.12531906366348267, 0.03424618020653725, 0.013907356187701225, 0.04728412628173828, 0.013067458756268024, 0.006301112473011017, 0.034815866500139236, 0.057850431650877, 0.033038683235645294, 0.06068377569317818, 0.05178438127040863, 0.12050647288560867, 0.005454903934150934, 0.0036890683695673943, 0.018004532903432846, 0.09191582351922989, 0.03297413885593414, 0.016508696600794792, 0.004740393254905939, 0.015194817446172237, 0.024003781378269196, 0.010419072583317757, 0.01696295104920864, 0.0968678742647171, 0.12094582617282867, 0.04451576620340347, 0.030064916238188744, 0.013292696326971054, 0.03053617849946022, 0.009860017336905003, 0.010950513184070587, 0.08212194591760635, 0.039649758487939835, 0.04612128809094429, 0.0032027841079980135, 0.06204213201999664, 0.0037265794817358255, 0.07626360654830933, 0.01739707961678505, 0.0884755477309227, 0.03584054484963417, 0.025998638942837715, 0.017245326191186905, 0.006133307237178087, 0.013564757071435452, 0.019788609817624092, 0.052988387644290924, 0.008131342008709908, 0.0417439304292202, 0.026855381205677986, 0.07712577283382416, 0.054160576313734055, 0.006614943966269493, 0.011443463154137135, 0.058212973177433014, 0.011853348463773727, 0.06995265930891037, 0.020912043750286102, 0.013011110946536064, 0.013096786104142666, 0.014791113324463367, 0.09393569082021713, 0.0070829838514328, 0.004150469787418842, 0.02095177210867405, 0.0024677193723618984, 0.07370009273290634, 0.0180346742272377, 0.007409185636788607, 0.0010085627436637878, 0.038497574627399445, 0.026933228597044945, 0.009580384939908981]"
F4,"[0.03415358066558838, 0.025870120152831078, 0.08056095242500305, 0.07495897263288498, 0.05037974193692207, 0.02863897755742073, 0.09280304610729218, 0.025509214028716087, 0.020399590954184532, 0.007990705780684948, 0.06737271696329117, 0.036223892122507095, 0.09191042929887772, 0.0013076169416308403, 0.024156708270311356, 0.003126581432297826, 0.05443844199180603, 0.011435561813414097, 0.006894898135215044, 0.06451775133609772, 0.04714012145996094, 0.03657221049070358, 0.041142601519823074, 0.03797200694680214, 0.014610163867473602, 0.07436186820268631, 0.0934649258852005, 0.05524915084242821, 0.07840407639741898, 0.10693986713886261, 0.04712354764342308, 0.021113719791173935, 0.008829145692288876, 0.08565492928028107, 0.049422163516283035, 0.09850574284791946, 0.01865498349070549, 0.03113614208996296, 0.020928440615534782, 0.043968670070171356, 0.040743712335824966, 0.045584212988615036, 0.0088542765006423, 0.08065364509820938, 0.03455903008580208, 0.017929697409272194, 0.023056617006659508, 0.05834046006202698, 0.03592332825064659, 0.0616268590092659, 0.00044364569475874305, 0.018544698134064674, 0.08340950310230255, 0.0636269748210907, 0.025350453332066536, 0.10847216844558716, 0.11342598497867584, 0.14840403199195862, 0.03370293974876404, 0.046579647809267044, 0.08981484174728394, 0.006129521410912275, 0.023366861045360565, 0.03337469696998596, 0.0029286895878612995, 0.030544128268957138, 0.011419136077165604, 0.05091186985373497, 0.04036101698875427, 0.08502072095870972, 0.026619622483849525, 0.06472264230251312, 0.020822439342737198, 0.015592174604535103, 0.0101292310282588, 0.002154148882254958, 0.05499270558357239, 0.0693216547369957, 0.04220462590456009, 0.0523863323032856, 0.08510533720254898, 0.032134830951690674, 0.007793761324137449, 0.028042757883667946, 0.014949732460081577, 0.020497865974903107, 0.0345490500330925, 0.06660988926887512, 0.0057371631264686584, 0.021326247602701187, 0.017228616401553154, 0.031342461705207825, 0.08084259182214737, 0.0626731663942337, 0.0096646249294281, 0.05412818863987923, 0.03478235378861427, 0.0013813439290970564, 0.08166477084159851, 0.029163645580410957, 0.016111325472593307, 0.011770199052989483, 0.02384929731488228, 0.07028079032897949, 0.05524185672402382, 0.006573442369699478, 0.0350494459271431, 0.0481325164437294, 0.04850248247385025, 0.053243719041347504, 0.018892060965299606, 0.06214703992009163, 0.010312879458069801, 0.09001798927783966, 0.06271718442440033, 0.05388657748699188, 0.05281456559896469, 0.03726785257458687, 0.06381590664386749, 0.005661593284457922, 0.04200715199112892, 0.03260728344321251, 0.08612540364265442, 0.004409265238791704, 0.00795487966388464, 0.026865320280194283, 0.04337211325764656, 0.024671152234077454]"
F5,"[0.06055635213851929, 0.009000765159726143, 0.050313226878643036, 0.019474167376756668, 0.01587243378162384, 0.029399719089269638, 0.06946456432342529, 0.0826331153512001, 0.015024296939373016, 0.038647014647722244, 0.041312675923109055, 0.05532551929354668, 0.03091410920023918, 0.018109528347849846, 0.03144256770610809, 0.07602692395448685, 0.020598361268639565, 0.030030159279704094, 0.04383406788110733, 0.02153698541224003, 0.05205991119146347, 0.032676003873348236, 0.029450183734297752, 0.031239423900842667, 0.07117551565170288, 0.051472846418619156, 0.0028893938288092613, 0.05332581326365471, 0.017031177878379822, 0.0020226724445819855, 0.015426470898091793, 0.056565094739198685, 0.07008903473615646, 0.07969751209020615, 0.011836986057460308, 0.0565471351146698, 0.04508703574538231, 0.00451960414648056, 0.09422525763511658, 0.012690398842096329, 0.05667625740170479, 0.038603413850069046, 0.039227936416864395, 0.006872847676277161, 0.03672667592763901, 0.027886923402547836, 0.022399472072720528, 0.04962477833032608, 0.018737373873591423, 0.0003846156760118902, 0.00579418521374464, 0.019149329513311386, 0.009098884649574757, 0.029104765504598618, 0.033386148512363434, 0.10196586698293686, 0.059743523597717285, 0.011525276117026806, 0.02477841079235077, 0.046468280255794525, 0.02497105486690998, 0.022536758333444595, 0.04410110414028168, 0.054896626621484756, 0.0049444157630205154, 0.0013932569418102503, 0.028205623850226402, 0.042709849774837494, 0.017868520691990852, 0.0353178009390831, 0.004550133366137743, 0.053915783762931824, 0.015531170181930065, 0.04518371447920799, 0.11652260273694992, 0.01724831759929657, 0.04510929808020592, 0.017947278916835785, 0.012568362057209015, 0.055929034948349, 0.01750945672392845, 0.07881826162338257, 0.1590697318315506, 0.027065953239798546, 0.04631707817316055, 0.07850617170333862, 0.03304743021726608, 0.12591801583766937, 0.040771111845970154, 0.059829629957675934, 0.08915682882070541, 0.00800363253802061, 0.041145164519548416, 0.004237134009599686, 0.012050658464431763, 0.0166037455201149, 0.04184562340378761, 0.10204680263996124, 0.04656631126999855, 0.015420185402035713, 0.04315420985221863, 0.09662192314863205, 0.016664983704686165, 0.035884443670511246, 0.02307499386370182, 0.02788521535694599, 0.0773211196064949, 0.011773142963647842, 0.010458694770932198, 0.067898228764534, 0.02680484764277935, 0.02057863213121891, 0.012454449199140072, 0.06693115830421448, 0.024196961894631386, 0.008555005304515362, 0.09243938326835632, 0.026626212522387505, 0.09352783858776093, 0.03260566294193268, 0.03672940284013748, 0.012060710228979588, 0.0193809662014246, 0.02751723676919937, 0.021121911704540253, 0.016006186604499817, 0.05934860557317734, 0.0023596957325935364]"
F6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
F7,"[0.11764585226774216, 0.043362755328416824, 0.03469373285770416, 0.07088208198547363, 0.08270255476236343, 0.004734888207167387, 0.054593540728092194, 0.01061225775629282, 0.017533473670482635, 0.06327871233224869, 0.010590565390884876, 0.017134835943579674, 0.036954496055841446, 0.053405262529850006, 0.06660286337137222, 0.02741609700024128, 0.027771001681685448, 0.010599951259791851, 0.03494159132242203, 0.04357706382870674, 0.012594098225235939, 0.07960479706525803, 0.04464764520525932, 0.008203379809856415, 0.0566520169377327, 0.059699658304452896, 0.04068698361515999, 0.08697286248207092, 0.026160016655921936, 0.009368397295475006, 0.006711680442094803, 0.06188524514436722, 0.04158513993024826, 0.07793755829334259, 0.03291182592511177, 0.041566673666238785, 0.030688589438796043, 0.11115261167287827, 0.037095293402671814, 0.05632847920060158, 0.028312336653470993, 0.052912406623363495, 0.028719283640384674, 0.013213484548032284, 0.016190892085433006, 0.04974956810474396, 0.021000094711780548, 0.005100165028125048, 0.006193670444190502, 0.060834791511297226, 0.06170991063117981, 0.048408374190330505, 0.037825386971235275, 0.008627556264400482, 0.005292107816785574, 0.05104069784283638, 0.05842779949307442, 0.11756503582000732, 0.06263577938079834, 0.035244282335042953, 0.02210904099047184, 0.04080421105027199, 0.0483570396900177, 0.007448010146617889, 0.029283909127116203, 0.016151107847690582, 0.06659461557865143, 0.018946606665849686, 0.03398287296295166, 0.00578775629401207, 0.013829699717462063, 0.021734066307544708, 0.023128224536776543, 0.018705157563090324, 0.0027792195323854685, 0.06193428859114647, 0.05308457836508751, 0.00746438093483448, 0.008395851589739323, 0.008620190434157848, 0.005968441255390644, 0.01685737632215023, 0.05782930925488472, 0.06373036652803421, 0.07940324395895004, 0.02721082791686058, 0.004014738369733095, 0.1312617063522339, 0.028804728761315346, 0.025824755430221558, 0.031163275241851807, 0.029736444354057312, 0.016610432416200638, 0.004966701380908489, 0.03476649150252342, 0.07386405020952225, 0.037856560200452805, 0.05737045779824257, 0.00473157549276948, 0.03725798800587654, 0.06575058400630951, 0.028887683525681496, 0.052301619201898575, 0.030605657026171684, 0.04222788289189339, 0.08715442568063736, 0.039630062878131866, 0.07715747505426407, 0.07902749627828598, 0.025428123772144318, 0.07285904884338379, 0.0428396537899971, 0.00815101619809866, 0.0589965283870697, 0.013545546680688858, 0.02379194088280201, 0.044786449521780014, 0.017569417133927345, 0.028540993109345436, 0.0035442830994725227, 0.026394736021757126, 0.07476645708084106, 0.010675323195755482, 0.03806610032916069, 0.03538531810045242, 0.021752241998910904, 0.04668096825480461, 0.06711044162511826]"
F8,"[0.04445425048470497, 0.06715729087591171, 0.08225055783987045, 0.01155717484652996, 0.11130710691213608, 0.017404863610863686, 0.04496150091290474, 0.07738383859395981, 0.008663921616971493, 0.04516354948282242, 0.007419475819915533, 0.025769349187612534, 0.05418652668595314, 0.13627539575099945, 0.05258321762084961, 0.09646278619766235, 0.029823390766978264, 0.06243465095758438, 0.05576802417635918, 0.015224319882690907, 0.0510433055460453, 0.054873161017894745, 0.04376351088285446, 0.052203219383955, 0.03606351464986801, 0.13084496557712555, 0.0943644791841507, 0.11241362988948822, 0.028751671314239502, 0.01765844225883484, 0.04160618782043457, 0.059003159403800964, 0.0014820724027231336, 0.03989388421177864, 0.10659132897853851, 0.024937842041254044, 0.010234030894935131, 0.0633348599076271, 0.0037031483370810747, 0.09998946636915207, 0.02098126895725727, 0.011119451373815536, 0.004572790581732988, 0.05869346857070923, 0.046598609536886215, 0.01119920238852501, 0.01217900775372982, 0.07598643749952316, 0.08326593786478043, 0.03701817989349365, 0.0479050874710083, 0.011687641963362694, 0.022464333102107048, 0.032045114785432816, 0.0039325193502008915, 0.07838445901870728, 0.051458392292261124, 0.02595943585038185, 0.023776259273290634, 0.083484947681427, 0.034607890993356705, 0.042983271181583405, 0.038082148879766464, 0.05605549365282059, 0.05169444531202316, 0.04730972275137901, 0.056940555572509766, 0.022919882088899612, 0.06541310995817184, 0.08683913201093674, 0.02776368521153927, 0.10173630714416504, 0.07132180035114288, 0.10947411507368088, 0.029981212690472603, 0.06278984993696213, 0.02506159245967865, 0.009490624070167542, 0.025020325556397438, 0.07066455483436584, 0.08586862683296204, 0.04396025091409683, 0.0937117338180542, 0.003594200825318694, 0.06784027814865112, 0.031035693362355232, 0.07497542351484299, 0.11568335443735123, 0.0273091122508049, 0.02570582926273346, 0.03105802834033966, 0.029401296749711037, 0.05923088639974594, 0.003290532622486353, 0.021586284041404724, 0.004109322093427181, 0.04164251312613487, 0.04710620641708374, 0.009150167927145958, 0.037401389330625534, 0.05573518946766853, 0.021172164008021355, 0.06497353315353394, 0.017879407852888107, 0.01825152337551117, 0.015096714720129967, 0.008440494537353516, 0.05369866266846657, 0.015252704732120037, 0.0047200629487633705, 0.016465969383716583, 0.003972296137362719, 0.022473108023405075, 0.020992128178477287, 0.02897598035633564, 0.029575053602457047, 0.0787002295255661, 0.004862471949309111, 0.019241787493228912, 0.012045731768012047, 0.00379231502301991, 0.011742102913558483, 0.028726674616336823, 0.03398555517196655, 0.005565506871789694, 0.05797036364674568, 0.06933488696813583, 0.0198013037443161]"
F9,"[0.028364311903715134, 0.031166162341833115, 0.008476637303829193, 0.011921021156013012, 0.007056151516735554, 0.026940207928419113, 0.009608362801373005, 0.007883550599217415, 0.0009596025920473039, 0.01748640276491642, 0.016756990924477577, 0.01911141164600849, 0.006434897426515818, 0.013373177498579025, 0.03935666009783745, 0.0135965496301651, 0.013740265741944313, 0.045569341629743576, 0.024170933291316032, 0.01007955800741911, 0.016974572092294693, 0.004306118935346603, 0.017468716949224472, 0.0038519566878676414, 0.015375705435872078, 0.015920817852020264, 0.030818568542599678, 0.004946097731590271, 0.013537739403545856, 0.008178130723536015, 0.008730721659958363, 0.0026037530042231083, 0.021470939740538597, 0.025608062744140625, 0.019803078845143318, 0.0033592674881219864, 0.002293103141710162, 0.01261275913566351, 0.003395846113562584, 0.004294555634260178, 0.013398837298154831, 0.03170708566904068, 0.016289928928017616, 0.017014309763908386, 0.023578889667987823, 0.0002318957558600232, 0.011705370619893074, 0.004882303532212973, 0.01959300972521305, 0.0026767582166939974, 0.009356632828712463, 0.017209365963935852, 0.0009124942007474601, 0.01564537174999714, 0.016804002225399017, 0.01638036221265793, 0.01750202663242817, 0.0021759099327027798, 0.0031210673041641712, 0.002982824109494686, 0.005768103525042534, 0.017465248703956604, 0.0015775373904034495, 0.002991062356159091, 0.004829542711377144, 0.00019506689568515867, 0.009085464291274548, 0.02296733297407627, 0.01727086305618286, 0.0025695906952023506, 0.029431529343128204, 0.0026179892010986805, 0.013058272190392017, 0.013151573948562145, 0.019454313442111015, 0.010571951046586037, 0.010309027507901192, 0.009292312897741795, 0.021467402577400208, 0.02550492249429226, 0.0043878862634301186, 0.007328671403229237, 0.006366106681525707, 0.0016730900388211012, 0.023380097001791, 0.00584447430446744, 0.021431732922792435, 0.003924210090190172, 0.004378216341137886, 0.0035285684280097485, 0.010853639803826809, 0.005236972589045763, 0.0011067967861890793, 0.02430044859647751, 0.0007452806457877159, 0.016605932265520096, 0.008097374811768532, 0.0037462045438587666, 0.0016942281508818269, 0.01569535583257675, 0.0087586659938097, 0.012088769115507603, 0.022476863116025925, 0.020579388365149498, 0.007925678975880146, 0.021565202623605728, 0.0025887456722557545, 0.017243266105651855, 0.008427606895565987, 0.012724174186587334, 0.003249679459258914, 0.018207527697086334, 0.012041500769555569, 0.00021490565268322825, 0.023871932178735733, 0.00253772409632802, 0.006077417638152838, 0.016405560076236725, 0.005193391814827919, 0.0030211356934159994, 0.01415275689214468, 0.015293060801923275, 0.015392743051052094, 0.0074524967931210995, 0.008589145727455616, 0.00284338160417974, 0.003869720036163926, 0.02580634504556656]"
F10,"[0.004980461671948433, 0.0021702037192881107, 0.01154910959303379, 0.006185473408550024, 0.0025105371605604887, 0.0003552711568772793, 0.015047375112771988, 0.0016224866267293692, 0.00899479165673256, 0.011210786178708076, 0.0048623280599713326, 0.0036596579011529684, 0.013468511402606964, 0.005994931794703007, 0.005679535213857889, 0.01626090705394745, 0.008273333311080933, 0.003010392654687166, 0.002714094938710332, 0.006390281021595001, 0.0022688915487378836, 0.004467281047254801, 0.007362860254943371, 0.00868271104991436, 0.00010944520909106359, 0.0010303076123818755, 0.009226257912814617, 0.0002922875282820314, 0.011724074371159077, 0.00913315825164318, 0.018668485805392265, 0.002611347706988454, 0.009022952057421207, 0.0006153932772576809, 0.0006219500210136175, 0.0046105883084237576, 0.0034322065766900778, 0.0037033697590231895, 0.007701017428189516, 0.007309020962566137, 0.0031780835706740618, 0.01024223305284977, 0.006533434148877859, 0.013880584388971329, 0.00154553831089288, 0.0012493605026975274, 0.01211027055978775, 0.000533060054294765, 0.010696329176425934, 0.012754480354487896, 0.005768537987023592, 0.0014437285717576742, 0.004250113852322102, 0.011536060832440853, 0.01142122969031334, 0.013636297546327114, 0.009149020537734032, 0.013325833715498447, 0.0008373090531677008, 0.007228105794638395, 0.00801910925656557, 0.0036583079490810633, 0.0032213167287409306, 0.003623907221481204, 0.0006350813200697303, 0.007753548212349415, 0.005773687269538641, 0.00952897034585476, 0.002542265458032489, 0.0037622135132551193, 0.008161853067576885, 0.013714589178562164, 0.01763785071671009, 0.006753198336809874, 0.0043355184607207775, 0.0035634369123727083, 0.010331057012081146, 0.01196884922683239, 0.0008467574953101575, 0.007148323114961386, 0.0071494365110993385, 0.016346534714102745, 0.0011954146903008223, 0.001980268396437168, 0.0039072185754776, 0.013234665617346764, 0.0033816429786384106, 0.001078875851817429, 0.004729233216494322, 0.002248199889436364, 0.005304496269673109, 0.00800576526671648, 0.0066809626296162605, 0.006941488478332758, 0.0005083523574285209, 0.010141529142856598, 0.01520603708922863, 0.004187095444649458, 0.0061310757882893085, 0.004040773492306471, 0.01228696946054697, 0.00439425278455019, 0.00024600824690423906, 0.015232785604894161, 0.00015129393432289362, 0.007315408904105425, 0.0022822371684014797, 0.014215660281479359, 0.005116940941661596, 0.006199588533490896, 0.0010502984514459968, 0.006451865658164024, 0.00163799780420959, 0.005720131564885378, 0.012207099236547947, 0.003055850276723504, 0.005977082531899214, 0.0040879747830331326, 0.0031102891080081463, 0.014879465103149414, 0.0005355961620807648, 0.01179201528429985, 0.005338385235518217, 0.004039105027914047, 0.001504874206148088, 0.013997991569340229, 9.473307727603242e-05, 0.010290400125086308]"
