feature,feature_name,max_abs_weight_score
F224,feature_224,0.24859532713890076
F639,feature_639,0.23105637729167938
F312,feature_312,0.21968047320842743
F547,feature_547,0.2191709578037262
F221,feature_221,0.21818704903125763
F511,feature_511,0.2179827243089676
F128,feature_128,0.2175833135843277
F41,feature_41,0.2160084992647171
F220,feature_220,0.2135390043258667
F868,feature_868,0.21335500478744507
F520,feature_520,0.21217475831508636
F875,feature_875,0.20979422330856323
F344,feature_344,0.20974385738372803
F339,feature_339,0.2080446481704712
F300,feature_300,0.2063482254743576
F276,feature_276,0.20613527297973633
F905,feature_905,0.20445820689201355
F190,feature_190,0.20439448952674866
F92,feature_92,0.20404961705207825
F33,feature_33,0.20351551473140717
F928,feature_928,0.20324787497520447
F629,feature_629,0.20233549177646637
F98,feature_98,0.20168361067771912
F595,feature_595,0.20143674314022064
F177,feature_177,0.19966402649879456
F544,feature_544,0.1987738013267517
F45,feature_45,0.19793611764907837
F462,feature_462,0.19774764776229858
F451,feature_451,0.19681265950202942
F63,feature_63,0.19680249691009521
F445,feature_445,0.196742445230484
F350,feature_350,0.19616848230361938
F94,feature_94,0.19510361552238464
F437,feature_437,0.19434641301631927
F230,feature_230,0.1941307634115219
F65,feature_65,0.19349877536296844
F735,feature_735,0.19313672184944153
F983,feature_983,0.19187778234481812
F467,feature_467,0.1911003738641739
F264,feature_264,0.1909920573234558
F889,feature_889,0.19090573489665985
F859,feature_859,0.19088134169578552
F698,feature_698,0.19055429100990295
F593,feature_593,0.19050049781799316
F872,feature_872,0.19005106389522552
F440,feature_440,0.18984945118427277
F851,feature_851,0.18956933915615082
F400,feature_400,0.18899424374103546
F921,feature_921,0.18898172676563263
F358,feature_358,0.18859748542308807
F58,feature_58,0.18850132822990417
F588,feature_588,0.18841102719306946
F750,feature_750,0.18809115886688232
F488,feature_488,0.18786384165287018
F847,feature_847,0.18781785666942596
F555,feature_555,0.18752561509609222
F993,feature_993,0.18745610117912292
F22,feature_22,0.18730118870735168
F277,feature_277,0.18678903579711914
F483,feature_483,0.18645170331001282
F116,feature_116,0.1863613873720169
F181,feature_181,0.18563979864120483
F967,feature_967,0.18559515476226807
F173,feature_173,0.18427793681621552
F392,feature_392,0.18411323428153992
F662,feature_662,0.18357481062412262
F424,feature_424,0.18325459957122803
F206,feature_206,0.18323148787021637
F515,feature_515,0.18321098387241364
F620,feature_620,0.18292556703090668
F376,feature_376,0.18276172876358032
F640,feature_640,0.18274034559726715
F664,feature_664,0.1825043261051178
F636,feature_636,0.18228304386138916
F455,feature_455,0.18226632475852966
F37,feature_37,0.18226556479930878
F180,feature_180,0.18192462623119354
F522,feature_522,0.18168355524539948
F262,feature_262,0.181581512093544
F265,feature_265,0.18132439255714417
F259,feature_259,0.1809259057044983
F539,feature_539,0.1807599514722824
F794,feature_794,0.18061673641204834
F35,feature_35,0.18057440221309662
F770,feature_770,0.18038107454776764
F730,feature_730,0.18000061810016632
F726,feature_726,0.1798926293849945
F796,feature_796,0.17954711616039276
F31,feature_31,0.17947480082511902
F27,feature_27,0.17947371304035187
F854,feature_854,0.17919860780239105
F543,feature_543,0.1784452199935913
F597,feature_597,0.1780749261379242
F287,feature_287,0.17804820835590363
F633,feature_633,0.1779257208108902
F565,feature_565,0.17756813764572144
F166,feature_166,0.17748050391674042
F95,feature_95,0.17738647758960724
F137,feature_137,0.1766732633113861
F194,feature_194,0.17592571675777435
F295,feature_295,0.17587925493717194
F608,feature_608,0.1750939041376114
F198,feature_198,0.1750793308019638
F374,feature_374,0.17486615478992462
F815,feature_815,0.17480680346488953
F50,feature_50,0.17480146884918213
F995,feature_995,0.17474177479743958
F820,feature_820,0.1746627688407898
F784,feature_784,0.17450250685214996
F368,feature_368,0.17402276396751404
F93,feature_93,0.17388902604579926
F938,feature_938,0.17377105355262756
F298,feature_298,0.17352080345153809
F332,feature_332,0.17344266176223755
F134,feature_134,0.1733500212430954
F545,feature_545,0.17334000766277313
F886,feature_886,0.17301174998283386
F89,feature_89,0.1726812869310379
F776,feature_776,0.17260253429412842
F477,feature_477,0.17258356511592865
F140,feature_140,0.17257431149482727
F778,feature_778,0.1725286990404129
F599,feature_599,0.17252112925052643
F232,feature_232,0.17241354286670685
F430,feature_430,0.1724073439836502
F910,feature_910,0.1723972111940384
F40,feature_40,0.17222198843955994
F596,feature_596,0.17217566072940826
F591,feature_591,0.17216695845127106
F323,feature_323,0.17209424078464508
F124,feature_124,0.17190484702587128
F694,feature_694,0.17184895277023315
F315,feature_315,0.17180509865283966
