feature,weight_list
F1,"[0.009086848236620426, 0.00045282315113581717, 0.005610337946563959, 0.01781386137008667, 0.015547346323728561, 0.005306399893015623, 0.0038325272034853697, 0.008435254916548729, 0.01714973896741867, 0.04770219698548317, 0.04280762001872063, 0.023541411384940147, 0.02833695523440838, 0.0029928653966635466, 0.030140908434987068, 0.027353063225746155, 0.0035402521025389433, 0.02428644895553589, 0.01573983021080494, 0.0044668917544186115, 0.015434599481523037, 0.006584322080016136, 0.009666353464126587, 0.06812307238578796, 0.021357787773013115, 0.045040063560009, 0.006103040184825659, 0.06324995309114456, 0.014101384207606316, 0.024191968142986298, 0.028228744864463806, 0.01970071718096733, 0.0325390100479126, 0.025963498279452324, 0.01645038090646267, 0.01970219984650612, 0.011783148162066936, 0.01634848490357399, 0.014989770948886871, 0.010120525024831295, 0.0076573011465370655, 0.034273698925971985, 0.014504700899124146, 0.0013371702516451478, 0.024443475529551506, 0.030986608937382698, 0.014896443113684654, 0.021575791761279106, 0.019592152908444405, 0.0014306979719549417, 0.025159774348139763, 0.03251544013619423, 0.04320715740323067, 0.003382281865924597, 0.010873053222894669, 0.03647923097014427, 0.01305509451776743, 0.04667745530605316, 0.013480336405336857, 0.025284497067332268, 0.026943491771817207, 0.03534659743309021, 0.02008046768605709, 0.0055523826740682125, 0.02161283791065216, 0.024751922115683556, 0.01755741611123085, 0.006339649204164743, 0.013883098028600216, 0.02217116393148899, 0.024868568405508995, 0.03201897069811821, 0.004698128905147314, 0.028138378635048866, 0.028427934274077415, 0.044278208166360855, 0.001686986768618226, 0.006340100429952145, 0.00042128251516260207, 0.03153946250677109, 0.03352153301239014, 0.0103458845987916, 0.012279401533305645, 0.025043778121471405, 0.017163459211587906, 0.04144817963242531, 0.0009550050017423928, 0.006683939136564732, 0.019926104694604874, 0.004006101284176111, 0.011552685871720314, 0.006820979528129101, 0.013601130805909634, 0.03542591258883476, 0.02440628781914711, 0.03458720073103905, 0.026025880128145218, 0.0410345196723938, 0.02617664635181427, 0.039806533604860306, 0.003922308795154095, 0.026178792119026184, 0.014410613104701042, 0.007862993516027927, 0.00471567502245307, 0.029815075919032097, 0.07530320435762405, 0.020901869982481003, 0.0015496381092816591, 0.02403034083545208, 0.014062874019145966, 0.018055947497487068, 0.020519724115729332, 0.014944317750632763, 0.025794319808483124, 0.03555120527744293, 0.01760612614452839, 0.004964823834598064, 0.019569439813494682, 0.010824183002114296, 0.0023597131948918104, 0.04854283109307289, 0.016232497990131378, 0.009595588780939579, 0.03747386112809181, 0.023630736395716667, 0.030838627368211746, 0.034665655344724655]"
F2,"[0.1159239411354065, 0.031457219272851944, 0.044832319021224976, 0.021120743826031685, 0.015562201850116253, 0.024426696822047234, 0.03994425758719444, 0.024233927950263023, 0.012973080389201641, 0.07842076569795609, 0.05062190443277359, 0.09302718192338943, 0.005812991410493851, 0.09442824125289917, 0.02633839100599289, 0.024185651913285255, 0.040972981601953506, 0.016845539212226868, 0.04645921289920807, 0.0400545597076416, 0.0706690177321434, 0.06525358557701111, 0.05017220601439476, 0.000477776862680912, 0.02858372963964939, 0.04370266571640968, 0.017744921147823334, 0.03661735728383064, 0.08385898917913437, 0.08300600200891495, 0.025673139840364456, 0.10360226780176163, 0.009207038208842278, 0.029171722009778023, 0.07886774092912674, 0.01545686088502407, 0.03307135030627251, 0.0455968864262104, 0.04217391461133957, 0.09312503039836884, 0.003780750324949622, 0.06717560440301895, 0.035400088876485825, 0.073714978992939, 0.032262373715639114, 0.03720881789922714, 0.03896801918745041, 0.08903935551643372, 0.09976722300052643, 0.06413315236568451, 0.05290743708610535, 0.025355616584420204, 0.046813298016786575, 0.08276514708995819, 0.0069273049011826515, 0.10368556529283524, 0.05059025436639786, 0.009433337487280369, 0.02735069952905178, 0.09809854626655579, 0.02237793058156967, 0.04886813089251518, 0.07100135087966919, 0.06583123654127121, 0.0635480210185051, 0.06311621516942978, 0.04915616288781166, 0.0453198105096817, 0.016991520300507545, 0.04542311280965805, 0.03255566954612732, 0.0045830556191504, 0.006288288626819849, 0.017031988129019737, 0.03145718574523926, 0.06372105330228806, 0.008365572430193424, 0.06449496746063232, 0.01050309743732214, 0.011539719998836517, 0.009653894230723381, 0.010692858137190342, 0.021123263984918594, 0.08411919325590134, 0.0160604827105999, 0.06612509489059448, 0.04895523935556412, 0.05427606776356697, 0.05597357824444771, 0.02318909391760826, 0.06774657219648361, 0.027243101969361305, 0.0031750716734677553, 0.04669239744544029, 0.013364738784730434, 0.003229638561606407, 0.07780174165964127, 0.07465706020593643, 0.0014953925274312496, 0.02759261429309845, 0.08121048659086227, 6.0311092966003343e-05, 0.021529432386159897, 0.037075843662023544, 0.04460783675312996, 0.005650902166962624, 0.06618176400661469, 0.037286609411239624, 0.008131843991577625, 0.03980644419789314, 0.08007853478193283, 0.01564130187034607, 0.06285791844129562, 0.08663282543420792, 0.01821637526154518, 0.07350022345781326, 0.026624683290719986, 0.01751531846821308, 0.0025616397615522146, 0.09821493178606033, 0.009441503323614597, 0.01058065053075552, 0.06868362426757812, 0.001264537568204105, 0.00962432473897934, 0.040475502610206604, 0.012163522653281689, 0.07863163203001022]"
F3,"[0.08319979906082153, 0.019881704822182655, 0.05424227565526962, 0.017233124002814293, 0.08025243878364563, 0.002245240146294236, 0.024260157719254494, 0.04614400491118431, 0.05691024288535118, 0.037550218403339386, 0.04625241085886955, 0.043508999049663544, 0.11099901050329208, 0.10741392523050308, 0.006197466515004635, 0.09156623482704163, 0.008065768517553806, 0.010344692505896091, 0.07832985371351242, 0.1458924561738968, 0.061714109033346176, 0.09764942526817322, 0.002497982233762741, 0.007288230117410421, 0.08792419731616974, 0.045692652463912964, 0.10707676410675049, 0.07012373208999634, 0.037859782576560974, 0.010058100335299969, 0.044484224170446396, 0.0420951321721077, 0.054217368364334106, 0.12704458832740784, 0.0224168598651886, 0.05162236839532852, 0.03613965958356857, 0.0049625844694674015, 0.021268103271722794, 0.122853584587574, 0.04276267811655998, 0.0024415531661361456, 0.012939473614096642, 0.017801575362682343, 0.05824177339673042, 0.014982033520936966, 0.026466380804777145, 0.08845580369234085, 0.09331982582807541, 0.04660150408744812, 0.1377149075269699, 0.014000453054904938, 0.05829353630542755, 0.0587443970143795, 0.05558417737483978, 0.01516156829893589, 0.010821165516972542, 0.0685180053114891, 0.020083649083971977, 0.12697935104370117, 0.004779464099556208, 0.09266243129968643, 0.05465526506304741, 0.005421238951385021, 0.005172382574528456, 0.027740510180592537, 0.034196678549051285, 0.02170402742922306, 0.05612461641430855, 0.029660489410161972, 0.013093438930809498, 0.04407527670264244, 0.05318276584148407, 0.07654999941587448, 0.07514329254627228, 0.04767608642578125, 0.0764671266078949, 0.006304403301328421, 0.08700250089168549, 0.06778846681118011, 0.03433719649910927, 0.033845141530036926, 0.04201769828796387, 0.10059419274330139, 0.015303418971598148, 0.06581538170576096, 0.0173542108386755, 0.050321418792009354, 0.03561871498823166, 0.016414694488048553, 0.039947811514139175, 0.014063114300370216, 0.06508155167102814, 0.04128764942288399, 0.015346194617450237, 0.0326501838862896, 0.0011963369324803352, 0.008158854208886623, 0.0038624487351626158, 0.03548426181077957, 0.08630308508872986, 0.09311463683843613, 0.08547652512788773, 0.11152054369449615, 0.058095142245292664, 0.009688781574368477, 0.020577194169163704, 0.03941575810313225, 0.01626584120094776, 0.13264557719230652, 0.04138302803039551, 0.03253581002354622, 0.07162696123123169, 0.06527655571699142, 0.1182861328125, 0.0383165068924427, 0.11401209235191345, 0.03317014500498772, 0.04774608090519905, 0.037643931806087494, 0.04428638890385628, 0.010605869814753532, 0.11293724179267883, 0.09016598016023636, 0.017083842307329178, 0.05296054482460022, 0.02132871001958847, 0.006645740009844303]"
F4,"[0.0818590298295021, 0.01798253506422043, 0.012205795384943485, 0.021795833483338356, 5.8697201893664896e-05, 0.018482863903045654, 0.03161518648266792, 0.006806291174143553, 0.022015303373336792, 0.05503547936677933, 0.03375359624624252, 0.03570085018873215, 0.04220486804842949, 0.013753019273281097, 0.05133017152547836, 0.01590951345860958, 0.01045914739370346, 0.02151476964354515, 0.02508775144815445, 0.07271246612071991, 0.0565510094165802, 0.05085795745253563, 0.004409260582178831, 0.005878506228327751, 0.03183798864483833, 0.0031104842200875282, 0.04317166656255722, 0.030029797926545143, 0.03713227063417435, 0.03798125311732292, 0.032332342118024826, 0.03536985069513321, 0.023246780037879944, 0.0191211961209774, 0.09185678511857986, 0.05387503281235695, 0.026401137933135033, 0.006972497794777155, 0.012667402625083923, 0.11018994450569153, 0.07611125707626343, 0.06056974083185196, 0.0014877943322062492, 0.052603933960199356, 0.04720678925514221, 0.0019400801975280046, 0.12948644161224365, 0.008715197443962097, 0.021522054448723793, 0.008313154801726341, 0.06266449391841888, 0.03301991522312164, 0.0008668808732181787, 0.006044995971024036, 0.02458132803440094, 0.03045853227376938, 0.0006081594619899988, 0.0005626005586236715, 0.0530942939221859, 0.00819377414882183, 0.040968913584947586, 0.04299649968743324, 0.05907018855214119, 0.07534804940223694, 0.012819715775549412, 0.05924925208091736, 0.017555274069309235, 0.07808101177215576, 0.03513815999031067, 0.005797657649964094, 0.04760365188121796, 0.04433591663837433, 0.007807846646755934, 0.04102000594139099, 0.005324625875800848, 0.03578781336545944, 0.06481852382421494, 0.05908994376659393, 0.024865824729204178, 0.009441315196454525, 0.01910923793911934, 0.0017260905588045716, 0.021310551092028618, 0.050225600600242615, 0.014064548537135124, 0.043596260249614716, 0.03385578840970993, 0.06248003616929054, 0.019435368478298187, 0.010231701657176018, 0.03691814839839935, 0.04115470498800278, 0.06743837893009186, 0.016473017632961273, 0.02562391571700573, 0.0628826916217804, 0.06215784326195717, 0.032082345336675644, 0.05498219653964043, 0.036457452923059464, 0.005887655075639486, 0.02715119905769825, 0.055476147681474686, 0.038210466504096985, 0.05683004856109619, 0.010121140629053116, 0.04176689684391022, 0.007125613745301962, 0.020275626331567764, 0.015933282673358917, 0.02496369741857052, 0.023316698148846626, 0.005894716829061508, 0.0025900418404489756, 0.037980590015649796, 0.025044679641723633, 0.05990498140454292, 0.0743761733174324, 0.02170279063284397, 0.06622087210416794, 0.04683621972799301, 0.10040147602558136, 0.034178726375103, 0.07083173096179962, 0.09517212212085724, 0.012119676917791367, 0.016397565603256226, 0.0011315788142383099]"
F5,"[0.02741098962724209, 0.04532551392912865, 0.00273101101629436, 0.07189659774303436, 0.05554971471428871, 0.05931195616722107, 0.0162382610142231, 0.0034104674123227596, 0.06697948276996613, 0.024967294186353683, 0.06690840423107147, 0.05585310235619545, 0.04501897469162941, 0.01952270045876503, 0.04451359435915947, 0.014524946920573711, 0.04532122611999512, 0.03737490996718407, 0.06903832405805588, 0.04555565491318703, 0.04770040139555931, 0.03614140301942825, 0.05176769196987152, 0.01820111647248268, 0.031161753460764885, 0.045271135866642, 0.01600746251642704, 0.018846824765205383, 0.038589321076869965, 0.0008811297593638301, 0.06315158307552338, 0.029549259692430496, 0.009375394321978092, 0.039056990295648575, 0.041912633925676346, 0.0060610659420490265, 0.02067318744957447, 0.006922681350260973, 0.034816328436136246, 0.06259134411811829, 0.023384027183055878, 0.00024903318262659013, 0.003910929895937443, 0.01693711429834366, 0.03917229175567627, 0.017055269330739975, 0.0992545485496521, 0.01982145942747593, 0.02688905969262123, 0.02772613801062107, 0.06967557221651077, 0.05678649619221687, 0.051717475056648254, 0.035271063446998596, 0.0012661247747018933, 0.010692628100514412, 0.02418219856917858, 0.010631020180881023, 0.08829241991043091, 0.0500074066221714, 0.022208217531442642, 0.002603633562102914, 0.027516335248947144, 0.016348958015441895, 0.058309026062488556, 0.05135369673371315, 0.019431980326771736, 0.09111141413450241, 0.07041428983211517, 0.03681034967303276, 0.008844899944961071, 0.07839540392160416, 0.024441001936793327, 0.02691969834268093, 0.013071615248918533, 0.021591292694211006, 0.030890582129359245, 0.008054141886532307, 0.012195378541946411, 0.004534931853413582, 0.03230978548526764, 0.01831672340631485, 0.05024265870451927, 0.04043741896748543, 0.04776787385344505, 0.07881709188222885, 0.004675303585827351, 0.06303555518388748, 0.02189834974706173, 0.01941206306219101, 0.0993896871805191, 0.012252523563802242, 0.025388576090335846, 0.01909010298550129, 0.02869938127696514, 0.037608545273542404, 0.030136190354824066, 0.009385181590914726, 0.02298332378268242, 0.05248532444238663, 0.026745066046714783, 0.00873497873544693, 0.054723478853702545, 0.04562481865286827, 0.03265402093529701, 0.07100106030702591, 0.024905959144234657, 0.003804257605224848, 0.08741719275712967, 0.04423480108380318, 0.07756966352462769, 0.015701131895184517, 0.0031138460617512465, 0.09077141433954239, 0.006512597668915987, 0.01938445307314396, 0.09158822149038315, 0.08373943716287613, 0.004372060764580965, 0.04120495915412903, 0.035922110080718994, 0.01870848424732685, 0.09029995650053024, 0.035204533487558365, 0.020797723904252052, 0.019938167184591293, 0.037843190133571625, 0.043555762618780136]"
F6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
F7,"[0.014877377077937126, 0.0023063733242452145, 0.017247414216399193, 0.029284115880727768, 0.0103846350684762, 0.08334077149629593, 0.0017111935885623097, 0.020827488973736763, 0.0054372516460716724, 0.022373471409082413, 0.012421212159097195, 0.01540923397988081, 0.08339468389749527, 0.006161115597933531, 0.031235285103321075, 0.04908265918493271, 0.035509880632162094, 0.02657662145793438, 0.0041251699440181255, 0.06675571203231812, 0.046618349850177765, 0.04337100684642792, 0.03970203176140785, 0.00700902147218585, 0.003319238545373082, 0.02325740084052086, 0.024705763906240463, 0.04557042568922043, 0.053895846009254456, 0.08391069620847702, 0.042326346039772034, 0.011799436062574387, 0.0203829538077116, 0.0528869703412056, 0.013729914091527462, 0.008522512391209602, 0.03508535400032997, 0.04793383926153183, 0.054137036204338074, 0.03875294327735901, 0.06769700348377228, 0.06680025905370712, 0.0026735325809568167, 0.09043724834918976, 0.051201771944761276, 0.012317544780671597, 0.039934974163770676, 0.05904942378401756, 0.012366119772195816, 0.028406616300344467, 0.03400440141558647, 0.009374653920531273, 0.00282673048786819, 0.002933682408183813, 0.023042339831590652, 0.03397919237613678, 0.07470745593309402, 0.05664646998047829, 0.027242543175816536, 0.04963213577866554, 0.05677960067987442, 0.019448164850473404, 0.029519274830818176, 0.12145170569419861, 0.045430224388837814, 0.033600836992263794, 0.04380420967936516, 0.02308066003024578, 0.05150927975773811, 0.012912950478494167, 0.06872332096099854, 0.028567569330334663, 0.013237311504781246, 0.05525749549269676, 0.06507524102926254, 0.02625887840986252, 0.03086593747138977, 0.03450155630707741, 0.055921606719493866, 0.07734283059835434, 0.0312149990350008, 0.010298292152583599, 0.030933305621147156, 0.07561952620744705, 0.009752861224114895, 0.017757287248969078, 0.02451774664223194, 0.001162352622486651, 0.003276280127465725, 0.024323703721165657, 0.03998755291104317, 0.03721940517425537, 0.05887095630168915, 0.012395458295941353, 0.015116126276552677, 0.0018766246503219008, 0.1352146863937378, 0.02258041314780712, 0.02776896208524704, 0.005558072589337826, 0.031060943379998207, 0.04638398811221123, 0.019820308312773705, 0.0027531159576028585, 0.01034191157668829, 0.025846723467111588, 0.024014819413423538, 0.01766696199774742, 0.039710160344839096, 0.09570933878421783, 0.008087094873189926, 0.026836151257157326, 0.03627501800656319, 0.011343613266944885, 0.11073952168226242, 0.07713944464921951, 0.004363706335425377, 0.03632533550262451, 0.09978791326284409, 0.017867252230644226, 0.013221855275332928, 0.026234034448862076, 0.020843105390667915, 0.008532355539500713, 0.06098596379160881, 0.00029706009081564844, 0.028675511479377747, 0.008209564723074436]"
F8,"[0.028254155069589615, 0.08316633105278015, 0.048719119280576706, 0.07499638944864273, 0.004078924655914307, 0.03904908150434494, 0.01771630346775055, 0.020962506532669067, 0.08338876068592072, 0.029071813449263573, 0.017483340576291084, 0.07521133869886398, 0.010134778916835785, 0.026569914072752, 0.014460407197475433, 0.04253515228629112, 0.054034799337387085, 0.019299974665045738, 0.016682593151926994, 0.02605048567056656, 0.046824194490909576, 0.01195120345801115, 0.09360000491142273, 0.03764556348323822, 0.025452028959989548, 0.04076315462589264, 0.03410841152071953, 0.007069291081279516, 0.04290849715471268, 0.08359607309103012, 0.04848875477910042, 0.0647120252251625, 0.0006899291183799505, 0.04573426395654678, 0.05262340232729912, 0.0007283767336048186, 0.05334862321615219, 0.026997404173016548, 0.02480866201221943, 0.038693103939294815, 0.039588335901498795, 0.0014634893741458654, 0.05943305417895317, 0.007253075018525124, 0.025716019794344902, 0.08767262101173401, 0.08242405951023102, 0.010414572432637215, 0.007723571266978979, 0.11549556255340576, 0.03443753719329834, 0.08132047206163406, 0.051045916974544525, 0.03145517036318779, 0.046074096113443375, 0.016062160953879356, 0.025759782642126083, 0.010148933157324791, 0.016022155061364174, 0.0320579931139946, 0.06226840987801552, 0.0068561178632080555, 0.09382473677396774, 0.0614493265748024, 0.012952514924108982, 0.06173732504248619, 0.047170575708150864, 0.012060624547302723, 0.006036245729774237, 0.08284934610128403, 0.013771336525678635, 0.0522209033370018, 0.03119981661438942, 0.011959152296185493, 0.05298951640725136, 0.054024096578359604, 0.007883225567638874, 0.06354869902133942, 0.019889717921614647, 0.025327688083052635, 0.04830401763319969, 0.015281613916158676, 0.026441771537065506, 0.07192635536193848, 0.004976426716893911, 0.048144664615392685, 0.025174101814627647, 0.12522277235984802, 0.00826270878314972, 0.03575368970632553, 0.01994222030043602, 0.030999889597296715, 0.0028498321771621704, 0.0040756706148386, 0.050220075994729996, 0.05826766416430473, 0.10226456075906754, 0.08053760230541229, 0.0013077273033559322, 0.021415933966636658, 0.09119147807359695, 0.11228248476982117, 0.030020996928215027, 0.033276695758104324, 0.11950504779815674, 0.011758259497582912, 0.08319360762834549, 0.031985849142074585, 0.04216338321566582, 0.05554424598813057, 0.09232870489358902, 0.05342411622405052, 0.029273388907313347, 0.020319005474448204, 0.026015935465693474, 0.03874131664633751, 0.04298478737473488, 0.07475008815526962, 0.02128651924431324, 0.021274100989103317, 0.07783860713243484, 0.03331122174859047, 0.004862083587795496, 0.03165670856833458, 0.041509103029966354, 0.01732281781733036, 0.02680167183279991, 0.02665599435567856]"
F9,"[0.003928443416953087, 0.0002726393286138773, 0.0008094148943200707, 0.03316853567957878, 0.010955209843814373, 0.000404675753088668, 0.00879749283194542, 0.007748736999928951, 0.0007063033990561962, 0.009805562905967236, 0.011711341328918934, 0.023668041452765465, 0.005656715482473373, 0.006383940577507019, 0.012325475923717022, 0.008887947537004948, 0.013583725318312645, 0.002748220693320036, 0.010881831869482994, 0.0018453001976013184, 0.015245519578456879, 0.0005812280578538775, 0.00771203450858593, 0.013124346733093262, 0.000751101179048419, 0.013073578476905823, 0.020176203921437263, 0.004903376568108797, 0.002451407490298152, 0.004424513317644596, 0.008959533646702766, 0.008597810752689838, 0.01551141869276762, 0.03259064629673958, 0.004657036624848843, 0.008684255182743073, 0.006767822429537773, 0.002638220088556409, 0.014448480680584908, 0.00910068117082119, 0.01854637823998928, 0.024254601448774338, 0.004328836686909199, 0.004956411197781563, 0.000328409718349576, 0.0006526547949761152, 0.011953235603868961, 0.008618868887424469, 0.016407668590545654, 0.007745177019387484, 0.006083786953240633, 0.013372152112424374, 0.008742748759686947, 0.010360779240727425, 0.00362240057438612, 0.018178790807724, 0.006674893666058779, 0.01671776920557022, 0.0018900411669164896, 0.0030278190970420837, 0.025831066071987152, 0.005516219884157181, 0.0011428419966250658, 0.019826015457510948, 0.0017828354611992836, 0.010832796804606915, 0.02144363522529602, 0.008847962133586407, 0.0044625005684792995, 0.004454349167644978, 0.007205274887382984, 0.030463969334959984, 0.012097440659999847, 0.021945051848888397, 0.006237882189452648, 0.009478991851210594, 0.009665239602327347, 0.008902132511138916, 0.019902508705854416, 0.0035862301010638475, 0.003662089817225933, 0.022887254133820534, 0.004179740324616432, 0.014708315953612328, 0.010098323225975037, 0.003633231623098254, 0.014318806119263172, 0.004940412472933531, 0.008109944872558117, 0.019797243177890778, 0.015570362098515034, 0.013231688179075718, 0.003537449287250638, 0.006134747993201017, 0.024607324972748756, 0.005112831015139818, 0.0065821013413369656, 0.00027179837343283, 0.028187474235892296, 0.005898208357393742, 0.012670653872191906, 0.015925372019410133, 0.0022216937504708767, 0.009800306521356106, 0.0007761330343782902, 0.00015729044389445335, 0.01865346170961857, 0.0018976895371451974, 0.0032713983673602343, 0.002229096833616495, 0.02000872604548931, 0.0009892161469906569, 0.004879327956587076, 0.012821936048567295, 0.013272391632199287, 0.0017408792627975345, 0.0032758801244199276, 0.0024052548687905073, 0.016740361228585243, 0.003161416854709387, 0.006461039651185274, 8.628538489574566e-05, 0.012326008640229702, 0.001713103149086237, 0.01980973221361637, 0.002185181248933077, 0.006731090601533651, 0.008864769712090492]"
F10,"[0.0020207015331834555, 5.360442810342647e-05, 0.005160634871572256, 0.0006457304116338491, 0.0047996761277318, 0.001021724077872932, 0.006444341037422419, 0.004598313942551613, 0.00556275574490428, 0.018118251115083694, 0.005701763089746237, 0.0027644154615700245, 0.0038189184851944447, 0.005916198715567589, 0.003458528546616435, 0.002139747841283679, 0.008669932372868061, 0.0029868579003959894, 0.0021635114680975676, 0.007934436202049255, 0.0020186726469546556, 0.0015742594841867685, 0.0014762358041480184, 0.0029547582380473614, 0.004456611815840006, 0.007164555601775646, 0.006802596617490053, 0.0036172454711049795, 0.002835541032254696, 0.0009746935102157295, 0.006548585835844278, 0.001176570076495409, 0.007276637479662895, 0.005051374435424805, 0.009300650097429752, 0.0007605801220051944, 0.015387190505862236, 0.0004247631586622447, 0.0059220753610134125, 0.0031359714921563864, 0.004329074174165726, 0.0054295239970088005, 0.006504426244646311, 0.0008477615774609149, 0.0076278927735984325, 0.013907738961279392, 0.0032002762891352177, 0.011274534277617931, 0.002395321847870946, 0.0020260431338101625, 0.006924046203494072, 0.0007061112555675209, 0.0010221926495432854, 0.008872521109879017, 0.00933036394417286, 0.0014779106713831425, 0.00031698530074208975, 0.008948328904807568, 0.007556226570159197, 0.009298915043473244, 0.0012867843033745885, 0.009623359888792038, 0.001714568235911429, 0.011656899936497211, 0.010907272808253765, 0.002016571117565036, 0.0011125497985631227, 0.006126100663095713, 0.003052577143535018, 0.0007387409568764269, 0.0044279033318161964, 0.008337589912116528, 0.006548238452523947, 0.004600510001182556, 0.009011536836624146, 0.006438145879656076, 0.009979208000004292, 0.006912078242748976, 0.0033807239960879087, 0.015889007598161697, 0.005575266201049089, 0.009733187966048717, 0.0052511803805828094, 0.009283558465540409, 0.004201998468488455, 0.006077701225876808, 0.0018358291126787663, 0.0019482742063701153, 0.01766103133559227, 0.005819343030452728, 0.011258307844400406, 0.011287112720310688, 0.007613180670887232, 0.004442960489541292, 0.010273166000843048, 0.008579045534133911, 0.004026204347610474, 0.003508316120132804, 0.0005253549315966666, 0.009601256810128689, 0.00932959746569395, 0.001252681715413928, 0.002246588235720992, 0.010806548409163952, 0.0066277701407670975, 0.0017018158687278628, 0.009852561168372631, 0.0009016270632855594, 0.0033282910007983446, 0.0008430257439613342, 0.007265366148203611, 0.005032509099692106, 0.0004235660017002374, 0.0077626206912100315, 0.008573583327233791, 0.0054871756583452225, 0.007951333187520504, 0.006096667144447565, 0.006726465653628111, 0.004311057273298502, 0.0016223236452788115, 0.0035797427408397198, 0.008374299854040146, 0.0012596556916832924, 0.0050171115435659885, 0.001264148042537272, 0.008172610774636269, 0.0024118716828525066]"
