feature,feature_name,max_abs_weight_score
F224,feature_224,0.23614902794361115
F190,feature_190,0.23532766103744507
F593,feature_593,0.2144855409860611
F133,feature_133,0.2115626335144043
F595,feature_595,0.20989853143692017
F92,feature_92,0.20781561732292175
F312,feature_312,0.20749375224113464
F290,feature_290,0.2050531953573227
F155,feature_155,0.20357829332351685
F94,feature_94,0.2018718421459198
F938,feature_938,0.20138663053512573
F889,feature_889,0.20115701854228973
F929,feature_929,0.19900184869766235
F536,feature_536,0.19880186021327972
F547,feature_547,0.1984783262014389
F451,feature_451,0.19717258214950562
F184,feature_184,0.19633199274539948
F584,feature_584,0.19588473439216614
F181,feature_181,0.1952141523361206
F545,feature_545,0.19497032463550568
F220,feature_220,0.1947203129529953
F93,feature_93,0.1943371444940567
F221,feature_221,0.1932876706123352
F639,feature_639,0.1922949105501175
F782,feature_782,0.19224974513053894
F455,feature_455,0.19222290813922882
F647,feature_647,0.19198349118232727
F550,feature_550,0.19157536327838898
F872,feature_872,0.189988374710083
F449,feature_449,0.18908168375492096
F147,feature_147,0.1890609860420227
F286,feature_286,0.18783454596996307
F943,feature_943,0.18746565282344818
F264,feature_264,0.18718189001083374
F952,feature_952,0.18705035746097565
F549,feature_549,0.18580804765224457
F854,feature_854,0.18579517304897308
F372,feature_372,0.18561126291751862
F166,feature_166,0.1854514330625534
F769,feature_769,0.18536436557769775
F894,feature_894,0.18446782231330872
F397,feature_397,0.18442519009113312
F544,feature_544,0.18400703370571136
F303,feature_303,0.18332375586032867
F294,feature_294,0.18311049044132233
F310,feature_310,0.18298177421092987
F368,feature_368,0.18287448585033417
F296,feature_296,0.1826990693807602
F845,feature_845,0.1824871301651001
F380,feature_380,0.18246716260910034
F902,feature_902,0.18221117556095123
F142,feature_142,0.18122932314872742
F437,feature_437,0.1810058355331421
F921,feature_921,0.18093906342983246
F145,feature_145,0.1807650327682495
F467,feature_467,0.18008868396282196
F98,feature_98,0.17989586293697357
F292,feature_292,0.17960450053215027
F950,feature_950,0.17959336936473846
F37,feature_37,0.1794862151145935
F173,feature_173,0.17942048609256744
F509,feature_509,0.1791182905435562
F962,feature_962,0.17904508113861084
F521,feature_521,0.17890769243240356
F41,feature_41,0.17890754342079163
F878,feature_878,0.17876151204109192
F752,feature_752,0.1782815009355545
F784,feature_784,0.17802514135837555
F430,feature_430,0.17792710661888123
F336,feature_336,0.17776289582252502
F599,feature_599,0.177621990442276
F821,feature_821,0.17760446667671204
F376,feature_376,0.17750972509384155
F371,feature_371,0.17648345232009888
F749,feature_749,0.17631064355373383
F483,feature_483,0.1761857271194458
F485,feature_485,0.1756044626235962
F865,feature_865,0.17543528974056244
F276,feature_276,0.17511050403118134
F657,feature_657,0.1750793606042862
F615,feature_615,0.17489458620548248
F77,feature_77,0.17469851672649384
F89,feature_89,0.17446738481521606
F158,feature_158,0.17429262399673462
F194,feature_194,0.17399021983146667
F861,feature_861,0.17288778722286224
F469,feature_469,0.17279000580310822
F937,feature_937,0.17227977514266968
F334,feature_334,0.1722676306962967
F543,feature_543,0.1722598671913147
F339,feature_339,0.17197823524475098
F928,feature_928,0.17190425097942352
F957,feature_957,0.1717512607574463
F87,feature_87,0.17170701920986176
F959,feature_959,0.17170163989067078
F939,feature_939,0.1715911626815796
F879,feature_879,0.17119374871253967
F735,feature_735,0.17037296295166016
F633,feature_633,0.170237734913826
F20,feature_20,0.1702278107404709
F563,feature_563,0.17001546919345856
F134,feature_134,0.16998088359832764
F762,feature_762,0.1698123812675476
F185,feature_185,0.16934004426002502
F340,feature_340,0.16918551921844482
F776,feature_776,0.16843952238559723
F523,feature_523,0.16841337084770203
F551,feature_551,0.16826273500919342
F350,feature_350,0.16794277727603912
F452,feature_452,0.16741570830345154
F280,feature_280,0.16733430325984955
F683,feature_683,0.16727356612682343
F435,feature_435,0.16697469353675842
F520,feature_520,0.16657689213752747
F311,feature_311,0.16634690761566162
F200,feature_200,0.16632184386253357
F233,feature_233,0.1658942848443985
F472,feature_472,0.16581948101520538
F892,feature_892,0.16553989052772522
F629,feature_629,0.16516782343387604
F29,feature_29,0.16506674885749817
F738,feature_738,0.1648245006799698
F440,feature_440,0.16478751599788666
F114,feature_114,0.16422854363918304
F477,feature_477,0.16417723894119263
F873,feature_873,0.16414067149162292
F901,feature_901,0.16405265033245087
F658,feature_658,0.16380223631858826
F640,feature_640,0.163773313164711
F346,feature_346,0.16304147243499756
F510,feature_510,0.16302910447120667
F21,feature_21,0.16295698285102844
F209,feature_209,0.16293857991695404
F431,feature_431,0.1627647429704666
F859,feature_859,0.1627407819032669
F202,feature_202,0.16230785846710205
F361,feature_361,0.16220995783805847
F40,feature_40,0.16205021739006042
F191,feature_191,0.16170386970043182
F868,feature_868,0.16130675375461578
F733,feature_733,0.16113996505737305
F110,feature_110,0.16111260652542114
F313,feature_313,0.16091766953468323
F103,feature_103,0.1608734279870987
F377,feature_377,0.16085989773273468
F761,feature_761,0.16034124791622162
F445,feature_445,0.16027650237083435
F332,feature_332,0.1602652370929718
F987,feature_987,0.16023148596286774
F794,feature_794,0.16008037328720093
F837,feature_837,0.1600756049156189
F743,feature_743,0.16002845764160156
F70,feature_70,0.1598551720380783
F141,feature_141,0.1598520278930664
F857,feature_857,0.1596173644065857
F814,feature_814,0.15902675688266754
F886,feature_886,0.15900291502475739
F954,feature_954,0.15871478617191315
F19,feature_19,0.1586924046278
F214,feature_214,0.15868481993675232
F603,feature_603,0.15864069759845734
F933,feature_933,0.1585027426481247
F379,feature_379,0.158436581492424
F375,feature_375,0.15824300050735474
F146,feature_146,0.1580388993024826
F347,feature_347,0.15799154341220856
F783,feature_783,0.15784673392772675
F421,feature_421,0.1577949821949005
F329,feature_329,0.15773843228816986
F201,feature_201,0.15768751502037048
F123,feature_123,0.15759159624576569
F555,feature_555,0.15748277306556702
F926,feature_926,0.15741558372974396
F398,feature_398,0.15724672377109528
F349,feature_349,0.15719786286354065
F399,feature_399,0.1571946144104004
F405,feature_405,0.15705087780952454
F470,feature_470,0.15685804188251495
F106,feature_106,0.1567738801240921
F219,feature_219,0.15674543380737305
F358,feature_358,0.1567317694425583
F620,feature_620,0.15631121397018433
F945,feature_945,0.15616048872470856
F560,feature_560,0.1557328850030899
F871,feature_871,0.15569014847278595
F471,feature_471,0.15563449263572693
F537,feature_537,0.1555001586675644
F996,feature_996,0.15548428893089294
F31,feature_31,0.1554492861032486
F33,feature_33,0.1554034948348999
F128,feature_128,0.15538673102855682
