feature,weight_list
F1,"[0.008785765618085861, 0.03197184577584267, 0.01803080178797245, 0.002360774902626872, 0.009129070676863194, 0.0012237528571859002, 0.02791414223611355, 0.0026283066254109144, 0.022206492722034454, 0.0019950661808252335, 0.0011342164361849427, 0.005773516837507486, 0.004885239526629448, 0.04889267310500145, 0.03982844203710556, 0.0020734090358018875, 0.01578357256948948, 0.02981198951601982, 0.032469894737005234, 0.031072504818439484, 0.00591981690376997, 0.002404979895800352, 0.011212529614567757, 0.0020212517119944096, 0.008966736495494843, 0.02646450325846672, 0.03125863894820213, 0.008733902126550674, 0.037605419754981995, 0.018036270514130592, 0.05269279703497887, 0.016338864341378212, 0.014375386759638786, 0.02629528008401394, 0.011833056807518005, 0.030454687774181366, 0.012592047452926636, 0.028001120314002037, 0.019355636090040207, 0.00041241460712626576, 0.02010570839047432, 0.014819405972957611, 0.008504504337906837, 0.014529144391417503, 0.02408364601433277, 0.009118085727095604, 0.0077486177906394005, 0.014213529415428638, 0.013740021735429764, 0.027993816882371902, 0.02096746675670147, 0.015512755140662193, 0.037759747356176376, 0.0330248698592186, 0.029449300840497017, 0.007238877471536398, 0.044069960713386536, 0.010916399769484997, 0.053171005100011826, 0.048853080719709396, 0.007730684708803892, 0.003936400171369314, 0.03517065942287445, 0.013127082958817482, 0.023431936278939247, 0.014731206931173801, 0.039398595690727234, 0.037314627319574356, 0.048193156719207764, 0.028426915407180786, 0.01060640998184681, 0.011729196645319462, 0.01559398788958788, 0.02562204748392105, 0.007551973219960928, 0.011689528822898865, 0.005514936521649361, 0.019882969558238983, 0.01864001527428627, 0.028611790388822556, 0.017709294334053993, 0.005995841231197119, 0.03475029021501541, 0.012669684365391731, 0.02000836655497551, 0.01995726488530636, 0.03365108743309975, 0.0029126962181180716, 0.0020659666042774916, 0.013385003432631493, 0.02084915153682232, 0.004621625877916813, 0.04293045401573181, 0.025056809186935425, 0.017025606706738472, 0.004098664969205856, 0.01748971827328205, 0.010800153017044067, 0.013691759668290615, 0.018360627815127373, 0.04365083947777748, 0.0257584135979414, 0.0018149027600884438, 0.044440802186727524, 0.018243372440338135, 0.006648713257163763, 0.0035937384236603975, 0.030132941901683807, 0.03146309405565262, 0.01697421632707119, 0.008931798860430717, 0.014705680310726166, 0.002739734249189496, 0.004330402705818415, 0.015111991204321384, 0.0003893391985911876, 0.014842751435935497, 0.03542860969901085, 0.012725168839097023, 0.009378443472087383, 0.00872692372649908, 0.0073106735944747925, 0.03138090297579765, 0.014239012263715267, 0.002727996092289686, 0.0015042597660794854, 0.01611020416021347, 0.006998457480221987]"
F2,"[0.023774579167366028, 0.02144521102309227, 0.0623859241604805, 0.10057808458805084, 0.08957944065332413, 0.05232749134302139, 0.08009044826030731, 0.0143150445073843, 0.029541047289967537, 0.006594290025532246, 0.02617308869957924, 0.020991696044802666, 0.0697377622127533, 0.023672036826610565, 0.052476666867733, 0.04356884956359863, 0.0031006596982479095, 0.039624858647584915, 0.014571591280400753, 0.04501200467348099, 0.016806703060865402, 0.05928792431950569, 0.0444822795689106, 0.051276255398988724, 0.08969491720199585, 0.031208576634526253, 0.08596685528755188, 0.02732733078300953, 0.029311394318938255, 0.01970480941236019, 0.015002262778580189, 0.016209933906793594, 0.02802429161965847, 0.03576618432998657, 0.041413892060518265, 0.012638436630368233, 0.028780760243535042, 0.08871520310640335, 0.06946238875389099, 0.016206733882427216, 0.015017875470221043, 0.05128881707787514, 0.02878403104841709, 0.02143368124961853, 0.03870653361082077, 0.08148179203271866, 0.009367267601191998, 0.02564346417784691, 0.04908749461174011, 0.03435707464814186, 0.014681895263493061, 0.05071255564689636, 0.06630236655473709, 0.08730637282133102, 0.04727023094892502, 0.06975730508565903, 0.0026081453543156385, 0.05040455982089043, 0.03049089014530182, 0.085267074406147, 0.02885705977678299, 0.004304881673306227, 0.0390048511326313, 0.06690599024295807, 0.06162542104721069, 0.039257559925317764, 0.07821457087993622, 0.0301226619631052, 0.052432119846343994, 0.08968612551689148, 0.014314870350062847, 0.032772812992334366, 0.04487135261297226, 0.04989214986562729, 0.0636865496635437, 0.04862814024090767, 0.0316600576043129, 0.004141704179346561, 0.025318115949630737, 0.011766231618821621, 0.03303162381052971, 0.021104848012328148, 0.019791379570961, 0.02704334817826748, 0.0051336996257305145, 0.07795949280261993, 0.07012645900249481, 0.02288070321083069, 0.026229243725538254, 0.06888969987630844, 0.0868443176150322, 0.007902329787611961, 0.008017070591449738, 0.05287067964673042, 0.04295996204018593, 0.05894262343645096, 0.021061349660158157, 0.0669265165925026, 0.012668226845562458, 0.05114453658461571, 0.09141667187213898, 0.11779699474573135, 0.04715476185083389, 0.051573745906353, 0.03933677077293396, 0.04243868216872215, 0.0878361389040947, 0.03201868012547493, 0.09705009311437607, 0.04275485500693321, 0.08075445890426636, 0.056610409170389175, 0.07096682488918304, 0.03844394162297249, 0.06323040276765823, 0.0363168939948082, 0.04281949624419212, 0.05145178362727165, 0.0905628651380539, 0.0029881922528147697, 0.030114786699414253, 0.009724889881908894, 0.024634623900055885, 0.1144355982542038, 0.017501264810562134, 0.06914269179105759, 0.06627998501062393, 0.01819300279021263]"
F3,"[0.02176627330482006, 0.07251647859811783, 0.019491685554385185, 0.0523274801671505, 0.009224841371178627, 0.030868830159306526, 0.04198811948299408, 0.004477337468415499, 0.041107628494501114, 0.05726730078458786, 0.06567663699388504, 0.021315891295671463, 0.01928543485701084, 0.07693754136562347, 0.06210283562541008, 0.011865241453051567, 0.0849689468741417, 0.059869855642318726, 0.049173880368471146, 0.03281594067811966, 0.0662117525935173, 0.03438503295183182, 0.010502719320356846, 0.08709435909986496, 0.00869869627058506, 0.016988560557365417, 0.010739900171756744, 0.016249647364020348, 0.0930137112736702, 0.04610689356923103, 0.03579165041446686, 0.036202047020196915, 0.06973467022180557, 0.014222424477338791, 0.004973714239895344, 0.011000734753906727, 0.01914534717798233, 0.024178259074687958, 0.1074216291308403, 0.014361696317791939, 0.021798303350806236, 0.03546353802084923, 0.026244889944791794, 0.05697513371706009, 0.022222256287932396, 0.025484101846814156, 0.04524828866124153, 0.0350751131772995, 0.010849428363144398, 0.00010182268306380138, 0.02546682395040989, 0.03833092749118805, 0.010402691550552845, 0.047431349754333496, 0.02173597924411297, 0.004792600870132446, 0.0027179380413144827, 0.07084811478853226, 0.023950057104229927, 0.028314433991909027, 0.07761839777231216, 0.053575385361909866, 0.0005964430747553706, 0.030142098665237427, 0.010977394878864288, 0.02333512343466282, 0.005910237319767475, 0.08291430026292801, 0.011976398527622223, 0.005205743946135044, 0.025624720379710197, 0.11638379842042923, 0.014121299609541893, 0.0011728625977411866, 0.09715692698955536, 0.04191509634256363, 0.028656689450144768, 0.027341902256011963, 0.009531446732580662, 0.027472592890262604, 0.018609020859003067, 0.001251808600500226, 0.07893238216638565, 0.024462658911943436, 0.024149436503648758, 0.0375913605093956, 0.013323821127414703, 0.03657008707523346, 0.05952754616737366, 0.009972470812499523, 0.021575963124632835, 0.02668246440589428, 0.06623005867004395, 0.024919085204601288, 0.024158384650945663, 0.008485323749482632, 0.07758911699056625, 0.0743248388171196, 0.0031228731386363506, 0.028699960559606552, 0.0029660637956112623, 0.05696908384561539, 0.02583150751888752, 0.036354564130306244, 0.07594291865825653, 0.07756401598453522, 0.0680655762553215, 0.10201441496610641, 0.005343115422874689, 0.01131603866815567, 0.009550899267196655, 0.0727902427315712, 0.034624431282281876, 0.045077867805957794, 0.0646357536315918, 0.04824978858232498, 0.04668250307440758, 0.06760817766189575, 0.10361678153276443, 0.07297070324420929, 0.0738697350025177, 0.048247285187244415, 0.016904368996620178, 0.06859060376882553, 0.0943983793258667, 0.031093252822756767, 0.072682686150074, 0.04628930613398552]"
F4,"[0.008593744598329067, 0.04271760210394859, 0.025820640847086906, 0.016353288665413857, 0.0058104912750422955, 0.009782382287085056, 0.019561707973480225, 0.01637888327240944, 0.03901855647563934, 0.056588683277368546, 0.03249143064022064, 0.08680076897144318, 0.04189695417881012, 0.024546150118112564, 0.00236875400878489, 0.00517899077385664, 0.019294703379273415, 0.012766029685735703, 0.05966181680560112, 0.007720154710114002, 0.0066762822680175304, 0.032860126346349716, 0.0023954175412654877, 0.007706157397478819, 0.021190142259001732, 0.05300918221473694, 0.0528489351272583, 0.04963073134422302, 0.02061232179403305, 0.08536620438098907, 0.028028888627886772, 0.0015592866111546755, 0.010259401984512806, 0.05660450831055641, 0.007350132800638676, 0.004276246763765812, 0.043177805840969086, 0.0714593380689621, 0.04963665083050728, 0.08167803287506104, 0.010786456055939198, 0.0603756308555603, 0.01349740568548441, 0.0085257887840271, 0.0051100775599479675, 0.011110275983810425, 0.0526382178068161, 0.014678525738418102, 0.007948257029056549, 0.01714528724551201, 0.05999964848160744, 0.0005539391422644258, 0.014465679414570332, 0.040928807109594345, 0.07755887508392334, 0.04026852548122406, 0.0035827350802719593, 0.07271506637334824, 1.1721813280018978e-05, 0.05998091772198677, 0.0422828234732151, 0.012363649904727936, 0.07411792874336243, 0.0050410060212016106, 0.08025066554546356, 0.04290824383497238, 0.0909961685538292, 0.04249757528305054, 0.07020783424377441, 0.009714978747069836, 0.017647119238972664, 0.039265260100364685, 0.026369353756308556, 0.09991501271724701, 0.0032172754872590303, 0.017110204324126244, 0.008422442711889744, 0.02779395505785942, 0.07159450650215149, 0.01641167886555195, 0.026318153366446495, 0.001050026505254209, 0.018237954005599022, 0.11497024446725845, 0.06076809763908386, 0.046304862946271896, 0.038326654583215714, 0.01343713141977787, 0.05233888700604439, 0.014033754356205463, 0.014071685262024403, 0.00653503555804491, 0.10414523631334305, 0.005358412861824036, 0.07963371276855469, 0.02882828563451767, 0.004916371311992407, 0.004667355678975582, 0.0159178264439106, 0.04653707519173622, 0.029506966471672058, 0.018968744203448296, 0.0697079747915268, 0.05538181588053703, 0.056568264961242676, 0.06535857170820236, 0.014052122831344604, 0.09691280871629715, 0.08166073262691498, 0.054504599422216415, 0.10266145318746567, 0.06615699082612991, 0.013574267737567425, 0.03920773044228554, 0.025946034118533134, 0.0043296413496136665, 0.04625736176967621, 0.07968678325414658, 0.051713403314352036, 0.016575954854488373, 0.09230642020702362, 0.020336385816335678, 0.021450383588671684, 0.0070146131329238415, 0.006058786995708942, 0.11430800706148148, 0.009512603282928467, 0.03054685890674591]"
F5,"[0.030840765684843063, 0.04946548491716385, 0.07598600536584854, 0.01624295860528946, 0.011729864403605461, 0.04706674814224243, 0.02499653957784176, 0.01588115096092224, 0.038413602858781815, 0.07728277891874313, 0.11181384325027466, 0.010335487313568592, 0.07272443920373917, 0.01888403482735157, 0.0117277130484581, 0.06771859526634216, 0.025690630078315735, 0.04136908799409866, 0.045321010053157806, 0.03385567665100098, 0.04794042184948921, 0.004981582053005695, 0.007473273668438196, 0.03979546204209328, 0.017119063064455986, 0.026635369285941124, 0.039734140038490295, 0.00207658507861197, 0.028647530823946, 0.0293519739061594, 0.07188119739294052, 0.04425390437245369, 0.022241778671741486, 0.05182071402668953, 0.057515714317560196, 0.02333921194076538, 0.0023482143878936768, 0.01405970100313425, 0.03899811580777168, 0.06693973392248154, 0.020528599619865417, 0.011986931785941124, 0.02187633328139782, 0.037824276834726334, 0.015767935663461685, 0.029522499069571495, 0.034929241985082626, 0.05714382976293564, 0.005194862373173237, 0.009666183963418007, 0.0023825254756957293, 0.055703140795230865, 0.060066282749176025, 0.017650457099080086, 0.03360696882009506, 0.06488446891307831, 0.02650640346109867, 0.030693702399730682, 0.014664498157799244, 0.008357912302017212, 0.014134140685200691, 0.05385797843337059, 0.030179912224411964, 0.06197042390704155, 0.016996238380670547, 9.191105345962569e-05, 0.010035323910415173, 0.005715644918382168, 0.0835111141204834, 0.022385846823453903, 0.07224307209253311, 0.03612247109413147, 0.03146180137991905, 0.04963679239153862, 0.0008605371112935245, 0.08004088699817657, 0.08174549043178558, 0.012913201935589314, 0.029600152745842934, 0.031948722898960114, 0.06522965431213379, 0.040119726210832596, 0.04939091578125954, 0.03912763297557831, 0.04335402697324753, 0.08513657003641129, 0.005190629046410322, 0.01290169171988964, 0.0735611617565155, 0.099140964448452, 0.02702423930168152, 0.06794897466897964, 0.021052200347185135, 0.01291526947170496, 0.02544241212308407, 0.0015785718569532037, 0.020063411444425583, 0.021207721903920174, 0.0049740104004740715, 0.0985284298658371, 0.01982739195227623, 0.04021080583333969, 0.021752430126070976, 0.06885354965925217, 0.054725900292396545, 0.035823412239551544, 0.004556337371468544, 0.06539668887853622, 0.021509608253836632, 0.045173365622758865, 0.10501043498516083, 0.030390147119760513, 0.08260404318571091, 0.03501831740140915, 0.0019395063864067197, 0.005596649833023548, 0.008009161800146103, 0.08814142644405365, 0.03909948095679283, 0.040751196444034576, 0.0031652965117245913, 0.11538936197757721, 0.008973800577223301, 0.057870976626873016, 0.043007463216781616, 0.0296266321092844, 0.0021973156835883856, 0.020810872316360474]"
F6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
F7,"[0.06535359472036362, 0.07660583406686783, 0.009350462816655636, 0.09527856111526489, 0.008151323534548283, 0.027579018846154213, 0.09454729408025742, 0.06923765689134598, 0.0031663612462580204, 0.01628035306930542, 0.06923823058605194, 0.013308761641383171, 0.04448102042078972, 0.029044076800346375, 0.03019305132329464, 0.0056150928139686584, 0.05577654764056206, 0.0403020903468132, 0.006333130411803722, 0.013416316360235214, 0.024134870618581772, 0.030674584209918976, 0.009042833931744099, 0.036265186965465546, 0.09083039313554764, 0.03294159099459648, 0.03219164162874222, 0.09083283692598343, 0.033467523753643036, 0.06285279989242554, 0.004511910956352949, 0.005790064577013254, 0.03394482284784317, 0.017164967954158783, 0.03881913051009178, 0.03394528850913048, 0.019667550921440125, 0.02245209738612175, 0.05399245396256447, 0.03128960728645325, 0.047525014728307724, 0.05810355395078659, 0.04635533690452576, 0.01638551987707615, 0.028450345620512962, 0.020381614565849304, 0.049281492829322815, 0.007216894533485174, 0.03599076345562935, 0.03727826476097107, 0.011015340685844421, 0.06558618694543839, 0.06502299010753632, 0.0876128077507019, 0.027959203347563744, 0.02072720229625702, 0.023641597479581833, 0.013985593803226948, 0.035704344511032104, 0.07335470616817474, 0.05123113840818405, 0.01536446250975132, 0.04050392284989357, 0.005536234471946955, 0.04486481472849846, 0.0022474813740700483, 0.011321560479700565, 0.015298102051019669, 0.05625323951244354, 0.03536942973732948, 0.04990115761756897, 0.008605174720287323, 0.0637376606464386, 0.02758605033159256, 0.004286265466362238, 0.029425708577036858, 0.005870227701961994, 0.03567042201757431, 0.005241989158093929, 0.06190778687596321, 0.045140091329813004, 0.02326471172273159, 0.0482296384871006, 0.017265599220991135, 0.04816528409719467, 0.024763908237218857, 0.01968647912144661, 0.07354356348514557, 0.0663975179195404, 0.029257971793413162, 0.013180093839764595, 0.04084506630897522, 0.04661434516310692, 0.036904074251651764, 0.00607152609154582, 0.06171402335166931, 0.001931226928718388, 0.05624597519636154, 0.015427293255925179, 0.05977177247405052, 0.011764075607061386, 0.006657384801656008, 0.059917986392974854, 0.03913665562868118, 0.03035072050988674, 0.04268910735845566, 0.011622665449976921, 0.06853926181793213, 0.00014661348541267216, 0.03764406591653824, 0.07507745921611786, 0.006008509546518326, 0.06039193272590637, 0.0677662044763565, 0.0654429942369461, 0.023988747969269753, 0.02251887321472168, 0.015468647703528404, 0.004388872999697924, 0.03373927250504494, 0.055685073137283325, 0.0005906412261538208, 0.08585264533758163, 0.026320433244109154, 0.010452562011778355, 0.0016193230403587222, 0.006300315260887146, 0.03178863599896431]"
F8,"[0.055012378841638565, 0.003806337481364608, 0.07315492630004883, 0.11493786424398422, 0.046823855489492416, 0.04498486965894699, 0.01436695083975792, 0.0005817970959469676, 0.004228768404573202, 0.017781535163521767, 0.01306894514709711, 0.014079572632908821, 0.03720754757523537, 0.0001370825048070401, 0.02208096534013748, 0.06559967994689941, 0.037924595177173615, 0.013531654141843319, 0.014208058826625347, 0.015331592410802841, 0.014827847480773926, 0.051107507199048996, 0.10293321311473846, 0.08530247956514359, 0.024897554889321327, 0.07101850211620331, 0.047358591109514236, 0.008480940014123917, 0.06287474185228348, 0.012547807767987251, 0.003879573894664645, 0.0067363609559834, 0.04175834730267525, 0.10347504168748856, 0.013311482034623623, 0.02343081869184971, 0.030774937942624092, 0.0072670578956604, 0.03815622627735138, 0.023273389786481857, 0.0031639495864510536, 0.0003079430025536567, 0.030161719769239426, 0.013094250112771988, 0.007445931434631348, 0.06052316352725029, 0.04462885111570358, 0.04742768406867981, 0.029100002720952034, 0.020720308646559715, 0.005156050901859999, 0.07718563079833984, 0.030832817777991295, 0.05649782717227936, 0.049786943942308426, 0.023180538788437843, 0.022714674472808838, 0.09764114767313004, 0.06295707821846008, 0.009340070188045502, 0.05862487852573395, 0.0742005854845047, 0.0009341536788269877, 0.07265561819076538, 0.02817668206989765, 0.04713156446814537, 0.0460595078766346, 0.028859565034508705, 0.09060028195381165, 0.06115663796663284, 0.05903881415724754, 0.0756106898188591, 0.05900469049811363, 0.004453535191714764, 0.045051708817481995, 0.01442921906709671, 0.10088416934013367, 0.0038946678396314383, 0.017417563125491142, 0.032585449516773224, 0.04374690353870392, 0.012273670174181461, 0.017527565360069275, 0.02152334526181221, 0.06788285821676254, 0.0591038353741169, 0.001521659200079739, 0.006038591731339693, 0.07640259712934494, 0.048053160309791565, 0.009950689040124416, 0.03807070851325989, 0.0495438389480114, 0.024358589202165604, 0.05415293201804161, 0.02495339699089527, 0.024789372459053993, 0.04251765459775925, 0.0639861449599266, 0.03306750953197479, 0.014397550374269485, 0.03682094067335129, 0.027669114992022514, 0.02159249410033226, 0.02098713628947735, 0.0201946459710598, 0.0010373382829129696, 0.02730519324541092, 0.010330474935472012, 0.03266572207212448, 0.05237753689289093, 0.05496874451637268, 0.06220347806811333, 0.0630226731300354, 0.0937727689743042, 0.02273433655500412, 0.02079487033188343, 0.057891204953193665, 0.0007281493162736297, 0.07499000430107117, 0.029454998672008514, 0.08057590574026108, 0.03869541361927986, 0.04783441498875618, 0.05485555902123451, 0.027289943769574165, 0.040547166019678116, 0.012350931763648987]"
F9,"[0.004580882377922535, 0.03190957009792328, 0.0003962858172599226, 0.0025509134866297245, 0.02270636521279812, 0.007554738782346249, 0.0015097152208909392, 0.05014808848500252, 0.004575144965201616, 0.00878031924366951, 0.01821453869342804, 0.01512586884200573, 0.005368201527744532, 0.00037379731656983495, 0.008583982475101948, 0.03413833677768707, 0.02046763338148594, 0.01797720231115818, 0.017390526831150055, 0.0030592128168791533, 0.01452364306896925, 0.004261926282197237, 0.012786258943378925, 0.009501651860773563, 0.017187412828207016, 0.00013895207666791975, 0.009424117393791676, 0.0007716912077739835, 0.014829784631729126, 0.013301756232976913, 0.012016676366329193, 0.007579505443572998, 0.012050568126142025, 0.019820334389805794, 0.0012838850961998105, 0.0205986425280571, 0.0038254389073699713, 0.011151790618896484, 0.008904639631509781, 0.004392920061945915, 0.028000736609101295, 0.004800756927579641, 0.005690809804946184, 0.014952735044062138, 0.0021518978755921125, 0.004989024717360735, 0.008688812144100666, 0.017624979838728905, 0.03231362625956535, 0.041716720908880234, 0.009749548509716988, 0.025208108127117157, 0.02227122336626053, 0.01956930197775364, 0.00519380159676075, 0.024764731526374817, 0.01317309495061636, 0.012645060196518898, 0.010108806192874908, 0.013739428482949734, 0.012288310565054417, 0.03408033773303032, 0.009336435236036777, 0.0034748073667287827, 0.009023628197610378, 0.022301530465483665, 0.009547388181090355, 0.008882900699973106, 0.0069440617226064205, 0.0014258859446272254, 0.007833789102733135, 0.03582539036870003, 0.027122588828206062, 0.001861410215497017, 0.0005792908486910164, 0.030693454667925835, 0.020219458267092705, 0.009097287431359291, 0.029247183352708817, 0.020275961607694626, 0.0011949373874813318, 0.015018513426184654, 0.006728507112711668, 0.008611306548118591, 0.0070559014566242695, 0.004781017545610666, 0.01571008376777172, 0.020109543576836586, 0.0018545259954407811, 0.013050193898379803, 0.018544849008321762, 0.013050663284957409, 0.01818477176129818, 0.007294314913451672, 0.00307851261459291, 0.016723643988370895, 0.010908025316894054, 0.03321900963783264, 0.015427633188664913, 0.03886387497186661, 0.0060631581582129, 0.0063525657169520855, 0.011995665729045868, 0.01432593073695898, 0.02392241172492504, 0.021640434861183167, 0.010473469272255898, 0.0008845235570333898, 0.008992907591164112, 0.005188911221921444, 0.0002472396590746939, 0.002133019035682082, 0.008417988196015358, 0.024475116282701492, 0.0014997590333223343, 0.032544247806072235, 0.008419913239777088, 0.018658408895134926, 0.022876989096403122, 0.027057161554694176, 0.018117275089025497, 0.01544643472880125, 0.021132903173565865, 0.0012337908847257495, 0.04273279383778572, 0.010726893320679665, 0.012777581810951233, 0.011211341246962547]"
F10,"[0.0026412245351821184, 0.0037923792842775583, 0.002426001476123929, 0.006325272843241692, 0.00046803089207969606, 0.003899137256667018, 0.0018059727735817432, 0.005710916593670845, 0.0011754753068089485, 0.002131514949724078, 0.009564348496496677, 0.00402166647836566, 0.010799330659210682, 0.004459521267563105, 0.00039205452776513994, 0.004873704630881548, 0.00034614806645549834, 0.009579317644238472, 0.00509045273065567, 0.008909067139029503, 0.008837445639073849, 0.00919007696211338, 0.00459684431552887, 0.0043783048167824745, 0.008513998240232468, 0.005943253170698881, 0.001990534132346511, 0.0032772955019026995, 0.0065414742566645145, 0.00016234233044087887, 0.0024738952051848173, 0.006937663536518812, 0.0053380695171654224, 0.0005122263100929558, 6.494225885944616e-07, 0.0020198379643261433, 0.01048615574836731, 0.010551718063652515, 0.0038178025279194117, 0.004875789862126112, 0.011435217224061489, 0.005221737083047628, 0.0024873572401702404, 0.007966653443872929, 0.007242153398692608, 0.004419560544192791, 0.00209396006539464, 0.00902915932238102, 0.002847447758540511, 0.003758154809474945, 0.0014096667291596532, 0.004510277416557074, 0.004616142716258764, 0.00984200369566679, 0.0035355815198272467, 0.006273444276303053, 0.007823874242603779, 0.001944330520927906, 0.011865573935210705, 0.004467782564461231, 0.0025278932880610228, 0.0006692306487821043, 0.006957776844501495, 0.005994540639221668, 0.0052016545087099075, 5.652779509546235e-05, 0.000603731838054955, 0.005236211232841015, 0.011369901709258556, 0.0002958671539090574, 0.001995183527469635, 0.003979148808866739, 0.005746136419475079, 0.0015272811288014054, 0.005551891401410103, 0.0028464689385145903, 0.002261664252728224, 0.0021440437994897366, 0.009335593320429325, 0.00551343010738492, 0.002838913816958666, 0.004489801358431578, 0.001309193903580308, 0.001478704740293324, 0.005509033799171448, 0.0074225738644599915, 0.009819921106100082, 0.0033993904944509268, 0.004324113950133324, 0.012378048151731491, 0.001240083365701139, 0.0008642499451525509, 0.0026869536377489567, 0.007680443115532398, 0.006280872505158186, 0.007293367758393288, 0.006884553004056215, 0.010840767994523048, 0.0030892258509993553, 0.0021962218452244997, 0.0018968055956065655, 0.004136078059673309, 0.0009240679210051894, 0.006735608913004398, 0.0036501630675047636, 0.010961301624774933, 0.002072248375043273, 0.0015328925801441073, 0.008677140809595585, 0.0014930794714018703, 0.0029574434738606215, 0.0074581303633749485, 0.0006870436482131481, 0.0006883993046358228, 0.012941505759954453, 0.00024710665456950665, 0.008359208703041077, 0.006333041936159134, 0.005696299020200968, 0.008302310481667519, 0.0024010061752051115, 0.0070902942679822445, 0.005151111166924238, 0.01073809340596199, 0.005842430982738733, 0.01166641153395176, 0.005052613560110331, 0.0032623291481286287]"
