sample_index,cluster,true_label
530,0,0
224,0,0
149,0,0
272,1,1
181,1,1
85,1,1
157,0,0
134,1,1
226,0,0
108,1,1
251,0,0
559,0,0
360,0,0
295,0,0
302,1,1
12,1,1
5,0,1
316,0,0
499,1,1
521,1,1
506,0,0
324,0,0
83,1,1
248,0,0
411,0,0
567,1,1
433,1,1
233,1,1
75,1,1
263,0,1
184,0,1
312,0,0
486,0,0
325,0,0
217,0,0
69,0,0
61,0,0
519,0,0
81,0,0
225,0,0
383,0,0
412,0,0
545,0,0
500,0,0
386,0,0
463,0,0
143,0,0
209,0,0
436,0,0
337,1,1
348,0,0
410,0,0
541,0,0
227,0,0
563,1,1
207,1,1
346,0,0
86,0,1
22,1,1
139,0,0
46,0,0
107,0,0
17,1,1
565,1,1
428,0,0
396,0,0
221,0,0
286,0,0
163,0,0
185,0,0
334,0,0
255,0,1
359,0,0
349,0,0
354,0,0
15,1,1
417,1,1
64,0,1
514,0,1
146,0,1
95,1,1
477,0,0
450,0,0
494,0,0
483,0,0
265,1,1
112,1,0
429,0,0
465,0,0
18,1,1
385,0,1
520,0,0
405,0,0
90,0,0
408,1,1
9,1,1
379,0,1
175,0,0
204,0,0
154,0,0
208,0,0
117,1,1
142,0,0
511,0,0
390,0,0
323,1,1
307,0,0
3,1,1
177,1,1
172,1,1
430,1,1
193,0,1
331,0,0
368,1,1
447,0,0
152,0,0
376,0,0
484,0,0
344,0,0
100,0,1
355,0,0
332,0,0
88,0,0
170,0,0
300,1,1
343,1,1
101,0,0
516,1,1
135,0,1
121,1,1
517,1,1
525,0,0
297,0,1
460,1,1
394,0,0
401,0,0
362,0,0
150,0,0
11,1,1
34,1,1
26,1,1
252,1,1
280,1,1
273,0,0
0,1,1
241,0,0
205,0,1
356,0,0
230,1,1
45,1,1
174,0,0
72,1,1
374,0,0
351,1,1
67,0,0
304,0,0
495,0,0
505,0,0
47,0,1
243,0,0
183,0,0
546,0,0
501,0,1
464,0,0
308,0,0
437,0,0
531,0,0
476,0,0
395,0,0
528,0,0
510,0,0
40,0,1
250,1,1
138,1,1
550,0,0
342,0,0
536,0,1
249,0,0
284,0,0
133,0,0
122,1,1
459,0,0
51,0,0
440,0,0
59,0,0
298,0,0
60,0,0
397,0,0
109,0,0
560,0,0
326,0,0
384,0,0
435,0,1
237,1,1
432,1,1
443,0,0
131,1,1
475,0,0
176,0,0
568,0,0
419,0,0
130,0,0
529,0,0
62,1,1
110,0,0
238,0,0
235,0,0
147,0,0
166,0,0
537,0,0
456,0,0
137,0,0
19,0,0
455,0,0
544,0,0
552,0,0
364,0,0
162,1,1
543,0,0
66,0,0
322,0,0
29,1,1
6,1,1
381,0,0
303,0,0
197,1,1
527,0,0
557,0,0
254,1,1
313,0,0
388,0,0
38,0,1
291,0,0
136,0,0
369,1,1
371,0,0
518,0,0
8,0,1
339,1,1
321,1,1
414,0,1
113,0,0
451,1,1
50,0,0
25,1,1
387,0,0
413,0,0
467,0,0
441,1,1
79,0,0
542,0,0
70,1,1
469,0,0
491,0,0
480,0,0
330,1,1
421,0,0
496,0,0
155,0,0
524,0,0
274,1,1
144,0,0
277,1,1
191,0,0
515,0,0
187,0,0
125,0,0
30,1,1
