feature,weight_list
F1,"[0.37692371010780334, 0.08123810589313507, 0.040859535336494446, 0.11009843647480011, 0.32946452498435974, 0.400217205286026, 0.11556458473205566, 0.34997594356536865, 0.12147361040115356, 0.23330339789390564, 0.09080306440591812, 0.178810715675354, 0.2940950393676758, 0.2886863350868225, 0.298793762922287, 0.26335853338241577, 0.795831561088562, 0.3484821319580078, 0.32944774627685547, 0.13036872446537018, 0.20778943598270416, 0.5033324360847473, 0.13197961449623108, 0.41381514072418213, 0.11434396356344223, 0.14796052873134613, 0.16494281589984894, 0.31855764985084534, 0.45075538754463196, 0.12896327674388885, 0.10659696906805038, 0.05386405438184738, 0.15671636164188385, 0.01785523071885109, 0.04595605656504631, 0.2074257880449295, 0.1945735365152359, 0.17612752318382263, 0.16979940235614777, 0.03282000124454498, 0.9658340811729431, 0.1890004277229309, 0.023741256445646286, 0.13801170885562897, 0.05591653287410736, 0.19699005782604218, 0.06049496680498123, 0.37774893641471863, 0.31899887323379517, 0.195271834731102, 0.05440950393676758, 0.07488878071308136, 0.5114954113960266, 0.1987248659133911, 0.28226301074028015, 0.03438827767968178, 0.21415072679519653, 0.011811474338173866, 0.6893931031227112, 0.12015900015830994, 0.19324952363967896, 0.19944089651107788, 0.311595618724823, 0.01154578197747469, 0.2504298686981201, 0.03331701084971428, 0.2590963840484619, 0.10896207392215729, 0.1252211183309555, 0.07662391662597656, 0.09616350382566452, 0.007775549776852131, 0.0022784818429499865, 0.29441019892692566, 0.09323153644800186, 0.6676220297813416, 0.09170976281166077, 0.47114327549934387, 0.18222631514072418, 0.2421407401561737, 0.12179598212242126, 0.010339327156543732, 0.2601417303085327, 0.10536333918571472, 0.059826117008924484, 0.7698206901550293, 0.09826799482107162, 0.13454760611057281, 0.08548115193843842, 0.0568518191576004, 0.06205172464251518, 0.020024804398417473, 0.0038108523003757, 0.5054376125335693, 0.3462166488170624, 0.09761831164360046, 0.07607760280370712, 0.196831613779068, 0.025371074676513672, 0.1144941970705986, 0.12230606377124786, 0.1897651106119156, 0.11060120165348053, 0.10431347787380219, 0.4155530035495758, 0.2006576508283615, 0.1113450825214386, 0.047957636415958405, 0.25030842423439026, 0.3806127607822418, 0.8008286356925964, 0.32316407561302185, 0.0707973912358284, 0.07213016599416733, 0.05072122812271118, 0.0630931705236435, 0.08890294283628464, 0.16204151511192322, 0.6294929385185242, 0.3769666254520416, 0.05745774134993553, 0.26756522059440613, 0.4674319922924042, 0.04666217416524887, 0.36812442541122437, 0.02816016785800457, 0.55295729637146, 0.032010212540626526]"
F2,"[0.0895061045885086, 0.2627483308315277, 0.3872547149658203, 0.0911271870136261, 0.10719612240791321, 0.08884801715612411, 0.012732978910207748, 0.034090716391801834, 0.17385800182819366, 0.0008304202347062528, 0.18785634636878967, 0.2382335215806961, 0.48884716629981995, 0.09018216282129288, 0.0010126292472705245, 0.12394201010465622, 0.3955366015434265, 0.026774417608976364, 0.037453845143318176, 0.05250563845038414, 0.6241451501846313, 0.6919764876365662, 0.0853138267993927, 0.0837239921092987, 0.10974597185850143, 0.06802822649478912, 0.11960506439208984, 0.05207361280918121, 0.12506715953350067, 0.05095962807536125, 0.1526753455400467, 0.09336075186729431, 0.22119712829589844, 0.13395091891288757, 0.13876579701900482, 0.33374959230422974, 0.006949549540877342, 0.030678896233439445, 0.09890849143266678, 0.07167969644069672, 0.2960575520992279, 0.15797583758831024, 0.041387319564819336, 0.3147950768470764, 0.0861237570643425, 0.07999895513057709, 0.40544793009757996, 0.2056700438261032, 0.06931331753730774, 0.0834217295050621, 0.23949666321277618, 0.07792594283819199, 0.052886880934238434, 0.4296225309371948, 0.4705914855003357, 0.09706685692071915, 0.15037010610103607, 0.11602851748466492, 0.21882329881191254, 0.01691269502043724, 0.4548572301864624, 0.05732499808073044, 0.08247736841440201, 0.08656874299049377, 0.0555320642888546, 0.15204672515392303, 0.010144338011741638, 0.2947908639907837, 0.06326089799404144, 0.007180721033364534, 0.2429797649383545, 0.026154546067118645, 0.01615573838353157, 0.14781883358955383, 0.25525015592575073, 0.3989459276199341, 0.38081932067871094, 0.1015835851430893, 0.3117436170578003, 0.07634402066469193, 0.5182624459266663, 0.21528063714504242, 0.05886201933026314, 0.06342942267656326, 0.26933351159095764, 0.014331036247313023, 0.04092324525117874, 0.8028889298439026, 0.4647212624549866, 0.21081437170505524, 0.1906830072402954, 0.03438450023531914, 0.06164654716849327, 0.5126202702522278, 0.36120477318763733, 0.12941697239875793, 0.15779833495616913, 0.044125717133283615, 0.027700824663043022, 0.18676495552062988, 0.056890424340963364, 0.34509044885635376, 0.12528589367866516, 0.04632464796304703, 0.05079268664121628, 0.036912981420755386, 0.002931889146566391, 0.27954527735710144, 0.22760209441184998, 0.5794000625610352, 0.12051568180322647, 0.14989961683750153, 0.33960700035095215, 0.10764820128679276, 0.31785455346107483, 0.12913551926612854, 0.0177652295678854, 0.15531301498413086, 0.025301672518253326, 0.43395301699638367, 0.11120910197496414, 0.17224586009979248, 0.2556985318660736, 0.08620325475931168, 0.3000388443470001, 0.05164777860045433, 0.22136171162128448, 0.09210178256034851]"
F3,"[0.0008256631554104388, 0.018048936501145363, 0.009113696403801441, 0.03679000213742256, 0.04871759191155434, 0.0023601180873811245, 0.004363527055829763, 0.02357051707804203, 0.10132147371768951, 0.1115509644150734, 0.043468255549669266, 0.07392044365406036, 0.04930682107806206, 0.012232046574354172, 0.008809973485767841, 0.011857779696583748, 0.053149349987506866, 0.006563144735991955, 0.09632837772369385, 0.01747453771531582, 0.0838988795876503, 0.1616537868976593, 0.002584126079455018, 0.04561976343393326, 0.06911153346300125, 0.032387033104896545, 0.0054393429309129715, 0.000822757720015943, 0.06648045778274536, 0.008443613536655903, 0.026232605800032616, 0.0028301854617893696, 0.23385044932365417, 0.028451208025217056, 0.0031490090768784285, 0.028520632535219193, 0.00651664100587368, 0.022169673815369606, 0.02534816600382328, 0.004280338529497385, 0.0032710691448301077, 0.028966698795557022, 0.0003352796193212271, 0.014611565507948399, 0.018331360071897507, 0.0022804108448326588, 0.06224214285612106, 0.016353601589798927, 0.01831989735364914, 0.03336367383599281, 0.10028672963380814, 0.12711277604103088, 0.013478148728609085, 0.0200484748929739, 0.0321701243519783, 0.22781799733638763, 0.11229017376899719, 0.0542231947183609, 0.007403621915727854, 0.006866006180644035, 0.12100008130073547, 0.06730181723833084, 0.06197582557797432, 0.0677899718284607, 0.08920521289110184, 0.14245282113552094, 0.09389222413301468, 0.003760900814086199, 0.006723474245518446, 0.03794064745306969, 0.021317031234502792, 0.18753205239772797, 0.032008860260248184, 0.08126071095466614, 0.07307646423578262, 0.05495202913880348, 0.009486919268965721, 0.07668869197368622, 0.011584961786866188, 0.0005085792508907616, 0.04392314702272415, 0.10587888211011887, 0.0035570745822042227, 0.00030903061269782484, 0.0009015796240419149, 0.000923801795579493, 0.0017817509360611439, 0.23519760370254517, 0.22023449838161469, 0.07749076932668686, 0.06964350491762161, 0.06474548578262329, 0.050695523619651794, 0.03102966770529747, 0.06823475658893585, 0.05573372170329094, 0.0022250341717153788, 0.033984363079071045, 0.044816505163908005, 0.0860757976770401, 0.01321765873581171, 0.06308618932962418, 0.09361210465431213, 0.06003063917160034, 0.00455576041713357, 0.001353767584078014, 0.0027523471508175135, 0.15969890356063843, 0.01525677740573883, 0.1106535792350769, 0.011370329186320305, 0.009699740447103977, 0.10321331024169922, 0.13250349462032318, 0.006335716228932142, 0.005376874003559351, 0.019186655059456825, 0.12682247161865234, 0.0030154474079608917, 0.01240299828350544, 0.10749858617782593, 0.030129658058285713, 0.0031040082685649395, 0.03726708143949509, 0.03717922419309616, 0.008352111093699932, 0.014746814966201782, 0.0011997016845270991]"
F4,"[0.03797067701816559, 0.003022224409505725, 0.008888249285519123, 0.012149055488407612, 0.019315356388688087, 0.014076833613216877, 0.0002825101837515831, 0.008003400638699532, 0.03251834958791733, 0.015889160335063934, 0.025057237595319748, 0.031155047938227654, 0.013545199297368526, 0.0439833328127861, 0.009899575263261795, 0.04490089789032936, 0.0717221051454544, 0.004949895665049553, 0.015177203342318535, 0.05103186145424843, 0.004013402387499809, 0.002949909772723913, 0.044306568801403046, 0.022090574726462364, 0.002529699122533202, 0.05379880219697952, 0.03952924907207489, 0.0017551485216245055, 0.026880178600549698, 0.02857857011258602, 0.018003057688474655, 0.02728118933737278, 0.03202860429883003, 0.03603111207485199, 0.02828781120479107, 0.020740579813718796, 0.024352826178073883, 0.06428951770067215, 0.0050250026397407055, 0.010645896196365356, 0.005750066600739956, 0.015345359221100807, 0.03902207687497139, 0.09183339774608612, 0.006123756989836693, 0.006563056260347366, 0.002260498935356736, 0.015092209912836552, 0.012176166288554668, 0.0991414487361908, 0.003521149978041649, 0.0032574543729424477, 0.014709738083183765, 0.02298705466091633, 0.0015112219844013453, 0.050349168479442596, 0.008110243827104568, 0.008380726911127567, 0.06730734556913376, 0.03919991850852966, 0.0007127019925974309, 0.015606370754539967, 0.019747214391827583, 0.007506722118705511, 0.017590366303920746, 0.039765823632478714, 0.0050660488195717335, 0.030467359349131584, 0.05594200640916824, 0.0014930295292288065, 0.027419721707701683, 0.014067129231989384, 0.02018173597753048, 0.1586509644985199, 0.053813934326171875, 0.05238619074225426, 0.02344459481537342, 0.017490608617663383, 0.005514452233910561, 0.059690963476896286, 0.035102084279060364, 0.029382966458797455, 0.013375538401305676, 0.05956399440765381, 0.0266964603215456, 0.010046824812889099, 0.05502985790371895, 0.014296929351985455, 0.04180721938610077, 0.02874690853059292, 0.006515698041766882, 0.007598917465656996, 0.0010422506602481008, 0.006925438530743122, 0.02176116406917572, 0.001814262242987752, 0.05242271348834038, 0.02180364541709423, 0.004177556373178959, 0.013946900144219398, 0.04865488037467003, 0.026574084535241127, 0.010099721141159534, 0.04232887923717499, 0.0367322713136673, 0.02126159332692623, 0.0024900890421122313, 0.009336596354842186, 0.051337867975234985, 0.016977526247501373, 0.005909734405577183, 0.052273619920015335, 0.005475432612001896, 0.0068100085482001305, 0.004338913131505251, 0.047651346772909164, 0.06380144506692886, 0.04134908318519592, 0.0010245884768664837, 0.028293613344430923, 0.0029912753961980343, 0.005329302046447992, 0.01292753778398037, 0.00809923093765974, 0.056791752576828, 0.07138004153966904, 0.06782396137714386, 0.046751078218221664]"
F5,"[0.23336142301559448, 0.22049552202224731, 0.3593778610229492, 0.20741012692451477, 0.20460692048072815, 0.2178564816713333, 0.08878910541534424, 0.34565940499305725, 0.2333899587392807, 0.18602222204208374, 0.33962786197662354, 0.3169928193092346, 0.35232916474342346, 0.0271056666970253, 0.10026280581951141, 0.3004674017429352, 0.1674077808856964, 0.1316927820444107, 0.03071974590420723, 0.007613722700625658, 0.13980720937252045, 0.1013074591755867, 0.07967321574687958, 0.08954080939292908, 0.02689303457736969, 0.11524448543787003, 0.08168327808380127, 0.15112730860710144, 0.03509177640080452, 0.5873314142227173, 0.10831616073846817, 0.06928795576095581, 0.0958220511674881, 0.14878295361995697, 0.10477963089942932, 0.03967779502272606, 0.1434207707643509, 0.16130483150482178, 0.06566356122493744, 0.09472232311964035, 0.15881291031837463, 0.0007944016833789647, 0.20924849808216095, 0.004565538838505745, 0.3272751271724701, 0.09497034549713135, 0.13982024788856506, 0.2215547263622284, 0.042739059776067734, 0.033812738955020905, 0.022174499928951263, 0.22705413401126862, 0.059090204536914825, 0.6500650644302368, 0.1657043844461441, 0.24292008578777313, 0.05963382124900818, 0.06643959879875183, 0.13916949927806854, 0.3606441020965576, 0.25306475162506104, 0.0385434553027153, 0.18481354415416718, 0.14173643290996552, 0.17117057740688324, 0.08976443111896515, 0.0643688440322876, 0.09104572236537933, 0.012839578092098236, 0.2815687656402588, 0.3104303479194641, 0.12027642875909805, 0.22634629905223846, 0.39386963844299316, 0.03404727205634117, 0.046362485736608505, 0.014569717459380627, 0.11504623293876648, 0.1360609531402588, 0.005670028273016214, 0.2197020947933197, 0.06141554191708565, 0.07460787147283554, 0.35852158069610596, 0.18650414049625397, 0.20502446591854095, 0.17462068796157837, 0.01904827542603016, 0.15996596217155457, 0.1347760707139969, 0.0876292884349823, 0.06617199629545212, 0.11502303928136826, 0.035461410880088806, 0.0945269986987114, 0.08864039182662964, 0.1520395576953888, 0.14388756453990936, 0.1063075140118599, 0.0002460576070006937, 0.0920611172914505, 0.13330696523189545, 0.006785525009036064, 0.1656886488199234, 0.2975916862487793, 0.044408585876226425, 0.0744626522064209, 0.001823100377805531, 0.06404933333396912, 0.024674519896507263, 0.17358455061912537, 0.24044270813465118, 0.16501684486865997, 0.0906151682138443, 0.028520355001091957, 0.2295622080564499, 0.058774761855602264, 0.24077022075653076, 0.1118735745549202, 0.140471950173378, 0.077311210334301, 0.16807454824447632, 0.016272572800517082, 0.026085155084729195, 0.30232468247413635, 0.08592736721038818, 0.08406888693571091, 0.1482541859149933]"
F6,"[0.2381940484046936, 0.154634028673172, 0.14391842484474182, 0.17387424409389496, 0.08174506574869156, 0.04022843763232231, 0.12510599195957184, 0.04028020799160004, 0.11645574122667313, 0.3819306492805481, 0.07467947155237198, 0.007888291962444782, 0.12246634811162949, 0.11727283895015717, 0.07534343749284744, 0.10848623514175415, 0.3376063406467438, 0.5231144428253174, 0.045667920261621475, 0.17441605031490326, 0.1777922809123993, 0.02473537065088749, 0.02778932824730873, 0.23222966492176056, 0.5288336873054504, 0.2561904788017273, 0.021884148940443993, 0.11928156763315201, 0.067611463367939, 0.11684335023164749, 0.11720225214958191, 0.0808274894952774, 0.08707121759653091, 0.035266947001218796, 0.020047131925821304, 0.01316546369343996, 0.020797522738575935, 0.4129445254802704, 0.23913702368736267, 0.3096366822719574, 0.1237301453948021, 0.054245345294475555, 0.0564860925078392, 0.1991012543439865, 0.24711266160011292, 0.017370032146573067, 0.2325228452682495, 0.06350088119506836, 0.09061986953020096, 0.525087833404541, 0.12816262245178223, 0.18535153567790985, 0.018078792840242386, 0.004132830537855625, 0.21991008520126343, 0.19114695489406586, 0.06941060721874237, 0.14552219212055206, 0.4104195535182953, 0.22165831923484802, 0.40469470620155334, 0.032912854105234146, 0.476983904838562, 0.05221516266465187, 0.11577915400266647, 0.05959804728627205, 0.16943204402923584, 0.08544572442770004, 0.03273637220263481, 0.1923537254333496, 0.13381323218345642, 0.035541828721761703, 0.0558621808886528, 0.2834254503250122, 0.11283416301012039, 0.10219328850507736, 0.13124987483024597, 0.01829174906015396, 0.08061522245407104, 0.31907516717910767, 0.1657228320837021, 0.15529142320156097, 0.18125736713409424, 0.03014618158340454, 0.05622188374400139, 0.11171932518482208, 0.19305716454982758, 0.0001314001128775999, 0.031944405287504196, 0.13450156152248383, 0.013368572108447552, 0.08703666180372238, 0.37606027722358704, 0.5711007714271545, 0.22460217773914337, 0.004005006048828363, 0.302746444940567, 0.049268316477537155, 0.3551263213157654, 0.0023559234105050564, 0.012003912590444088, 0.19012697041034698, 0.0389232411980629, 0.06496014446020126, 0.006994105875492096, 0.017053792253136635, 0.3075208067893982, 0.2381022870540619, 0.11248131096363068, 0.2536337077617645, 0.047837547957897186, 0.2639031410217285, 0.14940354228019714, 0.11580365151166916, 0.040250543504953384, 0.05052458494901657, 0.2021450698375702, 0.14854149520397186, 0.046551480889320374, 0.1715865284204483, 0.050501950085163116, 0.17145028710365295, 0.12660644948482513, 0.2352890521287918, 0.26945436000823975, 0.06809549778699875, 0.0036645273212343454, 0.23958109319210052]"
F7,"[0.06925391405820847, 0.29056262969970703, 0.14822731912136078, 0.6541302800178528, 0.05972306430339813, 0.040475256741046906, 0.2787597179412842, 0.16327421367168427, 0.08753841370344162, 0.30203431844711304, 0.02909986302256584, 0.199050173163414, 0.0718812644481659, 0.10262065380811691, 0.18742527067661285, 0.4155515432357788, 0.10420109331607819, 0.22930549085140228, 0.046014875173568726, 0.0846647098660469, 0.09986302256584167, 0.026075033470988274, 0.36433839797973633, 0.016100643202662468, 0.3966963589191437, 0.12153340131044388, 0.16567064821720123, 0.10197906941175461, 0.5647280812263489, 0.09712684154510498, 0.08220997452735901, 0.10630875080823898, 0.17001177370548248, 0.1965646892786026, 0.17136777937412262, 0.2273603230714798, 0.2494298666715622, 0.07622873783111572, 0.06003642454743385, 0.40227290987968445, 0.01863894611597061, 0.03657980635762215, 0.39121702313423157, 0.015139125287532806, 0.0577845461666584, 0.41553470492362976, 0.4462164640426636, 0.19006742537021637, 0.015013092197477818, 0.7449663281440735, 0.21558475494384766, 0.006281911861151457, 0.02460004948079586, 0.4440343379974365, 0.080638088285923, 0.031070228666067123, 0.04619665443897247, 0.43154066801071167, 0.057125236839056015, 0.04916513338685036, 0.05095299333333969, 0.1530720740556717, 0.11922748386859894, 0.22510890662670135, 0.030502110719680786, 0.14310309290885925, 0.3440508544445038, 0.09545692056417465, 0.05861745774745941, 0.10569509863853455, 0.3085770308971405, 0.13118918240070343, 0.12777777016162872, 0.28351521492004395, 0.5259079933166504, 0.10717085003852844, 0.15371526777744293, 0.038148410618305206, 0.06341999024152756, 0.3950127065181732, 0.14232060313224792, 0.12238369882106781, 0.003525812178850174, 0.22398993372917175, 0.10647446662187576, 0.1638832688331604, 0.21254372596740723, 0.07579319179058075, 0.06043116748332977, 0.36610615253448486, 0.23772816359996796, 0.0038659318815916777, 0.5510954856872559, 0.11806423217058182, 0.03325410932302475, 0.07082375138998032, 0.09058874100446701, 0.10047924518585205, 0.09851042926311493, 0.26666224002838135, 0.2918194532394409, 0.12570054829120636, 0.07289794087409973, 0.23288682103157043, 0.21276694536209106, 0.16974638402462006, 0.267254114151001, 0.07479129731655121, 0.27141571044921875, 0.0007794815464876592, 0.02116871438920498, 0.1760907769203186, 0.17107024788856506, 0.21175193786621094, 0.128282368183136, 0.08591882139444351, 0.005680148955434561, 0.09827105700969696, 0.06168663874268532, 0.48954078555107117, 0.12444021552801132, 0.21381060779094696, 0.22293643653392792, 0.06256847828626633, 0.03295491263270378, 0.24560551345348358, 0.28461769223213196, 0.04558803513646126]"
F8,"[0.18628114461898804, 0.030130280181765556, 0.14121201634407043, 0.013702458702027798, 0.03339995816349983, 0.13939030468463898, 0.035874757915735245, 0.04575243219733238, 0.06873815506696701, 0.0011287936940789223, 0.28126880526542664, 0.03717659413814545, 0.1942761093378067, 0.2176787406206131, 0.4618625342845917, 0.0372498445212841, 0.28853774070739746, 0.2299753725528717, 0.027757273986935616, 0.19374363124370575, 0.12026390433311462, 0.06883605569601059, 0.12333022058010101, 0.1712796539068222, 0.030465377494692802, 0.061988867819309235, 0.1442357301712036, 0.08928614854812622, 0.08797036111354828, 0.03928161412477493, 0.052378810942173004, 0.1643821746110916, 0.12421444803476334, 0.1009644865989685, 0.18706494569778442, 0.021478790789842606, 0.03364265337586403, 0.4047265946865082, 0.09470931440591812, 0.1577875018119812, 0.41372787952423096, 0.11587578058242798, 0.019531771540641785, 0.12213390320539474, 0.1321929395198822, 0.22246357798576355, 0.23688578605651855, 0.18238168954849243, 0.06377992779016495, 0.00047549535520374775, 0.10908560454845428, 0.08446715027093887, 0.015352899208664894, 0.10992978513240814, 0.07689261436462402, 0.2200734168291092, 0.03690057992935181, 0.7224248051643372, 0.2973411977291107, 0.07855535298585892, 0.20194274187088013, 0.1713285595178604, 0.01291168574243784, 0.08178827911615372, 0.01638505607843399, 0.04265248775482178, 0.07635443657636642, 0.24754472076892853, 0.1381545513868332, 0.42590072751045227, 0.2220073938369751, 0.04947029426693916, 0.3053712248802185, 0.11763084679841995, 0.23302416503429413, 0.1070856899023056, 0.02865942381322384, 0.05371730029582977, 0.07028599828481674, 0.09100997447967529, 0.11606842279434204, 0.08052043616771698, 0.8969659805297852, 0.0537741519510746, 0.20410852134227753, 0.31847310066223145, 0.29660317301750183, 0.2642464339733124, 0.008353913202881813, 0.0025254881475120783, 0.09122125804424286, 0.17689105868339539, 0.18724647164344788, 0.2188556045293808, 0.19154784083366394, 0.21747621893882751, 0.1687118262052536, 0.16733865439891815, 0.013136668130755424, 0.13626262545585632, 0.045390915125608444, 0.11149091273546219, 0.03262254223227501, 0.10182788968086243, 0.4175044894218445, 0.040227100253105164, 0.10209880769252777, 0.21055610477924347, 0.035604458302259445, 0.008867962285876274, 0.08938083052635193, 0.046365171670913696, 0.22679193317890167, 0.09901200979948044, 0.21379892528057098, 0.06228017434477806, 0.19147667288780212, 0.0764346718788147, 0.20292609930038452, 0.18004243075847626, 0.08451230823993683, 0.039653532207012177, 0.06793303787708282, 0.03833429142832756, 0.13940849900245667, 0.04638884216547012, 0.07196470350027084, 0.04902699962258339]"
F9,"[0.40132179856300354, 0.10709614306688309, 0.07595575600862503, 0.06043631583452225, 0.04186924174427986, 0.0518895648419857, 0.07741714268922806, 0.20032119750976562, 0.09305475652217865, 0.2697295546531677, 0.19424262642860413, 0.09874555468559265, 0.21323925256729126, 0.24632757902145386, 0.27261224389076233, 0.41651901602745056, 0.09882067888975143, 0.0899309515953064, 0.046505726873874664, 0.041723690927028656, 0.013852803036570549, 0.08124158531427383, 0.13051816821098328, 0.16224853694438934, 0.20554186403751373, 0.14852476119995117, 0.1701597422361374, 0.005160410422831774, 0.08249550312757492, 0.1557246595621109, 0.044427912682294846, 0.1317557990550995, 0.2307964265346527, 0.007565236184746027, 0.23768748342990875, 0.10402604192495346, 0.07332087308168411, 0.10214348137378693, 0.24073435366153717, 0.043855033814907074, 0.22924521565437317, 0.04696717485785484, 0.36737748980522156, 0.18544061481952667, 0.011196629144251347, 0.07367502897977829, 0.10278066247701645, 0.20888958871364594, 0.33978182077407837, 0.08143395185470581, 0.08078695833683014, 0.020378518849611282, 0.1734408140182495, 0.4543740749359131, 0.12775681912899017, 0.03234831988811493, 0.19668269157409668, 0.206926167011261, 0.06438616663217545, 0.06727572530508041, 0.12203162163496017, 0.21382011473178864, 0.29913586378097534, 0.0002975190873257816, 0.13944020867347717, 0.46680837869644165, 0.4094831049442291, 0.0416380874812603, 0.07665558159351349, 0.3396299183368683, 0.03886602446436882, 0.32393118739128113, 0.10925449430942535, 0.009483600966632366, 0.2775401175022125, 0.1667843759059906, 0.03481610119342804, 0.24558016657829285, 0.13529950380325317, 0.13572779297828674, 0.039773229509592056, 0.3361310064792633, 0.0018711535958573222, 0.0969439297914505, 0.18237106502056122, 0.36365756392478943, 0.048812903463840485, 0.050598565489053726, 0.14835217595100403, 0.18491072952747345, 0.10842393338680267, 0.5512530207633972, 0.30218392610549927, 0.0007483704248443246, 0.1626395583152771, 0.13176468014717102, 0.11726898699998856, 0.13241258263587952, 0.032177045941352844, 0.3309621214866638, 0.20060387253761292, 0.10326115787029266, 0.0978936105966568, 0.04401983693242073, 0.13454638421535492, 0.2325102686882019, 0.132354274392128, 0.14611107110977173, 0.047808099538087845, 0.0600084587931633, 0.147384911775589, 0.023627595975995064, 0.04093781113624573, 0.10319990664720535, 0.0553160198032856, 0.10156325995922089, 0.03944709897041321, 0.08925866335630417, 0.11671276390552521, 0.06404206156730652, 0.04619915783405304, 0.1597558856010437, 0.049389179795980453, 0.09294735640287399, 0.025606263428926468, 0.21592827141284943, 0.4017000198364258, 0.08969831466674805]"
F10,"[0.15018723905086517, 0.19353340566158295, 0.017209410667419434, 0.0032308842055499554, 0.15792152285575867, 0.07965214550495148, 0.006243297830224037, 0.206382617354393, 0.2401258647441864, 0.29668253660202026, 0.1478039175271988, 0.011692202650010586, 0.3015044629573822, 0.4073922336101532, 0.09213685244321823, 0.22896325588226318, 0.6814286112785339, 0.21079391241073608, 0.6642074584960938, 0.2523820698261261, 0.04513784497976303, 0.16725072264671326, 0.05306748300790787, 0.00897381640970707, 0.640414297580719, 0.46993982791900635, 0.31727758049964905, 0.22430650889873505, 0.5638483762741089, 0.18071134388446808, 0.4257660210132599, 0.09176787734031677, 0.2104896754026413, 0.2876279950141907, 0.13827760517597198, 0.1399306207895279, 0.12328736484050751, 0.4786430299282074, 0.09685048460960388, 0.3142335116863251, 0.28866666555404663, 0.08645161241292953, 0.15507233142852783, 0.05546898394823074, 0.21123351156711578, 0.06647182255983353, 0.5635949969291687, 0.29173722863197327, 0.14093106985092163, 0.03531346470117569, 0.0754450187087059, 0.12700776755809784, 0.04650696739554405, 0.14016062021255493, 0.5460510849952698, 0.33053839206695557, 0.016620805487036705, 0.08829063922166824, 0.15569442510604858, 0.15280842781066895, 0.3611866533756256, 0.18161320686340332, 0.043009202927351, 0.08749604225158691, 0.15644243359565735, 0.05023946240544319, 0.05496616289019585, 0.15278834104537964, 0.00609984714537859, 0.4639200270175934, 0.07658999413251877, 0.07811135053634644, 0.45724397897720337, 0.09968549013137817, 0.44746801257133484, 0.02605903148651123, 0.03551989048719406, 0.10666351765394211, 0.0035947368014603853, 0.1492864191532135, 0.5559905767440796, 0.32424551248550415, 0.07711422443389893, 0.6338770389556885, 0.021794982254505157, 0.3610788881778717, 0.13490980863571167, 0.34924906492233276, 0.08332294970750809, 0.05479615926742554, 0.15830115973949432, 0.6106111407279968, 0.13017722964286804, 0.4632984399795532, 0.07594744116067886, 0.04034174978733063, 0.4504871070384979, 0.3333626985549927, 0.007437962107360363, 0.34128856658935547, 0.16934899985790253, 0.0761343464255333, 0.25344932079315186, 0.13197802007198334, 0.4278413951396942, 0.33705389499664307, 0.1702701896429062, 0.19163519144058228, 0.0033355921041220427, 0.18647433817386627, 0.046594470739364624, 0.21739348769187927, 0.3703162968158722, 0.0626523569226265, 0.3289699852466583, 0.5959303975105286, 0.12138277292251587, 0.25120559334754944, 0.17742735147476196, 0.5533143281936646, 0.09114619344472885, 0.06807460635900497, 0.11195233464241028, 0.007927137427031994, 0.3605542778968811, 0.2836301326751709, 0.26506543159484863, 0.007936454378068447]"
