feature,feature_name,max_abs_weight_score
F41,feature_42,1.0904814004898071
F28,feature_29,1.0404350757598877
F1,feature_1,0.9658340811729431
F12,feature_13,0.9376895427703857
F38,feature_39,0.9256695508956909
F57,feature_58,0.9093573689460754
F8,feature_9,0.8969659805297852
F18,feature_19,0.890985906124115
F44,feature_45,0.8752471208572388
F32,feature_33,0.8622376322746277
F67,feature_68,0.8523386120796204
F13,feature_14,0.8131638765335083
F2,feature_2,0.8028889298439026
F48,feature_49,0.7957496047019958
