sample_index,cluster,true_label
4756,2,1
8446,5,6
3413,7,4
2973,9,1
1985,2,9
8515,3,6
3735,9,1
10224,1,10
9964,3,2
12966,1,7
5094,9,1
8190,3,6
11676,0,10
485,7,9
5838,4,1
8649,7,2
4790,2,1
8885,2,2
7519,7,6
2372,2,9
9500,5,2
1991,7,9
12791,1,8
380,7,9
9397,7,2
148,9,9
10181,6,10
11428,6,10
12346,1,3
3132,4,1
10945,6,10
6709,8,6
472,7,9
3408,7,4
3851,9,1
11648,0,10
7697,9,6
2170,2,9
2371,2,9
6109,7,1
10483,6,10
10184,6,10
3024,9,1
5887,4,1
5862,0,1
3798,7,1
12726,1,8
5472,9,1
12921,4,7
9303,7,2
1453,10,9
1637,0,9
3606,7,1
9489,7,2
11740,0,10
12268,1,3
8838,3,2
708,2,9
2057,2,9
5619,4,1
1639,0,9
2485,7,9
10571,6,10
3487,4,1
7168,8,6
10409,6,10
12459,0,3
5810,7,1
10710,6,10
6581,2,6
7714,7,6
3495,3,1
11939,6,10
4037,4,1
3839,0,1
12817,1,8
1478,7,9
6482,0,6
7390,2,6
8681,7,2
12573,1,3
6990,3,6
9509,7,2
2314,10,9
3139,2,1
1024,2,9
6652,7,6
12022,6,10
10473,6,10
8866,1,2
7547,7,6
1768,10,9
12893,0,7
1056,2,9
471,3,9
11923,4,10
11687,0,10
468,7,9
4644,4,1
7318,8,6
1086,10,9
7994,7,6
4017,4,1
565,7,9
2051,7,9
10132,1,10
13014,1,7
10038,1,10
2045,10,9
10200,1,10
8018,8,6
3900,4,1
838,2,9
6949,8,6
1514,2,9
3903,4,1
7816,7,6
9695,3,2
11759,0,10
3897,4,1
11546,1,10
10659,6,10
2545,7,9
1216,10,9
10836,6,10
9053,10,2
6054,9,1
253,0,9
4618,4,1
5188,4,1
5806,9,1
2885,7,4
7397,8,6
1986,9,9
9822,7,2
12097,6,3
3509,9,1
590,10,9
10119,6,10
10356,6,10
3923,4,1
6509,2,6
10526,6,10
3889,3,1
4561,9,1
9744,7,2
3397,7,4
7582,7,6
685,7,9
6255,8,6
1290,2,9
6426,0,6
156,7,9
8556,8,6
8026,7,6
6569,8,6
12576,0,3
10344,6,10
12130,6,3
10673,0,10
12797,1,8
10843,1,10
9158,5,2
12195,1,3
12383,1,3
11896,10,10
5223,4,1
5240,0,1
4175,4,1
12892,0,7
4811,2,1
11395,6,10
4372,4,0
3190,9,1
9890,9,2
3687,7,1
2123,7,9
10215,1,10
219,0,9
6615,10,6
878,2,9
9622,0,2
4299,9,1
4705,9,1
322,7,9
2515,7,9
6049,4,1
4078,9,1
11954,6,10
11929,10,10
7810,0,6
7687,3,6
8005,8,6
9522,10,2
39,7,9
10091,6,10
11698,0,10
5290,4,1
5325,2,1
1708,2,9
9307,7,2
1505,2,9
3399,10,1
7511,3,6
537,0,9
9165,9,2
12539,0,3
4629,4,1
9278,3,2
2730,7,9
2875,9,4
11005,6,10
10522,6,10
371,7,9
2370,2,9
4597,4,1
636,2,9
12873,1,7
497,10,9
11485,6,10
12389,1,3
3935,4,1
575,10,9
7249,3,6
10306,6,10
1808,7,9
2651,3,9
5363,2,0
2556,9,9
12679,0,8
1908,2,9
1915,0,9
135,7,9
2082,2,9
5596,0,0
11566,6,10
9083,3,2
4785,4,1
6678,3,6
73,0,9
3542,4,1
8206,0,6
8842,5,2
4297,4,1
3435,4,1
6586,5,6
12894,1,7
7939,5,6
6585,5,6
1959,2,9
5343,9,1
3627,9,1
5878,0,1
5972,9,0
10793,6,10
9434,9,2
9375,1,2
11482,0,10
8452,0,6
6857,7,6
1484,7,9
9901,10,2
11226,6,10
3152,9,1
11303,6,10
3852,9,1
12671,0,8
1419,10,9
3420,7,4
4143,4,1
7280,0,6
7960,3,6
3135,0,1
670,10,9
5898,10,1
455,7,9
8100,3,6
415,7,9
11487,6,10
9792,3,2
8963,1,2
5646,4,1
3727,9,1
12360,1,3
2325,7,9
10064,0,10
7485,7,6
2841,5,0
12158,6,3
4326,4,1
11685,0,10
10950,10,10
278,7,9
10580,6,10
4616,4,1
7351,7,6
11779,6,10
3388,5,4
6567,8,6
9009,9,2
12587,0,3
8162,0,6
5902,4,1
6662,8,6
7312,5,6
6187,8,6
8776,10,2
9281,7,2
2934,9,1
4602,7,1
8055,3,6
11652,0,10
9072,7,2
4712,3,1
6682,8,6
10560,6,10
12520,5,3
10230,6,10
1824,2,9
9050,7,2
12437,0,3
2380,2,9
10842,6,10
7668,2,6
6480,8,6
1925,10,9
8048,3,6
11720,1,10
1508,2,9
12748,1,8
9005,1,2
1631,9,9
419,3,9
9406,5,2
2947,7,4
7736,7,6
5719,7,1
7774,5,6
11571,0,10
11667,0,10
10665,6,10
12025,0,10
10401,6,10
9425,3,2
9480,5,2
1207,2,9
4565,3,0
8304,0,6
3993,3,1
5539,4,1
12953,1,7
9758,0,2
8359,0,6
6502,3,6
4381,2,1
364,7,9
5592,7,1
8921,1,2
8538,8,6
7430,7,6
10335,1,10
9314,7,2
1132,10,9
9426,7,2
11475,1,10
1922,0,9
8492,0,6
4283,4,1
5119,4,1
10534,6,10
3295,4,1
586,10,9
5381,4,1
5340,2,1
11440,6,10
9002,3,2
6537,8,6
10505,6,10
401,7,9
11236,6,10
3561,7,1
6096,7,1
3171,4,1
10586,6,10
131,10,9
9619,10,2
8780,3,2
3912,7,1
5028,2,1
6648,7,6
1525,2,9
5641,9,1
5319,4,1
4405,3,1
10020,0,10
2015,2,9
3450,4,1
2571,7,9
12912,0,7
8529,7,6
8218,10,6
7049,7,6
5899,9,1
12321,0,3
4066,4,1
277,10,9
4357,3,1
10776,6,10
3706,9,1
605,7,9
7601,7,6
12975,0,7
7988,8,6
1362,2,9
8165,8,6
3642,4,1
6133,5,6
2271,7,9
9363,10,2
11494,7,10
10439,6,10
3581,9,1
9600,5,2
7542,0,6
304,7,9
667,10,9
6785,5,6
3172,9,1
5655,7,1
9028,1,2
6890,8,6
12616,1,3
9253,7,2
734,4,9
9222,5,2
3268,9,1
10167,1,10
3203,2,4
11616,1,10
9219,10,2
10102,6,10
3904,9,1
10355,6,10
529,3,9
6301,5,6
11345,0,10
10489,6,10
8541,7,6
6027,4,1
9535,5,2
9994,6,10
5755,7,1
6493,8,6
3599,4,1
12439,0,3
174,7,9
1978,2,9
7670,7,6
7021,8,6
8702,0,2
7185,2,6
6677,5,6
2333,7,9
4683,7,0
869,0,9
12607,0,3
9204,10,2
4566,9,1
8689,1,2
8939,5,2
695,10,9
9936,1,2
6359,5,6
9780,9,2
5772,7,1
5096,9,1
3321,9,1
12395,6,3
7500,7,6
9274,7,2
3913,3,1
4198,9,1
6725,8,6
8585,3,6
11502,6,10
2462,10,9
6943,3,6
4796,9,1
11437,0,10
2058,2,9
5768,4,1
12964,6,7
457,10,9
5322,2,1
7240,7,6
12796,1,8
10783,6,10
8447,8,6
3634,0,1
2772,0,9
9761,7,2
3693,7,1
8846,1,2
439,7,9
6950,8,6
10951,6,10
11612,0,10
5831,9,1
7811,5,6
6760,3,6
7442,5,6
2038,7,9
9609,10,2
3505,9,1
2152,2,9
5385,9,1
3218,2,4
2528,7,9
9248,7,2
4027,4,1
9722,1,2
11821,7,10
4825,4,1
9927,7,2
11600,6,10
9592,5,2
1904,7,9
533,10,9
12498,0,3
2422,7,9
3303,9,1
9819,3,2
1694,2,9
1764,10,9
10008,6,10
3758,9,1
9092,5,2
1344,2,9
7821,0,6
10413,1,10
5990,7,1
9757,7,2
9877,3,2
5339,4,1
11498,6,10
6175,8,6
6664,8,6
1300,2,9
11113,0,10
1079,3,9
8503,8,6
229,10,9
5131,2,1
10885,6,10
3748,9,1
5093,9,1
147,9,9
4214,4,1
10804,1,10
3023,0,1
4368,4,1
5312,4,1
9477,9,2
8308,4,6
2540,0,9
10462,1,10
8523,7,6
133,0,9
12060,6,10
10631,6,10
9147,9,2
8449,8,6
9926,7,2
4636,9,1
5146,9,1
8111,0,6
7186,0,6
8225,0,6
2568,7,9
11115,1,10
2112,9,9
9694,1,2
12347,1,3
12278,6,3
8865,2,2
10346,6,10
10765,6,10
7309,5,6
9513,7,2
1235,2,9
7870,7,6
3700,9,1
