k,inertia,cluster_rmse,silhouette_score
2,574036.125,6.637900483417599,0.24251827597618103
3,453714.1875,5.901362666777802,0.23828013241291046
4,408755.6875,5.601354113746395,0.1958552747964859
5,390053.78125,5.471713773193065,0.16132287681102753
6,373253.84375,5.352581262396277,0.16485695540905
7,363270.09375,5.28051095621478,0.16678908467292786
8,354831.875,5.218821442823318,0.167799174785614
9,346395.3125,5.156406275252971,0.16309620440006256
10,340907.84375,5.115400268514979,0.15205800533294678
11,331701.6875,5.045857315056128,0.12619444727897644
12,326507.8125,5.006196747229184,0.1118176206946373
13,321313.3125,4.966214627504068,0.10398008674383163
14,316377.125,4.927920156400046,0.10762345790863037
15,310438.75,4.881452729378383,0.11137187480926514
