feature,weight_list
F1,"[0.012580959126353264, 0.03285633772611618, 0.00624984223395586, 0.13125856220722198, 0.030709629878401756, 0.07612521946430206, 0.09925976395606995, 0.11503970623016357, 0.017516333609819412, 0.23580986261367798, 0.09363625943660736, 0.07807827740907669, 0.03903716430068016, 0.0738663598895073, 0.02461719699203968, 0.2216995507478714, 0.13061240315437317, 0.05545720085501671, 0.033081915229558945, 0.09164916723966599, 0.2222328782081604, 0.0026555845979601145, 0.050407398492097855, 0.09674090147018433, 0.022776981815695763, 0.04558207094669342, 0.07964996248483658, 0.06960958987474442, 0.10418568551540375, 0.07280830293893814, 0.025311514735221863, 0.2601822316646576, 0.06698568910360336, 0.2904059886932373, 0.06214724853634834, 0.11588797718286514, 0.14329394698143005, 0.06053237244486809, 0.008308032527565956, 0.04325655847787857, 0.10167267173528671, 0.014203970320522785, 0.0717683807015419, 0.01627885177731514, 0.12825997173786163, 0.026056447997689247, 0.06421879678964615, 0.05656097084283829, 0.16031654179096222, 0.056352611631155014, 0.1459026038646698, 0.00723669957369566, 0.07273149490356445, 0.0017212912207469344, 0.05777439847588539, 0.2599339187145233, 0.014627600088715553, 0.09169516712427139, 0.037081390619277954, 0.005367811769247055, 0.04020293802022934, 0.29810982942581177, 0.14887352287769318, 0.09516644477844238, 0.11131659150123596, 0.15479181706905365, 0.06797903776168823, 0.015259342268109322, 0.15182869136333466, 0.0838732048869133, 0.14205864071846008, 0.06564176827669144, 0.11196443438529968, 0.1385340690612793, 0.06457414478063583, 0.02281719446182251, 0.023456992581486702, 0.16303366422653198, 0.012787381187081337, 0.04550154134631157, 0.02455209381878376, 0.08448927104473114, 0.051519569009542465, 0.15422280132770538, 0.12014254182577133, 0.12125935405492783, 0.36405760049819946, 0.09723600745201111, 0.07056497037410736, 4.499231727095321e-05, 0.0671226754784584, 0.08285333216190338, 0.017372751608490944, 0.26925331354141235, 0.09633693844079971, 0.05211968347430229, 0.06386099755764008, 0.05135342478752136, 0.08014098554849625, 0.09504564851522446, 0.20489639043807983, 0.0027676045428961515, 0.0463881753385067, 0.06209748610854149, 0.07603408396244049, 0.07291591167449951, 0.03368585556745529, 0.04167680814862251, 0.12917618453502655, 0.11570156365633011, 0.03870447352528572, 0.05170782655477524, 0.009615221992135048, 0.04004119336605072, 0.13125117123126984, 0.12091442942619324, 0.05799892172217369, 0.26501908898353577, 0.13379064202308655, 0.12561598420143127, 0.054331861436367035, 0.051088329404592514, 0.05136336013674736, 0.0015380327822640538, 0.0926937535405159, 0.04558783397078514, 0.09453150629997253, 0.09716163575649261]"
F2,"[0.042785126715898514, 0.002145428443327546, 0.0725618526339531, 0.24614228308200836, 0.10819421708583832, 0.20312508940696716, 0.051291078329086304, 0.13789308071136475, 0.01843712292611599, 0.20100751519203186, 0.053481414914131165, 0.09083867818117142, 0.19966983795166016, 0.14405150711536407, 0.15001262724399567, 0.35048335790634155, 0.04697302728891373, 0.06088709831237793, 0.012827370315790176, 0.12577098608016968, 0.05453864857554436, 0.12421753257513046, 0.04137767106294632, 0.04594562575221062, 0.14361661672592163, 0.1315644383430481, 0.1405552476644516, 0.016221394762396812, 0.03295129910111427, 0.2051314115524292, 0.10299123078584671, 0.36331427097320557, 0.10982287675142288, 0.2264745831489563, 0.21329379081726074, 0.053093668073415756, 0.2233942598104477, 0.0439567044377327, 0.0756664127111435, 0.1743035912513733, 0.15898188948631287, 0.09373153746128082, 0.05435582995414734, 0.03042641282081604, 0.0842018574476242, 0.044655848294496536, 0.06457354873418808, 0.05696633830666542, 0.149202361702919, 0.27573713660240173, 0.12768884003162384, 0.06055111810564995, 0.05817665159702301, 0.13983210921287537, 0.023622676730155945, 0.016813036054372787, 0.022227749228477478, 0.023930547758936882, 0.0613023117184639, 0.014773530885577202, 0.02562633529305458, 0.12364986538887024, 0.1778591126203537, 0.06558483839035034, 0.12089572101831436, 0.22310765087604523, 0.13208746910095215, 0.14665547013282776, 0.002400323050096631, 0.06426394730806351, 0.10489590466022491, 0.04871421307325363, 0.10234305262565613, 0.1115427315235138, 0.11959054321050644, 0.063485287129879, 0.2726093828678131, 0.1513986885547638, 0.24582014977931976, 0.01753927394747734, 0.12753437459468842, 0.025109289214015007, 0.04304813593626022, 0.1356295943260193, 0.2633737623691559, 0.0028056777082383633, 0.09595518559217453, 0.22074978053569794, 0.06405189633369446, 0.16443686187267303, 0.09117253869771957, 0.16215772926807404, 0.042301829904317856, 0.21948862075805664, 0.02625640481710434, 0.18571233749389648, 0.09117487818002701, 0.08981122076511383, 0.09051854908466339, 0.07852578163146973, 0.07290251553058624, 0.15561945736408234, 0.0709836557507515, 0.05155262351036072, 0.09635115414857864, 0.003768807277083397, 0.07286615669727325, 0.07835846394300461, 0.10662809759378433, 0.19792476296424866, 0.1404273509979248, 0.07277754694223404, 0.15804679691791534, 0.025656888261437416, 0.1302359402179718, 0.0738440603017807, 0.0014295309083536267, 0.17960163950920105, 0.08279011398553848, 0.016476940363645554, 0.10550842434167862, 0.042725007981061935, 0.031898368149995804, 0.19713541865348816, 0.010419375263154507, 0.06037427484989166, 0.060743823647499084, 0.09261369705200195]"
F3,"[0.012302815914154053, 0.08511447161436081, 0.035620350390672684, 0.08936278522014618, 0.07237783074378967, 0.00023208888887893409, 0.0015825529117137194, 0.12587852776050568, 0.11420485377311707, 0.050121013075113297, 0.014002040959894657, 0.11562669277191162, 0.08772963285446167, 0.14312119781970978, 0.15585564076900482, 0.17294670641422272, 0.08986582607030869, 0.15524335205554962, 0.024782905355095863, 0.05186506360769272, 0.03397352620959282, 0.12239209562540054, 0.08536523580551147, 0.16057418286800385, 0.11213816702365875, 0.1390855610370636, 0.3307780921459198, 0.01663101278245449, 0.05242416262626648, 0.018016392365098, 0.1577121466398239, 0.09474121034145355, 0.05724197253584862, 0.06844457983970642, 0.2343919277191162, 0.14642179012298584, 0.09622260183095932, 0.06784239411354065, 0.0019759200513362885, 0.11811677366495132, 0.0025307596661150455, 0.08081028610467911, 0.06816723942756653, 0.03174641728401184, 0.05983544513583183, 0.08948070555925369, 0.025798356160521507, 0.12689630687236786, 0.07380278408527374, 0.13999122381210327, 0.05413636937737465, 0.11537982523441315, 0.02336828038096428, 0.02249431051313877, 0.041688472032547, 0.2724193334579468, 0.11002778261899948, 0.14914719760417938, 0.009541342034935951, 0.14064978063106537, 0.24750171601772308, 0.021266324445605278, 0.02205870859324932, 0.09385496377944946, 0.28256240487098694, 0.1608281433582306, 0.1348021775484085, 0.06531137228012085, 0.3350875675678253, 0.0735393539071083, 0.09544181078672409, 0.22486360371112823, 0.05646243318915367, 0.09044020622968674, 0.2309589833021164, 0.04882923513650894, 0.15526071190834045, 0.09889385849237442, 0.1038326621055603, 0.0357331782579422, 0.00801484752446413, 0.15348967909812927, 0.10546520352363586, 0.014976303093135357, 0.1893066018819809, 0.18108774721622467, 0.0008977249381132424, 0.004474551882594824, 0.14622171223163605, 0.13874202966690063, 0.12404076009988785, 0.1109284982085228, 0.10937824845314026, 0.004470837768167257, 0.026211028918623924, 0.11508733034133911, 0.10679782181978226, 0.04720958322286606, 0.1641184389591217, 0.12039275467395782, 0.2552230656147003, 0.10553306341171265, 0.08445551991462708, 0.03393770009279251, 0.07410334050655365, 0.09285152703523636, 0.008042457513511181, 0.0028474139980971813, 0.03595900163054466, 0.07655445486307144, 0.03325863182544708, 0.052743397653102875, 0.00981966219842434, 0.035277266055345535, 0.12420868873596191, 0.07964687049388885, 0.13784168660640717, 0.0371844619512558, 0.1090698093175888, 0.01702490821480751, 0.018822593614459038, 0.23211365938186646, 0.12526164948940277, 0.03305922821164131, 0.008958346210420132, 0.09226218611001968, 0.14795273542404175, 0.0940994992852211]"
F4,"[0.08844684809446335, 0.05995285511016846, 0.15726454555988312, 0.00840553268790245, 0.1958426982164383, 0.0717456117272377, 0.2576789855957031, 0.1481374204158783, 0.10305430740118027, 0.20126411318778992, 0.01115783117711544, 0.0794290229678154, 0.004086973145604134, 0.2591415047645569, 0.05780237913131714, 0.06095496937632561, 0.21231694519519806, 0.030890507623553276, 0.13717421889305115, 0.07526353001594543, 0.11285458505153656, 0.04457677900791168, 0.12003899365663528, 0.1540176123380661, 0.01789524406194687, 0.03724152594804764, 0.2884308099746704, 0.022604092955589294, 0.13868068158626556, 0.14226286113262177, 0.05384558066725731, 0.20749014616012573, 0.2571263313293457, 0.06388849020004272, 0.032135434448719025, 0.2137453556060791, 0.04865594208240509, 0.036992333829402924, 0.0026435162872076035, 0.12350493669509888, 0.10673723369836807, 0.05516163259744644, 0.2733987867832184, 0.16158710420131683, 0.08991049975156784, 0.037585195153951645, 0.03297536075115204, 0.22803372144699097, 0.05309940502047539, 0.10872025042772293, 0.16930094361305237, 0.17512522637844086, 0.014536336064338684, 0.0488363578915596, 0.07263275235891342, 0.1597593128681183, 0.046008896082639694, 0.01934860460460186, 0.21884958446025848, 0.03993399441242218, 0.09236056357622147, 0.04871157556772232, 0.08535914123058319, 0.1559515744447708, 0.267927885055542, 0.00023581644927617162, 0.16722264885902405, 0.1263061761856079, 0.00921020470559597, 0.00032167890458367765, 0.08199281990528107, 0.15956544876098633, 0.15933166444301605, 0.12455599755048752, 0.14528687298297882, 0.19728177785873413, 0.1121879518032074, 0.055202774703502655, 0.22672121226787567, 0.1193406879901886, 0.050448182970285416, 0.07234952598810196, 0.11907441169023514, 0.06781941652297974, 0.06051003932952881, 0.1584986001253128, 0.10385660082101822, 0.08229157328605652, 0.08333821594715118, 0.20391930639743805, 0.1599629819393158, 0.05495593324303627, 0.02678019180893898, 0.03387688472867012, 0.1565905064344406, 0.017495019361376762, 0.237202987074852, 0.12477941811084747, 0.3120678663253784, 0.04847145825624466, 0.00429302966222167, 0.010675850324332714, 0.059082239866256714, 0.0906214565038681, 0.11364332586526871, 0.05367196351289749, 0.08075502514839172, 0.09756430983543396, 0.15802383422851562, 0.07359682023525238, 0.06065942347049713, 0.13815085589885712, 0.16163837909698486, 0.11925158649682999, 0.011768504977226257, 0.12107186764478683, 0.13188928365707397, 0.15221238136291504, 0.08399583399295807, 0.1324624866247177, 0.06451836973428726, 0.028096884489059448, 0.06686671823263168, 0.22576682269573212, 0.04175626114010811, 0.38453519344329834, 0.26901549100875854, 0.09141175448894501]"
F5,"[0.01567271538078785, 0.14098921418190002, 0.09561748057603836, 0.06865820288658142, 0.040441274642944336, 0.023769861087203026, 0.16168133914470673, 0.06848135590553284, 0.13715043663978577, 0.11897596716880798, 0.020756108686327934, 0.15244755148887634, 0.00249989191070199, 0.11137932538986206, 0.11994580924510956, 0.051265813410282135, 0.06160418689250946, 0.010125716216862202, 0.0937972292304039, 0.10899855196475983, 0.04964219033718109, 0.10167355835437775, 0.04337651655077934, 0.08535812050104141, 0.15685191750526428, 0.032157741487026215, 0.07797824591398239, 0.05376406013965607, 0.13863947987556458, 0.011573776602745056, 0.030239567160606384, 0.10145120322704315, 0.3119050860404968, 0.03896348923444748, 0.14571218192577362, 0.09065936505794525, 0.029923364520072937, 0.20232681930065155, 0.005597071256488562, 0.006325230468064547, 0.0004519802168942988, 0.2289973497390747, 0.0711360052227974, 0.06464701890945435, 0.1003483459353447, 0.17462578415870667, 0.041085049510002136, 0.00902992021292448, 0.052526455372571945, 0.08668709546327591, 0.3630962371826172, 0.16798090934753418, 0.15665112435817719, 0.14867128431797028, 0.02925591729581356, 0.06026754900813103, 0.02960127592086792, 0.010464411228895187, 0.23092791438102722, 0.000680062803439796, 0.019819071516394615, 0.10590549558401108, 0.11982972174882889, 0.2943800985813141, 0.04920352250337601, 0.039136242121458054, 0.007220214698463678, 0.0005182645982131362, 0.16233639419078827, 0.006573820486664772, 0.12113942205905914, 0.19132284820079803, 0.1558549702167511, 0.18128526210784912, 0.06260707229375839, 0.04045905917882919, 0.08180370181798935, 0.020450813695788383, 0.2552494406700134, 0.10142476111650467, 0.0653463751077652, 0.10523796826601028, 0.2342606484889984, 0.17727358639240265, 0.09875649958848953, 0.007708010729402304, 0.1325407326221466, 0.02268783375620842, 0.10612966120243073, 0.0943901315331459, 0.05081827566027641, 0.04823697730898857, 0.11481043696403503, 0.06334690004587173, 0.07020827382802963, 0.04533235356211662, 0.29417845606803894, 0.10478048771619797, 0.1999858170747757, 0.07087745517492294, 0.32701194286346436, 0.013254540041089058, 0.1244257465004921, 0.03316055238246918, 0.07561611384153366, 0.0741213783621788, 0.07496485859155655, 0.029592659324407578, 0.21655812859535217, 0.1002575233578682, 0.004763112869113684, 0.14460963010787964, 0.1818445324897766, 0.10120866447687149, 0.10972113907337189, 0.022378534078598022, 0.12203661352396011, 0.12892547249794006, 0.01776173710823059, 0.19836895167827606, 0.03447941690683365, 0.050494592636823654, 0.06061301752924919, 0.03511277586221695, 0.008629347197711468, 0.1297644078731537, 0.0118489321321249, 0.10718422383069992]"
F6,"[0.10351242125034332, 0.1094774529337883, 0.13148608803749084, 0.10877462476491928, 0.09732276201248169, 0.13267655670642853, 0.08675619214773178, 0.0337066724896431, 0.021730005741119385, 0.01294216699898243, 0.12321346998214722, 0.06557624042034149, 0.0606694370508194, 0.0575256310403347, 0.04388722777366638, 0.17057429254055023, 0.0433955080807209, 0.17910142242908478, 0.07016640901565552, 0.1202644407749176, 0.03822553902864456, 0.0038504754193127155, 0.32133111357688904, 0.10303239524364471, 0.051007743924856186, 0.009822972118854523, 0.08149350434541702, 0.20449259877204895, 0.05421196669340134, 0.10690826922655106, 0.0947033017873764, 0.16721433401107788, 0.005977182183414698, 0.0001599250826984644, 0.1460120528936386, 0.11293942481279373, 0.0012557306326925755, 0.053955722600221634, 0.08835355192422867, 0.06467748433351517, 0.08073876053094864, 0.024238843470811844, 0.04970884695649147, 0.0512487031519413, 0.03555597364902496, 0.008124551735818386, 0.05526971444487572, 0.014244898222386837, 0.04321417957544327, 0.03936521336436272, 0.11296715587377548, 0.002248972188681364, 0.028116073459386826, 0.053672049194574356, 0.2181827276945114, 0.051943451166152954, 0.09762993454933167, 0.01575159654021263, 0.09546484053134918, 0.03545970469713211, 0.09513683617115021, 0.06735283881425858, 0.04469623789191246, 0.007433170452713966, 0.41781172156333923, 0.06714633852243423, 0.05651768296957016, 0.06272966414690018, 0.13511693477630615, 0.09045808762311935, 0.061404816806316376, 0.022655988112092018, 0.035049136728048325, 0.1268727034330368, 0.031319938600063324, 0.0013396968133747578, 0.028194619342684746, 0.13135266304016113, 0.04656550660729408, 0.12333741784095764, 0.0856320708990097, 0.0733582004904747, 0.04118633270263672, 0.011908568441867828, 0.1639907956123352, 0.03874744474887848, 0.036958105862140656, 0.0023534558713436127, 0.15629087388515472, 0.15035545825958252, 0.3156672418117523, 0.14218966662883759, 0.04044805094599724, 0.011645728722214699, 0.022328689694404602, 0.0656125396490097, 0.045048922300338745, 0.07678990811109543, 0.06255637109279633, 0.18630340695381165, 0.01825299672782421, 0.07328564673662186, 0.0951942577958107, 0.0632534995675087, 0.01530107669532299, 0.01182724628597498, 0.07452647387981415, 0.05719657242298126, 0.13996700942516327, 0.06917040795087814, 0.06760890036821365, 0.02329876646399498, 0.014969175681471825, 0.0229062307626009, 0.0486648865044117, 0.03214521333575249, 0.15095944702625275, 0.051005762070417404, 0.09333540499210358, 0.12669147551059723, 0.0989123210310936, 0.09245611727237701, 0.04885488748550415, 0.025490399450063705, 0.05812651664018631, 0.07583102583885193, 0.14326907694339752, 0.11485792696475983]"
F7,"[0.09898652881383896, 0.19810496270656586, 0.13676513731479645, 0.03129538521170616, 0.014026450924575329, 0.07382376492023468, 0.023384245112538338, 0.10859278589487076, 0.03432465344667435, 0.005955586209893227, 0.12792621552944183, 0.29938921332359314, 0.09100428223609924, 0.08277633786201477, 0.004777276888489723, 0.037497568875551224, 0.02578732557594776, 0.1669580340385437, 0.029869146645069122, 0.040371377021074295, 0.09972230345010757, 0.06618618220090866, 0.22137513756752014, 0.016232870519161224, 0.019499052315950394, 0.009176806546747684, 0.0035122663248330355, 0.020926417782902718, 0.09464582055807114, 0.06014349311590195, 0.11712731420993805, 0.03398105502128601, 0.16013455390930176, 0.12379570305347443, 0.02209377847611904, 0.03293349966406822, 0.15841792523860931, 0.0037036770954728127, 0.08741456270217896, 0.13284967839717865, 0.0784752294421196, 0.09637457877397537, 0.009684464894235134, 0.06618329882621765, 0.1263073980808258, 0.1469266563653946, 0.05943559110164642, 0.056364573538303375, 0.17200179398059845, 0.025264622643589973, 0.03726741299033165, 0.025400333106517792, 5.769114795839414e-05, 0.013090093620121479, 0.12946568429470062, 0.04627881571650505, 0.21342475712299347, 0.04369322210550308, 0.07920210808515549, 0.09030160307884216, 0.14250122010707855, 0.22124633193016052, 0.06825456768274307, 0.09312418103218079, 0.30261164903640747, 0.012026699259877205, 0.010935579426586628, 0.015383649617433548, 0.08088859170675278, 0.09353690594434738, 0.07122223824262619, 0.061596937477588654, 0.030591603368520737, 0.08583132177591324, 0.15892435610294342, 0.18394771218299866, 0.012235548347234726, 0.04259853437542915, 0.0073871430940926075, 0.1294121891260147, 0.15242984890937805, 0.1293148398399353, 0.09811943024396896, 0.0270683616399765, 0.1394343376159668, 0.0074448115192353725, 0.027830012142658234, 0.10965211689472198, 0.14895913004875183, 0.015253555029630661, 0.392123818397522, 0.050192929804325104, 0.07336872071027756, 0.07223700731992722, 0.06619003415107727, 0.036722470074892044, 0.03249774128198624, 0.08487515896558762, 0.03239092230796814, 0.06661726534366608, 0.02910071611404419, 0.10862874984741211, 0.08223692327737808, 0.18327735364437103, 0.13022421300411224, 0.07999982684850693, 0.14250808954238892, 0.06672555208206177, 0.05314519256353378, 0.04472949728369713, 0.10553683340549469, 0.013489232398569584, 0.1060653030872345, 0.00011116085079265758, 0.10597440600395203, 0.004424631129950285, 0.08762696385383606, 0.12537193298339844, 0.001321861520409584, 0.054586414247751236, 0.10943253338336945, 0.04918275773525238, 0.09538768231868744, 0.0658414363861084, 0.16381917893886566, 0.036756545305252075, 0.1736578494310379, 0.10108819603919983]"
F8,"[0.13515803217887878, 0.2993035912513733, 0.02833358757197857, 0.266556054353714, 0.03150195628404617, 0.1296607255935669, 0.25410374999046326, 0.05337490141391754, 0.2620946764945984, 0.1928245574235916, 0.14687827229499817, 0.14762990176677704, 0.15457560122013092, 0.09865095466375351, 0.0808149129152298, 0.009980262257158756, 0.1900418996810913, 0.16444168984889984, 0.1364249289035797, 0.3653220534324646, 0.14421027898788452, 0.09431560337543488, 0.11461702734231949, 0.23275841772556305, 0.001086865784600377, 0.009290192276239395, 0.07970273494720459, 0.018400542438030243, 0.1910856068134308, 0.18134678900241852, 0.09001286327838898, 0.16856279969215393, 0.08040709048509598, 0.136190727353096, 0.026584817096590996, 0.09778309613466263, 0.1417788863182068, 0.2715229094028473, 0.26367515325546265, 0.10109521448612213, 0.17208340764045715, 0.07159170508384705, 0.0008175956318154931, 0.27809253334999084, 0.2666313052177429, 0.12409482896327972, 0.12481000274419785, 0.15544983744621277, 0.11743011325597763, 0.008344806730747223, 0.04064787179231644, 0.009449869394302368, 0.21745479106903076, 0.26863107085227966, 0.2587386965751648, 0.10266623646020889, 0.23220331966876984, 0.10237395018339157, 0.08003408461809158, 0.24337543547153473, 0.06715022772550583, 0.05238205939531326, 0.22520416975021362, 0.13141585886478424, 0.14509013295173645, 0.18228235840797424, 0.18348464369773865, 0.028067944571375847, 0.1470414400100708, 0.06585575640201569, 0.16035906970500946, 0.13637441396713257, 0.04842766746878624, 0.010314375162124634, 0.015372074209153652, 0.14372818171977997, 0.1526767760515213, 0.21658805012702942, 0.22659465670585632, 0.4182157814502716, 0.03460177779197693, 0.09564764052629471, 0.036056313663721085, 0.2091689556837082, 0.04341687262058258, 0.03255830332636833, 0.06475459784269333, 0.27924320101737976, 0.10308010131120682, 0.4189887046813965, 0.10133771598339081, 0.16913746297359467, 0.012383327819406986, 0.2192291021347046, 0.08039497584104538, 0.18650008738040924, 0.016022654250264168, 0.04008971527218819, 0.058614734560251236, 0.008896665647625923, 0.20313891768455505, 0.045506801456213, 0.09565875679254532, 0.026159198954701424, 0.06732717156410217, 0.2417920082807541, 0.1964205950498581, 0.06826159358024597, 0.11917363107204437, 0.03461874648928642, 0.1078745648264885, 0.018728291615843773, 0.09888611733913422, 0.08818022161722183, 0.19245244562625885, 0.34299328923225403, 0.23195672035217285, 0.001551805529743433, 0.07042401283979416, 0.02002338133752346, 0.1604965776205063, 0.13334740698337555, 0.14039328694343567, 0.025315947830677032, 0.09981704503297806, 0.2049519568681717, 0.04851966351270676, 0.08953268080949783]"
F9,"[0.13677683472633362, 0.16089162230491638, 0.12076244503259659, 0.14853951334953308, 0.08289433270692825, 0.04838408902287483, 0.18883518874645233, 0.02525392174720764, 0.11565365642309189, 0.07910055667161942, 0.04050133377313614, 0.045208778232336044, 0.11197197437286377, 0.27275845408439636, 0.01604888215661049, 0.04168768972158432, 0.10440967977046967, 0.037035007029771805, 0.16626861691474915, 0.05668842792510986, 0.19082969427108765, 0.12588883936405182, 0.045595232397317886, 0.09947739541530609, 0.13983914256095886, 0.008342461660504341, 0.033061109483242035, 0.02347620576620102, 0.06230030953884125, 0.01410763245075941, 0.09169210493564606, 0.02631421387195587, 0.008568942546844482, 0.04914168268442154, 0.020113857463002205, 0.06582587957382202, 0.0036211181432008743, 0.07461003214120865, 0.10630018264055252, 0.10585655272006989, 0.06373988091945648, 0.0459553599357605, 0.33524951338768005, 0.12212774157524109, 0.1713067889213562, 0.019213590770959854, 0.029610713943839073, 0.09997359663248062, 0.03579993173480034, 0.16159547865390778, 0.03388054668903351, 0.00586545467376709, 0.11496453732252121, 0.020560970529913902, 0.1883486807346344, 0.008322538807988167, 0.2248784601688385, 0.2019437551498413, 0.17343877255916595, 0.11706624925136566, 0.10637263208627701, 0.06918015331029892, 0.11945270001888275, 0.18759073317050934, 0.004463654011487961, 0.07652049511671066, 0.15488341450691223, 0.013897503726184368, 0.07628924399614334, 0.12463755905628204, 0.1818912774324417, 0.12457817792892456, 0.347952663898468, 0.006134090945124626, 0.08205260336399078, 0.03646907955408096, 0.07592396438121796, 0.11911521852016449, 0.06191972270607948, 0.17709630727767944, 0.046877261251211166, 0.18362662196159363, 0.004530604928731918, 0.11153292655944824, 0.010010828264057636, 0.06636785715818405, 0.001852179877460003, 0.0708785429596901, 0.1359841674566269, 0.42523229122161865, 0.11770591139793396, 0.000551102333702147, 0.004930868744850159, 0.01975543610751629, 0.10158433020114899, 0.03257051110267639, 0.06759455054998398, 0.10442580282688141, 0.11903834342956543, 0.07672327756881714, 0.07077313959598541, 0.08165483176708221, 0.03125477209687233, 0.08013933151960373, 0.17175555229187012, 0.002197498455643654, 0.021246202290058136, 0.13481716811656952, 0.08322711288928986, 0.032692182809114456, 0.012527205981314182, 0.03045184537768364, 0.09436793625354767, 0.11825309693813324, 0.12982149422168732, 0.23778271675109863, 0.11100658029317856, 0.03643544018268585, 0.16706912219524384, 0.03985282778739929, 0.0233205184340477, 0.11180853843688965, 0.1639772206544876, 0.10725321620702744, 0.12147600203752518, 0.12108919024467468, 0.28738367557525635, 0.15883514285087585]"
F10,"[0.09271733462810516, 0.013713938184082508, 0.06664237380027771, 0.2216462641954422, 0.052147675305604935, 0.08508152514696121, 0.013042614795267582, 0.005070807877928019, 0.03244538605213165, 0.1412983387708664, 0.012274079024791718, 0.08180717378854752, 0.004384045023471117, 0.14681273698806763, 0.0815618634223938, 0.17003591358661652, 0.014719270169734955, 0.01596221886575222, 0.046761658042669296, 0.08776605874300003, 0.01603703759610653, 0.002181868301704526, 0.022675344720482826, 0.07638231664896011, 0.10726557672023773, 0.10476166009902954, 0.1333465427160263, 0.029297245666384697, 0.04103635996580124, 0.07495681196451187, 0.07391785085201263, 0.049149177968502045, 0.06668955832719803, 0.26877665519714355, 0.1305791139602661, 0.04069218412041664, 0.07784615457057953, 0.023977551609277725, 0.07544833421707153, 0.1248600110411644, 0.0617930069565773, 0.13165368139743805, 0.12383591383695602, 0.08466567099094391, 0.03588293120265007, 0.015298794955015182, 0.02885620854794979, 0.09642072767019272, 0.24030347168445587, 0.057293202728033066, 0.0126010337844491, 0.12766195833683014, 0.04170585051178932, 0.06796664744615555, 0.05927194282412529, 0.02709207683801651, 0.018473004922270775, 0.01713903434574604, 0.08552556484937668, 0.1539769470691681, 0.011821172200143337, 0.03270953148603439, 0.10247468948364258, 0.12027990818023682, 0.0845637395977974, 0.12066169828176498, 0.0780414342880249, 0.056785788387060165, 0.009296562522649765, 0.09176471084356308, 0.07065469026565552, 0.09672181308269501, 0.12932352721691132, 0.09861832857131958, 0.14009292423725128, 0.14545415341854095, 0.13863977789878845, 0.03837726265192032, 0.18031379580497742, 0.037124864757061005, 0.029963670298457146, 0.011334623210132122, 0.1137399896979332, 0.1373525857925415, 0.09220103919506073, 0.0027964231558144093, 0.29594504833221436, 0.030922604724764824, 0.08851436525583267, 0.03589184582233429, 0.23110608756542206, 0.1568223088979721, 0.07119223475456238, 0.013130169361829758, 0.026670856401324272, 0.015190506353974342, 0.20655414462089539, 0.082499660551548, 0.12696413695812225, 0.04757679998874664, 0.11955118179321289, 0.10736387968063354, 0.055292848497629166, 0.02518104575574398, 0.03146032989025116, 0.10192133486270905, 0.02259805239737034, 0.05589854344725609, 0.020131660625338554, 0.12391743808984756, 0.09438744187355042, 0.11949441581964493, 0.010107383131980896, 0.05230741575360298, 0.060501374304294586, 0.04732353612780571, 0.011634461581707, 0.22975248098373413, 0.021444905549287796, 0.08524472266435623, 0.020800869911909103, 0.032757777720689774, 0.04701865464448929, 0.0510265938937664, 0.04415765777230263, 0.045225877314805984, 0.08477789163589478, 0.0946439728140831]"
