sample_index,cluster,true_label
875,1,5
141,1,0
960,0,7
226,0,2
84,1,0
730,0,6
476,0,3
255,0,2
984,1,7
928,1,5
675,1,4
846,1,5
79,0,0
704,1,4
760,0,6
718,0,6
410,1,1
626,1,4
252,0,2
610,0,4
94,1,0
451,0,3
1011,1,7
399,0,1
897,1,5
530,0,3
351,1,1
398,0,1
259,0,2
628,1,4
242,0,2
390,0,1
637,1,4
302,1,1
1030,1,7
1074,0,7
620,1,4
644,1,4
708,0,6
740,1,6
619,1,4
568,1,3
741,1,6
542,0,3
1006,0,7
154,0,2
890,1,5
732,0,6
206,0,2
89,1,0
633,1,4
751,0,6
762,0,6
339,1,1
196,0,2
200,0,2
695,1,4
830,0,6
185,0,2
28,1,0
550,0,3
517,0,3
111,0,0
212,0,2
312,1,1
856,0,5
179,0,2
780,0,6
515,0,3
536,0,3
527,0,3
504,0,3
987,1,7
802,0,6
293,0,2
854,0,5
336,1,1
313,1,1
50,0,0
128,0,0
865,1,5
134,1,0
13,1,0
580,1,4
124,0,0
518,0,3
739,1,6
996,0,7
952,0,7
593,1,4
413,1,1
1050,1,7
973,0,7
155,0,2
110,0,0
68,0,0
901,0,5
523,0,3
612,0,4
645,1,4
420,1,1
65,0,0
551,0,3
304,1,1
1037,0,7
101,1,0
118,0,0
46,0,0
658,1,4
744,0,6
45,0,0
936,1,5
886,1,5
97,1,0
873,1,5
694,1,4
411,1,1
453,0,3
406,0,1
969,0,7
954,0,7
825,0,6
72,0,0
1033,1,7
263,0,2
750,0,6
1063,0,7
866,1,5
231,0,2
609,0,4
267,1,2
800,0,6
588,1,4
881,1,5
359,1,1
426,1,1
260,0,2
216,0,2
948,0,7
188,0,2
494,0,3
798,0,6
306,1,1
365,1,1
63,0,0
1016,1,7
686,1,4
387,1,1
229,0,2
0,1,0
788,0,6
496,0,3
281,0,2
1078,0,7
464,0,3
575,1,4
717,0,6
115,0,0
729,0,6
563,0,3
1071,0,7
950,0,7
548,0,3
696,1,4
127,1,0
419,1,1
752,0,6
57,0,0
35,0,0
571,1,4
109,0,0
1076,0,7
836,0,6
813,0,6
679,1,4
693,1,4
745,0,6
295,0,2
988,0,7
701,1,4
489,0,3
902,0,5
775,1,6
228,0,2
648,1,4
837,0,6
369,1,1
309,1,1
382,1,1
34,0,0
1025,1,7
965,0,7
425,1,1
806,0,6
477,0,3
585,1,4
591,1,4
1007,0,7
767,0,6
75,0,0
629,1,4
627,1,4
967,0,7
925,1,5
444,0,3
862,1,5
396,0,1
683,1,4
162,0,2
331,1,1
48,0,0
165,0,2
166,0,2
430,1,1
1027,1,7
1020,1,7
8,1,0
389,1,1
492,0,3
672,1,4
214,0,2
994,0,7
844,1,5
183,0,2
437,0,3
455,0,3
943,1,5
608,0,4
544,0,3
661,1,4
859,0,5
60,0,0
887,1,5
459,0,3
602,0,4
158,0,2
621,1,4
310,1,1
70,0,0
972,1,7
919,1,5
728,0,6
1039,0,7
442,0,3
400,1,1
841,1,5
100,1,0
946,0,7
538,0,3
326,1,1
213,0,2
814,0,6
43,1,0
305,1,1
1056,1,7
17,1,0
554,0,3
177,0,2
301,1,1
142,1,0
275,0,2
1075,0,7
587,1,4
782,0,6
469,0,3
874,1,5
71,0,0
521,0,3
222,0,2
108,0,0
939,1,5
817,0,6
999,1,7
262,0,2
450,0,3
858,0,5
861,1,5
