feature,feature_name,max_abs_weight_score
F71,feature_71,0.5542674660682678
F33,feature_33,0.533969521522522
F54,feature_54,0.4928690493106842
F21,feature_21,0.47967758774757385
F62,feature_62,0.47604435682296753
F45,feature_45,0.4744951128959656
F18,feature_18,0.46557825803756714
F63,feature_63,0.4614151120185852
F30,feature_30,0.44975170493125916
F27,feature_27,0.4440293312072754
F37,feature_37,0.44278547167778015
F61,feature_61,0.442643940448761
F43,feature_43,0.44214487075805664
F60,feature_60,0.44068971276283264
F40,feature_40,0.43726393580436707
F44,feature_44,0.4369843006134033
