feature_9,feature_7,feature_1,target
113.0,166.0,0.75,1
92.0,103.0,0.791667,1
114.0,131.0,0.833333,1
122.0,172.0,0.875,1
116.0,131.0,0.916667,1
96.0,89.0,0.958333,1
77.0,62.0,0.0,1
76.0,62.0,0.0416667,1
60.0,45.0,0.0833333,1
-200.0,-200.0,0.125,1
34.0,21.0,0.166667,1
28.0,16.0,0.208333,1
48.0,34.0,0.25,1
82.0,98.0,0.291667,1
112.0,174.0,0.333333,1
101.0,129.0,0.375,1
98.0,112.0,0.416667,1
92.0,95.0,0.458333,1
95.0,104.0,0.5,1
112.0,146.0,0.541667,1
128.0,207.0,0.583333,1
126.0,184.0,0.625,1
131.0,193.0,0.666667,1
135.0,243.0,0.708333,1
151.0,281.0,0.75,1
172.0,383.0,0.791667,1
165.0,351.0,0.833333,1
136.0,240.0,0.875,1
85.0,94.0,0.916667,1
53.0,47.0,0.958333,1
97.0,122.0,0.0,1
110.0,133.0,0.0416667,1
91.0,82.0,0.0833333,1
-200.0,-200.0,0.125,1
32.0,21.0,0.166667,1
44.0,30.0,0.208333,1
71.0,56.0,0.25,1
104.0,109.0,0.291667,1
141.0,307.0,0.333333,1
-200.0,-200.0,0.375,1
122.0,187.0,0.416667,1
143.0,216.0,0.458333,1
113.0,143.0,0.5,1
116.0,160.0,0.541667,1
123.0,163.0,0.583333,1
126.0,190.0,0.625,1
120.0,178.0,0.666667,1
119.0,150.0,0.708333,1
149.0,206.0,0.75,1
145.0,202.0,0.791667,1
170.0,340.0,0.833333,1
149.0,274.0,0.875,1
139.0,253.0,0.916667,1
134.0,300.0,0.958333,1
113.0,193.0,0.0,1
97.0,139.0,0.0416667,1
82.0,83.0,0.0833333,1
-200.0,-200.0,0.125,1
83.0,109.0,0.166667,1
65.0,62.0,0.208333,1
60.0,53.0,0.25,1
77.0,139.0,0.291667,1
96.0,256.0,0.333333,1
119.0,295.0,0.375,1
126.0,250.0,0.416667,1
158.0,296.0,0.458333,1
161.0,239.0,0.5,1
124.0,153.0,0.541667,1
102.0,118.0,0.583333,1
116.0,119.0,0.625,1
124.0,138.0,0.666667,1
125.0,148.0,0.708333,1
148.0,227.0,0.75,1
165.0,277.0,0.791667,1
161.0,279.0,0.833333,1
159.0,283.0,0.875,1
143.0,214.0,0.916667,1
130.0,172.0,0.958333,1
129.0,190.0,0.0,1
119.0,174.0,0.0416667,1
104.0,128.0,0.0833333,1
-200.0,-200.0,0.125,1
82.0,70.0,0.166667,1
70.0,53.0,0.208333,1
63.0,44.0,0.25,1
67.0,74.0,0.291667,1
84.0,101.0,0.333333,1
83.0,118.0,0.375,1
98.0,144.0,0.416667,1
114.0,176.0,0.458333,1
119.0,161.0,0.5,1
104.0,113.0,0.541667,1
102.0,103.0,0.583333,1
107.0,112.0,0.625,1
129.0,170.0,0.666667,1
128.0,180.0,0.708333,1
121.0,160.0,0.75,1
157.0,261.0,0.791667,1
173.0,325.0,0.833333,1
146.0,217.0,0.875,1
121.0,146.0,0.916667,1
119.0,152.0,0.958333,1
99.0,104.0,0.0,1
93.0,106.0,0.0416667,1
88.0,108.0,0.0833333,1
-200.0,-200.0,0.125,1
71.0,66.0,0.166667,1
74.0,88.0,0.208333,1
80.0,138.0,0.25,1
89.0,228.0,0.291667,1
114.0,360.0,0.333333,1
149.0,478.0,0.375,1
157.0,394.0,0.416667,1
155.0,319.0,0.458333,1
134.0,201.0,0.5,1
119.0,171.0,0.541667,1
111.0,159.0,0.583333,1
104.0,153.0,0.625,1
99.0,143.0,0.666667,1
110.0,156.0,0.708333,1
162.0,314.0,0.75,1
187.0,404.0,0.791667,1
165.0,320.0,0.833333,1
145.0,256.0,0.875,1
125.0,193.0,0.916667,1
101.0,89.0,0.958333,1
103.0,127.0,0.0,1
88.0,79.0,0.0416667,1
61.0,43.0,0.0833333,1
-200.0,-200.0,0.125,1
59.0,59.0,0.166667,1
52.0,38.0,0.208333,1
64.0,82.0,0.25,1
70.0,99.0,0.291667,1
97.0,263.0,0.333333,1
95.0,229.0,0.375,1
150.0,396.0,0.416667,1
162.0,314.0,0.458333,1
154.0,217.0,0.5,1
161.0,252.0,0.541667,1
161.0,263.0,0.583333,1
128.0,180.0,0.625,1
129.0,184.0,0.666667,1
133.0,190.0,0.708333,1
139.0,184.0,0.75,1
137.0,181.0,0.791667,1
143.0,166.0,0.833333,1
177.0,317.0,0.875,1
138.0,184.0,0.916667,1
117.0,130.0,0.958333,1
107.0,132.0,0.0,1
90.0,95.0,0.0416667,1
79.0,70.0,0.0833333,1
-200.0,-200.0,0.125,1
60.0,54.0,0.166667,1
40.0,28.0,0.208333,1
53.0,46.0,0.25,1
84.0,160.0,0.291667,1
108.0,320.0,0.333333,1
127.0,377.0,0.375,1
134.0,280.0,0.416667,1
135.0,221.0,0.458333,1
142.0,210.0,0.5,1
153.0,204.0,0.541667,1
123.0,161.0,0.583333,1
104.0,135.0,0.625,1
129.0,186.0,0.666667,1
114.0,147.0,0.708333,1
158.0,299.0,0.75,1
194.0,411.0,0.791667,1
182.0,347.0,0.833333,1
180.0,336.0,0.875,1
136.0,202.0,0.916667,1
127.0,178.0,0.958333,1
116.0,154.0,0.0,1
107.0,92.0,0.0416667,1
88.0,61.0,0.0833333,1
-200.0,-200.0,0.125,1
78.0,60.0,0.166667,1
57.0,37.0,0.208333,1
71.0,68.0,0.25,1
85.0,139.0,0.291667,1
124.0,339.0,0.333333,1
151.0,421.0,0.375,1
150.0,349.0,0.416667,1
152.0,224.0,0.458333,1
139.0,171.0,0.5,1
133.0,149.0,0.541667,1
126.0,137.0,0.583333,1
128.0,149.0,0.625,1
169.0,172.0,0.666667,1
149.0,166.0,0.708333,1
156.0,214.0,0.75,1
168.0,280.0,0.791667,1
176.0,276.0,0.833333,1
135.0,178.0,0.875,1
121.0,129.0,0.916667,1
99.0,95.0,0.958333,1
106.0,126.0,0.0,1
96.0,103.0,0.0416667,1
63.0,48.0,0.0833333,1
-200.0,-200.0,0.125,1
32.0,20.0,0.166667,1
28.0,18.0,0.208333,1
61.0,56.0,0.25,1
99.0,115.0,0.291667,1
157.0,320.0,0.333333,1
166.0,357.0,0.375,1
149.0,253.0,0.416667,1
135.0,218.0,0.458333,1
127.0,192.0,0.5,1
122.0,176.0,0.541667,1
135.0,198.0,0.583333,1
139.0,212.0,0.625,1
147.0,249.0,0.666667,1
158.0,270.0,0.708333,1
146.0,231.0,0.75,1
144.0,251.0,0.791667,1
138.0,210.0,0.833333,1
143.0,249.0,0.875,1
116.0,143.0,0.916667,1
109.0,127.0,0.958333,1
92.0,104.0,0.0,1
83.0,86.0,0.0416667,1
81.0,74.0,0.0833333,1
-200.0,-200.0,0.125,1
55.0,44.0,0.166667,1
53.0,42.0,0.208333,1
67.0,63.0,0.25,1
91.0,115.0,0.291667,1
113.0,170.0,0.333333,1
102.0,147.0,0.375,1
107.0,166.0,0.416667,1
113.0,195.0,0.458333,1
108.0,182.0,0.5,1
105.0,168.0,0.541667,1
93.0,125.0,0.583333,1
87.0,95.0,0.625,1
76.0,79.0,0.666667,1
94.0,119.0,0.708333,1
110.0,142.0,0.75,1
136.0,215.0,0.791667,1
139.0,229.0,0.833333,1
125.0,206.0,0.875,1
111.0,147.0,0.916667,1
97.0,122.0,0.958333,1
107.0,175.0,0.0,1
90.0,133.0,0.0416667,1
84.0,89.0,0.0833333,1
-200.0,-200.0,0.125,1
87.0,85.0,0.166667,1
66.0,55.0,0.208333,1
36.0,24.0,0.25,1
62.0,72.0,0.291667,1
91.0,122.0,0.333333,1
89.0,111.0,0.375,1
93.0,123.0,0.416667,1
81.0,106.0,0.458333,1
82.0,103.0,0.5,1
80.0,102.0,0.541667,1
48.0,48.0,0.583333,1
61.0,63.0,0.625,1
89.0,98.0,0.666667,1
105.0,132.0,0.708333,1
116.0,173.0,0.75,1
119.0,185.0,0.791667,1
