feature_1,feature_9,feature_4,target
0.75,113.0,150.0,0.757754
0.791667,92.0,112.0,0.725487
0.833333,114.0,88.0,0.750239
0.875,122.0,80.0,0.786713
0.916667,116.0,51.0,0.788794
0.958333,96.0,38.0,0.784772
0.0,77.0,31.0,0.760312
0.0416667,76.0,31.0,0.770238
0.0833333,60.0,24.0,0.764819
0.125,-200.0,19.0,0.751657
0.166667,34.0,14.0,0.746495
0.208333,28.0,8.0,0.73656
0.25,48.0,16.0,0.735295
0.291667,82.0,29.0,0.741736
0.333333,112.0,64.0,0.740795
0.375,101.0,87.0,0.769111
0.416667,98.0,77.0,0.755183
0.458333,92.0,43.0,0.735161
0.5,95.0,61.0,0.795054
0.541667,112.0,63.0,0.839268
0.583333,128.0,164.0,0.873589
0.625,126.0,79.0,0.877784
0.666667,131.0,95.0,0.856938
0.708333,135.0,150.0,0.818501
0.75,151.0,307.0,0.806544
0.791667,172.0,461.0,0.831921
0.833333,165.0,401.0,0.813314
0.875,136.0,197.0,0.741924
0.916667,85.0,61.0,0.690484
0.958333,53.0,26.0,0.665744
0.0,97.0,55.0,0.643764
0.0416667,110.0,53.0,0.630766
0.0833333,91.0,40.0,0.627597
0.125,-200.0,21.0,0.626108
0.166667,32.0,10.0,0.624754
0.208333,44.0,7.0,0.623282
0.25,71.0,17.0,0.623428
0.291667,104.0,33.0,0.631628
0.333333,141.0,202.0,0.649933
0.375,-200.0,-200.0,0.656065
0.416667,122.0,208.0,0.63195
0.458333,143.0,166.0,0.624304
0.5,113.0,114.0,0.619532
0.541667,116.0,140.0,0.626165
0.583333,123.0,169.0,0.656031
0.625,126.0,185.0,0.660961
0.666667,120.0,165.0,0.665729
0.708333,119.0,133.0,0.654909
0.75,149.0,233.0,0.676627
0.791667,145.0,242.0,0.70845
0.833333,170.0,488.0,0.747803
0.875,149.0,333.0,0.75362
0.916667,139.0,215.0,0.77398
0.958333,134.0,367.0,0.777074
0.0,113.0,122.0,0.759747
0.0416667,97.0,67.0,0.742276
0.0833333,82.0,43.0,0.725615
0.125,-200.0,46.0,0.717312
0.166667,83.0,56.0,0.715778
0.208333,65.0,30.0,0.698155
0.25,60.0,27.0,0.688672
0.291667,77.0,47.0,0.693199
0.333333,96.0,132.0,0.694475
0.375,119.0,239.0,0.712367
0.416667,126.0,160.0,0.733458
0.458333,158.0,283.0,0.745094
0.5,161.0,210.0,0.708964
0.541667,124.0,154.0,0.695008
0.583333,102.0,112.0,0.712674
0.625,116.0,108.0,0.704207
0.666667,124.0,111.0,0.701203
0.708333,125.0,97.0,0.711736
0.75,148.0,191.0,0.745131
0.791667,165.0,258.0,0.756914
0.833333,161.0,284.0,0.778641
0.875,159.0,269.0,0.809124
0.916667,143.0,180.0,0.805969
0.958333,130.0,116.0,0.819336
0.0,129.0,93.0,0.849772
0.0416667,119.0,131.0,0.853623
0.0833333,104.0,92.0,0.85374
0.125,-200.0,132.0,0.867449
0.166667,82.0,56.0,0.860316
0.208333,70.0,32.0,0.853275
0.25,63.0,29.0,0.847264
0.291667,67.0,27.0,0.852999
0.333333,84.0,36.0,0.853038
0.375,83.0,57.0,0.862715
0.416667,98.0,129.0,0.872782
0.458333,114.0,148.0,0.878931
0.5,119.0,145.0,0.847405
0.541667,104.0,93.0,0.781196
0.583333,102.0,84.0,0.761592
0.625,107.0,99.0,0.752459
0.666667,129.0,150.0,0.751627
0.708333,128.0,156.0,0.769615
0.75,121.0,122.0,0.830706
0.791667,157.0,262.0,0.873196
0.833333,173.0,341.0,0.920954
0.875,146.0,214.0,0.93199
0.916667,121.0,100.0,0.934147
0.958333,119.0,79.0,0.931386
0.0,99.0,66.0,0.916354
0.0416667,93.0,73.0,0.909449
0.0833333,88.0,66.0,0.936086
0.125,-200.0,44.0,0.923017
0.166667,71.0,44.0,0.935112
0.208333,74.0,39.0,0.937538
0.25,80.0,51.0,0.947516
0.291667,89.0,107.0,0.940095
0.333333,114.0,336.0,0.916955
0.375,149.0,618.0,0.90761
0.416667,157.0,438.0,0.899298
0.458333,155.0,334.0,0.88006
0.5,134.0,221.0,0.890369
0.541667,119.0,207.0,0.909599
0.583333,111.0,191.0,0.875659
0.625,104.0,185.0,0.873592
0.666667,99.0,141.0,0.884762
0.708333,110.0,214.0,0.913735
0.75,162.0,471.0,0.9547
0.791667,187.0,685.0,1.00863
0.833333,165.0,538.0,1.09452
0.875,145.0,319.0,1.07863
0.916667,125.0,224.0,1.06537
0.958333,101.0,67.0,1.05796
0.0,103.0,155.0,1.04937
0.0416667,88.0,49.0,1.01482
0.0833333,61.0,29.0,0.987908
0.125,-200.0,25.0,0.963555
0.166667,59.0,25.0,0.945036
0.208333,52.0,17.0,0.92829
0.25,64.0,27.0,0.908107
0.291667,70.0,50.0,0.870523
0.333333,97.0,218.0,0.871937
0.375,95.0,285.0,0.874265
0.416667,150.0,437.0,0.867225
0.458333,162.0,327.0,0.841671
0.5,154.0,283.0,0.823069
0.541667,161.0,366.0,0.826381
0.583333,161.0,318.0,0.758937
0.625,128.0,228.0,0.709362
0.666667,129.0,201.0,0.701386
0.708333,133.0,199.0,0.709825
0.75,139.0,237.0,0.751891
0.791667,137.0,261.0,0.872993
0.833333,143.0,230.0,0.870389
0.875,177.0,349.0,0.900731
0.916667,138.0,183.0,0.934186
0.958333,117.0,88.0,0.92265
0.0,107.0,85.0,0.927128
0.0416667,90.0,47.0,0.905875
0.0833333,79.0,34.0,0.890956
0.125,-200.0,26.0,0.866633
0.166667,60.0,17.0,0.84466
0.208333,40.0,11.0,0.802632
0.25,53.0,18.0,0.797846
0.291667,84.0,84.0,0.795646
0.333333,108.0,260.0,0.795776
0.375,127.0,534.0,0.80198
0.416667,134.0,368.0,0.804829
0.458333,135.0,200.0,0.826486
0.5,142.0,145.0,0.847128
0.541667,153.0,188.0,0.825395
0.583333,123.0,152.0,0.850339
0.625,104.0,103.0,0.650018
0.666667,129.0,193.0,0.63089
0.708333,114.0,134.0,0.570802
0.75,158.0,386.0,0.523665
0.791667,194.0,577.0,0.740261
0.833333,182.0,523.0,0.913314
0.875,180.0,472.0,0.929388
0.916667,136.0,206.0,0.855831
0.958333,127.0,216.0,0.920599
0.0,116.0,159.0,0.902354
0.0416667,107.0,70.0,0.897473
0.0833333,88.0,44.0,0.868642
0.125,-200.0,42.0,0.850059
0.166667,78.0,28.0,0.844196
0.208333,57.0,20.0,0.823302
0.25,71.0,26.0,0.811277
0.291667,85.0,78.0,0.806682
0.333333,124.0,319.0,0.811693
0.375,151.0,506.0,0.81857
0.416667,150.0,-200.0,0.820964
0.458333,152.0,-200.0,0.836456
0.5,139.0,-200.0,0.821851
0.541667,133.0,-200.0,0.851493
0.583333,126.0,-200.0,0.782925
0.625,128.0,-200.0,0.627469
0.666667,169.0,-200.0,0.818014
0.708333,149.0,-200.0,0.783193
0.75,156.0,-200.0,0.744593
0.791667,168.0,-200.0,0.752287
0.833333,176.0,-200.0,0.767639
0.875,135.0,-200.0,0.87678
0.916667,121.0,-200.0,0.945558
0.958333,99.0,-200.0,0.960556
0.0,106.0,-200.0,0.973519
0.0416667,96.0,-200.0,0.991471
0.0833333,63.0,-200.0,1.00287
0.125,-200.0,-200.0,0.976822
0.166667,32.0,-200.0,0.966466
0.208333,28.0,-200.0,0.962037
0.25,61.0,-200.0,0.948706
0.291667,99.0,-200.0,0.93317
0.333333,157.0,-200.0,0.920911
0.375,166.0,-200.0,0.912018
0.416667,149.0,-200.0,0.903171
0.458333,135.0,-200.0,0.891736
0.5,127.0,-200.0,0.874442
0.541667,122.0,-200.0,0.865455
0.583333,135.0,-200.0,0.863995
0.625,139.0,-200.0,0.879118
0.666667,147.0,-200.0,0.909371
0.708333,158.0,-200.0,0.914191
0.75,146.0,-200.0,0.898909
0.791667,144.0,-200.0,0.884047
0.833333,138.0,-200.0,0.895626
0.875,143.0,-200.0,0.911745
0.916667,116.0,-200.0,0.957347
0.958333,109.0,-200.0,0.938022
0.0,92.0,-200.0,0.908544
0.0416667,83.0,-200.0,0.884207
0.0833333,81.0,-200.0,0.876488
0.125,-200.0,-200.0,0.86662
0.166667,55.0,-200.0,0.857388
0.208333,53.0,-200.0,0.856019
0.25,67.0,-200.0,0.912884
0.291667,91.0,-200.0,0.896024
0.333333,113.0,-200.0,0.90827
0.375,102.0,-200.0,0.876531
0.416667,107.0,-200.0,0.888138
0.458333,113.0,-200.0,0.904643
0.5,108.0,-200.0,0.915813
0.541667,105.0,-200.0,0.928079
0.583333,93.0,-200.0,0.937023
0.625,87.0,-200.0,0.94758
0.666667,76.0,-200.0,0.949262
0.708333,94.0,-200.0,0.955568
0.75,110.0,-200.0,0.974416
0.791667,136.0,-200.0,1.01592
0.833333,139.0,-200.0,0.991415
0.875,125.0,-200.0,0.996351
0.916667,111.0,-200.0,1.01323
0.958333,97.0,-200.0,1.03564
0.0,107.0,-200.0,1.03955
0.0416667,90.0,-200.0,1.03981
0.0833333,84.0,-200.0,0.995074
0.125,-200.0,-200.0,0.994123
0.166667,87.0,-200.0,1.00213
0.208333,66.0,-200.0,1.01965
0.25,36.0,-200.0,1.03162
0.291667,62.0,-200.0,1.06298
0.333333,91.0,-200.0,1.07041
0.375,89.0,-200.0,1.07296
0.416667,93.0,-200.0,1.08684
0.458333,81.0,-200.0,1.06997
0.5,82.0,-200.0,1.02492
0.541667,80.0,-200.0,1.00913
0.583333,48.0,-200.0,1.0126
0.625,61.0,-200.0,0.979147
0.666667,89.0,-200.0,0.894214
0.708333,105.0,-200.0,0.920609
0.75,116.0,-200.0,0.925151
0.791667,119.0,-200.0,0.968889
0.833333,144.0,-200.0,0.952044
0.875,123.0,-200.0,0.968768
0.916667,105.0,-200.0,0.991391
0.958333,93.0,-200.0,1.01978
0.0,86.0,-200.0,1.09194
0.0416667,76.0,-200.0,1.08048
0.0833333,33.0,-200.0,1.04908
0.125,-200.0,-200.0,1.03086
0.166667,27.0,-200.0,1.0153
0.208333,23.0,-200.0,1.00494
0.25,46.0,-200.0,0.997855
0.291667,76.0,-200.0,1.01949
0.333333,116.0,-200.0,0.957133
0.375,115.0,-200.0,0.828075
0.416667,83.0,-200.0,0.779315
0.458333,87.0,-200.0,0.776381
0.5,90.0,-200.0,0.726251
0.541667,87.0,-200.0,0.706679
0.583333,99.0,-200.0,0.65386
0.625,99.0,-200.0,0.668102
0.666667,101.0,451.0,0.605972
0.708333,103.0,185.0,0.668178
0.75,129.0,426.0,0.826399
0.791667,143.0,672.0,0.834715
0.833333,146.0,624.0,0.817783
0.875,124.0,325.0,0.817693
0.916667,113.0,143.0,0.823093
0.958333,80.0,89.0,0.810595
0.0,72.0,73.0,0.807138
0.0416667,64.0,48.0,0.8163
0.0833333,70.0,47.0,0.844362
0.125,-200.0,36.0,0.921478
0.166667,31.0,25.0,0.948317
0.208333,22.0,19.0,0.914701
0.25,47.0,26.0,0.900403
0.291667,88.0,60.0,0.909255
0.333333,130.0,248.0,0.911734
0.375,132.0,535.0,0.923184
0.416667,132.0,340.0,0.880311
0.458333,131.0,325.0,0.820958
0.5,129.0,267.0,0.823433
0.541667,132.0,325.0,0.835092
0.583333,110.0,268.0,0.767392
0.625,99.0,136.0,0.797104
0.666667,100.0,118.0,0.85375
0.708333,122.0,276.0,0.846514
0.75,97.0,151.0,0.769509
0.791667,112.0,236.0,0.782209
0.833333,128.0,220.0,0.786677
0.875,101.0,87.0,0.788146
0.916667,96.0,81.0,0.766391
0.958333,86.0,74.0,0.805725
0.0,85.0,55.0,0.819875
0.0416667,79.0,74.0,0.808223
0.0833333,61.0,35.0,0.802532
0.125,-200.0,29.0,0.785638
0.166667,66.0,29.0,0.781282
0.208333,54.0,20.0,0.762782
0.25,57.0,32.0,0.738215
0.291667,75.0,84.0,0.745549
0.333333,97.0,245.0,0.75009
0.375,110.0,553.0,0.756491
0.416667,113.0,450.0,0.773369
0.458333,88.0,118.0,0.753455
0.5,85.0,118.0,0.71459
0.541667,96.0,144.0,0.659675
0.583333,106.0,159.0,0.669736
0.625,91.0,122.0,0.855393
0.666667,126.0,230.0,0.971979
0.708333,130.0,320.0,0.949664
0.75,111.0,263.0,0.879356
0.791667,134.0,556.0,0.864272
0.833333,136.0,458.0,0.848602
0.875,125.0,214.0,0.833565
0.916667,108.0,97.0,0.824761
0.958333,87.0,79.0,0.771669
0.0,89.0,81.0,0.751587
0.0416667,58.0,52.0,0.768556
0.0833333,54.0,38.0,0.789041
0.125,-200.0,35.0,0.809059
0.166667,28.0,29.0,0.849588
0.208333,20.0,21.0,0.815171
0.25,51.0,46.0,0.869495
0.291667,82.0,55.0,0.85442
0.333333,112.0,271.0,0.842884
0.375,119.0,434.0,0.841547
0.416667,99.0,300.0,0.838872
0.458333,98.0,116.0,0.844733
0.5,88.0,95.0,0.820932
0.541667,96.0,211.0,0.777999
0.583333,81.0,168.0,0.743824
0.625,92.0,154.0,0.74615
0.666667,105.0,267.0,0.709396
0.708333,88.0,143.0,0.722495
0.75,103.0,374.0,0.683513
0.791667,141.0,797.0,0.729338
0.833333,133.0,698.0,0.764152
0.875,119.0,234.0,0.7555
0.916667,106.0,104.0,0.714007
0.958333,92.0,67.0,0.727584
0.0,97.0,88.0,0.73228
0.0416667,91.0,79.0,0.742519
0.0833333,83.0,61.0,0.739834
0.125,-200.0,43.0,0.745484
0.166667,59.0,40.0,0.745859
0.208333,73.0,52.0,0.765534
0.25,78.0,64.0,0.771115
0.291667,90.0,88.0,0.737512
0.333333,110.0,375.0,0.72137
0.375,114.0,592.0,0.754369
0.416667,119.0,357.0,0.740708
0.458333,121.0,296.0,0.672923
0.5,97.0,181.0,0.597624
0.541667,99.0,211.0,0.574085
0.583333,85.0,199.0,0.568256
0.625,75.0,81.0,0.592244
0.666667,87.0,143.0,0.629213
0.708333,102.0,247.0,0.698194
0.75,105.0,239.0,0.640331
0.791667,98.0,267.0,0.604559
0.833333,93.0,261.0,0.627988
0.875,91.0,97.0,0.617183
0.916667,85.0,66.0,0.606328
0.958333,74.0,60.0,0.610289
0.0,87.0,77.0,0.63001
0.0416667,79.0,57.0,0.648825
0.0833333,78.0,65.0,0.674628
0.125,-200.0,59.0,0.677661
0.166667,63.0,48.0,0.668286
0.208333,48.0,27.0,0.644401
0.25,59.0,25.0,0.641022
0.291667,65.0,42.0,0.639582
0.333333,71.0,78.0,0.650009
0.375,84.0,128.0,0.665387
0.416667,93.0,184.0,0.631275
0.458333,99.0,156.0,0.592046
0.5,93.0,176.0,0.601317
0.541667,96.0,232.0,0.586131
0.583333,114.0,305.0,0.573516
0.625,101.0,150.0,0.573671
0.666667,108.0,188.0,0.555459
0.708333,117.0,221.0,0.603768
0.75,125.0,219.0,0.644002
0.791667,133.0,306.0,0.66572
0.833333,119.0,270.0,0.69913
0.875,107.0,231.0,0.694596
0.916667,96.0,125.0,0.704175
0.958333,105.0,122.0,0.732648
0.0,102.0,161.0,0.727667
0.0416667,97.0,101.0,0.727812
0.0833333,79.0,95.0,0.729409
0.125,-200.0,129.0,0.72763
0.166667,69.0,96.0,0.712431
0.208333,52.0,54.0,0.699969
0.25,62.0,63.0,0.69899
0.291667,69.0,72.0,0.704276
0.333333,75.0,91.0,0.703472
0.375,83.0,127.0,0.724215
0.416667,94.0,193.0,0.701808
0.458333,96.0,188.0,0.688678
0.5,86.0,151.0,0.660743
0.541667,72.0,103.0,0.576775
0.583333,53.0,55.0,0.531854
0.625,65.0,104.0,0.559434
